==== Channel ablation ====
model=transformer contrastive=0 grad=0 window=100
Baseline acc@1: 37.8531%

Channel	Δacc@1 (pts)	masked acc@1	Δacc@5 (pts)
ch0	11.2994		26.5537%		20.7156
ch3	10.9228		26.9303%		16.3842
ch4	9.7928		28.0603%		11.4878
ch10	9.0395		28.8136%		11.4878
ch9	8.6629		29.1902%		17.3258
ch7	2.6365		35.2166%		11.6761
ch11	1.6949		36.1582%		8.0979
ch2	1.5066		36.3465%		6.9680
ch5	0.9416		36.9115%		-0.3766
ch8	0.5650		37.2881%		3.5782
ch1	0.1883		37.6648%		5.0847
ch6	-1.6949		39.5480%		0.7533
