==== Channel ablation ====
model=transformer contrastive=0 grad=25 window=100
Baseline acc@1: 71.3147%

Channel	Δacc@1 (pts)	masked acc@1	Δacc@5 (pts)
ch5	32.8685		38.4462%		19.1235
ch9	20.9163		50.3984%		15.7371
ch10	19.7211		51.5936%		14.5418
ch3	18.7251		52.5896%		9.5618
ch4	16.1355		55.1793%		13.1474
ch2	13.9442		57.3705%		3.5857
ch11	12.9482		58.3665%		2.9880
ch8	8.7649		62.5498%		3.5857
ch0	7.3705		63.9442%		3.5857
ch7	5.7769		65.5378%		5.1793
ch1	3.9841		67.3307%		1.1952
ch6	1.3944		69.9203%		0.0000
