==== Channel ablation ====
model=transformer contrastive=1 grad=25 window=100
Baseline acc@1: 64.3426%

Channel	Δacc@1 (pts)	masked acc@1	Δacc@5 (pts)
ch10	18.7251		45.6175%		16.7331
ch5	16.5339		47.8088%		12.1514
ch9	15.7371		48.6056%		19.7211
ch4	15.1394		49.2032%		11.9522
ch3	12.7490		51.5936%		7.5697
ch11	10.1594		54.1833%		4.3825
ch2	8.1673		56.1753%		2.5896
ch8	5.1793		59.1633%		0.0000
ch0	3.5857		60.7570%		2.5896
ch7	2.9880		61.3546%		3.9841
ch6	0.3984		63.9442%		0.1992
ch1	-1.9920		66.3347%		-0.5976
