==== Channel ablation ====
model=transformer contrastive=0 grad=0 window=50
Baseline acc@1: 40.8650%

Channel	Δacc@1 (pts)	masked acc@1	Δacc@5 (pts)
ch3	16.7696		24.0953%		16.9462
ch0	14.3866		26.4784%		21.2710
ch1	13.0627		27.8023%		18.5349
ch9	10.4148		30.4501%		12.7096
ch4	9.4440		31.4210%		2.5596
ch7	8.1200		32.7449%		12.6214
ch2	7.9435		32.9214%		10.8561
ch11	6.7961		34.0688%		12.7096
ch10	4.5896		36.2754%		9.6205
ch8	3.2657		37.5993%		2.5596
ch5	1.0591		39.8058%		5.8252
ch6	-0.2648		41.1297%		-1.0591
