==== Channel ablation ====
model=transformer contrastive=0 grad=25 window=50
Baseline acc@1: 60.9418%

Channel	Δacc@1 (pts)	masked acc@1	Δacc@5 (pts)
ch10	18.6519		42.2899%		19.8523
ch9	16.2512		44.6907%		18.8366
ch4	14.1274		46.8144%		9.6030
ch3	11.3573		49.5845%		4.3398
ch5	10.7110		50.2308%		6.3712
ch2	10.6187		50.3232%		3.1394
ch8	7.5716		53.3703%		4.8938
ch0	5.9095		55.0323%		2.3084
ch11	3.7858		57.1560%		2.9548
ch1	3.6011		57.3407%		0.0923
ch7	2.7701		58.1717%		2.5854
ch6	1.1080		59.8338%		0.3693
