==== Channel ablation ====
model=transformer contrastive=1 grad=25 window=50
Baseline acc@1: 64.2659%

Channel	Δacc@1 (pts)	masked acc@1	Δacc@5 (pts)
ch10	17.3592		46.9067%		17.1745
ch9	16.8052		47.4608%		17.4515
ch5	16.3435		47.9224%		9.6030
ch2	16.2512		48.0148%		5.4478
ch3	15.4201		48.8458%		8.5873
ch4	12.8347		51.4312%		8.7719
ch0	8.5873		55.6787%		2.3084
ch11	6.3712		57.8947%		4.0628
ch8	6.1865		58.0794%		3.8781
ch1	5.8172		58.4488%		2.7701
ch7	3.7858		60.4801%		3.3241
ch6	0.7387		63.5272%		-0.0923
