==== Channel ablation ====
model=transformer contrastive=1 grad=25 window=50
Baseline acc@1: 60.6648%

Channel	Δacc@1 (pts)	masked acc@1	Δacc@5 (pts)
ch10	16.9898		43.6750%		18.6519
ch4	15.1431		45.5217%		12.3730
ch2	14.5891		46.0757%		8.7719
ch9	14.4044		46.2604%		14.8661
ch5	13.2964		47.3684%		8.6796
ch3	10.9880		49.6768%		7.1099
ch0	5.4478		55.2170%		2.1237
ch7	2.4007		58.2641%		2.0314
ch11	1.7544		58.9104%		1.8467
ch8	1.5697		59.0951%		1.3850
ch1	1.1080		59.5568%		-0.0923
ch6	0.3693		60.2955%		-0.2770
