model,contrastive,acc1,acc5,precision_macro,recall_macro,f1_macro,gradient,window,seed,lr,batch,epochs,run_name,timestamp,_source_file
transformer,True,56.7729115486145,85.0597620010376,58.99530428635692,56.839393939393936,55.238714146265636,25,100,4,0.001,32,90,SEL_grad25_w100-transformer-c1-g25-w100-bs32-lr0.001-seed4-20260223-183944-651342,2026-02-23T18:40:20,/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100_seed4/SEL_grad25_w100-transformer-c1-g25-w100-bs32-lr0.001-seed4-20260223-183944-651342/results.jsonl
cnn,True,55.97609877586365,87.649405002594,63.21244196979492,56.16161616161616,54.689057207540394,25,100,4,0.0003,32,90,SEL_grad25_w100-cnn-c1-g25-w100-bs32-lr0.0003-seed4-20260223-183638-2099e8,2026-02-23T18:36:58,/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100_seed4/SEL_grad25_w100-cnn-c1-g25-w100-bs32-lr0.0003-seed4-20260223-183638-2099e8/results.jsonl
lstm,True,55.37848472595215,86.25498414039612,55.53466365076273,55.375757575757575,52.864296897943234,25,100,4,0.0003,32,90,SEL_grad25_w100-lstm-c1-g25-w100-bs32-lr0.0003-seed4-20260223-183701-b747d2,2026-02-23T18:37:39,/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100_seed4/SEL_grad25_w100-lstm-c1-g25-w100-bs32-lr0.0003-seed4-20260223-183701-b747d2/results.jsonl
transformer,True,55.37848472595215,84.06374454498291,59.74178321678322,55.31717171717172,54.950472717024766,25,100,4,0.0003,32,90,SEL_grad25_w100-transformer-c1-g25-w100-bs32-lr0.0003-seed4-20260223-183742-78f226,2026-02-23T18:38:17,/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100_seed4/SEL_grad25_w100-transformer-c1-g25-w100-bs32-lr0.0003-seed4-20260223-183742-78f226/results.jsonl
lstm,True,54.78087663650513,86.25498414039612,55.41581523052111,54.751515151515164,52.62242048703752,25,100,4,0.001,32,90,SEL_grad25_w100-lstm-c1-g25-w100-bs32-lr0.001-seed4-20260223-183904-a41704,2026-02-23T18:39:41,/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100_seed4/SEL_grad25_w100-lstm-c1-g25-w100-bs32-lr0.001-seed4-20260223-183904-a41704/results.jsonl
cnn,True,53.585660457611084,87.45020031929016,62.57536688961372,53.902020202020196,52.33906838577758,25,100,4,0.001,32,90,SEL_grad25_w100-cnn-c1-g25-w100-bs32-lr0.001-seed4-20260223-183841-ad646d,2026-02-23T18:39:01,/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100_seed4/SEL_grad25_w100-cnn-c1-g25-w100-bs32-lr0.001-seed4-20260223-183841-ad646d/results.jsonl
lstm,True,52.98805236816406,82.27092027664185,51.38174215912552,53.01212121212121,50.2938523580058,25,100,4,0.003,32,90,SEL_grad25_w100-lstm-c1-g25-w100-bs32-lr0.003-seed4-20260223-184106-9d5b60,2026-02-23T18:41:43,/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100_seed4/SEL_grad25_w100-lstm-c1-g25-w100-bs32-lr0.003-seed4-20260223-184106-9d5b60/results.jsonl
cnn,True,50.99601745605469,86.85259222984314,58.30081382635356,51.22424242424242,49.941805025889956,25,100,4,0.003,32,90,SEL_grad25_w100-cnn-c1-g25-w100-bs32-lr0.003-seed4-20260223-184043-e2a93a,2026-02-23T18:41:03,/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100_seed4/SEL_grad25_w100-cnn-c1-g25-w100-bs32-lr0.003-seed4-20260223-184043-e2a93a/results.jsonl
transformer,True,48.2071727514267,83.66534113883972,49.21277668857879,48.337373737373746,45.20386266176951,25,100,4,0.003,32,90,SEL_grad25_w100-transformer-c1-g25-w100-bs32-lr0.003-seed4-20260223-184147-26d173,2026-02-23T18:42:22,/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100_seed4/SEL_grad25_w100-transformer-c1-g25-w100-bs32-lr0.003-seed4-20260223-184147-26d173/results.jsonl
mlp,True,29.282867908477783,60.159361362457275,31.25198669751302,29.416161616161617,27.01299863290941,25,100,4,0.0003,32,90,SEL_grad25_w100-mlp-c1-g25-w100-bs32-lr0.0003-seed4-20260223-183618-d525ed,2026-02-23T18:36:35,/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100_seed4/SEL_grad25_w100-mlp-c1-g25-w100-bs32-lr0.0003-seed4-20260223-183618-d525ed/results.jsonl
mlp,True,26.2948215007782,58.16733241081238,27.948615273615275,26.51515151515152,24.514143299324573,25,100,4,0.003,32,90,SEL_grad25_w100-mlp-c1-g25-w100-bs32-lr0.003-seed4-20260223-184023-836c1c,2026-02-23T18:40:40,/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100_seed4/SEL_grad25_w100-mlp-c1-g25-w100-bs32-lr0.003-seed4-20260223-184023-836c1c/results.jsonl
mlp,True,25.29880404472351,59.76095795631409,28.00539835595417,25.511111111111113,23.568324219266472,25,100,4,0.001,32,90,SEL_grad25_w100-mlp-c1-g25-w100-bs32-lr0.001-seed4-20260223-183821-469f49,2026-02-23T18:38:38,/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100_seed4/SEL_grad25_w100-mlp-c1-g25-w100-bs32-lr0.001-seed4-20260223-183821-469f49/results.jsonl
