model,contrastive,acc1,acc5,precision_macro,recall_macro,f1_macro,gradient,window,seed,lr,batch,epochs,run_name,timestamp,_source_file
transformer,False,56.024096385542165,89.5582329317269,59.63564670623494,56.04704184704185,54.95469518800249,25,100,42,0.0003,32,90,SEL_heldoutday2_grad25_w100-transformer-c0-g25-w100-bs32-lr0.0003-seed42-20251118-223239-c3e1b7,2025-11-18T22:33:10,/orcd/home/002/dewei/workspace/SmellNet/models/held_runs_w100_heldout_days_2/SEL_heldoutday2_grad25_w100-transformer-c0-g25-w100-bs32-lr0.0003-seed42-20251118-223239-c3e1b7/results.jsonl
transformer,False,56.024096385542165,89.5582329317269,59.63564670623494,56.04704184704185,54.95469518800249,25,100,42,0.0003,32,90,SEL_heldoutday2_grad25_w100-transformer-c0-g25-w100-bs32-lr0.0003-seed42-20251118-223239-c3e1b7,2025-11-18T22:33:10,/orcd/home/002/dewei/workspace/SmellNet/models/held_runs_w100_heldout_days_2/SEL_heldoutday2_grad25_w100-transformer-c0-g25-w100-bs32-lr0.0003-seed42-20251118-223239-c3e1b7/results.jsonl
transformer,False,51.80722891566265,87.14859437751004,52.15549115487196,51.64660894660894,50.156819509053086,25,100,42,0.001,32,90,SEL_heldoutday2_grad25_w100-transformer-c0-g25-w100-bs32-lr0.001-seed42-20251118-223350-35f10d,2025-11-18T22:34:21,/orcd/home/002/dewei/workspace/SmellNet/models/held_runs_w100_heldout_days_2/SEL_heldoutday2_grad25_w100-transformer-c0-g25-w100-bs32-lr0.001-seed42-20251118-223350-35f10d/results.jsonl
transformer,False,51.80722891566265,87.14859437751004,52.15549115487196,51.64660894660894,50.156819509053086,25,100,42,0.001,32,90,SEL_heldoutday2_grad25_w100-transformer-c0-g25-w100-bs32-lr0.001-seed42-20251118-223350-35f10d,2025-11-18T22:34:21,/orcd/home/002/dewei/workspace/SmellNet/models/held_runs_w100_heldout_days_2/SEL_heldoutday2_grad25_w100-transformer-c0-g25-w100-bs32-lr0.001-seed42-20251118-223350-35f10d/results.jsonl
transformer,False,49.19678714859438,86.14457831325302,52.240649847228795,49.12135642135642,48.52004502365758,25,100,42,0.003,32,90,SEL_heldoutday2_grad25_w100-transformer-c0-g25-w100-bs32-lr0.003-seed42-20251118-223500-fc18b6,2025-11-18T22:35:31,/orcd/home/002/dewei/workspace/SmellNet/models/held_runs_w100_heldout_days_2/SEL_heldoutday2_grad25_w100-transformer-c0-g25-w100-bs32-lr0.003-seed42-20251118-223500-fc18b6/results.jsonl
transformer,False,49.19678714859438,86.14457831325302,52.240649847228795,49.12135642135642,48.52004502365758,25,100,42,0.003,32,90,SEL_heldoutday2_grad25_w100-transformer-c0-g25-w100-bs32-lr0.003-seed42-20251118-223500-fc18b6,2025-11-18T22:35:31,/orcd/home/002/dewei/workspace/SmellNet/models/held_runs_w100_heldout_days_2/SEL_heldoutday2_grad25_w100-transformer-c0-g25-w100-bs32-lr0.003-seed42-20251118-223500-fc18b6/results.jsonl
transformer,False,43.90243902439025,77.29831144465291,41.25792054645028,44.256565656565655,41.515882676274764,0,100,42,0.001,32,90,SEL_heldoutday2_grad0_w100-transformer-c0-g0-w100-bs32-lr0.001-seed42-20251118-223314-3a64b0,2025-11-18T22:33:47,/orcd/home/002/dewei/workspace/SmellNet/models/held_runs_w100_heldout_days_2/SEL_heldoutday2_grad0_w100-transformer-c0-g0-w100-bs32-lr0.001-seed42-20251118-223314-3a64b0/results.jsonl
transformer,False,43.90243902439025,77.29831144465291,41.25792054645028,44.256565656565655,41.515882676274764,0,100,42,0.001,32,90,SEL_heldoutday2_grad0_w100-transformer-c0-g0-w100-bs32-lr0.001-seed42-20251118-223314-3a64b0,2025-11-18T22:33:47,/orcd/home/002/dewei/workspace/SmellNet/models/held_runs_w100_heldout_days_2/SEL_heldoutday2_grad0_w100-transformer-c0-g0-w100-bs32-lr0.001-seed42-20251118-223314-3a64b0/results.jsonl
transformer,False,41.83864915572232,77.4859287054409,41.18355942153896,41.795959595959594,38.87402617097692,0,100,42,0.003,32,90,SEL_heldoutday2_grad0_w100-transformer-c0-g0-w100-bs32-lr0.003-seed42-20251118-223425-cabdda,2025-11-18T22:34:57,/orcd/home/002/dewei/workspace/SmellNet/models/held_runs_w100_heldout_days_2/SEL_heldoutday2_grad0_w100-transformer-c0-g0-w100-bs32-lr0.003-seed42-20251118-223425-cabdda/results.jsonl
transformer,False,41.83864915572232,77.4859287054409,41.18355942153896,41.795959595959594,38.87402617097692,0,100,42,0.003,32,90,SEL_heldoutday2_grad0_w100-transformer-c0-g0-w100-bs32-lr0.003-seed42-20251118-223425-cabdda,2025-11-18T22:34:57,/orcd/home/002/dewei/workspace/SmellNet/models/held_runs_w100_heldout_days_2/SEL_heldoutday2_grad0_w100-transformer-c0-g0-w100-bs32-lr0.003-seed42-20251118-223425-cabdda/results.jsonl
