model,gradient,window,seed,lr,batch,epochs,kl,mae,acc@0.1,acc@0.2,dynTopK%,cosine,presence_f1,presence_precision,presence_recall,run_name,timestamp,_source_file
transformer,0,100,42,0.001,64,60,0.38635398023003753,0.04173918884940619,0.47987976965326834,0.6664212980953086,89.07092907092907,0.8743360812030595,0.7604866180048663,0.7413662239089184,0.7806193806193806,mix-transformer-g0-w100-transformer-g0-w100-bs64-lr0.001-seed42-20251120-230248-d2f393,2025-11-20T23:06:18,/orcd/home/002/dewei/workspace/SmellNet/models/mixture_runs_w100/mix-transformer-g0-w100-transformer-g0-w100-bs64-lr0.001-seed42-20251120-230248-d2f393/results.jsonl
lstm,0,100,42,0.001,64,60,0.5033409264545108,0.04308993399663027,0.4653416760910246,0.6895472951833931,86.39360639360639,0.8560417571876652,0.8519021739130435,0.8282694848084544,0.8769230769230769,mix-lstm-g0-w100-lstm-g0-w100-bs64-lr0.001-seed42-20251120-230015-7ccc31,2025-11-20T23:02:42,/orcd/home/002/dewei/workspace/SmellNet/models/mixture_runs_w100/mix-lstm-g0-w100-lstm-g0-w100-bs64-lr0.001-seed42-20251120-230015-7ccc31/results.jsonl
transformer,0,100,42,0.003,64,60,0.5162294951462468,0.04731333268763021,0.450312845389721,0.6486320699296719,84.5954045954046,0.8383032237489575,0.7513427491545653,0.7480689245395128,0.7546453546453546,mix-transformer-g0-w100-transformer-g0-w100-bs64-lr0.003-seed42-20251120-231146-68cd48,2025-11-20T23:15:16,/orcd/home/002/dewei/workspace/SmellNet/models/mixture_runs_w100/mix-transformer-g0-w100-transformer-g0-w100-bs64-lr0.003-seed42-20251120-231146-68cd48/results.jsonl
transformer,0,100,42,0.0003,64,60,0.3466337316258009,0.03867031627356313,0.447245736957079,0.6903447432688241,91.32867132867133,0.894788139707157,0.809800503583188,0.7857545574140199,0.8353646353646353,mix-transformer-g0-w100-transformer-g0-w100-bs64-lr0.0003-seed42-20251120-225348-11bd79,2025-11-20T22:57:19,/orcd/home/002/dewei/workspace/SmellNet/models/mixture_runs_w100/mix-transformer-g0-w100-transformer-g0-w100-bs64-lr0.0003-seed42-20251120-225348-11bd79/results.jsonl
lstm,0,100,42,0.0003,64,60,0.4534456119980923,0.046404935159655505,0.39847871445100186,0.634462029312216,87.13286713286713,0.8594999712258427,0.8369533738777873,0.8096750093388121,0.8661338661338661,mix-lstm-g0-w100-lstm-g0-w100-bs64-lr0.0003-seed42-20251120-225115-e06edc,2025-11-20T22:53:43,/orcd/home/002/dewei/workspace/SmellNet/models/mixture_runs_w100/mix-lstm-g0-w100-lstm-g0-w100-bs64-lr0.0003-seed42-20251120-225115-e06edc/results.jsonl
lstm,0,100,42,0.003,64,60,0.675345994358839,0.05676745116537393,0.3667648143306742,0.5728131519725843,76.94305694305694,0.7939834135466618,0.7384615384615384,0.6923076923076923,0.7912087912087912,mix-lstm-g0-w100-lstm-g0-w100-bs64-lr0.003-seed42-20251120-230914-77a28f,2025-11-20T23:11:41,/orcd/home/002/dewei/workspace/SmellNet/models/mixture_runs_w100/mix-lstm-g0-w100-lstm-g0-w100-bs64-lr0.003-seed42-20251120-230914-77a28f/results.jsonl
cnn,0,100,42,0.0003,64,60,0.42539722766987115,0.04761414650047934,0.36296160014008266,0.6264875477120242,87.01298701298701,0.8486288428336743,0.8256622205523201,0.7791171778053536,0.8781218781218781,mix-cnn-g0-w100-cnn-g0-w100-bs64-lr0.0003-seed42-20251120-224944-30f056,2025-11-20T22:51:10,/orcd/home/002/dewei/workspace/SmellNet/models/mixture_runs_w100/mix-cnn-g0-w100-cnn-g0-w100-bs64-lr0.0003-seed42-20251120-224944-30f056/results.jsonl
cnn,0,100,42,0.001,64,60,0.45358207457980443,0.05040824616891007,0.3504477981087211,0.6251380202258646,85.63436563436564,0.8378875214533855,0.821912685799757,0.7723120168657766,0.8783216783216783,mix-cnn-g0-w100-cnn-g0-w100-bs64-lr0.001-seed42-20251120-225845-2916ba,2025-11-20T23:00:10,/orcd/home/002/dewei/workspace/SmellNet/models/mixture_runs_w100/mix-cnn-g0-w100-cnn-g0-w100-bs64-lr0.001-seed42-20251120-225845-2916ba/results.jsonl
mlp,0,100,42,0.0003,64,60,0.6155668587185615,0.05864113257374874,0.33744325876279835,0.5285241078005409,78.9010989010989,0.7999584541987198,0.756620173842733,0.7655962364491716,0.7478521478521478,mix-mlp-g0-w100-mlp-g0-w100-bs64-lr0.0003-seed42-20251120-224817-7685ad,2025-11-20T22:49:38,/orcd/home/002/dewei/workspace/SmellNet/models/mixture_runs_w100/mix-mlp-g0-w100-mlp-g0-w100-bs64-lr0.0003-seed42-20251120-224817-7685ad/results.jsonl
cnn,0,100,42,0.003,64,60,0.4763662633161212,0.05235825751929782,0.32762851218638456,0.6086983195244499,83.85614385614386,0.8240107868029916,0.815537555228277,0.7561017238436594,0.8851148851148851,mix-cnn-g0-w100-cnn-g0-w100-bs64-lr0.003-seed42-20251120-230744-bbc379,2025-11-20T23:09:09,/orcd/home/002/dewei/workspace/SmellNet/models/mixture_runs_w100/mix-cnn-g0-w100-cnn-g0-w100-bs64-lr0.003-seed42-20251120-230744-bbc379/results.jsonl
mlp,0,100,42,0.001,64,60,0.6477002740599388,0.05785108795172946,0.314010551101283,0.5369893268030446,77.48251748251748,0.7932675984420052,0.7407484407484407,0.77204767063922,0.7118881118881119,mix-mlp-g0-w100-mlp-g0-w100-bs64-lr0.001-seed42-20251120-225724-53c148,2025-11-20T22:58:40,/orcd/home/002/dewei/workspace/SmellNet/models/mixture_runs_w100/mix-mlp-g0-w100-mlp-g0-w100-bs64-lr0.001-seed42-20251120-225724-53c148/results.jsonl
mlp,0,100,42,0.003,64,60,0.7760431090759676,0.06789962800089704,0.25162556767463684,0.4967488655172642,72.42757242757243,0.7383402397254202,0.6881879762912786,0.7317128066621652,0.6495504495504496,mix-mlp-g0-w100-mlp-g0-w100-bs64-lr0.003-seed42-20251120-230623-f2fdcb,2025-11-20T23:07:38,/orcd/home/002/dewei/workspace/SmellNet/models/mixture_runs_w100/mix-mlp-g0-w100-mlp-g0-w100-bs64-lr0.003-seed42-20251120-230623-f2fdcb/results.jsonl
