2025-07-29 23:29:55,144 - INFO - ------------------------------------Gradient Period 25-------------------------------------------
2025-07-29 23:29:55,144 - INFO - [Gradient Period 25 Run 1] Starting
2025-07-29 23:29:58,270 - INFO - Training on device: cuda
2025-07-29 23:29:58,696 - INFO - Epoch 01: Loss = 296.9321, Accuracy = 2.44%
2025-07-29 23:29:58,873 - INFO - Epoch 02: Loss = 294.1417, Accuracy = 4.68%
2025-07-29 23:29:59,046 - INFO - Epoch 03: Loss = 289.4260, Accuracy = 6.17%
2025-07-29 23:29:59,219 - INFO - Epoch 04: Loss = 278.7829, Accuracy = 7.53%
2025-07-29 23:29:59,392 - INFO - Epoch 05: Loss = 265.4169, Accuracy = 10.35%
2025-07-29 23:29:59,566 - INFO - Epoch 06: Loss = 252.6645, Accuracy = 12.33%
2025-07-29 23:29:59,739 - INFO - Epoch 07: Loss = 240.3489, Accuracy = 15.44%
2025-07-29 23:29:59,912 - INFO - Epoch 08: Loss = 229.4579, Accuracy = 17.92%
2025-07-29 23:30:00,085 - INFO - Epoch 09: Loss = 221.5145, Accuracy = 20.32%
2025-07-29 23:30:00,258 - INFO - Epoch 10: Loss = 215.0462, Accuracy = 21.56%
2025-07-29 23:30:00,431 - INFO - Epoch 11: Loss = 209.5351, Accuracy = 22.81%
2025-07-29 23:30:00,605 - INFO - Epoch 12: Loss = 204.8157, Accuracy = 23.43%
2025-07-29 23:30:00,779 - INFO - Epoch 13: Loss = 200.1799, Accuracy = 25.62%
2025-07-29 23:30:00,951 - INFO - Epoch 14: Loss = 196.5230, Accuracy = 25.99%
2025-07-29 23:30:01,124 - INFO - Epoch 15: Loss = 192.9614, Accuracy = 27.11%
2025-07-29 23:30:01,297 - INFO - Epoch 16: Loss = 189.8319, Accuracy = 26.95%
2025-07-29 23:30:01,470 - INFO - Epoch 17: Loss = 187.2304, Accuracy = 27.48%
2025-07-29 23:30:01,643 - INFO - Epoch 18: Loss = 184.1272, Accuracy = 28.31%
2025-07-29 23:30:01,815 - INFO - Epoch 19: Loss = 181.5142, Accuracy = 28.23%
2025-07-29 23:30:01,988 - INFO - Epoch 20: Loss = 179.3555, Accuracy = 29.30%
2025-07-29 23:30:02,161 - INFO - Epoch 21: Loss = 176.8139, Accuracy = 29.97%
2025-07-29 23:30:02,333 - INFO - Epoch 22: Loss = 174.7371, Accuracy = 30.59%
2025-07-29 23:30:02,506 - INFO - Epoch 23: Loss = 172.9437, Accuracy = 31.13%
2025-07-29 23:30:02,681 - INFO - Epoch 24: Loss = 170.6506, Accuracy = 31.66%
2025-07-29 23:30:02,853 - INFO - Epoch 25: Loss = 168.3716, Accuracy = 32.66%
2025-07-29 23:30:03,026 - INFO - Epoch 26: Loss = 167.1108, Accuracy = 33.36%
2025-07-29 23:30:03,199 - INFO - Epoch 27: Loss = 164.7776, Accuracy = 34.77%
2025-07-29 23:30:03,371 - INFO - Epoch 28: Loss = 163.2770, Accuracy = 35.02%
2025-07-29 23:30:03,544 - INFO - Epoch 29: Loss = 161.2154, Accuracy = 35.51%
2025-07-29 23:30:03,717 - INFO - Epoch 30: Loss = 159.9547, Accuracy = 35.80%
2025-07-29 23:30:03,889 - INFO - Epoch 31: Loss = 158.6404, Accuracy = 37.13%
2025-07-29 23:30:04,062 - INFO - Epoch 32: Loss = 156.4180, Accuracy = 37.42%
2025-07-29 23:30:04,234 - INFO - Epoch 33: Loss = 155.3639, Accuracy = 38.25%
2025-07-29 23:30:04,407 - INFO - Epoch 34: Loss = 153.6117, Accuracy = 38.62%
2025-07-29 23:30:04,581 - INFO - Epoch 35: Loss = 152.7829, Accuracy = 38.04%
2025-07-29 23:30:04,753 - INFO - Epoch 36: Loss = 151.5381, Accuracy = 38.37%
2025-07-29 23:30:04,926 - INFO - Epoch 37: Loss = 149.5386, Accuracy = 40.07%
2025-07-29 23:30:05,098 - INFO - Epoch 38: Loss = 148.8296, Accuracy = 39.86%
2025-07-29 23:30:05,271 - INFO - Epoch 39: Loss = 146.8527, Accuracy = 40.98%
2025-07-29 23:30:05,443 - INFO - Epoch 40: Loss = 146.2763, Accuracy = 40.07%
2025-07-29 23:30:05,616 - INFO - Epoch 41: Loss = 144.7399, Accuracy = 41.51%
2025-07-29 23:30:05,789 - INFO - Epoch 42: Loss = 143.1103, Accuracy = 42.76%
2025-07-29 23:30:05,961 - INFO - Epoch 43: Loss = 141.9209, Accuracy = 42.76%
2025-07-29 23:30:06,134 - INFO - Epoch 44: Loss = 140.6571, Accuracy = 43.34%
2025-07-29 23:30:06,306 - INFO - Epoch 45: Loss = 139.9374, Accuracy = 43.63%
2025-07-29 23:30:06,479 - INFO - Epoch 46: Loss = 139.3301, Accuracy = 44.29%
2025-07-29 23:30:06,652 - INFO - Epoch 47: Loss = 137.5943, Accuracy = 44.50%
2025-07-29 23:30:06,825 - INFO - Epoch 48: Loss = 136.4431, Accuracy = 44.41%
2025-07-29 23:30:06,997 - INFO - Epoch 49: Loss = 135.4359, Accuracy = 44.95%
2025-07-29 23:30:07,170 - INFO - Epoch 50: Loss = 134.0579, Accuracy = 45.78%
2025-07-29 23:30:07,343 - INFO - Epoch 51: Loss = 133.1704, Accuracy = 46.36%
2025-07-29 23:30:07,515 - INFO - Epoch 52: Loss = 131.7430, Accuracy = 46.19%
2025-07-29 23:30:07,688 - INFO - Epoch 53: Loss = 131.0498, Accuracy = 47.14%
2025-07-29 23:30:07,860 - INFO - Epoch 54: Loss = 130.3054, Accuracy = 47.72%
2025-07-29 23:30:08,033 - INFO - Epoch 55: Loss = 128.9239, Accuracy = 48.01%
2025-07-29 23:30:08,206 - INFO - Epoch 56: Loss = 127.8831, Accuracy = 48.18%
2025-07-29 23:30:08,378 - INFO - Epoch 57: Loss = 126.9488, Accuracy = 49.21%
2025-07-29 23:30:08,552 - INFO - Epoch 58: Loss = 125.6954, Accuracy = 48.72%
2025-07-29 23:30:08,725 - INFO - Epoch 59: Loss = 125.0200, Accuracy = 49.63%
2025-07-29 23:30:08,898 - INFO - Epoch 60: Loss = 124.1469, Accuracy = 49.88%
2025-07-29 23:30:09,071 - INFO - Epoch 61: Loss = 122.2603, Accuracy = 50.66%
2025-07-29 23:30:09,243 - INFO - Epoch 62: Loss = 121.1939, Accuracy = 50.99%
2025-07-29 23:30:09,416 - INFO - Epoch 63: Loss = 121.2722, Accuracy = 50.41%
2025-07-29 23:30:09,588 - INFO - Epoch 64: Loss = 119.6754, Accuracy = 52.44%
2025-07-29 23:30:09,761 - INFO - Epoch 65: Loss = 119.1670, Accuracy = 52.48%
2025-07-29 23:30:09,933 - INFO - Epoch 66: Loss = 118.2065, Accuracy = 53.02%
2025-07-29 23:30:10,106 - INFO - Epoch 67: Loss = 117.1452, Accuracy = 52.73%
2025-07-29 23:30:10,279 - INFO - Epoch 68: Loss = 115.8845, Accuracy = 52.77%
2025-07-29 23:30:10,451 - INFO - Epoch 69: Loss = 115.5989, Accuracy = 53.06%
2025-07-29 23:30:10,624 - INFO - Epoch 70: Loss = 114.3569, Accuracy = 53.56%
2025-07-29 23:30:10,797 - INFO - Epoch 71: Loss = 114.1464, Accuracy = 54.10%
2025-07-29 23:30:10,969 - INFO - Epoch 72: Loss = 113.2691, Accuracy = 53.81%
2025-07-29 23:30:11,142 - INFO - Epoch 73: Loss = 111.8026, Accuracy = 55.22%
2025-07-29 23:30:11,314 - INFO - Epoch 74: Loss = 111.3103, Accuracy = 55.01%
2025-07-29 23:30:11,487 - INFO - Epoch 75: Loss = 110.6091, Accuracy = 54.22%
2025-07-29 23:30:11,660 - INFO - Epoch 76: Loss = 110.9295, Accuracy = 55.17%
2025-07-29 23:30:11,832 - INFO - Epoch 77: Loss = 109.4297, Accuracy = 55.63%
2025-07-29 23:30:12,005 - INFO - Epoch 78: Loss = 107.6029, Accuracy = 57.33%
