model,contrastive,acc1,acc5,precision_macro,recall_macro,f1_macro,gradient,window,seed,lr,batch,epochs,run_name,timestamp,_source_file
lstm,True,56.17530345916748,86.45418882369995,58.28662380081144,56.151515151515156,54.54870160316969,25,100,42,0.003,32,90,SEL_grad_w100-lstm-c1-g25-w100-bs32-lr0.003-seed42-20251117-032213-090bbf,2025-11-17T03:22:51,/orcd/home/002/dewei/workspace/SmellNet/models/new_gcms_runs_w100_all/SEL_grad_w100-lstm-c1-g25-w100-bs32-lr0.003-seed42-20251117-032213-090bbf/results.jsonl
transformer,True,55.776894092559814,86.25498414039612,59.47391032749426,55.665656565656555,55.0444868230665,25,100,42,0.0003,32,90,SEL_grad_w100-transformer-c1-g25-w100-bs32-lr0.0003-seed42-20251117-031511-a36c7a,2025-11-17T03:15:47,/orcd/home/002/dewei/workspace/SmellNet/models/new_gcms_runs_w100_all/SEL_grad_w100-transformer-c1-g25-w100-bs32-lr0.0003-seed42-20251117-031511-a36c7a/results.jsonl
lstm,True,55.17928600311279,82.86852836608887,56.244145010476274,54.97474747474747,52.73267341755656,25,100,42,0.001,32,90,SEL_grad_w100-lstm-c1-g25-w100-bs32-lr0.001-seed42-20251117-031802-52b71f,2025-11-17T03:18:40,/orcd/home/002/dewei/workspace/SmellNet/models/new_gcms_runs_w100_all/SEL_grad_w100-lstm-c1-g25-w100-bs32-lr0.001-seed42-20251117-031802-52b71f/results.jsonl
cnn,True,54.98008131980896,86.25498414039612,63.662470959529784,55.032323232323236,53.60780229633757,25,100,42,0.003,32,90,SEL_grad_w100-cnn-c1-g25-w100-bs32-lr0.003-seed42-20251117-032107-aaf132,2025-11-17T03:21:28,/orcd/home/002/dewei/workspace/SmellNet/models/new_gcms_runs_w100_all/SEL_grad_w100-cnn-c1-g25-w100-bs32-lr0.003-seed42-20251117-032107-aaf132/results.jsonl
transformer,True,54.78087663650513,86.85259222984314,56.016286173406925,54.98282828282829,52.661792718359436,25,100,42,0.003,32,90,SEL_grad_w100-transformer-c1-g25-w100-bs32-lr0.003-seed42-20251117-032335-b5288e,2025-11-17T03:24:10,/orcd/home/002/dewei/workspace/SmellNet/models/new_gcms_runs_w100_all/SEL_grad_w100-transformer-c1-g25-w100-bs32-lr0.003-seed42-20251117-032335-b5288e/results.jsonl
cnn,True,54.38247323036194,89.04382586479187,63.063161184533186,54.36565656565657,53.51826042679211,25,100,42,0.001,32,90,SEL_grad_w100-cnn-c1-g25-w100-bs32-lr0.001-seed42-20251117-031656-584e52,2025-11-17T03:17:16,/orcd/home/002/dewei/workspace/SmellNet/models/new_gcms_runs_w100_all/SEL_grad_w100-cnn-c1-g25-w100-bs32-lr0.001-seed42-20251117-031656-584e52/results.jsonl
cnn,True,54.183268547058105,88.84462118148804,63.49934122128899,54.04747474747475,52.52612862204678,25,100,42,0.0003,32,90,SEL_grad_w100-cnn-c1-g25-w100-bs32-lr0.0003-seed42-20251117-031244-da8435,2025-11-17T03:13:05,/orcd/home/002/dewei/workspace/SmellNet/models/new_gcms_runs_w100_all/SEL_grad_w100-cnn-c1-g25-w100-bs32-lr0.0003-seed42-20251117-031244-da8435/results.jsonl
lstm,True,50.398409366607666,82.66932368278503,53.61391324981983,50.34646464646465,48.13460472004654,25,100,42,0.0003,32,90,SEL_grad_w100-lstm-c1-g25-w100-bs32-lr0.0003-seed42-20251117-031350-c0ad45,2025-11-17T03:14:28,/orcd/home/002/dewei/workspace/SmellNet/models/new_gcms_runs_w100_all/SEL_grad_w100-lstm-c1-g25-w100-bs32-lr0.0003-seed42-20251117-031350-c0ad45/results.jsonl
transformer,True,48.40637445449829,81.27490282058716,51.30747842292466,48.644444444444446,46.60075590077139,25,100,42,0.001,32,90,SEL_grad_w100-transformer-c1-g25-w100-bs32-lr0.001-seed42-20251117-031923-ba3e97,2025-11-17T03:19:59,/orcd/home/002/dewei/workspace/SmellNet/models/new_gcms_runs_w100_all/SEL_grad_w100-transformer-c1-g25-w100-bs32-lr0.001-seed42-20251117-031923-ba3e97/results.jsonl
transformer,True,39.5480215549469,70.43314576148987,35.3592103821307,40.505050505050505,35.239068497093996,0,100,42,0.003,32,90,SEL_grad_w100-transformer-c1-g0-w100-bs32-lr0.003-seed42-20251117-032254-732ed2,2025-11-17T03:23:31,/orcd/home/002/dewei/workspace/SmellNet/models/new_gcms_runs_w100_all/SEL_grad_w100-transformer-c1-g0-w100-bs32-lr0.003-seed42-20251117-032254-732ed2/results.jsonl
