NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
190,276,443,813,2,33,4294967295,25.59,1022.86,28.07,77.67,-48.5
189,276,443,812,2,32,4294967295,25.59,1022.86,28.1,78.18,-48.5
188,275,442,813,3,32,4294967295,25.59,1022.86,28.14,78.47,-48.5
187,274,440,813,2,33,4294967295,25.59,1022.86,28.16,78.69,-48.5
187,273,439,812,2,33,4294967295,25.59,1022.86,28.19,79.21,-48.5
186,273,438,812,2,33,4294967295,25.59,1022.86,28.22,79.59,-48.5
185,271,437,811,2,33,4294967295,25.59,1022.86,28.23,80.12,-48.41
185,271,436,810,2,33,4294967295,25.59,1022.85,28.25,80.35,-48.33
184,271,434,810,2,32,4294967295,25.59,1022.84,28.27,80.42,-48.41
183,271,433,810,2,33,4294967295,25.59,1022.85,28.27,81.12,-48.41
182,269,433,810,2,33,4294967295,25.59,1022.85,28.28,81.59,-48.41
182,269,432,810,2,33,4294967295,25.59,1022.85,28.3,82.07,-48.33
182,268,431,809,2,33,4294967295,25.59,1022.84,28.3,82.07,-48.41
181,268,430,809,2,32,4294967295,25.6,1022.85,28.3,82.23,-48.41
181,267,429,808,2,32,4294967295,25.6,1022.85,28.3,82.47,-48.41
181,267,429,808,2,33,4294967295,25.6,1022.85,28.29,82.8,-48.33
180,266,428,808,2,32,4294967295,25.6,1022.84,28.28,83.37,-48.41
180,266,427,808,3,33,4294967295,25.6,1022.85,28.29,83.96,-48.41
179,265,427,808,2,33,4294967295,25.6,1022.85,28.29,83.87,-48.5
179,264,426,808,2,33,4294967295,25.6,1022.86,28.29,84.04,-48.5
179,264,426,808,2,32,4294967295,25.6,1022.86,28.28,84.63,-48.5
179,263,424,807,2,32,4294967295,25.6,1022.86,28.28,84.72,-48.5
179,263,425,807,2,32,4294967295,25.6,1022.86,28.31,84.89,-48.5
179,263,424,807,2,32,4294967295,25.6,1022.86,28.31,85.23,-48.41
179,262,423,807,2,33,4294967295,25.6,1022.85,28.3,85.23,-48.5
178,262,423,807,2,32,4294967295,25.6,1022.86,28.31,85.23,-48.58
179,261,422,806,2,32,4294967295,25.6,1022.87,28.3,85.84,-48.5
178,261,421,806,2,32,4294967295,25.6,1022.86,28.3,85.5,-48.5
178,260,421,806,2,32,4294967295,25.6,1022.86,28.3,85.76,-48.33
178,260,420,806,2,32,4294967295,25.6,1022.84,28.31,85.84,-48.33
178,260,420,806,2,32,4294967295,25.6,1022.84,28.31,86.46,-48.33
178,259,419,806,2,32,4294967295,25.6,1022.84,28.32,86.28,-48.41
179,259,419,807,2,32,4294967295,25.61,1022.85,28.31,86.55,-48.41
178,258,419,806,2,32,4294967295,25.61,1022.85,28.32,86.64,-48.41
178,258,418,806,2,32,4294967295,25.61,1022.85,28.32,86.2,-48.41
178,258,418,806,2,32,4294967295,25.61,1022.85,28.33,87.0,-48.41
178,257,418,806,2,32,4294967295,25.61,1022.85,28.33,86.55,-48.41
177,257,417,805,2,32,4294967295,25.61,1022.85,28.33,86.64,-48.41
177,257,417,805,2,32,4294967295,25.61,1022.85,28.33,86.11,-48.41
177,256,416,806,2,32,4294967295,25.61,1022.85,28.32,86.11,-48.41
178,256,416,806,2,35,4294967295,25.61,1022.85,28.33,86.55,-48.5
177,255,415,806,2,32,4294967295,25.61,1022.86,28.34,86.02,-48.5
178,255,414,806,2,32,4294967295,25.61,1022.86,28.34,86.11,-48.5
178,254,414,806,2,32,4294967295,25.61,1022.86,28.34,85.58,-48.5
178,255,413,806,2,32,4294967295,25.61,1022.86,28.35,85.15,-48.5
178,254,413,806,2,32,4294967295,25.61,1022.86,28.36,84.89,-48.41
178,254,414,807,2,32,4294967295,25.62,1022.85,28.37,84.55,-48.5
177,254,413,806,2,32,4294967295,25.62,1022.86,28.35,84.72,-48.5
178,254,412,807,2,30,4294967295,25.62,1022.86,28.36,84.04,-48.5
178,253,413,807,2,32,4294967295,25.62,1022.86,28.35,83.54,-48.5
179,253,412,807,2,32,4294967295,25.62,1022.86,28.36,83.37,-48.5
179,253,412,808,2,32,4294967295,25.62,1022.86,28.35,83.79,-48.5
179,253,412,808,2,30,4294967295,25.62,1022.86,28.35,83.37,-48.5
180,254,411,808,2,32,4294967295,25.62,1022.86,28.33,83.46,-48.5
