NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
37,68,82,768,2,26,0,25.9,1011.41,38.34,226.96,46.47
37,68,81,769,2,25,0,25.9,1011.41,38.34,227.11,46.56
37,69,81,769,2,26,0,25.9,1011.4,38.33,227.42,46.47
37,69,81,769,2,26,0,25.9,1011.41,38.34,229.32,46.47
37,68,81,769,2,25,0,25.9,1011.41,38.34,228.37,46.56
38,69,80,769,1,25,0,25.9,1011.4,38.34,228.05,46.56
37,69,81,770,1,26,0,25.9,1011.4,38.35,228.53,46.56
37,69,81,769,1,25,0,25.9,1011.4,38.34,228.68,46.56
37,69,80,769,1,26,0,25.9,1011.4,38.35,230.28,46.56
38,69,81,770,2,25,0,25.9,1011.4,38.37,229.0,46.56
37,68,81,770,1,26,0,25.9,1011.4,38.37,228.68,46.56
37,69,81,769,2,26,0,25.9,1011.4,38.37,228.68,46.64
37,69,81,770,2,25,0,25.9,1011.39,38.38,228.21,46.64
37,68,80,769,2,26,0,25.9,1011.39,38.38,229.96,46.64
37,69,81,770,2,25,0,25.9,1011.39,38.38,229.8,46.64
37,69,80,770,1,25,0,25.9,1011.39,38.38,230.28,46.64
37,68,80,771,1,25,0,25.9,1011.39,38.37,229.8,46.56
37,68,81,770,2,26,0,25.9,1011.4,38.38,230.28,46.56
37,69,81,770,1,26,0,25.9,1011.4,38.37,229.8,46.64
37,69,81,770,1,25,0,25.9,1011.39,38.37,230.6,46.64
37,69,80,771,2,25,0,25.9,1011.39,38.37,230.28,46.47
37,68,80,771,1,25,0,25.9,1011.41,38.37,229.16,46.47
37,69,80,771,2,25,0,25.9,1011.41,38.37,231.57,46.47
36,69,80,771,1,25,0,25.9,1011.41,38.37,230.44,46.47
37,69,80,772,2,26,0,25.9,1011.41,38.38,231.24,46.47
37,69,80,772,2,27,0,25.91,1011.41,38.37,231.4,46.47
37,68,80,772,1,26,0,25.91,1011.41,38.37,231.24,46.39
37,68,80,772,2,25,0,25.91,1011.42,38.38,231.4,46.39
37,68,81,773,1,25,0,25.91,1011.42,38.38,231.24,46.47
37,69,81,772,2,25,0,25.91,1011.41,38.37,231.73,46.39
37,69,81,773,2,26,0,25.91,1011.42,38.38,231.89,46.39
37,69,80,773,2,26,0,25.91,1011.42,38.39,232.54,46.31
37,69,80,773,1,26,0,25.91,1011.43,38.39,231.4,46.39
36,69,81,773,2,26,0,25.91,1011.42,38.4,232.22,46.39
37,69,81,773,2,25,0,25.92,1011.42,38.41,231.89,46.47
37,69,81,773,2,26,0,25.92,1011.41,38.41,231.08,46.47
37,69,81,773,2,26,0,25.92,1011.41,38.41,232.38,46.47
36,68,80,774,2,25,0,25.92,1011.41,38.41,232.38,46.47
37,69,80,775,1,26,0,25.92,1011.41,38.39,232.87,46.47
37,70,81,774,1,26,0,25.92,1011.41,38.4,231.08,46.47
36,70,81,775,2,25,0,25.92,1011.41,38.43,233.04,46.47
36,69,81,776,2,25,0,25.92,1011.41,38.44,232.05,46.47
37,69,82,776,1,24,0,25.93,1011.41,38.43,231.24,46.56
36,70,81,776,1,26,0,25.93,1011.4,38.43,231.57,46.56
37,69,81,776,1,26,0,25.93,1011.4,38.46,234.19,46.47
37,69,81,776,1,25,0,25.93,1011.41,38.45,232.54,46.56
37,69,81,776,1,25,0,25.93,1011.4,38.46,231.57,46.47
36,70,82,776,2,25,0,25.93,1011.41,38.46,232.87,46.47
36,70,81,776,1,25,0,25.93,1011.41,38.47,231.24,46.39
37,69,81,776,2,26,0,25.93,1011.42,38.46,233.53,46.39
37,69,82,777,2,26,0,25.94,1011.42,38.46,231.89,46.39
37,70,82,777,1,26,0,25.94,1011.42,38.45,233.04,46.47
37,69,82,777,1,25,0,25.94,1011.41,38.47,233.53,46.39
36,69,81,777,2,26,0,25.94,1011.42,38.46,231.73,46.47
37,69,81,778,1,26,0,25.94,1011.41,38.47,233.69,46.47
37,69,81,778,1,25,0,25.94,1011.41,38.48,233.37,46.39
37,69,82,778,2,26,0,25.94,1011.42,38.49,232.38,46.39
37,69,82,778,1,26,0,25.94,1011.42,38.48,231.73,46.39
37,70,81,778,2,25,0,25.95,1011.42,38.48,231.08,46.31
37,69,82,777,1,26,0,25.95,1011.43,38.48,232.22,46.39
37,70,81,777,1,29,0,25.95,1011.42,38.49,233.86,46.39
37,69,82,778,2,25,0,25.95,1011.42,38.48,232.87,46.39
37,70,81,778,2,26,0,25.95,1011.42,38.46,231.57,46.31
36,70,82,778,1,25,0,25.95,1011.43,38.46,233.37,46.31
37,69,82,778,1,25,0,25.95,1011.43,38.45,231.89,46.22
37,70,81,777,2,26,0,25.95,1011.44,38.46,233.86,46.22
37,70,82,778,1,25,0,25.95,1011.44,38.46,234.52,46.22
37,70,81,778,2,25,0,25.95,1011.44,38.46,233.04,46.22
37,69,82,777,1,26,0,25.95,1011.44,38.46,232.71,46.22
36,69,81,778,2,26,0,25.95,1011.44,38.46,232.05,46.22
37,69,81,778,2,25,0,25.95,1011.44,38.45,233.86,46.22
37,69,82,778,1,25,0,25.96,1011.44,38.46,232.87,46.14
37,70,81,778,2,26,0,25.96,1011.45,38.45,233.04,46.14
37,69,81,777,2,26,0,25.96,1011.45,38.46,233.53,46.14
37,69,82,777,2,26,0,25.96,1011.45,38.45,233.04,46.14
37,69,81,778,1,27,0,25.96,1011.45,38.46,233.53,46.06
37,69,82,778,2,26,0,25.96,1011.46,38.44,233.53,46.14
37,70,81,778,1,25,0,25.96,1011.45,38.45,233.04,46.06
37,70,81,778,1,26,0,25.97,1011.46,38.44,234.19,46.22
37,69,82,778,2,25,0,25.97,1011.44,38.44,233.53,46.14
37,69,82,778,2,26,0,25.97,1011.45,38.44,233.2,46.14
37,70,81,777,1,26,0,25.97,1011.45,38.46,231.89,46.14
37,70,82,778,2,25,0,25.97,1011.45,38.47,233.69,46.14
37,70,82,777,2,26,0,25.97,1011.45,38.47,233.2,46.22
36,70,81,777,1,26,0,25.97,1011.44,38.47,234.19,46.22
37,70,82,777,1,29,0,25.97,1011.44,38.48,232.71,46.22
37,69,81,778,1,26,0,25.97,1011.44,38.47,234.36,46.31
37,69,81,778,2,26,0,25.97,1011.43,38.47,232.71,46.22
37,70,81,778,1,26,0,25.98,1011.44,38.48,232.87,46.14
36,69,81,778,2,26,0,25.98,1011.45,38.46,233.37,46.22
36,70,82,778,2,26,0,25.98,1011.44,38.46,232.22,46.22
36,70,81,777,1,25,0,25.98,1011.44,38.45,232.54,46.22
37,69,81,779,1,25,0,25.98,1011.44,38.46,231.73,46.31
37,70,81,778,2,25,0,25.98,1011.43,38.46,233.37,46.31
