NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
39,64,84,774,6,24,0,25.35,1018.29,26.09,367.08,-10.69
40,64,84,773,6,24,0,25.35,1018.29,26.08,366.67,-10.69
40,64,84,773,5,24,0,25.35,1018.29,26.09,370.37,-10.69
40,63,83,773,6,24,0,25.36,1018.29,26.09,372.04,-10.78
40,64,84,773,6,24,0,25.36,1018.3,26.09,371.2,-10.78
39,63,83,772,5,24,0,25.36,1018.3,26.08,373.72,-10.69
40,63,83,772,6,25,0,25.36,1018.29,26.09,372.88,-10.86
39,63,82,772,6,25,0,25.36,1018.31,26.09,376.7,-10.86
39,63,83,772,6,25,0,25.37,1018.31,26.09,374.99,-10.86
39,63,83,772,6,26,0,25.37,1018.31,26.09,380.64,-10.86
39,63,82,771,6,25,0,25.37,1018.31,26.09,381.5,-10.86
39,63,82,772,6,25,0,25.37,1018.31,26.09,379.13,-10.86
39,63,82,771,6,25,0,25.37,1018.31,26.09,381.94,-10.78
39,63,82,771,6,25,0,25.37,1018.3,26.1,380.85,-10.86
39,63,82,771,6,24,0,25.37,1018.31,26.1,382.59,-10.86
39,63,81,770,6,25,0,25.37,1018.31,26.12,383.24,-10.94
39,63,81,770,6,24,0,25.37,1018.32,26.12,385.89,-10.94
38,63,81,771,6,24,0,25.37,1018.32,26.13,385.89,-10.94
38,63,81,771,6,24,0,25.37,1018.32,26.14,385.44,-10.94
39,63,80,770,6,25,0,25.38,1018.32,26.16,385.66,-10.86
38,63,80,770,6,25,0,25.38,1018.31,26.17,387.22,-10.86
38,63,80,770,6,24,0,25.38,1018.31,26.16,391.05,-10.86
38,63,80,771,6,25,0,25.38,1018.31,26.17,389.01,-10.86
38,63,80,771,6,25,0,25.38,1018.31,26.17,391.96,-10.78
38,62,80,772,6,25,0,25.38,1018.3,26.16,392.88,-10.86
38,63,80,772,6,25,0,25.38,1018.31,26.18,394.96,-10.86
38,63,80,773,6,25,0,25.38,1018.31,26.18,391.28,-10.86
38,63,79,773,6,25,0,25.38,1018.31,26.19,394.96,-10.86
37,63,80,773,6,25,0,25.38,1018.31,26.22,394.73,-10.94
38,63,80,773,6,25,0,25.38,1018.32,26.22,394.96,-11.03
38,63,79,773,6,25,0,25.38,1018.33,26.24,396.83,-10.94
38,63,80,773,6,25,0,25.39,1018.32,26.25,393.8,-11.03
38,63,80,773,6,24,0,25.39,1018.33,26.26,394.96,-11.03
38,63,79,773,6,23,0,25.39,1018.33,26.25,399.66,-10.94
38,64,79,773,6,25,0,25.39,1018.32,26.25,397.77,-10.94
37,63,79,774,6,25,0,25.39,1018.32,26.25,398.47,-11.03
37,64,79,773,6,25,0,25.39,1018.33,26.26,399.9,-10.94
37,64,79,774,6,23,0,25.39,1018.32,26.25,400.13,-10.94
38,64,79,774,6,24,0,25.39,1018.32,26.24,403.02,-10.94
38,63,79,774,6,25,0,25.39,1018.32,26.23,403.74,-10.94
38,64,79,774,6,24,0,25.39,1018.32,26.21,403.74,-10.86
37,63,79,773,6,25,0,25.39,1018.31,26.24,403.02,-10.94
37,64,79,774,6,24,0,25.39,1018.32,26.25,404.23,-10.94
38,64,78,773,6,25,0,25.39,1018.32,26.24,407.42,-10.86
37,64,79,773,6,26,0,25.39,1018.31,26.25,408.16,-10.86
38,63,79,774,6,25,0,25.4,1018.31,26.24,406.92,-10.86
37,63,78,774,6,25,0,25.4,1018.31,26.24,406.43,-10.86
37,64,78,774,6,24,0,25.4,1018.31,26.23,407.42,-10.86
37,64,79,775,6,25,0,25.4,1018.31,26.25,408.41,-10.78
37,64,78,775,7,25,0,25.4,1018.3,26.25,407.91,-10.86
37,63,79,775,6,24,0,25.4,1018.31,26.25,409.15,-10.94
37,64,79,775,6,25,0,25.4,1018.32,26.26,408.9,-10.86
37,64,79,776,6,24,0,25.4,1018.31,26.26,408.9,-10.78
37,64,79,776,6,24,0,25.4,1018.3,26.25,410.9,-10.78
37,64,79,777,6,25,0,25.4,1018.3,26.28,411.91,-10.86
37,64,79,777,6,24,0,25.4,1018.31,26.27,411.66,-10.86
37,64,79,777,6,24,0,25.4,1018.31,26.27,409.9,-10.86
37,63,78,778,6,25,0,25.4,1018.31,26.27,412.92,-10.86
37,64,79,778,6,25,0,25.4,1018.31,26.26,411.41,-10.86
37,64,79,777,6,25,0,25.41,1018.31,26.26,415.22,-10.86
37,64,79,777,6,24,0,25.41,1018.31,26.27,413.94,-10.86
37,64,79,777,6,23,0,25.41,1018.31,26.28,414.45,-10.86
37,64,78,777,6,24,0,25.41,1018.31,26.28,415.48,-10.86
37,64,78,777,6,26,0,25.41,1018.31,26.28,413.69,-10.78
37,64,79,777,6,24,0,25.41,1018.3,26.28,414.96,-10.86
38,64,79,777,6,24,0,25.41,1018.31,26.27,415.22,-10.86
37,64,78,777,5,24,0,25.41,1018.31,26.25,416.25,-10.86
37,64,78,777,6,24,0,25.41,1018.31,26.26,419.11,-10.78
37,64,78,777,6,24,0,25.41,1018.3,26.24,417.8,-10.78
37,64,78,776,6,24,0,25.41,1018.3,26.24,418.85,-10.78
37,64,79,777,6,24,0,25.41,1018.3,26.24,415.99,-10.69
37,64,79,778,6,24,0,25.41,1018.29,26.25,417.02,-10.78
37,64,79,778,6,24,0,25.41,1018.3,26.25,418.06,-10.78
37,65,79,779,6,26,0,25.41,1018.3,26.25,416.25,-10.78
37,65,79,779,6,25,0,25.42,1018.3,26.26,418.85,-10.78
37,65,79,779,6,25,0,25.42,1018.3,26.27,419.63,-10.86
37,64,79,780,6,23,0,25.42,1018.31,26.25,420.68,-10.78
38,65,79,780,6,24,0,25.42,1018.3,26.25,419.89,-10.78
38,64,80,780,6,24,0,25.42,1018.3,26.24,420.15,-10.78
38,64,80,781,6,24,0,25.42,1018.3,26.24,418.58,-10.69
38,64,80,782,6,24,0,25.42,1018.29,26.25,422.27,-10.69
37,65,80,782,6,24,0,25.42,1018.29,26.26,419.63,-10.61
37,64,80,781,6,24,0,25.42,1018.28,26.28,423.06,-10.61
37,65,80,782,6,24,0,25.42,1018.28,26.26,421.47,-10.53
37,64,80,782,8,24,0,25.42,1018.27,26.29,422.0,-10.53
38,64,80,782,6,25,0,25.42,1018.27,26.29,419.11,-10.61
37,65,81,782,6,24,0,25.43,1018.28,26.3,422.27,-10.53
37,65,80,782,6,24,0,25.43,1018.27,26.29,423.06,-10.53
37,65,81,783,6,24,0,25.43,1018.27,26.31,423.33,-10.53
38,65,80,784,6,24,0,25.43,1018.27,26.32,421.47,-10.53
38,65,81,784,6,25,0,25.43,1018.27,26.33,424.4,-10.45
38,65,81,784,6,24,0,25.43,1018.26,26.35,421.47,-10.45
38,65,81,784,6,24,0,25.43,1018.26,26.36,421.74,-10.45
38,66,81,785,6,24,0,25.43,1018.26,26.38,423.06,-10.45
38,65,81,784,6,24,0,25.43,1018.26,26.39,421.47,-10.45
38,65,81,785,5,24,0,25.43,1018.26,26.39,425.48,-10.36
38,65,81,785,6,24,0,25.43,1018.25,26.4,424.67,-10.36
38,65,81,784,6,24,0,25.43,1018.25,26.42,423.6,-10.36
38,65,81,784,6,23,0,25.44,1018.25,26.42,423.6,-10.36
38,65,81,783,6,24,0,25.44,1018.25,26.43,424.4,-10.36
38,65,81,784,6,23,0,25.44,1018.25,26.44,423.87,-10.28
38,65,81,784,6,28,0,25.44,1018.24,26.44,420.68,-10.36
38,65,81,784,6,25,0,25.44,1018.25,26.46,422.8,-10.36
38,65,81,784,6,24,0,25.44,1018.25,26.47,420.15,-10.36
38,65,81,784,6,25,0,25.44,1018.25,26.49,422.8,-10.36
38,66,81,784,6,25,0,25.44,1018.25,26.5,422.8,-10.36
39,66,81,785,6,25,0,25.44,1018.25,26.5,424.94,-10.28
39,66,81,785,6,24,0,25.44,1018.24,26.5,422.0,-10.28
39,66,82,785,6,25,0,25.44,1018.24,26.52,421.74,-10.28
38,66,82,785,6,25,0,25.44,1018.24,26.52,424.94,-10.28
39,65,82,786,6,23,0,25.44,1018.24,26.53,423.33,-10.28
39,66,82,786,6,23,0,25.44,1018.24,26.56,420.94,-10.28
38,65,82,786,6,25,0,25.44,1018.24,26.56,422.0,-10.28
39,66,82,787,6,23,0,25.44,1018.24,26.57,423.33,-10.28
39,66,83,788,6,25,0,25.44,1018.24,26.58,419.37,-10.36
39,66,83,788,6,25,0,25.44,1018.25,26.61,421.21,-10.36
39,66,83,788,7,24,0,25.44,1018.25,26.61,421.74,-10.28
39,66,83,789,6,25,0,25.44,1018.24,26.6,418.58,-10.36
39,66,83,788,6,24,0,25.44,1018.25,26.63,421.47,-10.28
39,67,83,788,6,24,0,25.44,1018.24,26.64,422.27,-10.28
39,66,83,788,6,24,0,25.44,1018.24,26.65,423.33,-10.2
39,67,83,788,6,25,0,25.44,1018.23,26.67,419.63,-10.2
39,67,83,789,6,24,0,25.44,1018.23,26.69,418.58,-10.2
39,66,83,789,6,24,0,25.44,1018.23,26.69,421.74,-10.28
39,66,83,789,6,22,0,25.44,1018.24,26.7,419.37,-10.28
39,66,83,788,6,25,0,25.45,1018.24,26.71,417.54,-10.28
39,66,83,787,8,25,0,25.45,1018.24,26.71,420.15,-10.2
39,67,83,788,6,25,0,25.45,1018.23,26.7,420.94,-10.28
39,66,83,788,6,24,0,25.45,1018.24,26.69,419.89,-10.28
39,66,83,788,9,24,0,25.45,1018.24,26.67,420.68,-10.28
39,67,83,788,6,24,0,25.45,1018.24,26.67,419.89,-10.28
39,67,84,789,6,24,0,25.45,1018.24,26.68,417.28,-10.36
40,67,84,789,6,24,0,25.45,1018.25,26.67,420.42,-10.36
40,67,84,790,6,24,0,25.45,1018.25,26.68,417.8,-10.28
39,67,85,791,6,27,0,25.45,1018.24,26.68,417.8,-10.28
39,67,85,791,6,25,0,25.46,1018.24,26.69,415.22,-10.28
39,67,85,792,6,24,0,25.46,1018.24,26.71,415.22,-10.28
39,67,85,792,8,24,0,25.46,1018.24,26.71,416.51,-10.28
39,66,86,792,6,25,0,25.46,1018.24,26.72,418.58,-10.28
39,67,86,792,8,25,0,25.46,1018.24,26.73,418.58,-10.28
40,67,86,793,6,25,0,25.46,1018.24,26.75,418.32,-10.28
39,67,86,794,6,25,0,25.46,1018.24,26.77,415.99,-10.36
40,67,86,793,6,25,0,25.46,1018.25,26.79,417.02,-10.36
40,67,87,794,6,26,0,25.46,1018.25,26.8,415.74,-10.36
40,68,87,794,6,25,0,25.46,1018.25,26.84,415.48,-10.28
40,67,87,795,6,25,0,25.46,1018.24,26.84,414.2,-10.28
