NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
48,83,122,788,7,24,0,25.51,1018.29,25.71,305.37,-10.78
48,84,122,788,8,24,0,25.51,1018.3,25.7,305.37,-10.78
48,83,122,788,7,23,0,25.51,1018.3,25.71,307.35,-10.78
48,83,121,788,7,24,0,25.51,1018.3,25.72,307.35,-10.78
47,83,121,788,7,24,0,25.51,1018.3,25.72,308.21,-10.69
48,83,120,788,7,25,0,25.51,1018.29,25.72,311.11,-10.69
47,83,120,787,7,24,0,25.51,1018.29,25.74,309.66,-10.69
47,83,120,787,7,24,0,25.51,1018.29,25.75,311.7,-10.78
47,83,120,786,7,24,0,25.51,1018.3,25.75,314.07,-10.78
46,83,120,787,7,24,0,25.52,1018.3,25.76,314.97,-10.78
47,82,119,787,7,25,0,25.52,1018.3,25.77,316.47,-10.78
46,82,118,786,7,25,0,25.52,1018.3,25.78,316.78,-10.78
46,83,119,786,7,24,0,25.52,1018.3,25.78,317.08,-10.69
46,83,118,786,7,24,0,25.52,1018.29,25.78,318.92,-10.69
46,82,117,786,7,24,0,25.52,1018.29,25.78,320.46,-10.69
46,83,118,786,7,25,0,25.52,1018.29,25.78,320.46,-10.69
46,83,117,786,7,24,0,25.52,1018.29,25.79,321.71,-10.69
46,83,117,787,7,24,0,25.52,1018.29,25.79,322.34,-10.69
46,83,117,786,7,25,0,25.52,1018.29,25.79,323.6,-10.69
45,83,117,786,7,26,0,25.52,1018.29,25.8,324.87,-10.69
45,82,116,787,7,24,0,25.52,1018.29,25.8,326.8,-10.69
45,82,116,787,6,25,0,25.52,1018.29,25.81,323.6,-10.69
45,82,116,788,7,25,0,25.52,1018.29,25.82,326.48,-10.69
45,83,116,788,7,25,0,25.52,1018.29,25.82,328.1,-10.61
45,82,116,788,7,25,0,25.53,1018.28,25.82,327.77,-10.69
45,82,116,789,7,24,0,25.53,1018.29,25.83,328.42,-10.69
45,82,115,788,7,25,0,25.53,1018.29,25.82,327.77,-10.69
45,83,115,789,7,25,0,25.53,1018.29,25.82,329.08,-10.69
45,82,115,789,7,24,0,25.53,1018.29,25.84,331.05,-10.69
44,82,115,788,7,25,0,25.53,1018.29,25.85,330.06,-10.69
45,82,115,788,7,24,0,25.53,1018.29,25.84,330.39,-10.69
45,82,115,789,7,25,0,25.53,1018.29,25.85,333.05,-10.61
44,82,114,789,7,24,0,25.53,1018.28,25.86,333.39,-10.69
44,82,114,789,7,24,0,25.53,1018.29,25.85,331.72,-10.69
44,82,114,789,8,25,0,25.53,1018.29,25.84,334.4,-10.69
44,82,114,789,7,25,0,25.53,1018.29,25.83,334.74,-10.69
44,82,114,789,7,23,0,25.53,1018.29,25.84,335.76,-10.69
44,82,114,790,7,25,0,25.53,1018.29,25.84,336.44,-10.78
44,82,114,789,7,24,0,25.53,1018.3,25.84,336.79,-10.78
44,82,114,790,7,25,0,25.54,1018.3,25.84,339.21,-10.78
44,82,114,790,7,24,0,25.54,1018.3,25.84,338.86,-10.86
44,82,114,790,7,26,0,25.54,1018.31,25.84,339.55,-10.78
44,83,113,790,7,24,0,25.54,1018.3,25.83,340.25,-10.86
44,82,113,790,7,25,0,25.54,1018.31,25.83,340.25,-10.86
44,82,113,789,7,24,0,25.54,1018.31,25.83,339.55,-10.78
44,82,113,790,7,25,0,25.54,1018.3,25.84,340.95,-10.69
44,82,113,791,7,24,0,25.54,1018.29,25.84,341.31,-10.69
43,82,113,791,7,24,0,25.54,1018.29,25.82,341.31,-10.78
44,82,113,792,6,25,0,25.54,1018.3,25.83,340.25,-10.78
44,82,113,791,8,24,0,25.54,1018.3,25.83,342.01,-10.78
44,83,113,792,7,24,0,25.54,1018.3,25.83,342.37,-10.61
44,82,113,791,7,24,0,25.54,1018.28,25.83,342.72,-10.69
44,82,113,792,7,24,0,25.54,1018.29,25.83,343.43,-10.69
44,82,113,792,7,24,0,25.54,1018.29,25.85,343.08,-10.69
44,82,113,792,7,25,0,25.54,1018.29,25.87,341.66,-10.61
44,83,113,792,7,25,0,25.54,1018.28,25.88,345.23,-10.69
44,83,113,792,7,25,0,25.54,1018.29,25.88,345.95,-10.69
44,83,113,793,10,25,0,25.54,1018.29,25.88,341.66,-10.61
44,83,113,793,7,26,0,25.54,1018.28,25.89,344.51,-10.69
44,83,113,793,7,25,0,25.54,1018.29,25.89,344.51,-10.78
44,83,113,793,7,24,0,25.54,1018.3,25.9,346.68,-10.69
44,83,113,793,7,25,0,25.54,1018.29,25.92,346.31,-10.78
43,83,113,793,6,24,0,25.54,1018.3,25.95,347.04,-10.78
44,83,113,794,8,25,0,25.54,1018.3,25.95,347.77,-10.78
44,83,113,794,8,24,0,25.54,1018.3,25.96,345.95,-10.78
44,83,114,794,7,25,0,25.54,1018.3,25.96,348.14,-10.78
44,83,114,794,7,25,0,25.54,1018.3,25.96,345.95,-10.86
44,83,113,794,7,25,0,25.54,1018.31,25.96,347.77,-10.86
44,83,113,794,7,25,0,25.54,1018.31,25.96,344.87,-10.86
44,83,113,794,7,24,0,25.54,1018.31,25.97,349.61,-10.78
43,83,113,794,7,24,0,25.54,1018.3,25.96,347.4,-10.86
44,83,113,793,7,24,0,25.54,1018.31,25.93,348.5,-10.86
43,83,112,794,7,24,0,25.54,1018.31,25.92,346.68,-10.86
43,83,113,794,8,24,0,25.54,1018.31,25.92,348.87,-10.78
44,83,113,794,7,24,0,25.54,1018.3,25.91,347.4,-10.78
44,83,112,794,7,25,0,25.54,1018.3,25.92,348.87,-10.86
44,83,113,795,7,25,0,25.54,1018.31,25.92,347.77,-10.78
44,83,113,796,7,23,0,25.54,1018.3,25.94,348.5,-10.78
44,83,113,796,8,25,0,25.54,1018.3,25.94,348.14,-10.78
44,83,113,796,7,25,0,25.54,1018.3,25.92,349.61,-10.86
44,83,113,796,7,24,0,25.54,1018.31,25.94,348.14,-10.86
44,83,113,796,7,24,0,25.54,1018.31,25.96,346.31,-10.78
44,83,113,796,7,24,0,25.54,1018.3,25.97,348.14,-10.78
44,83,113,796,8,24,0,25.54,1018.3,25.98,347.4,-10.78
43,83,113,796,7,24,0,25.54,1018.3,25.99,350.72,-10.69
44,83,113,795,7,23,0,25.54,1018.29,25.99,348.5,-10.69
44,83,113,796,7,25,0,25.54,1018.29,25.99,348.87,-10.78
44,83,113,796,7,24,0,25.54,1018.3,26.02,346.31,-10.78
44,83,113,797,7,24,0,25.54,1018.3,26.03,349.61,-10.78
44,83,113,796,7,24,0,25.54,1018.3,26.05,348.87,-10.69
44,83,113,796,7,26,0,25.54,1018.29,26.07,350.72,-10.78
44,83,114,796,7,24,0,25.54,1018.3,26.07,347.77,-10.78
44,84,114,797,7,24,0,25.54,1018.3,26.1,347.4,-10.78
44,83,114,797,8,23,0,25.54,1018.3,26.12,348.87,-10.78
44,84,114,798,7,24,0,25.54,1018.3,26.12,349.61,-10.78
44,83,114,798,7,24,0,25.54,1018.3,26.15,348.87,-10.78
45,83,114,797,7,24,0,25.54,1018.3,26.15,349.61,-10.78
44,83,114,798,6,24,0,25.54,1018.3,26.17,350.35,-10.78
45,84,114,798,7,24,0,25.54,1018.3,26.17,348.5,-10.78
45,84,114,798,8,24,0,25.54,1018.3,26.16,347.77,-10.69
44,84,115,798,9,24,0,25.54,1018.29,26.17,348.14,-10.69
45,83,115,799,7,24,0,25.54,1018.29,26.17,349.61,-10.69
45,84,115,799,7,23,0,25.54,1018.29,26.17,347.4,-10.69
45,83,115,800,7,24,0,25.54,1018.29,26.14,347.77,-10.69
44,84,114,799,9,24,0,25.54,1018.29,26.14,345.95,-10.69
45,84,115,799,7,24,0,25.54,1018.29,26.16,346.31,-10.69
45,83,115,799,7,24,0,25.54,1018.29,26.14,348.14,-10.78
45,83,115,799,7,24,0,25.54,1018.3,26.16,347.4,-10.78
45,84,115,799,7,23,0,25.54,1018.3,26.17,346.68,-10.78
45,84,115,799,8,24,0,25.54,1018.3,26.16,344.51,-10.69
45,83,114,799,7,24,0,25.54,1018.29,26.16,347.4,-10.69
45,84,115,800,7,24,0,25.54,1018.29,26.18,347.4,-10.69
45,84,115,800,7,24,0,25.54,1018.29,26.17,345.59,-10.69
45,84,116,800,7,24,0,25.54,1018.29,26.18,346.31,-10.69
45,84,116,801,7,25,0,25.55,1018.29,26.17,345.95,-10.69
45,84,116,800,7,24,0,25.55,1018.29,26.19,346.68,-10.61
45,84,116,801,6,25,0,25.55,1018.28,26.19,345.95,-10.61
46,84,116,801,7,25,0,25.55,1018.28,26.2,345.95,-10.53
45,84,116,801,7,24,0,25.55,1018.27,26.22,344.15,-10.53
46,84,116,801,8,25,0,25.55,1018.27,26.25,345.23,-10.61
45,84,116,800,7,24,0,25.55,1018.28,26.24,344.51,-10.61
45,84,116,801,8,25,0,25.55,1018.28,26.24,345.59,-10.61
46,84,116,801,7,24,0,25.55,1018.28,26.24,344.87,-10.69
46,84,116,801,9,25,0,25.55,1018.29,26.23,344.51,-10.78
46,84,117,801,9,25,0,25.55,1018.3,26.24,345.23,-10.69
46,84,117,802,7,25,0,25.55,1018.29,26.26,344.15,-10.78
46,84,117,801,7,24,0,25.55,1018.3,26.28,344.51,-10.69
46,84,117,801,7,24,0,25.55,1018.29,26.31,344.51,-10.69
46,84,116,802,6,25,0,25.55,1018.29,26.33,344.51,-10.61
46,84,117,802,7,24,0,25.56,1018.28,26.36,342.37,-10.61
46,84,117,802,7,25,0,25.56,1018.28,26.39,343.79,-10.69
46,84,117,802,7,25,0,25.56,1018.29,26.41,341.66,-10.69
46,84,117,802,7,24,0,25.56,1018.29,26.43,341.31,-10.69
46,84,117,802,8,25,0,25.56,1018.29,26.46,343.43,-10.69
46,84,117,803,7,25,0,25.56,1018.29,26.47,344.51,-10.69
46,85,118,803,7,25,0,25.56,1018.29,26.49,343.79,-10.78
46,84,117,802,7,25,0,25.56,1018.3,26.47,342.37,-10.86
47,85,117,802,7,25,0,25.56,1018.31,26.47,341.31,-10.86
46,85,117,802,7,25,0,25.56,1018.31,26.45,341.31,-10.86
47,84,116,802,7,24,0,25.56,1018.31,26.45,340.25,-10.78
47,85,117,802,7,24,0,25.56,1018.3,26.45,342.37,-10.78
46,84,117,802,7,25,0,25.56,1018.3,26.45,339.9,-10.78
47,84,117,802,7,25,0,25.56,1018.3,26.46,342.37,-10.78
47,84,118,803,7,25,0,25.56,1018.3,26.46,342.37,-10.69
46,85,118,803,7,26,0,25.56,1018.29,26.45,340.95,-10.78
46,85,118,803,7,24,0,25.56,1018.3,26.44,339.9,-10.78
47,85,118,804,7,25,0,25.56,1018.3,26.45,339.9,-10.78
47,85,118,804,7,25,0,25.56,1018.3,26.46,338.86,-10.86
47,85,118,803,7,25,0,25.56,1018.31,26.48,338.17,-10.86
47,85,118,804,7,25,0,25.56,1018.31,26.5,340.25,-10.86
48,85,119,803,7,25,0,25.56,1018.31,26.51,338.51,-10.86
46,85,119,804,7,25,0,25.56,1018.31,26.51,337.47,-10.86
47,85,118,803,7,24,0,25.56,1018.31,26.52,336.1,-10.78
47,85,118,804,7,25,0,25.56,1018.3,26.53,334.74,-10.78
47,85,119,804,7,24,0,25.56,1018.3,26.55,339.55,-10.78
48,85,118,804,7,24,0,25.56,1018.3,26.55,336.1,-10.78
48,85,119,805,7,26,0,25.56,1018.3,26.58,336.79,-10.78
48,85,119,805,7,25,0,25.56,1018.3,26.58,336.79,-10.78
47,85,119,804,7,25,0,25.56,1018.3,26.59,333.73,-10.78
46,85,120,805,7,24,0,25.56,1018.3,26.61,333.73,-10.69
48,85,120,805,7,25,0,25.5,1018.29,26.68,319.84,-10.69
48,85,120,806,7,24,0,25.5,1018.29,26.72,323.6,-10.78
48,86,120,806,7,25,0,25.5,1018.3,26.73,325.83,-10.78
48,85,120,806,7,25,0,25.51,1018.3,26.71,326.8,-10.69
48,86,120,806,7,25,0,25.52,1018.29,26.7,324.23,-10.78
48,86,120,806,7,25,0,25.52,1018.3,26.69,325.51,-10.69
48,86,121,806,7,25,0,25.53,1018.29,26.68,324.23,-10.78
48,86,120,806,7,25,0,25.54,1018.3,26.68,326.15,-10.78
48,86,121,806,7,25,0,25.54,1018.3,26.66,323.6,-10.78
48,86,121,806,7,25,0,25.55,1018.3,26.66,326.48,-10.78
48,86,121,806,7,25,0,25.55,1018.3,26.68,326.8,-10.78
48,86,121,807,7,25,0,25.55,1018.3,26.69,324.23,-10.86
49,85,121,807,7,25,0,25.56,1018.31,26.72,326.15,-10.86
49,86,121,807,7,25,0,25.56,1018.31,26.74,325.19,-10.78
49,86,121,807,7,24,0,25.56,1018.3,26.71,324.23,-10.69
49,86,122,807,7,26,0,25.56,1018.29,26.7,323.92,-10.78
49,86,122,807,7,26,0,25.56,1018.3,26.71,322.97,-10.78
49,86,122,808,7,25,0,25.56,1018.3,26.72,323.6,-10.78
49,86,123,807,7,25,0,25.57,1018.3,26.72,322.97,-10.78
49,86,123,808,8,25,0,25.57,1018.3,26.74,323.92,-10.78
49,87,123,809,7,25,0,25.57,1018.3,26.73,323.6,-10.86
