NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
120,197,285,788,1,18,4294967295,25.71,1020.6,37.72,114.45,-29.82
121,197,285,788,1,19,4294967295,25.71,1020.6,37.75,114.14,-29.82
120,197,284,788,1,19,4294967295,25.71,1020.6,37.79,114.29,-29.9
119,196,283,787,1,19,4294967295,25.71,1020.61,37.82,114.84,-29.9
119,197,283,787,1,19,4294967295,25.71,1020.61,37.85,114.53,-29.9
119,196,282,788,1,19,4294967295,25.71,1020.61,37.9,114.92,-29.9
117,196,281,787,1,18,4294967295,25.71,1020.61,37.91,114.06,-29.9
118,196,281,787,1,19,4294967295,25.71,1020.61,37.94,115.0,-29.9
118,195,280,787,1,19,4294967295,25.72,1020.61,37.97,114.29,-29.9
117,195,279,787,1,19,4294967295,25.72,1020.61,37.99,114.68,-29.9
117,195,278,787,1,19,4294967295,25.72,1020.61,37.99,114.68,-29.9
116,194,278,787,1,19,4294967295,25.72,1020.61,38.01,114.06,-29.9
115,195,278,787,1,20,4294967295,25.72,1020.61,38.04,114.68,-29.9
115,195,277,787,1,19,4294967295,25.73,1020.61,38.02,114.37,-29.9
115,194,277,787,1,19,4294967295,25.73,1020.61,38.03,115.39,-29.82
115,194,275,787,1,19,4294967295,25.73,1020.6,38.02,115.07,-29.82
114,193,275,787,1,19,4294967295,25.73,1020.6,38.03,115.0,-29.82
114,193,274,786,1,18,4294967295,25.73,1020.6,38.02,114.76,-29.82
114,193,274,787,1,19,4294967295,25.74,1020.6,38.02,114.14,-29.82
113,193,274,787,1,18,4294967295,25.74,1020.6,38.03,115.07,-29.82
112,193,273,787,1,19,4294967295,25.74,1020.6,38.02,114.21,-29.82
113,193,273,787,1,18,4294967295,25.74,1020.6,38.02,114.29,-29.82
112,193,272,787,1,19,4294967295,25.74,1020.6,38.01,114.29,-29.82
111,192,271,787,1,19,4294967295,25.75,1020.6,38.02,114.84,-29.82
112,191,271,787,1,19,4294967295,25.68,1020.6,38.12,107.56,-29.82
111,192,270,787,1,19,4294967295,25.68,1020.6,38.18,108.26,-29.82
111,191,270,787,1,19,4294967295,25.68,1020.6,38.21,109.17,-29.82
111,191,269,787,1,19,4294967295,25.69,1020.6,38.21,109.46,-29.74
111,190,270,787,1,19,4294967295,25.71,1020.59,38.2,109.6,-29.74
111,191,269,787,1,19,4294967295,25.72,1020.59,38.19,110.03,-29.74
110,190,268,787,1,19,4294967295,25.72,1020.59,38.17,110.68,-29.74
110,190,267,787,1,18,4294967295,25.73,1020.59,38.17,110.83,-29.82
110,190,267,786,1,19,4294967295,25.74,1020.6,38.15,110.9,-29.74
110,190,267,787,1,19,4294967295,25.75,1020.59,38.13,111.19,-29.82
109,190,267,787,1,18,4294967295,25.76,1020.6,38.09,111.27,-29.82
109,190,266,786,1,18,4294967295,25.76,1020.6,38.09,111.64,-29.9
109,190,266,786,1,19,4294967295,25.77,1020.61,38.06,111.86,-29.9
109,189,266,787,1,19,4294967295,25.77,1020.61,38.05,111.71,-29.9
109,189,265,787,1,19,4294967295,25.78,1020.61,38.03,112.38,-29.9
109,189,265,787,1,18,4294967295,25.78,1020.61,38.01,112.46,-29.82
109,188,264,787,1,19,4294967295,25.78,1020.6,38.0,112.31,-29.9
108,189,264,786,1,19,4294967295,25.79,1020.61,37.99,112.83,-29.82
109,188,264,786,1,19,4294967295,25.79,1020.6,37.98,112.76,-29.82
109,189,264,787,1,19,4294967295,25.79,1020.6,37.98,112.46,-29.9
109,188,263,786,1,19,4294967295,25.79,1020.61,37.96,112.61,-29.9
109,188,264,787,1,19,4294967295,25.8,1020.61,37.96,113.06,-29.9
109,188,263,786,1,18,4294967295,25.8,1020.61,37.95,113.21,-29.9
108,188,263,786,1,19,4294967295,25.8,1020.61,37.95,113.29,-29.9
109,188,262,786,1,18,4294967295,25.8,1020.61,37.94,113.14,-29.82
108,188,262,786,1,17,4294967295,25.8,1020.6,37.94,113.14,-29.82
108,187,262,787,1,18,4294967295,25.81,1020.6,37.92,113.29,-29.74
108,187,262,787,0,18,4294967295,25.81,1020.59,37.92,113.44,-29.82
108,187,262,786,1,19,4294967295,25.81,1020.6,37.91,113.52,-29.82
108,187,262,786,1,18,4294967295,25.81,1020.6,37.9,113.98,-29.82
108,187,261,786,1,18,4294967295,25.82,1020.6,37.88,113.83,-29.82
107,187,261,786,1,19,4294967295,25.82,1020.6,37.88,113.6,-29.82
108,186,261,786,1,19,4294967295,25.82,1020.6,37.87,113.67,-29.82
107,187,260,786,1,19,4294967295,25.82,1020.6,37.87,113.52,-29.82
108,187,261,786,1,19,4294967295,25.82,1020.6,37.85,113.9,-29.82
107,186,260,787,1,17,4294967295,25.83,1020.6,37.85,113.21,-29.82
107,186,260,787,1,19,4294967295,25.83,1020.6,37.84,113.9,-29.82
108,186,260,786,1,18,4294967295,25.83,1020.6,37.85,113.37,-29.82
107,186,260,786,1,20,4294967295,25.83,1020.6,37.85,113.44,-29.82
107,186,260,786,1,18,4294967295,25.83,1020.6,37.86,114.45,-29.9
108,186,259,786,1,19,4294967295,25.83,1020.61,37.86,113.98,-29.82
107,185,259,786,1,19,4294967295,25.84,1020.6,37.85,113.83,-29.82
108,185,259,787,1,18,4294967295,25.84,1020.6,37.83,114.14,-29.82
108,186,259,787,1,18,4294967295,25.84,1020.6,37.82,114.06,-29.82
108,185,259,787,1,18,4294967295,25.84,1020.6,37.81,113.98,-29.82
108,186,259,787,1,19,4294967295,25.84,1020.6,37.82,114.21,-29.74
108,186,259,786,1,18,4294967295,25.84,1020.59,37.82,114.29,-29.65
108,185,258,786,1,18,4294967295,25.85,1020.58,37.82,114.06,-29.65
108,185,258,786,1,19,4294967295,25.85,1020.58,37.83,113.52,-29.65
107,185,258,786,1,19,4294967295,25.85,1020.58,37.83,114.29,-29.65
107,185,258,786,1,17,4294967295,25.85,1020.58,37.82,113.98,-29.65
108,184,257,786,1,19,4294967295,25.85,1020.58,37.81,114.45,-29.74
108,185,258,786,1,19,4294967295,25.85,1020.59,37.84,114.29,-29.65
108,185,257,786,1,19,4294967295,25.85,1020.58,37.83,114.06,-29.74
108,185,257,786,1,18,4294967295,25.85,1020.59,37.82,115.0,-29.74
108,184,258,786,1,19,4294967295,25.86,1020.59,37.8,114.06,-29.74
109,184,257,786,1,19,4294967295,25.86,1020.59,37.81,114.21,-29.74
108,184,258,786,1,19,4294967295,25.86,1020.59,37.81,114.29,-29.65
109,184,258,786,1,19,4294967295,25.86,1020.58,37.81,113.83,-29.74
108,184,257,786,1,19,4294967295,25.86,1020.59,37.81,113.67,-29.74
109,184,257,786,1,19,4294967295,25.86,1020.59,37.8,114.37,-29.74
109,184,256,786,1,21,4294967295,25.86,1020.59,37.8,114.14,-29.82
108,184,256,786,1,18,4294967295,25.86,1020.6,37.79,114.06,-29.9
109,184,257,786,1,19,4294967295,25.87,1020.61,37.76,114.29,-29.9
109,184,257,786,1,19,4294967295,25.87,1020.61,37.75,114.29,-29.9
109,183,256,787,1,19,4294967295,25.87,1020.61,37.76,114.45,-29.9
109,184,257,787,1,18,4294967295,25.87,1020.61,37.74,114.14,-29.9
109,184,256,786,1,18,4294967295,25.87,1020.61,37.73,114.45,-29.82
108,183,256,785,1,19,4294967295,25.87,1020.6,37.73,113.98,-29.82
109,184,257,786,1,18,4294967295,25.88,1020.6,37.74,114.14,-29.9
109,183,256,785,1,18,4294967295,25.88,1020.61,37.73,114.53,-29.9
109,184,256,786,1,19,4294967295,25.88,1020.61,37.73,114.29,-29.9
109,183,256,786,1,17,4294967295,25.88,1020.61,37.73,113.75,-29.9
109,183,255,786,1,18,4294967295,25.88,1020.61,37.73,113.37,-29.9
109,183,256,786,1,18,4294967295,25.89,1020.61,37.75,114.37,-29.9
110,183,256,786,1,18,4294967295,25.89,1020.61,37.73,113.6,-29.82
110,183,256,786,1,19,4294967295,25.89,1020.6,37.73,114.14,-29.82
109,183,256,786,1,19,4294967295,25.89,1020.6,37.72,113.83,-29.82
110,183,255,786,1,18,4294967295,25.89,1020.6,37.69,114.21,-29.82
109,183,255,786,1,19,4294967295,25.89,1020.6,37.69,114.14,-29.65
110,183,256,786,1,19,4294967295,25.89,1020.58,37.68,114.29,-29.74
110,183,256,786,0,18,4294967295,25.89,1020.59,37.68,114.76,-29.65
110,182,255,786,1,19,4294967295,25.89,1020.58,37.67,114.29,-29.74
110,183,255,785,1,19,4294967295,25.9,1020.59,37.67,114.45,-29.82
110,182,255,786,1,19,4294967295,25.9,1020.6,37.66,113.75,-29.82
110,182,255,786,1,18,4294967295,25.9,1020.6,37.65,114.21,-29.82
111,182,256,786,1,19,4294967295,25.9,1020.6,37.67,114.29,-29.74
111,182,255,786,1,18,4294967295,25.9,1020.59,37.64,113.6,-29.82
111,183,255,785,1,19,4294967295,25.9,1020.6,37.64,113.83,-29.82
110,182,255,786,1,18,4294967295,25.9,1020.6,37.64,114.53,-29.82
