NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
26,62,55,749,1,12,0,24.59,1010.13,49.65,232.54,57.14
26,62,55,749,1,12,0,24.59,1010.13,49.66,232.05,57.14
27,62,56,749,1,12,0,24.59,1010.13,49.69,232.54,57.14
27,62,56,749,1,11,0,24.59,1010.13,49.68,232.22,57.14
26,63,56,750,1,12,0,24.59,1010.13,49.71,232.22,57.23
27,63,55,749,1,12,0,24.59,1010.12,49.71,233.04,57.14
26,62,55,749,1,13,0,24.59,1010.13,49.71,232.38,57.14
26,63,56,750,1,12,0,24.59,1010.13,49.71,232.22,57.06
26,62,55,750,1,12,0,24.59,1010.14,49.73,233.53,57.06
26,63,55,749,1,12,0,24.59,1010.14,49.71,232.87,57.06
26,62,55,749,1,13,0,24.59,1010.14,49.73,233.2,57.06
26,62,55,750,1,13,0,24.59,1010.14,49.74,233.04,57.06
26,63,55,749,1,12,0,24.59,1010.14,49.74,233.2,57.06
26,62,54,750,1,12,0,24.59,1010.14,49.73,232.87,56.98
26,62,55,749,1,12,0,24.59,1010.15,49.74,233.69,56.98
26,63,55,750,1,13,0,24.59,1010.15,49.74,233.53,56.98
26,63,55,750,1,13,0,24.59,1010.15,49.74,234.69,56.98
26,62,55,750,2,13,0,24.59,1010.15,49.75,233.53,56.98
26,63,55,749,1,13,0,24.59,1010.15,49.74,233.86,56.98
26,62,55,750,1,13,0,24.59,1010.15,49.74,231.73,56.98
25,63,55,749,1,13,0,24.59,1010.15,49.74,233.53,56.98
26,62,55,750,1,12,0,24.59,1010.15,49.74,233.86,57.06
26,62,55,750,1,13,0,24.59,1010.14,49.74,233.53,57.14
26,62,55,749,1,12,0,24.6,1010.13,49.73,232.71,57.14
26,62,55,750,1,12,0,24.6,1010.13,49.73,233.69,57.06
26,62,55,750,1,12,0,24.6,1010.14,49.73,232.87,57.14
26,63,55,749,2,13,0,24.6,1010.13,49.72,233.86,57.14
26,63,55,750,1,13,0,24.6,1010.13,49.73,233.53,57.14
26,62,55,750,1,12,0,24.6,1010.13,49.73,233.86,57.06
26,63,55,750,1,13,0,24.6,1010.14,49.73,234.19,57.06
26,63,55,750,1,12,0,24.6,1010.14,49.73,234.36,57.14
26,63,55,750,1,14,0,24.6,1010.13,49.73,232.54,57.14
26,62,55,750,1,12,0,24.6,1010.13,49.73,233.04,57.06
26,62,55,750,1,13,0,24.6,1010.14,49.74,233.69,57.14
26,63,55,750,1,13,0,24.6,1010.13,49.74,234.19,57.23
26,63,55,750,1,13,0,24.6,1010.12,49.72,232.38,57.23
26,62,55,751,1,13,0,24.6,1010.12,49.71,233.37,57.23
26,62,55,750,1,12,0,24.6,1010.12,49.72,233.37,57.23
26,62,55,750,1,12,0,24.6,1010.12,49.71,233.86,57.23
26,62,55,750,1,13,0,24.6,1010.12,49.7,235.53,57.23
26,62,55,750,1,12,0,24.6,1010.12,49.7,233.86,57.31
26,63,55,750,1,13,0,24.6,1010.11,49.7,234.19,57.31
26,62,55,750,1,13,0,24.6,1010.11,49.69,234.03,57.31
26,62,55,750,1,13,0,24.6,1010.11,49.68,234.19,57.31
26,63,55,750,1,13,0,24.6,1010.11,49.7,232.38,57.23
26,62,55,750,2,12,0,24.61,1010.12,49.68,235.19,57.23
26,63,55,750,1,12,0,24.61,1010.12,49.68,234.36,57.23
26,62,55,750,1,13,0,24.61,1010.12,49.67,233.69,57.31
26,63,55,750,1,12,0,24.61,1010.11,49.68,233.69,57.23
26,63,55,751,1,12,0,24.61,1010.12,49.67,233.53,57.23
26,63,55,750,1,13,0,24.61,1010.12,49.67,233.86,57.23
26,62,56,751,1,13,0,24.61,1010.12,49.67,234.03,57.23
26,62,55,751,1,13,0,24.61,1010.12,49.67,234.69,57.14
26,63,55,751,2,13,0,24.61,1010.13,49.67,233.37,57.14
26,63,55,751,1,13,0,24.61,1010.13,49.67,233.86,57.23
26,62,56,751,1,13,0,24.61,1010.12,49.67,235.36,57.14
26,62,56,751,1,13,0,24.61,1010.13,49.67,232.71,57.14
26,62,56,751,1,13,0,24.61,1010.13,49.68,233.53,57.06
26,62,56,751,1,13,0,24.61,1010.14,49.67,233.37,57.06
26,63,55,751,1,13,0,24.61,1010.14,49.68,233.86,56.98
26,63,55,751,1,13,0,24.61,1010.15,49.67,234.52,56.89
26,63,55,751,1,13,0,24.61,1010.16,49.68,234.86,56.89
26,63,55,751,1,13,0,24.61,1010.16,49.67,233.53,56.81
26,63,55,751,1,13,0,24.61,1010.17,49.67,234.36,56.89
26,63,55,752,1,13,0,24.61,1010.16,49.67,234.03,56.81
26,63,55,751,1,15,0,24.61,1010.17,49.68,233.37,56.89
26,63,56,751,1,13,0,24.61,1010.16,49.67,233.86,56.98
26,63,56,751,1,13,0,24.61,1010.15,49.67,233.86,57.06
26,63,56,752,1,13,0,24.61,1010.14,49.66,234.52,57.06
26,63,55,751,1,13,0,24.61,1010.14,49.66,234.03,57.06
26,63,56,751,1,13,0,24.61,1010.14,49.65,232.87,57.06
