NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
29,66,64,751,1,10,0,24.99,1009.78,47.64,223.73,60.06
29,66,65,751,1,10,0,24.99,1009.78,47.63,223.88,59.98
29,66,65,751,1,10,0,24.99,1009.79,47.62,224.95,59.98
29,66,65,751,1,10,0,24.99,1009.79,47.63,224.03,59.98
29,66,65,751,1,11,0,24.99,1009.79,47.64,224.34,59.98
29,66,64,751,1,10,0,24.99,1009.79,47.63,224.03,59.9
29,66,65,751,1,10,0,24.99,1009.8,47.63,224.03,59.98
29,66,65,751,1,11,0,24.99,1009.79,47.64,223.28,59.9
29,66,65,751,1,10,0,24.99,1009.8,47.63,224.19,59.9
29,66,65,751,1,10,0,24.99,1009.8,47.63,224.34,59.9
29,66,64,751,1,10,0,24.99,1009.8,47.64,223.88,59.81
29,66,65,752,1,10,0,24.98,1009.81,47.64,224.19,59.81
29,66,64,752,1,10,0,24.98,1009.81,47.63,222.83,59.81
29,66,65,751,1,10,0,24.98,1009.81,47.64,224.34,59.73
29,66,65,751,1,10,0,24.98,1009.82,47.64,223.28,59.73
29,66,64,752,1,11,0,24.98,1009.82,47.65,223.43,59.81
28,66,64,751,1,10,0,24.98,1009.81,47.64,223.73,59.81
29,66,64,751,1,10,0,24.98,1009.81,47.65,222.68,59.81
28,66,65,752,1,10,0,24.98,1009.81,47.65,224.03,59.98
28,66,65,752,1,10,0,24.98,1009.79,47.64,223.43,59.98
27,66,64,752,1,10,0,24.98,1009.79,47.65,224.34,59.98
29,66,64,752,1,10,0,24.92,1009.79,47.8,217.83,59.98
29,66,64,752,1,10,0,24.91,1009.79,47.86,217.55,59.9
28,66,64,752,1,10,0,24.91,1009.8,47.88,218.26,59.9
28,66,64,752,1,10,0,24.92,1009.8,47.88,218.84,59.81
28,66,64,752,1,10,0,24.93,1009.81,47.87,219.86,59.9
29,66,64,752,1,10,0,24.93,1009.8,47.85,218.55,59.81
28,65,64,752,1,10,0,24.94,1009.81,47.84,219.71,59.81
28,66,64,752,1,10,0,24.94,1009.81,47.85,220.3,59.81
28,66,64,752,1,10,0,24.95,1009.81,47.81,219.71,59.73
29,66,64,751,1,10,0,24.95,1009.82,47.81,221.18,59.73
28,66,64,752,1,10,0,24.96,1009.82,47.78,218.99,59.73
29,66,63,752,1,10,0,24.96,1009.82,47.77,220.15,59.73
28,66,63,752,1,10,0,24.96,1009.82,47.76,220.74,59.73
29,66,64,752,1,10,0,24.96,1009.82,47.74,220.59,59.81
28,66,64,752,1,10,0,24.97,1009.81,47.75,221.18,59.81
28,66,63,752,1,10,0,24.97,1009.81,47.73,220.89,59.81
29,65,64,752,1,11,0,24.97,1009.81,47.73,221.04,59.81
29,66,64,752,1,10,0,24.97,1009.81,47.72,219.57,59.81
28,66,64,752,1,10,0,24.97,1009.81,47.72,219.57,59.73
28,66,64,752,1,10,0,24.97,1009.82,47.7,220.3,59.65
28,66,64,752,1,10,0,24.97,1009.83,47.7,221.18,59.65
28,66,64,753,1,10,0,24.97,1009.83,47.72,220.74,59.65
27,66,64,752,1,10,0,24.97,1009.83,47.69,220.15,59.56
28,66,64,752,1,10,0,24.98,1009.84,47.7,219.86,59.56
28,66,64,752,1,10,0,24.98,1009.84,47.7,221.63,59.65
28,66,64,752,1,10,0,24.98,1009.83,47.69,220.74,59.73
28,66,64,752,1,10,0,24.98,1009.82,47.69,221.93,59.73
29,66,64,752,1,10,0,24.97,1009.82,47.69,221.93,59.73
28,66,64,752,1,9,0,24.97,1009.82,47.67,221.48,59.73
29,66,64,752,1,10,0,24.97,1009.82,47.66,219.86,59.73
28,66,64,752,1,10,0,24.98,1009.82,47.68,220.89,59.81
28,66,63,752,1,10,0,24.97,1009.81,47.66,220.59,59.81
28,66,63,752,1,10,0,24.97,1009.81,47.67,220.59,59.73
28,66,64,752,1,11,0,24.98,1009.82,47.67,219.86,59.81
29,66,63,752,1,10,0,24.98,1009.81,47.66,221.33,59.81
28,66,63,752,1,10,0,24.98,1009.81,47.67,219.86,59.9
28,66,64,752,1,10,0,24.98,1009.8,47.67,220.01,59.9
28,66,64,752,1,10,0,24.98,1009.8,47.67,219.57,59.9
28,66,64,752,1,10,0,24.98,1009.8,47.66,220.3,59.9
28,65,64,752,1,10,0,24.98,1009.8,47.66,220.74,59.9
28,66,63,752,1,10,0,24.98,1009.8,47.66,219.71,59.81
29,66,64,752,1,11,0,24.98,1009.81,47.66,220.3,59.81
28,66,63,752,1,10,0,24.98,1009.81,47.65,220.45,59.81
28,66,64,753,1,10,0,24.98,1009.81,47.66,220.89,59.81
28,66,63,752,1,11,0,24.98,1009.81,47.65,219.86,59.81
28,66,64,753,1,10,0,24.98,1009.81,47.64,220.74,59.9
28,66,64,753,1,10,0,24.98,1009.8,47.64,220.45,59.9
28,66,64,753,1,11,0,24.98,1009.8,47.63,219.86,59.9
28,66,64,753,1,11,0,24.98,1009.8,47.63,220.59,59.9
28,66,63,752,1,10,0,24.98,1009.8,47.63,219.28,59.81
28,66,64,753,1,10,0,24.98,1009.81,47.64,221.18,59.81
28,66,63,753,1,11,0,24.98,1009.81,47.62,220.59,59.81
28,66,63,753,1,11,0,24.99,1009.81,47.62,219.71,59.81
28,66,63,753,1,10,0,24.99,1009.81,47.61,220.3,59.81
29,65,64,753,1,10,0,24.99,1009.81,47.62,220.59,59.81
28,66,63,752,1,11,0,24.99,1009.81,47.61,221.33,59.81
28,66,63,753,1,9,0,24.99,1009.81,47.62,220.45,59.81
28,66,64,753,1,11,0,24.99,1009.81,47.61,219.86,59.81
28,66,63,753,1,10,0,24.99,1009.81,47.61,220.15,59.81
28,66,64,752,1,10,0,24.99,1009.81,47.61,220.74,59.9
28,66,63,753,1,10,0,24.99,1009.8,47.63,219.86,59.98
28,66,64,753,1,10,0,24.99,1009.79,47.61,219.42,59.98
28,66,63,753,1,10,0,24.99,1009.79,47.61,220.15,59.98
28,66,63,753,1,10,0,24.99,1009.79,47.61,221.04,59.98
28,66,63,753,1,10,0,24.99,1009.79,47.59,221.04,59.98
28,66,64,753,1,11,0,24.99,1009.79,47.6,220.89,60.06
29,66,64,753,1,10,0,24.99,1009.78,47.59,220.15,59.98
28,66,64,753,1,11,0,24.99,1009.79,47.6,221.04,60.06
28,66,63,752,1,10,0,24.99,1009.78,47.59,219.57,60.15
28,66,64,753,1,11,0,24.99,1009.77,47.6,221.04,60.15
28,66,63,752,1,11,0,24.99,1009.77,47.6,221.33,60.15
28,66,64,752,1,10,0,24.99,1009.77,47.58,220.59,60.23
28,66,64,753,1,10,0,24.99,1009.76,47.6,221.33,60.15
28,66,63,753,1,11,0,24.99,1009.77,47.59,221.18,60.15
29,66,64,753,1,10,0,24.99,1009.77,47.57,219.71,60.15
28,66,63,752,1,9,0,25.0,1009.77,47.58,221.33,60.23
28,66,64,752,1,10,0,25.0,1009.76,47.58,220.3,60.23
28,66,63,753,1,10,0,25.0,1009.76,47.6,220.15,60.23
28,66,64,753,1,10,0,25.0,1009.76,47.57,220.59,60.23
28,66,64,753,1,10,0,25.0,1009.76,47.57,220.45,60.23
28,66,64,753,1,10,0,25.0,1009.76,47.57,220.59,60.31
28,66,63,753,1,10,0,25.0,1009.75,47.57,220.3,60.23
29,66,63,753,1,10,0,25.0,1009.76,47.57,220.89,60.23
28,66,63,753,1,10,0,25.0,1009.76,47.57,219.28,60.23
29,65,63,753,1,10,0,25.0,1009.76,47.57,220.59,60.31
29,66,64,753,1,10,0,25.0,1009.75,47.56,220.3,60.31
28,66,64,753,1,10,0,25.0,1009.75,47.57,220.89,60.23
29,66,64,753,1,10,0,25.0,1009.76,47.55,221.63,60.23
28,66,63,753,1,10,0,25.0,1009.76,47.55,220.74,60.23
28,66,63,753,1,10,0,25.0,1009.76,47.54,221.04,60.23
29,66,63,753,1,10,0,25.0,1009.76,47.56,219.86,60.23
28,66,64,753,1,10,0,25.0,1009.76,47.56,221.93,60.23
28,66,63,753,1,10,0,25.0,1009.76,47.56,221.93,60.15
28,66,64,754,1,10,0,25.01,1009.77,47.55,221.04,60.15
28,66,64,753,1,10,0,25.01,1009.77,47.55,219.42,60.06
28,66,63,753,1,10,0,25.01,1009.78,47.54,220.59,59.98
28,66,64,753,1,10,0,25.01,1009.79,47.54,219.57,59.98
28,66,64,753,1,10,0,25.01,1009.79,47.54,221.33,59.98
28,66,64,753,1,10,0,25.01,1009.79,47.55,221.33,60.06
29,66,63,753,1,10,0,25.01,1009.78,47.54,219.71,59.98
29,66,63,753,1,11,0,25.01,1009.79,47.54,220.74,59.98
28,66,63,754,1,10,0,25.01,1009.79,47.54,219.28,59.98
29,66,64,753,1,12,0,25.01,1009.79,47.54,220.74,59.98
28,66,64,753,1,10,0,25.01,1009.79,47.54,220.45,59.98
28,66,64,753,1,10,0,25.01,1009.79,47.52,220.45,59.98
29,66,63,754,1,10,0,25.01,1009.79,47.53,220.45,59.9
28,66,64,754,1,10,0,25.01,1009.8,47.52,220.59,59.9
28,66,63,753,1,10,0,25.01,1009.8,47.52,220.59,59.9
29,66,63,753,1,10,0,25.01,1009.8,47.52,220.15,59.9
29,66,64,754,1,10,0,25.01,1009.8,47.52,221.78,59.9
28,66,63,754,1,10,0,25.01,1009.8,47.51,220.3,59.9
29,66,63,753,1,10,0,25.01,1009.8,47.51,220.74,59.9
29,66,64,753,1,10,0,25.01,1009.8,47.51,219.86,59.9
29,66,64,753,1,10,0,25.01,1009.8,47.51,219.71,59.9
28,66,64,753,1,12,0,25.02,1009.8,47.51,221.63,59.9
28,66,64,753,1,10,0,25.02,1009.8,47.51,221.04,59.9
29,66,63,753,1,11,0,25.02,1009.8,47.49,220.89,59.9
28,66,63,754,1,10,0,25.02,1009.8,47.5,220.59,59.9
29,66,63,753,1,10,0,25.02,1009.8,47.5,220.01,59.9
29,66,63,754,1,10,0,25.02,1009.8,47.49,220.3,59.9
28,66,63,753,1,10,0,25.02,1009.8,47.49,220.15,59.9
29,66,64,753,1,10,0,25.02,1009.8,47.48,220.15,59.81
29,66,63,753,1,10,0,25.02,1009.81,47.48,220.3,59.81
28,66,63,753,1,10,0,25.02,1009.81,47.49,218.99,59.81
28,66,63,754,1,10,0,25.02,1009.81,47.49,220.15,59.81
29,66,64,753,1,10,0,25.02,1009.81,47.48,218.84,59.81
28,66,63,754,1,10,0,25.02,1009.81,47.48,220.45,59.73
29,66,63,753,1,10,0,25.02,1009.82,47.49,219.13,59.65
29,66,63,754,1,10,0,25.02,1009.83,47.48,219.86,59.73
29,66,63,754,1,10,0,25.02,1009.82,47.48,219.86,59.73
28,66,64,753,1,10,0,25.02,1009.82,47.46,220.15,59.73
29,66,64,754,1,10,0,25.02,1009.82,47.47,220.45,59.73
29,66,63,753,1,10,0,25.02,1009.82,47.46,219.86,59.81
29,66,64,754,1,10,0,25.02,1009.81,47.47,219.28,59.9
29,66,64,753,1,10,0,25.02,1009.8,47.46,218.55,59.9
29,66,64,753,1,10,0,25.02,1009.8,47.45,219.71,59.9
29,67,63,754,1,10,0,25.02,1009.8,47.46,219.86,59.9
29,66,63,753,1,10,0,25.02,1009.8,47.45,220.59,59.9
28,66,64,754,1,10,0,25.03,1009.8,47.45,218.99,59.98
29,67,64,754,1,10,0,25.03,1009.79,47.45,219.71,59.98
29,66,63,754,1,10,0,25.03,1009.79,47.44,220.15,59.98
29,66,64,753,1,10,0,25.03,1009.79,47.44,219.57,59.98
29,66,64,753,1,10,0,25.03,1009.79,47.45,220.01,59.98
29,66,64,754,1,12,0,25.03,1009.79,47.43,219.86,59.98
29,67,64,753,1,10,0,25.03,1009.79,47.44,219.71,59.98
29,66,63,753,1,10,0,25.03,1009.79,47.44,219.71,59.98
29,66,64,753,1,10,0,25.03,1009.79,47.44,219.57,59.98
29,66,64,753,1,10,0,25.03,1009.79,47.43,219.57,59.98
29,66,64,754,1,10,0,25.03,1009.79,47.44,218.55,59.98
29,66,64,754,1,12,0,25.03,1009.79,47.43,219.57,59.9
28,66,64,753,1,12,0,25.03,1009.8,47.42,219.28,59.9
29,67,64,753,1,10,0,25.03,1009.8,47.44,220.3,59.98
29,66,64,754,1,10,0,25.03,1009.79,47.43,219.57,59.98
29,66,64,754,1,10,0,25.03,1009.79,47.43,220.01,60.06
29,66,64,753,1,10,0,25.03,1009.78,47.43,219.57,60.06
29,67,64,753,1,10,0,25.03,1009.78,47.43,219.13,60.06
29,66,64,754,1,10,0,25.03,1009.78,47.43,220.15,60.06
29,66,64,754,1,11,0,25.03,1009.78,47.42,220.15,60.06
29,66,64,754,1,11,0,25.03,1009.78,47.43,220.01,59.98
29,66,64,754,1,11,0,25.03,1009.79,47.42,218.26,59.98
29,67,64,753,1,10,0,25.04,1009.79,47.41,219.86,59.98
28,66,64,753,1,11,0,25.04,1009.79,47.42,219.28,60.06
29,66,64,754,1,11,0,25.04,1009.78,47.42,218.99,60.06
29,66,64,753,1,10,0,25.04,1009.78,47.42,218.99,60.06
29,66,64,754,1,10,0,25.04,1009.78,47.4,218.99,60.23
29,66,64,753,1,10,0,25.04,1009.76,47.39,218.41,60.23
29,67,64,753,1,10,0,25.04,1009.76,47.4,218.99,60.15
29,66,64,753,1,10,0,25.04,1009.77,47.4,219.57,60.15
29,66,64,754,1,10,0,25.04,1009.77,47.41,218.7,60.23
29,66,64,753,1,10,0,25.04,1009.76,47.4,217.98,60.15
29,66,64,754,1,12,0,25.04,1009.77,47.39,219.57,60.31
29,66,64,753,1,11,0,25.04,1009.75,47.39,219.57,60.31
29,67,65,754,1,10,0,25.04,1009.75,47.39,219.57,60.31
28,67,64,753,1,10,0,25.04,1009.75,47.41,219.28,60.23
29,67,64,754,1,10,0,25.04,1009.76,47.38,218.41,60.15
29,66,64,753,1,10,0,25.04,1009.77,47.39,219.13,60.15
29,66,65,754,1,10,0,25.05,1009.77,47.39,219.28,60.15
29,67,64,754,1,10,0,25.05,1009.77,47.4,219.28,60.15
29,66,64,753,1,10,0,25.05,1009.77,47.38,218.41,60.23
29,66,64,754,1,10,0,25.05,1009.76,47.37,218.99,60.31
29,67,64,754,1,9,0,25.05,1009.75,47.37,219.28,60.23
29,66,64,754,1,10,0,25.05,1009.76,47.38,218.99,60.31
29,67,65,754,1,10,0,25.05,1009.75,47.37,219.28,60.31
29,67,65,754,1,10,0,25.05,1009.75,47.37,219.28,60.4
29,66,64,754,1,11,0,25.05,1009.74,47.36,218.84,60.4
29,66,64,754,1,10,0,25.05,1009.74,47.36,219.71,60.4
29,67,64,754,1,10,0,25.05,1009.74,47.34,219.42,60.4
29,66,65,754,1,10,0,25.05,1009.74,47.35,218.41,60.4
29,67,65,754,1,10,0,25.05,1009.74,47.35,219.28,60.4
29,66,64,753,1,10,0,25.05,1009.74,47.35,218.12,60.4
29,66,65,753,1,10,0,25.05,1009.74,47.34,218.12,60.4
29,66,65,754,1,9,0,25.05,1009.74,47.35,219.28,60.4
29,66,64,754,1,10,0,25.05,1009.74,47.34,219.13,60.48
29,66,65,753,1,10,0,25.05,1009.73,47.33,218.84,60.48
29,67,65,753,1,10,0,25.05,1009.73,47.34,218.7,60.48
29,67,65,753,1,10,0,25.05,1009.73,47.33,217.26,60.48
29,67,64,753,1,10,0,25.05,1009.73,47.33,219.28,60.48
29,67,65,754,1,10,0,25.05,1009.73,47.33,219.86,60.4
29,66,65,754,1,10,0,25.06,1009.74,47.34,219.13,60.4
29,67,65,753,1,10,0,25.05,1009.74,47.33,219.13,60.4
29,67,64,754,1,10,0,25.06,1009.74,47.33,216.97,60.4
29,67,65,754,1,10,0,25.06,1009.74,47.31,218.99,60.31
29,66,64,753,1,10,0,25.06,1009.75,47.34,218.99,60.4
29,66,65,753,1,10,0,25.06,1009.74,47.32,218.99,60.4
29,66,65,754,1,10,0,25.06,1009.74,47.32,217.55,60.4
29,67,64,754,1,10,0,25.06,1009.74,47.31,217.69,60.48
29,66,65,754,1,10,0,25.06,1009.73,47.31,218.7,60.31
29,67,65,754,1,10,0,25.06,1009.75,47.31,219.13,60.4
29,66,65,755,1,10,0,25.06,1009.74,47.3,217.83,60.4
30,66,64,754,1,10,0,25.06,1009.74,47.3,218.55,60.31
29,67,64,754,1,10,0,25.06,1009.75,47.3,217.55,60.31
29,67,64,754,1,11,0,25.06,1009.75,47.29,218.12,60.31
29,67,65,754,1,10,0,25.06,1009.75,47.3,217.4,60.31
29,67,64,753,1,10,0,25.06,1009.75,47.29,217.26,60.31
29,66,65,754,1,10,0,25.06,1009.75,47.3,217.98,60.23
29,66,64,754,1,10,0,25.06,1009.76,47.28,218.55,60.23
29,67,64,753,1,10,0,25.06,1009.76,47.28,218.26,60.23
30,66,64,754,1,10,0,25.06,1009.76,47.28,217.83,60.23
29,67,64,753,1,10,0,25.06,1009.76,47.28,218.7,60.31
30,67,65,753,1,10,0,25.06,1009.75,47.27,218.7,60.31
30,67,65,754,1,10,0,25.06,1009.75,47.28,218.41,60.31
30,67,65,754,1,10,0,25.06,1009.75,47.27,218.41,60.31
29,66,64,754,1,10,0,25.06,1009.75,47.27,218.7,60.31
29,67,65,754,1,10,0,25.06,1009.75,47.27,218.41,60.4
30,66,65,754,1,10,0,25.07,1009.74,47.27,218.41,60.31
30,67,64,754,1,10,0,25.07,1009.75,47.26,218.7,60.23
30,67,65,754,1,10,0,25.07,1009.76,47.25,218.84,60.31
30,67,64,754,1,10,0,25.07,1009.75,47.23,218.41,60.23
29,66,65,754,1,10,0,25.07,1009.76,47.25,217.83,60.31
30,67,65,753,1,10,0,25.07,1009.75,47.24,218.7,60.4
29,66,65,754,1,10,0,25.07,1009.74,47.25,219.28,60.4
29,67,65,754,1,10,0,25.07,1009.74,47.25,218.99,60.31
29,67,65,754,1,10,0,25.07,1009.75,47.25,218.84,60.31
29,67,65,754,1,10,0,25.07,1009.75,47.23,218.99,60.4
30,67,65,754,1,10,0,25.07,1009.74,47.22,219.28,60.4
30,66,65,753,1,10,0,25.07,1009.74,47.22,218.99,60.4
29,67,65,753,1,10,0,25.07,1009.74,47.24,217.83,60.4
30,67,65,754,1,10,0,25.07,1009.74,47.22,218.55,60.4
29,67,65,754,1,10,0,25.07,1009.74,47.24,218.55,60.48
29,67,65,754,1,10,0,25.07,1009.73,47.22,217.83,60.4
30,67,65,754,1,10,0,25.07,1009.74,47.22,218.84,60.4
29,67,64,754,1,10,0,25.07,1009.74,47.23,218.55,60.48
29,67,65,754,1,10,0,25.07,1009.73,47.23,218.7,60.4
30,67,65,754,1,10,0,25.07,1009.74,47.22,218.7,60.31
29,67,65,753,1,10,0,25.07,1009.75,47.23,218.7,60.4
29,67,65,755,1,11,0,25.07,1009.74,47.22,218.99,60.4
30,67,65,754,1,11,0,25.07,1009.74,47.21,218.55,60.48
30,67,65,754,1,11,0,25.07,1009.73,47.21,219.42,60.48
30,67,65,754,1,10,0,25.07,1009.73,47.21,218.12,60.56
30,67,65,754,1,11,0,25.08,1009.72,47.21,218.41,60.56
30,67,65,754,1,10,0,25.08,1009.72,47.22,218.7,60.48
30,67,65,754,1,10,0,25.08,1009.73,47.22,218.55,60.4
29,67,65,754,1,10,0,25.08,1009.74,47.21,217.83,60.48
29,67,65,754,1,10,0,25.08,1009.73,47.21,218.26,60.56
30,66,65,753,1,10,0,25.08,1009.72,47.2,218.55,60.56
30,67,65,754,1,11,0,25.08,1009.72,47.2,218.26,60.56
30,67,65,753,1,10,0,25.08,1009.72,47.19,218.41,60.65
30,67,65,754,1,11,0,25.08,1009.71,47.19,217.83,60.65
30,67,66,753,1,10,0,25.08,1009.71,47.18,218.12,60.56
30,67,65,754,1,11,0,25.08,1009.72,47.19,218.99,60.48
29,67,65,754,1,11,0,25.08,1009.73,47.21,218.7,60.48
29,67,65,754,1,10,0,25.08,1009.73,47.17,218.26,60.56
30,67,65,754,1,11,0,25.08,1009.72,47.18,218.41,60.56
30,67,65,754,1,10,0,25.08,1009.72,47.19,218.99,60.56
30,67,65,754,1,12,0,25.09,1009.72,47.17,218.12,60.56
30,67,65,754,1,11,0,25.09,1009.72,47.17,218.12,60.56
30,67,65,754,1,11,0,25.09,1009.72,47.16,218.99,60.48
30,67,66,754,1,10,0,25.09,1009.73,47.15,218.26,60.4
29,67,65,754,1,11,0,25.09,1009.74,47.16,219.13,60.31
30,67,65,754,1,10,0,25.09,1009.75,47.15,218.41,60.4
30,67,65,754,1,11,0,25.09,1009.74,47.16,218.55,60.31
30,67,66,753,1,10,0,25.09,1009.75,47.15,219.28,60.4
30,67,65,754,1,10,0,25.09,1009.74,47.15,218.84,60.4
30,67,66,754,1,11,0,25.09,1009.74,47.15,218.7,60.4
30,67,65,755,1,10,0,25.09,1009.74,47.15,218.99,60.4
30,67,65,754,1,10,0,25.09,1009.74,47.15,218.84,60.4
30,67,66,754,1,10,0,25.09,1009.74,47.13,218.7,60.31
30,67,65,754,1,10,0,25.09,1009.75,47.14,218.7,60.31
30,67,65,754,1,10,0,25.09,1009.75,47.14,219.28,60.4
30,67,65,753,1,11,0,25.09,1009.74,47.14,218.84,60.48
30,67,66,753,1,11,0,25.09,1009.73,47.14,219.28,60.56
30,67,65,754,1,11,0,25.09,1009.72,47.13,218.41,60.65
30,67,65,753,1,11,0,25.09,1009.71,47.12,218.7,60.65
