NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
35,55,70,710,0,4,0,33.59,688.6,100.0,0.0,3170.54
35,55,70,711,0,4,0,33.59,688.6,100.0,0.0,3170.54
35,55,70,711,0,4,0,33.59,688.6,100.0,0.0,3170.54
35,55,70,711,0,4,0,33.59,688.6,100.0,0.0,3170.54
35,55,70,710,0,4,0,33.59,688.6,100.0,0.0,3170.54
35,55,70,711,0,4,0,33.59,688.6,100.0,0.0,3170.54
35,55,70,711,0,4,0,33.59,688.6,100.0,0.0,3170.54
35,55,70,711,0,4,0,33.59,688.6,100.0,0.0,3170.54
35,55,70,711,0,4,0,33.59,688.6,100.0,0.0,3170.54
35,55,70,711,0,4,0,33.59,688.6,100.0,0.0,3170.54
35,55,70,712,0,4,0,33.59,688.6,100.0,0.0,3170.54
35,55,69,712,0,4,0,33.59,688.6,100.0,0.0,3170.54
35,55,69,711,0,3,0,33.59,688.6,100.0,0.0,3170.54
35,55,69,712,0,4,0,33.59,688.6,100.0,0.0,3170.54
35,55,69,712,0,4,0,33.59,688.6,100.0,0.0,3170.54
34,55,69,712,0,4,0,33.59,688.6,100.0,0.0,3170.54
34,55,69,712,0,4,0,33.59,688.6,100.0,0.0,3170.54
35,55,69,712,0,4,0,33.59,688.6,100.0,0.0,3170.54
35,55,70,712,0,3,0,33.59,688.6,100.0,0.0,3170.54
34,55,69,712,0,4,0,33.59,688.6,100.0,0.0,3170.54
35,55,69,712,0,4,0,33.59,688.6,100.0,0.0,3170.54
35,55,69,712,0,4,0,33.59,688.6,100.0,0.0,3170.54
35,55,69,712,0,4,0,33.59,688.6,100.0,0.0,3170.54
34,55,69,712,0,4,0,33.59,688.6,100.0,0.0,3170.54
34,55,69,713,0,4,0,33.59,688.6,100.0,0.0,3170.54
34,55,68,712,0,4,0,33.59,688.6,100.0,0.0,3170.54
35,55,69,712,0,4,0,33.59,688.6,100.0,0.0,3170.54
35,55,69,713,0,4,0,33.59,688.6,100.0,0.0,3170.54
34,55,69,713,0,4,0,33.59,688.6,100.0,0.0,3170.54
34,55,68,713,0,4,0,33.59,688.6,100.0,0.0,3170.54
34,55,69,712,0,4,0,33.59,688.6,100.0,0.0,3170.54
34,55,69,712,0,4,0,33.59,688.6,100.0,0.0,3170.54
34,55,68,712,0,4,0,33.59,688.6,100.0,0.0,3170.54
35,55,68,713,0,4,0,33.59,688.6,100.0,0.0,3170.54
35,55,68,713,0,4,0,33.59,688.6,100.0,0.0,3170.54
34,55,68,712,0,4,0,33.59,688.6,100.0,0.0,3170.54
34,55,68,712,0,4,0,33.59,688.6,100.0,0.0,3170.54
34,55,68,713,0,4,0,33.59,688.6,100.0,0.0,3170.54
34,55,68,713,0,4,0,33.59,688.6,100.0,0.0,3170.54
34,55,68,713,0,4,0,33.59,688.6,100.0,0.0,3170.54
34,55,69,713,0,4,0,33.59,688.6,100.0,0.0,3170.54
34,55,69,714,0,4,0,33.59,688.6,100.0,0.0,3170.54
34,55,68,713,0,4,0,33.59,688.6,100.0,0.0,3170.54
34,55,68,713,0,4,0,33.59,688.6,100.0,0.0,3170.54
33,55,68,713,0,4,0,33.59,688.6,100.0,0.0,3170.54
34,55,68,714,0,4,0,33.59,688.6,100.0,0.0,3170.54
34,55,68,714,0,4,0,33.59,688.6,100.0,0.0,3170.54
34,55,68,714,0,4,0,33.59,688.6,100.0,0.0,3170.54
34,55,68,714,0,4,0,33.59,688.6,100.0,0.0,3170.54
34,55,68,714,0,4,0,33.59,688.6,100.0,0.0,3170.54
34,54,68,713,0,4,0,33.59,688.6,100.0,0.0,3170.54
35,54,68,714,0,4,0,33.59,688.6,100.0,0.0,3170.54
34,55,68,714,0,4,0,33.59,688.6,100.0,0.0,3170.54
34,55,68,714,0,4,0,33.59,688.6,100.0,0.0,3170.54
34,55,68,713,0,4,0,33.59,688.6,100.0,0.0,3170.54
35,54,68,714,0,4,0,33.59,688.6,100.0,0.0,3170.54
34,54,68,713,0,4,0,33.59,688.6,100.0,0.0,3170.54
34,55,68,714,0,4,0,33.59,688.6,100.0,0.0,3170.54
34,55,68,714,0,4,0,33.59,688.6,100.0,0.0,3170.54
34,55,68,714,0,4,0,33.59,688.6,100.0,0.0,3170.54
34,55,68,714,0,4,0,33.59,688.6,100.0,0.0,3170.54
34,55,67,714,0,4,0,33.59,688.6,100.0,0.0,3170.54
33,55,68,714,0,4,0,33.59,688.6,100.0,0.0,3170.54
34,55,67,714,0,4,0,33.59,688.6,100.0,0.0,3170.54
34,55,67,715,0,4,0,33.59,688.6,100.0,0.0,3170.54
33,55,68,714,0,4,0,33.59,688.6,100.0,0.0,3170.54
34,55,67,715,0,4,0,33.59,688.6,100.0,0.0,3170.54
34,54,68,714,0,4,0,33.59,688.6,100.0,0.0,3170.54
34,54,68,714,0,4,0,33.59,688.6,100.0,0.0,3170.54
34,54,67,714,0,4,0,33.59,688.6,100.0,0.0,3170.54
34,54,67,715,0,4,0,33.59,688.6,100.0,0.0,3170.54
34,55,68,714,0,4,0,33.59,688.6,100.0,0.0,3170.54
34,54,67,715,0,4,0,33.59,688.6,100.0,0.0,3170.54
34,55,67,714,0,4,0,33.59,688.6,100.0,0.0,3170.54
34,55,67,714,0,4,0,33.59,688.6,100.0,0.0,3170.54
34,54,68,715,0,4,0,33.59,688.6,100.0,0.0,3170.54
34,55,68,715,0,4,0,33.59,688.6,100.0,0.0,3170.54
34,55,67,715,0,4,0,33.59,688.6,100.0,0.0,3170.54
34,55,68,715,0,4,0,33.59,688.6,100.0,0.0,3170.54
