NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
35,57,76,732,6,36,0,25.34,1021.75,26.51,492.54,-39.24
35,57,76,731,6,37,0,25.34,1021.74,26.52,488.96,-39.33
35,57,75,732,6,39,0,25.34,1021.75,26.5,492.54,-39.24
35,57,76,732,6,37,0,25.34,1021.74,26.49,494.35,-39.24
35,57,76,732,6,37,0,25.34,1021.74,26.48,494.35,-39.24
35,57,76,731,6,36,0,25.34,1021.74,26.48,493.99,-39.16
34,57,76,732,6,38,0,25.34,1021.73,26.48,495.81,-39.16
35,57,76,732,6,37,0,25.34,1021.73,26.47,495.81,-39.16
34,57,76,732,5,37,0,25.34,1021.73,26.46,496.55,-39.33
34,58,75,732,6,37,0,25.34,1021.75,26.44,496.18,-39.33
34,57,75,732,6,37,0,25.34,1021.75,26.43,498.39,-39.24
35,57,76,732,6,41,0,25.34,1021.74,26.44,498.39,-39.24
35,58,76,733,6,37,0,25.34,1021.74,26.4,498.02,-39.33
35,57,75,732,6,37,0,25.34,1021.75,26.37,498.02,-39.24
35,57,75,733,6,37,0,25.34,1021.74,26.34,499.13,-39.33
34,58,75,733,6,37,0,25.34,1021.75,26.32,499.87,-39.33
34,57,75,733,6,36,0,25.34,1021.75,26.28,499.5,-39.41
34,57,76,734,6,37,0,25.34,1021.76,26.28,498.39,-39.33
34,57,75,734,6,37,0,25.34,1021.75,26.25,500.99,-39.33
34,57,75,733,6,37,0,25.34,1021.75,26.25,500.24,-39.33
34,57,75,734,6,37,0,25.34,1021.75,26.25,499.5,-39.41
34,57,75,734,5,37,0,25.35,1021.76,26.25,499.87,-39.33
34,57,75,733,6,37,0,25.35,1021.75,26.25,498.02,-39.33
34,58,75,734,6,37,0,25.35,1021.75,26.25,500.62,-39.33
34,57,75,734,6,38,0,25.35,1021.75,26.25,501.74,-39.33
34,57,75,733,6,37,0,25.35,1021.75,26.26,501.74,-39.24
34,57,75,734,6,37,0,25.35,1021.74,26.26,502.49,-39.33
34,57,75,734,6,37,0,25.35,1021.75,26.29,502.49,-39.33
34,57,75,734,6,37,0,25.35,1021.75,26.28,500.99,-39.24
34,57,75,734,6,37,0,25.35,1021.74,26.3,501.74,-39.33
34,58,75,734,6,37,0,25.35,1021.75,26.3,502.49,-39.41
34,58,75,735,6,37,0,25.36,1021.76,26.31,503.24,-39.33
34,58,75,735,6,37,0,25.36,1021.75,26.3,502.87,-39.33
34,58,75,735,6,37,0,25.36,1021.75,26.29,502.11,-39.33
34,57,75,736,5,37,0,25.36,1021.75,26.29,501.74,-39.33
34,57,75,736,6,37,0,25.36,1021.75,26.27,501.74,-39.33
33,58,75,736,5,35,0,25.36,1021.75,26.25,503.24,-39.33
34,58,75,736,6,37,0,25.36,1021.75,26.25,501.74,-39.24
34,58,74,737,6,37,0,25.36,1021.74,26.24,501.74,-39.24
34,58,74,736,6,36,0,25.36,1021.74,26.24,502.11,-39.24
34,57,75,736,6,37,0,25.36,1021.74,26.23,503.62,-39.24
34,58,74,737,6,37,0,25.36,1021.74,26.23,502.49,-39.24
34,58,75,736,6,37,0,25.37,1021.74,26.23,502.87,-39.24
34,58,75,736,8,36,0,25.37,1021.74,26.23,502.49,-39.24
34,58,75,736,5,37,0,25.37,1021.74,26.23,502.11,-39.24
34,57,75,737,6,37,0,25.37,1021.74,26.23,502.49,-39.33
34,58,74,737,6,36,0,25.37,1021.75,26.22,502.49,-39.33
34,58,75,738,6,36,0,25.37,1021.75,26.22,502.11,-39.33
34,58,75,738,6,36,0,25.38,1021.75,26.2,502.49,-39.41
34,58,75,738,6,37,0,25.38,1021.76,26.19,502.87,-39.33
34,58,74,738,6,37,0,25.38,1021.75,26.18,502.11,-39.33
34,58,75,739,6,37,0,25.38,1021.75,26.2,502.11,-39.24
34,58,75,738,6,37,0,25.38,1021.74,26.19,503.24,-39.24
34,58,75,739,6,36,0,25.38,1021.74,26.19,502.87,-39.33
34,58,75,739,6,37,0,25.38,1021.75,26.16,502.87,-39.24
34,58,75,739,4,36,0,25.38,1021.74,26.15,503.24,-39.24
34,58,75,740,6,36,0,25.38,1021.74,26.12,502.87,-39.33
34,58,75,739,5,37,0,25.38,1021.75,26.11,502.87,-39.33
34,58,75,739,6,37,0,25.38,1021.75,26.08,502.49,-39.33
34,58,74,739,6,37,0,25.38,1021.75,26.08,502.87,-39.33
34,59,75,740,5,37,0,25.38,1021.75,26.07,504.37,-39.33
34,59,75,741,5,36,0,25.38,1021.75,26.07,504.37,-39.24
34,59,75,741,5,36,0,25.39,1021.74,26.07,504.75,-39.24
34,59,75,741,6,37,0,25.39,1021.74,26.07,504.75,-39.24
34,59,75,741,6,37,0,25.39,1021.74,26.11,503.62,-39.33
34,59,75,742,8,37,0,25.39,1021.75,26.13,504.0,-39.24
