NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
52,83,123,802,2,24,0,25.47,1013.84,38.53,213.61,26.24
52,83,122,802,1,24,0,25.46,1013.84,38.57,214.16,26.24
52,83,122,802,2,24,0,25.46,1013.84,38.61,215.0,26.24
51,82,121,802,2,24,0,25.46,1013.84,38.65,215.28,26.24
51,83,121,801,2,24,0,25.46,1013.84,38.68,215.7,26.16
51,82,120,801,2,24,0,25.46,1013.85,38.72,216.41,26.16
51,83,120,801,1,24,0,25.46,1013.85,38.74,217.26,26.08
51,83,120,800,2,24,0,25.46,1013.86,38.76,217.83,26.08
51,82,121,801,2,26,0,25.46,1013.86,38.79,217.55,26.16
51,82,120,801,1,24,0,25.47,1013.85,38.81,216.69,26.16
50,83,120,800,1,23,0,25.47,1013.85,38.83,218.41,26.16
50,83,120,801,1,24,0,25.47,1013.85,38.87,217.4,26.08
50,82,120,800,1,24,0,25.47,1013.86,38.88,219.13,26.08
50,82,119,799,1,23,0,25.47,1013.86,38.89,220.3,26.08
50,82,119,800,1,23,0,25.47,1013.86,38.91,219.86,26.16
49,82,119,799,1,23,0,25.47,1013.85,38.92,220.45,26.16
49,82,119,800,2,24,0,25.47,1013.85,38.9,219.86,26.16
50,82,119,800,2,24,0,25.47,1013.85,38.9,221.33,26.24
50,82,118,799,2,22,0,25.47,1013.84,38.9,221.78,26.16
49,81,118,800,2,24,0,25.47,1013.85,38.89,222.38,26.16
49,82,118,800,1,23,0,25.47,1013.85,38.9,222.38,26.16
49,82,117,799,1,23,0,25.47,1013.85,38.92,221.63,26.08
49,82,117,800,2,24,0,25.47,1013.86,38.96,222.83,26.08
48,82,117,800,2,24,0,25.47,1013.86,38.96,222.98,26.0
48,82,117,800,1,24,0,25.47,1013.87,38.99,223.13,26.0
48,81,117,801,2,24,0,25.47,1013.87,38.97,224.19,26.0
49,81,117,801,2,23,0,25.47,1013.87,38.95,224.03,26.08
48,82,117,802,2,22,0,25.47,1013.86,38.95,224.19,26.08
48,81,117,802,1,24,0,25.47,1013.86,38.94,224.64,26.0
48,81,117,803,1,23,0,25.48,1013.87,38.93,224.79,26.0
48,82,116,802,1,24,0,25.48,1013.87,38.93,225.41,26.0
48,81,116,803,2,23,0,25.48,1013.87,38.91,225.41,26.0
47,81,116,803,1,23,0,25.48,1013.87,38.89,225.87,26.0
48,82,116,804,1,24,0,25.48,1013.87,38.89,225.25,26.0
48,81,115,802,1,24,0,25.48,1013.87,38.88,224.95,26.0
47,81,115,803,1,24,0,25.48,1013.87,38.88,226.8,26.0
47,81,115,802,2,23,0,25.48,1013.87,38.88,225.72,25.91
47,81,114,802,1,24,0,25.48,1013.88,38.88,225.87,25.91
47,81,115,803,2,24,0,25.48,1013.88,38.87,226.8,25.91
47,81,114,802,2,24,0,25.48,1013.88,38.85,228.21,25.91
46,81,114,802,2,24,0,25.48,1013.88,38.84,226.96,25.91
47,80,114,803,1,23,0,25.48,1013.88,38.81,228.53,25.91
47,81,114,802,1,23,0,25.48,1013.88,38.8,230.76,25.83
46,81,114,803,2,23,0,25.48,1013.89,38.78,228.68,25.83
47,81,114,804,2,23,0,25.48,1013.89,38.76,229.32,25.83
47,80,114,804,1,24,0,25.48,1013.89,38.75,230.28,25.83
47,80,114,804,1,23,0,25.49,1013.89,38.75,229.8,25.91
46,81,113,805,1,24,0,25.49,1013.88,38.75,229.8,25.91
46,81,114,805,2,23,0,25.49,1013.88,38.74,230.6,25.91
47,82,114,806,2,23,0,25.49,1013.88,38.73,231.4,25.91
47,81,114,807,2,22,0,25.49,1013.88,38.72,231.73,25.91
46,81,114,807,2,23,0,25.49,1013.88,38.7,231.57,25.91
46,81,113,807,2,24,0,25.49,1013.88,38.67,231.4,25.91
46,82,113,807,1,23,0,25.49,1013.88,38.67,231.89,25.91
46,82,114,806,2,23,0,25.49,1013.88,38.66,231.73,25.83
46,82,113,807,2,23,0,25.49,1013.89,38.62,233.2,25.83
47,81,113,806,1,23,0,25.49,1013.89,38.63,232.71,25.83
46,81,113,807,1,23,0,25.49,1013.89,38.64,233.86,25.83
46,80,113,806,2,23,0,25.49,1013.89,38.66,234.19,25.83
46,81,112,806,2,23,0,25.49,1013.89,38.67,232.38,25.83
45,81,112,807,1,22,0,25.49,1013.89,38.68,233.2,25.83
45,80,112,806,2,23,0,25.41,1013.89,38.88,226.96,25.83
46,81,112,807,2,24,0,25.4,1013.89,38.97,228.05,25.75
45,81,112,807,1,23,0,25.41,1013.9,39.02,226.96,25.83
46,81,111,806,2,23,0,25.42,1013.89,39.02,228.37,25.91
45,81,111,807,1,22,0,25.43,1013.88,39.01,227.9,25.83
45,80,110,806,1,23,0,25.44,1013.89,39.01,229.64,25.83
