NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
27,61,51,759,4,11,0,25.02,1008.37,40.5,277.9,71.83
27,61,51,759,4,10,0,25.02,1008.37,40.5,277.43,71.75
27,61,51,759,4,11,0,25.02,1008.38,40.49,276.73,71.83
27,60,51,759,4,11,0,25.02,1008.37,40.5,276.97,71.83
27,61,51,759,4,11,0,25.02,1008.37,40.5,277.2,71.83
27,60,51,759,4,12,0,25.02,1008.37,40.52,277.43,71.83
27,61,51,759,4,11,0,25.02,1008.37,40.52,277.66,71.83
27,61,51,759,4,11,0,25.02,1008.37,40.52,278.37,71.75
27,61,51,759,4,10,0,25.03,1008.38,40.53,277.2,71.83
27,61,51,759,4,11,0,25.03,1008.37,40.54,274.67,71.83
27,61,51,759,4,11,0,25.03,1008.37,40.55,276.73,71.83
27,61,51,759,4,11,0,25.03,1008.37,40.54,276.04,71.83
27,61,51,759,4,11,0,25.03,1008.37,40.53,276.04,71.83
27,61,51,759,3,11,0,25.03,1008.37,40.55,275.58,71.83
27,61,51,759,4,11,0,25.03,1008.37,40.54,274.21,71.83
27,61,51,759,4,11,0,25.03,1008.37,40.55,275.81,71.83
27,60,51,759,6,11,0,25.03,1008.37,40.55,273.3,71.83
27,61,51,759,4,11,0,25.03,1008.37,40.55,274.44,71.83
27,60,51,759,4,11,0,25.03,1008.37,40.56,273.08,71.92
27,61,51,759,4,11,0,25.03,1008.36,40.56,274.67,71.92
27,61,51,759,4,11,0,25.03,1008.36,40.56,274.21,71.92
27,61,51,759,4,11,0,25.03,1008.36,40.57,274.21,71.83
27,61,51,759,4,11,0,25.03,1008.37,40.57,275.12,71.83
27,60,51,759,4,11,0,25.03,1008.37,40.58,274.21,71.75
26,60,51,759,4,11,0,25.03,1008.38,40.57,273.98,71.75
27,60,51,759,4,11,0,25.03,1008.38,40.58,274.21,71.75
27,61,51,759,5,11,0,25.03,1008.38,40.58,273.08,71.67
26,61,51,759,4,11,0,25.03,1008.39,40.58,274.21,71.67
27,60,51,759,4,11,0,25.03,1008.39,40.58,273.53,71.67
27,61,51,759,4,11,0,25.03,1008.39,40.57,275.12,71.58
27,61,51,759,5,11,0,25.03,1008.4,40.56,274.21,71.58
27,61,51,759,4,11,0,25.04,1008.4,40.55,275.35,71.67
27,61,51,759,3,11,0,25.04,1008.39,40.52,275.35,71.67
27,61,51,759,4,11,0,25.04,1008.39,40.53,272.4,71.67
27,61,51,759,4,11,0,25.04,1008.39,40.51,275.35,71.58
27,61,51,759,4,11,0,25.04,1008.4,40.5,276.5,71.67
27,61,51,759,4,11,0,25.04,1008.39,40.49,274.21,71.67
27,61,51,758,4,11,0,25.04,1008.39,40.48,275.58,71.75
27,61,51,758,4,11,0,25.04,1008.38,40.46,275.58,71.67
27,61,51,759,4,11,0,25.04,1008.39,40.46,275.81,71.67
27,60,51,759,5,11,0,25.04,1008.39,40.46,276.04,71.75
27,61,51,759,4,11,0,25.04,1008.38,40.46,274.21,71.75
27,61,51,759,4,12,0,25.04,1008.38,40.44,274.89,71.75
27,61,51,759,4,11,0,25.04,1008.38,40.45,276.5,71.75
27,61,51,759,4,11,0,25.04,1008.38,40.45,275.12,71.67
27,61,51,759,4,11,0,25.04,1008.39,40.44,275.58,71.67
27,61,51,759,4,11,0,25.04,1008.39,40.44,275.12,71.67
27,61,51,759,4,11,0,25.04,1008.39,40.44,275.81,71.67
27,60,51,759,4,11,0,25.04,1008.39,40.43,276.04,71.75
27,61,51,759,4,11,0,25.04,1008.38,40.43,277.2,71.58
26,60,52,759,4,11,0,25.04,1008.4,40.42,275.12,71.58
27,61,51,759,4,11,0,25.04,1008.4,40.4,275.35,71.58
27,61,51,759,5,12,0,25.04,1008.4,40.41,275.58,71.58
27,61,51,759,4,11,0,25.04,1008.4,40.39,276.27,71.58
27,61,51,759,4,11,0,25.04,1008.4,40.39,274.21,71.58
27,61,51,759,4,12,0,25.04,1008.4,40.38,273.3,71.5
27,61,51,759,4,11,0,25.05,1008.41,40.38,275.35,71.5
27,61,51,759,4,11,0,25.04,1008.41,40.38,275.12,71.5
27,61,51,759,4,12,0,25.04,1008.41,40.37,274.67,71.42
27,61,51,759,4,12,0,25.04,1008.42,40.37,276.73,71.42
27,60,52,759,4,12,0,25.04,1008.42,40.36,277.2,71.42
27,61,52,759,4,12,0,25.04,1008.42,40.37,276.5,71.5
27,61,51,759,5,12,0,25.04,1008.41,40.38,277.66,71.42
27,61,51,759,4,12,0,25.04,1008.42,40.38,276.27,71.42
27,60,51,759,6,12,0,25.04,1008.42,40.38,277.2,71.42
27,61,51,759,6,12,0,25.04,1008.42,40.38,276.97,71.42
27,61,52,759,5,12,0,25.04,1008.42,40.39,276.73,71.33
27,60,52,759,4,12,0,25.04,1008.43,40.38,276.04,71.33
27,61,51,759,5,12,0,25.04,1008.43,40.37,276.27,71.33
27,60,51,759,5,12,0,25.04,1008.43,40.36,277.2,71.33
27,61,51,759,6,13,0,25.04,1008.43,40.35,276.73,71.33
27,61,51,759,6,13,0,25.04,1008.43,40.36,276.73,71.33
27,61,52,760,6,13,0,25.04,1008.43,40.36,274.67,71.33
27,61,51,759,5,12,0,25.04,1008.43,40.35,276.97,71.33
27,61,51,759,5,13,0,25.04,1008.43,40.35,276.04,71.42
26,60,52,758,9,16,0,25.04,1008.42,40.35,278.13,71.42
27,61,52,760,8,14,0,25.03,1008.42,40.35,277.43,71.33
26,61,52,759,6,13,0,25.03,1008.43,40.37,276.27,71.42
27,61,51,759,12,16,0,25.03,1008.42,40.37,276.27,71.33
26,61,52,759,9,16,0,25.03,1008.43,40.37,277.2,71.42
27,61,52,759,7,14,0,25.03,1008.42,40.36,277.66,71.33
27,61,52,760,7,14,0,25.03,1008.43,40.38,276.27,71.33
27,61,51,760,6,14,0,25.03,1008.43,40.37,278.13,71.25
27,61,51,759,6,14,0,25.03,1008.44,40.37,275.58,71.33
27,61,52,759,7,14,0,25.03,1008.43,40.39,276.97,71.42
27,61,51,759,6,14,0,25.03,1008.42,40.4,275.81,71.42
27,61,52,759,6,13,0,25.03,1008.42,40.39,276.97,71.5
27,61,52,760,6,13,0,25.03,1008.41,40.38,276.5,71.5
27,61,51,759,5,12,0,25.03,1008.41,40.38,275.58,71.58
27,61,52,760,5,14,0,25.03,1008.4,40.37,275.58,71.58
27,61,51,760,5,13,0,25.03,1008.4,40.39,277.2,71.58
27,61,51,759,6,13,0,25.03,1008.4,40.36,276.97,71.58
27,61,52,759,6,14,0,25.03,1008.4,40.37,276.27,71.58
27,61,52,759,6,13,0,25.03,1008.4,40.36,276.04,71.5
27,61,52,759,5,14,0,25.03,1008.41,40.36,278.37,71.58
27,61,51,759,6,13,0,25.03,1008.4,40.36,276.5,71.58
27,61,52,760,5,13,0,25.03,1008.4,40.37,277.43,71.58
28,61,52,760,5,13,0,25.03,1008.4,40.36,277.66,71.58
28,61,52,760,5,12,0,25.03,1008.4,40.34,276.97,71.58
27,61,52,760,5,13,0,25.03,1008.4,40.35,276.73,71.58
27,61,52,759,5,13,0,25.03,1008.4,40.35,276.97,71.58
27,61,52,759,5,12,0,25.03,1008.4,40.33,277.2,71.58
28,61,52,760,5,12,0,25.03,1008.4,40.35,276.97,71.58
28,61,51,759,5,11,0,25.03,1008.4,40.35,278.13,71.5
28,61,52,760,5,13,0,25.03,1008.41,40.33,276.04,71.5
27,61,52,759,5,12,0,25.03,1008.41,40.33,276.97,71.5
27,61,52,760,5,13,0,25.03,1008.41,40.34,277.2,71.5
27,61,51,759,5,13,0,25.03,1008.41,40.31,278.37,71.58
27,61,52,760,5,13,0,25.03,1008.4,40.3,278.6,71.5
28,61,52,759,5,13,0,25.03,1008.41,40.3,276.5,71.5
27,61,52,759,6,15,0,25.03,1008.41,40.3,277.9,71.5
27,61,52,760,6,13,0,25.03,1008.41,40.33,278.37,71.5
27,61,52,759,6,13,0,25.03,1008.41,40.31,275.58,71.42
28,61,52,760,5,13,0,25.03,1008.42,40.31,277.9,71.5
28,61,52,759,5,13,0,25.03,1008.41,40.29,279.07,71.5
28,61,52,759,5,13,0,25.03,1008.41,40.31,276.97,71.5
28,61,52,759,6,13,0,25.03,1008.41,40.31,277.43,71.5
27,61,53,759,5,13,0,25.03,1008.41,40.32,276.97,71.5
27,61,52,760,6,13,0,25.03,1008.41,40.31,277.9,71.5
27,61,52,760,5,13,0,25.03,1008.41,40.32,277.66,71.5
27,62,52,759,5,13,0,25.03,1008.41,40.32,276.97,71.5
27,61,52,759,5,13,0,25.03,1008.41,40.29,277.43,71.58
27,61,52,759,5,13,0,25.03,1008.4,40.32,278.83,71.5
28,60,52,760,5,13,0,25.03,1008.41,40.31,275.81,71.5
28,61,52,760,5,13,0,25.03,1008.41,40.3,276.97,71.5
27,61,52,759,6,13,0,25.03,1008.41,40.32,277.43,71.5
27,61,52,760,6,13,0,25.03,1008.41,40.32,277.43,71.33
27,61,53,760,6,14,0,25.03,1008.43,40.32,278.13,71.33
28,61,53,759,5,13,0,25.03,1008.43,40.32,277.43,71.42
27,60,53,760,6,14,0,25.03,1008.42,40.32,278.37,71.42
28,61,53,760,5,12,0,25.03,1008.42,40.33,277.43,71.42
28,61,53,759,4,13,0,25.03,1008.42,40.32,276.73,71.42
28,61,53,759,6,14,0,25.03,1008.42,40.33,276.97,71.42
28,61,53,760,6,13,0,25.03,1008.42,40.33,275.81,71.42
28,61,53,760,6,13,0,25.03,1008.42,40.33,275.58,71.42
28,61,52,760,5,14,0,25.03,1008.42,40.32,277.9,71.42
28,61,53,760,5,13,0,25.03,1008.42,40.33,276.5,71.42
28,61,53,760,5,13,0,25.03,1008.42,40.31,277.43,71.33
27,61,53,760,5,13,0,25.03,1008.43,40.32,276.04,71.42
28,61,53,760,5,13,0,25.03,1008.42,40.3,276.5,71.33
28,61,53,760,5,14,0,25.03,1008.43,40.29,277.66,71.33
28,61,53,760,5,13,0,25.03,1008.43,40.31,277.9,71.33
28,61,53,760,5,13,0,25.03,1008.43,40.3,278.6,71.42
28,61,53,760,5,13,0,25.03,1008.42,40.3,277.9,71.42
28,61,53,760,6,13,0,25.03,1008.42,40.29,277.9,71.42
28,61,53,760,5,14,0,25.03,1008.42,40.28,277.2,71.42
28,61,53,760,6,14,0,25.03,1008.42,40.26,276.27,71.5
28,61,53,760,6,13,0,25.03,1008.41,40.29,276.97,71.42
27,61,53,760,5,14,0,25.03,1008.42,40.29,276.97,71.5
28,61,53,760,6,14,0,25.03,1008.41,40.27,276.04,71.42
28,61,53,760,6,13,0,25.03,1008.42,40.29,277.9,71.5
28,61,53,761,6,14,0,25.03,1008.41,40.29,275.58,71.42
28,61,53,760,6,13,0,25.03,1008.42,40.29,278.13,71.5
28,61,53,760,5,13,0,25.03,1008.41,40.28,276.97,71.5
28,61,53,760,6,13,0,25.03,1008.41,40.29,277.66,71.5
28,61,53,760,5,12,0,25.03,1008.41,40.29,276.73,71.5
27,61,53,760,6,14,0,25.03,1008.41,40.3,276.04,71.42
28,61,53,759,6,14,0,25.03,1008.42,40.29,278.6,71.58
28,61,53,760,5,13,0,25.03,1008.4,40.29,277.43,71.5
28,61,53,760,5,13,0,25.03,1008.41,40.28,278.37,71.5
28,61,53,760,5,12,0,25.03,1008.41,40.28,275.81,71.5
28,61,53,760,6,13,0,25.03,1008.41,40.29,277.2,71.5
28,62,52,760,6,14,0,25.03,1008.41,40.26,276.5,71.5
28,61,53,760,6,12,0,25.03,1008.41,40.28,277.2,71.5
28,61,53,760,5,14,0,25.03,1008.41,40.29,276.97,71.5
28,61,53,760,5,13,0,25.03,1008.41,40.28,276.27,71.5
28,61,53,760,5,13,0,25.03,1008.41,40.27,277.9,71.5
28,61,53,760,6,13,0,25.03,1008.41,40.27,276.27,71.42
28,61,53,759,6,13,0,25.03,1008.42,40.28,275.35,71.33
28,61,53,759,6,13,0,25.03,1008.43,40.27,276.5,71.33
28,61,53,760,6,13,0,25.03,1008.43,40.28,276.97,71.33
28,61,54,760,7,14,0,25.03,1008.43,40.26,277.66,71.42
28,61,54,760,6,14,0,25.03,1008.42,40.26,276.04,71.42
28,61,53,760,6,13,0,25.03,1008.42,40.26,276.04,71.42
28,61,54,760,4,12,0,25.03,1008.42,40.27,277.2,71.42
29,61,53,760,5,12,0,25.03,1008.42,40.27,276.27,71.33
29,61,53,760,4,12,0,25.03,1008.43,40.27,276.27,71.25
29,61,54,760,5,12,0,25.03,1008.44,40.26,275.35,71.25
29,61,53,760,6,13,0,25.03,1008.44,40.26,275.35,71.25
28,61,54,760,5,13,0,25.03,1008.44,40.26,275.58,71.25
28,61,53,760,6,14,0,25.03,1008.44,40.25,275.35,71.33
29,61,53,760,7,14,0,25.03,1008.43,40.25,275.81,71.25
28,61,54,759,6,13,0,25.03,1008.44,40.25,277.9,71.25
28,61,54,760,6,13,0,25.03,1008.44,40.25,275.12,71.25
29,61,53,760,6,14,0,25.03,1008.44,40.25,274.67,71.25
28,61,53,760,6,14,0,25.03,1008.44,40.24,276.5,71.25
28,61,53,761,6,14,0,25.03,1008.44,40.23,275.58,71.25
28,61,54,760,10,18,0,25.03,1008.44,40.23,277.43,71.25
28,61,53,760,8,15,0,25.03,1008.44,40.23,276.04,71.25
28,61,54,760,11,18,0,25.03,1008.44,40.24,276.27,71.33
28,61,53,760,7,14,0,25.03,1008.43,40.24,274.44,71.33
28,62,54,760,6,14,0,25.03,1008.43,40.24,273.98,71.25
29,61,53,760,6,14,0,25.03,1008.44,40.25,274.89,71.33
29,61,54,760,6,13,0,25.03,1008.43,40.26,275.35,71.33
29,61,54,760,6,13,0,25.03,1008.43,40.27,274.44,71.42
28,62,54,760,6,13,0,25.03,1008.42,40.29,274.89,71.33
29,61,54,760,6,13,0,25.03,1008.43,40.29,273.53,71.33
29,62,54,760,6,14,0,25.03,1008.43,40.31,274.21,71.33
29,62,54,760,6,14,0,25.03,1008.43,40.31,273.98,71.42
29,62,54,760,6,14,0,25.03,1008.42,40.3,273.08,71.42
29,62,54,760,6,14,0,25.03,1008.42,40.3,274.21,71.42
29,61,54,760,6,13,0,25.04,1008.42,40.29,274.44,71.33
28,61,54,761,6,14,0,25.04,1008.43,40.29,274.67,71.42
29,61,54,760,6,13,0,25.04,1008.42,40.29,273.75,71.42
29,62,54,761,6,14,0,25.04,1008.42,40.29,272.4,71.33
29,62,54,760,5,13,0,25.04,1008.43,40.28,274.21,71.33
28,62,54,760,6,14,0,25.04,1008.43,40.26,273.08,71.33
28,62,54,760,6,14,0,25.04,1008.43,40.26,273.3,71.42
29,62,54,760,5,13,0,25.04,1008.42,40.26,274.21,71.42
29,61,54,760,5,13,0,25.04,1008.42,40.25,272.85,71.42
29,62,54,760,5,13,0,25.04,1008.42,40.25,273.53,71.5
29,62,54,760,6,13,0,25.04,1008.41,40.24,273.98,71.33
29,62,54,760,5,11,0,25.04,1008.43,40.25,273.75,71.33
29,61,54,760,5,13,0,25.04,1008.43,40.24,272.63,71.42
29,61,55,760,5,13,0,25.04,1008.42,40.24,273.08,71.42
29,62,54,760,5,14,0,25.04,1008.42,40.25,271.73,71.33
29,62,54,760,7,13,0,25.04,1008.43,40.24,271.95,71.33
29,62,54,760,5,13,0,25.04,1008.43,40.25,271.95,71.33
29,61,54,760,5,14,0,25.04,1008.43,40.24,271.51,71.33
29,62,54,760,5,13,0,25.04,1008.43,40.24,273.75,71.33
29,61,54,761,6,13,0,25.05,1008.43,40.23,272.63,71.33
29,62,54,760,5,13,0,25.05,1008.43,40.22,272.63,71.42
29,61,55,760,5,14,0,25.05,1008.42,40.23,273.08,71.42
29,61,54,761,5,13,0,25.05,1008.42,40.21,272.63,71.33
29,62,55,761,5,13,0,25.05,1008.43,40.22,272.85,71.33
29,62,55,760,6,13,0,25.05,1008.43,40.22,273.08,71.33
