NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
26,60,53,761,1,11,0,24.92,1008.82,40.29,296.6,68.16
27,60,53,762,1,11,0,24.92,1008.81,40.31,296.6,68.16
27,60,52,761,1,11,0,24.91,1008.81,40.31,294.22,68.07
27,60,53,761,1,11,0,24.92,1008.82,40.32,295.8,68.07
27,60,52,761,1,11,0,24.92,1008.82,40.32,293.7,67.99
27,60,53,762,1,11,0,24.92,1008.83,40.33,296.33,67.99
27,60,53,762,1,10,0,24.92,1008.83,40.33,293.7,67.99
27,61,52,762,1,11,0,24.92,1008.83,40.33,293.44,68.07
27,60,53,762,1,11,0,24.92,1008.82,40.33,296.6,67.99
27,60,53,762,1,11,0,24.92,1008.83,40.34,294.48,67.82
27,61,53,762,1,10,0,24.92,1008.85,40.34,295.27,67.82
27,60,52,761,1,11,0,24.92,1008.85,40.33,294.75,67.82
26,60,53,762,1,11,0,24.93,1008.85,40.34,293.18,67.74
27,60,53,762,1,10,0,24.93,1008.86,40.33,293.96,67.74
27,60,52,762,1,11,0,24.93,1008.86,40.33,296.07,67.74
27,60,52,762,1,10,0,24.93,1008.86,40.34,294.48,67.82
27,60,53,762,1,10,0,24.93,1008.85,40.33,294.48,67.82
28,60,53,762,1,10,0,24.93,1008.85,40.33,294.75,67.82
27,61,52,762,1,11,0,24.93,1008.85,40.33,295.27,67.82
28,60,53,762,1,11,0,24.94,1008.85,40.32,295.01,67.91
28,61,53,762,1,11,0,24.94,1008.84,40.33,293.96,67.91
27,60,53,762,1,11,0,24.94,1008.84,40.33,292.4,67.91
28,60,53,763,1,11,0,24.94,1008.84,40.32,293.96,67.99
28,60,53,763,1,11,0,24.94,1008.83,40.31,294.48,67.99
28,61,53,763,1,11,0,24.94,1008.83,40.31,294.75,67.99
28,61,53,763,1,11,0,24.95,1008.83,40.31,293.96,67.99
28,61,53,763,1,11,0,24.95,1008.83,40.31,294.22,68.07
28,60,53,763,1,11,0,24.95,1008.82,40.31,292.14,67.99
28,60,53,763,1,11,0,24.95,1008.83,40.31,292.66,67.91
28,60,53,763,1,11,0,24.95,1008.84,40.28,293.7,67.91
