NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
41,62,134,729,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,62,135,730,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,62,134,733,2,11,0,33.59,688.6,100.0,0.0,3170.54
41,62,135,734,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,63,135,735,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,63,135,736,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,63,135,737,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,62,135,737,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,62,135,738,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,62,135,738,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,63,134,738,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,63,135,739,2,11,0,33.59,688.6,100.0,0.0,3170.54
41,63,134,738,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,63,134,738,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,63,133,740,2,10,0,33.59,688.6,100.0,0.0,3170.54
40,63,134,740,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,63,133,740,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,63,134,741,3,10,0,33.59,688.6,100.0,0.0,3170.54
41,63,134,742,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,63,134,741,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,63,133,741,2,10,0,33.59,688.6,100.0,0.0,3170.54
39,64,133,742,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,63,133,743,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,64,133,743,2,10,0,33.59,688.6,100.0,0.0,3170.54
40,63,133,743,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,64,134,744,2,10,0,33.59,688.6,100.0,0.0,3170.54
40,64,133,744,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,63,133,744,2,10,0,33.59,688.6,100.0,0.0,3170.54
40,64,133,745,2,10,0,33.59,688.6,100.0,0.0,3170.54
40,64,133,745,3,10,0,33.59,688.6,100.0,0.0,3170.54
41,63,133,745,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,63,133,744,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,63,132,745,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,63,132,744,2,10,0,33.59,688.6,100.0,0.0,3170.54
40,63,132,745,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,64,133,745,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,63,132,744,2,11,0,33.59,688.6,100.0,0.0,3170.54
41,63,132,745,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,64,132,746,2,10,0,33.59,688.6,100.0,0.0,3170.54
40,64,132,746,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,63,132,746,2,10,0,33.59,688.6,100.0,0.0,3170.54
40,64,132,747,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,64,132,747,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,64,132,746,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,64,131,746,2,10,0,33.59,688.6,100.0,0.0,3170.54
40,63,132,746,2,10,0,33.59,688.6,100.0,0.0,3170.54
40,64,132,747,2,10,0,33.59,688.6,100.0,0.0,3170.54
40,64,132,747,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,64,131,747,2,11,0,33.59,688.6,100.0,0.0,3170.54
41,64,132,748,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,63,131,748,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,63,132,747,2,10,0,33.59,688.6,100.0,0.0,3170.54
40,64,132,748,3,10,0,33.59,688.6,100.0,0.0,3170.54
41,64,131,748,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,64,131,747,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,64,131,748,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,64,132,748,2,10,0,33.59,688.6,100.0,0.0,3170.54
40,64,131,748,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,64,132,748,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,64,131,748,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,64,132,749,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,64,131,749,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,64,131,749,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,64,131,749,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,64,131,750,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,65,131,750,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,64,131,749,3,10,0,33.59,688.6,100.0,0.0,3170.54
40,64,131,749,2,11,0,33.59,688.6,100.0,0.0,3170.54
41,65,131,749,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,64,131,749,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,64,131,748,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,64,130,749,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,64,131,748,3,10,0,33.59,688.6,100.0,0.0,3170.54
41,65,130,749,2,11,0,33.59,688.6,100.0,0.0,3170.54
41,64,131,750,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,65,131,751,2,10,0,33.59,688.6,100.0,0.0,3170.54
40,64,131,750,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,65,131,751,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,65,131,751,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,65,131,751,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,65,131,751,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,65,131,752,2,10,0,33.59,688.6,100.0,0.0,3170.54
42,65,131,753,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,65,132,753,3,10,0,33.59,688.6,100.0,0.0,3170.54
41,65,131,753,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,65,131,753,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,65,132,753,2,10,0,33.59,688.6,100.0,0.0,3170.54
42,65,131,754,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,66,132,755,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,65,132,754,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,65,131,754,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,66,131,753,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,65,131,753,2,10,0,33.59,688.6,100.0,0.0,3170.54
42,65,131,754,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,65,132,754,2,10,0,33.59,688.6,100.0,0.0,3170.54
