NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
36,68,80,770,2,26,0,25.73,1011.52,38.75,218.55,45.56
36,69,81,770,1,27,0,25.73,1011.52,38.77,218.41,45.56
35,69,80,771,1,26,0,25.73,1011.52,38.78,217.98,45.47
36,68,80,770,2,27,0,25.73,1011.53,38.8,218.12,45.47
36,69,81,770,1,28,0,25.73,1011.53,38.8,218.55,45.39
36,68,81,770,1,27,0,25.73,1011.54,38.82,218.55,45.47
36,69,80,771,1,28,0,25.73,1011.53,38.84,219.13,45.39
36,69,81,771,1,28,0,25.73,1011.54,38.86,219.86,45.47
36,69,80,771,2,28,0,25.73,1011.53,38.89,219.13,45.39
36,69,80,772,1,28,0,25.73,1011.54,38.9,220.59,45.47
36,69,80,772,1,28,0,25.73,1011.53,38.92,218.41,45.39
36,69,80,772,1,29,0,25.73,1011.54,38.93,218.99,45.39
36,68,80,772,1,29,0,25.73,1011.54,38.93,218.99,45.39
36,69,80,772,1,29,0,25.73,1011.54,38.93,218.99,45.39
36,69,80,772,1,29,0,25.73,1011.54,38.93,219.86,45.39
36,69,80,771,2,28,0,25.74,1011.54,38.92,220.45,45.39
36,69,80,773,1,29,0,25.74,1011.54,38.92,221.18,45.39
35,68,80,772,1,28,0,25.74,1011.54,38.93,220.89,45.31
36,69,80,772,1,29,0,25.74,1011.55,38.93,218.99,45.39
36,69,80,772,2,29,0,25.74,1011.54,38.93,221.04,45.31
36,69,80,773,2,29,0,25.74,1011.55,38.94,220.15,45.31
36,69,79,773,1,28,0,25.74,1011.55,38.96,220.89,45.31
36,69,80,773,1,28,0,25.74,1011.55,38.97,221.18,45.31
35,69,80,774,1,29,0,25.74,1011.55,38.99,222.83,45.31
36,68,80,773,1,28,0,25.74,1011.55,39.0,222.23,45.31
36,69,80,774,2,29,0,25.74,1011.55,39.01,220.45,45.31
35,69,80,774,1,29,0,25.74,1011.55,39.03,221.18,45.31
36,68,80,773,1,28,0,25.75,1011.55,39.02,220.89,45.22
36,69,80,774,1,30,0,25.75,1011.56,39.0,222.08,45.22
35,69,80,774,1,28,0,25.75,1011.56,38.99,221.48,45.14
36,69,80,774,1,29,0,25.75,1011.57,38.99,221.48,45.14
36,69,80,775,1,28,0,25.75,1011.57,38.99,221.48,45.14
36,69,80,775,1,29,0,25.75,1011.57,39.01,221.48,45.14
35,69,80,775,1,27,0,25.76,1011.57,39.05,221.48,45.22
36,69,80,774,1,29,0,25.76,1011.56,39.06,220.3,45.22
36,69,80,775,1,29,0,25.76,1011.56,39.06,222.98,45.14
36,69,80,774,1,29,0,25.76,1011.57,39.08,220.89,45.06
35,69,79,775,1,29,0,25.76,1011.58,39.07,221.33,45.14
35,69,80,775,1,29,0,25.77,1011.57,39.05,221.78,45.14
36,69,80,775,1,29,0,25.77,1011.57,39.05,220.3,45.14
36,68,79,775,1,29,0,25.77,1011.57,39.07,221.93,45.14
36,69,80,775,1,30,0,25.77,1011.57,39.06,221.48,45.14
35,69,79,775,1,29,0,25.77,1011.57,39.04,221.48,45.06
35,69,80,775,1,30,0,25.77,1011.58,39.04,221.78,45.06
35,69,80,775,1,30,0,25.77,1011.58,39.04,222.98,45.06
35,68,79,775,2,28,0,25.78,1011.58,39.04,222.38,45.06
36,69,80,775,1,29,0,25.78,1011.58,39.04,220.3,45.06
35,68,80,775,1,29,0,25.78,1011.58,39.04,221.04,45.06
36,69,80,775,1,30,0,25.78,1011.58,39.04,221.33,45.06
35,69,80,776,1,29,0,25.78,1011.58,39.06,221.78,45.06
36,69,80,775,1,29,0,25.78,1011.58,39.07,220.59,44.97
36,69,80,776,1,29,0,25.78,1011.59,39.07,221.93,44.97
36,68,80,776,1,29,0,25.79,1011.59,39.08,220.3,44.97
35,69,80,775,1,30,0,25.79,1011.59,39.06,222.38,44.97
35,69,80,776,1,29,0,25.79,1011.59,39.06,222.98,44.97
35,69,80,776,1,28,0,25.79,1011.59,39.05,221.78,44.97
35,69,80,776,1,28,0,25.79,1011.59,39.03,223.43,44.97
35,69,80,776,1,29,0,25.8,1011.59,39.03,222.23,44.89
36,69,79,776,1,29,0,25.79,1011.6,39.03,221.93,44.89
35,69,80,776,1,29,0,25.8,1011.6,39.04,222.08,44.89
36,69,80,777,1,29,0,25.8,1011.6,39.04,221.93,44.89
36,69,80,776,1,30,0,25.8,1011.6,39.06,222.23,44.97
36,69,80,776,1,29,0,25.8,1011.59,39.07,221.33,44.89
35,70,80,777,1,29,0,25.8,1011.6,39.09,222.23,44.97
36,69,80,777,1,29,0,25.8,1011.59,39.1,221.18,44.97
36,70,79,777,1,29,0,25.8,1011.59,39.11,221.93,44.97
36,70,80,778,1,29,0,25.8,1011.59,39.12,222.98,44.89
36,70,80,778,1,29,0,25.8,1011.6,39.09,222.08,44.89
36,70,80,778,1,29,0,25.8,1011.6,39.1,222.08,44.89
35,70,80,779,1,29,0,25.81,1011.6,39.08,221.93,44.81
35,69,80,778,1,29,0,25.81,1011.61,39.09,220.74,44.89
36,69,80,778,1,27,0,25.81,1011.6,39.1,222.83,44.89
36,69,80,778,1,29,0,25.81,1011.6,39.11,222.68,44.81
36,70,80,779,1,29,0,25.81,1011.61,39.12,221.78,44.81
36,69,80,779,1,29,0,25.81,1011.61,39.12,221.93,44.89
36,70,80,779,1,29,0,25.81,1011.6,39.11,221.18,44.81
36,70,80,779,1,29,0,25.81,1011.61,39.13,221.93,44.89
35,70,80,778,1,28,0,25.81,1011.6,39.13,222.98,44.81
36,70,80,778,1,28,0,25.81,1011.61,39.14,222.08,44.89
36,69,79,779,1,29,0,25.81,1011.6,39.13,221.63,44.89
35,70,80,778,1,29,0,25.82,1011.6,39.12,224.03,44.89
35,69,80,779,1,29,0,25.82,1011.6,39.12,222.53,44.89
36,70,79,779,1,29,0,25.82,1011.6,39.12,221.63,44.89
36,70,80,779,1,29,0,25.82,1011.6,39.11,222.98,44.89
36,69,80,779,1,29,0,25.82,1011.6,39.09,222.83,44.81
36,70,80,779,1,29,0,25.82,1011.61,39.09,222.53,44.72
36,69,80,780,1,29,0,25.82,1011.62,39.08,221.18,44.72
35,69,80,780,1,29,0,25.82,1011.62,39.08,222.23,44.72
36,69,80,779,1,30,0,25.82,1011.62,39.1,222.53,44.72
36,69,79,779,1,29,0,25.82,1011.62,39.13,221.63,44.72
36,69,80,779,2,29,0,25.82,1011.62,39.14,221.93,44.72
36,69,80,779,1,29,0,25.82,1011.62,39.15,221.63,44.72
36,69,80,779,1,31,0,25.82,1011.62,39.16,223.28,44.72
36,69,80,779,1,29,0,25.82,1011.62,39.15,223.88,44.72
36,69,79,779,1,29,0,25.82,1011.62,39.15,222.53,44.72
36,69,80,779,1,30,0,25.82,1011.62,39.14,221.78,44.72
36,69,80,779,1,29,0,25.82,1011.62,39.12,222.98,44.56
36,70,80,779,1,28,0,25.82,1011.64,39.11,223.28,44.64
36,69,80,779,1,29,0,25.82,1011.63,39.09,222.53,44.64
36,69,80,779,1,29,0,25.82,1011.63,39.05,223.88,44.72
36,69,80,779,1,29,0,25.83,1011.62,39.02,222.68,44.72
36,70,80,778,1,29,0,25.83,1011.62,39.01,224.03,44.72
36,69,79,779,1,32,0,25.83,1011.62,38.99,223.13,44.72
36,69,80,778,1,29,0,25.83,1011.62,38.97,222.68,44.72
35,69,80,779,2,29,0,25.83,1011.62,38.97,224.64,44.72
36,69,80,779,1,30,0,25.83,1011.62,38.97,221.93,44.72
36,69,80,779,1,29,0,25.83,1011.62,39.01,222.23,44.72
36,69,80,779,1,29,0,25.83,1011.62,39.01,222.38,44.72
36,69,80,779,1,29,0,25.83,1011.62,39.07,223.43,44.72
36,69,80,780,1,30,0,25.83,1011.62,39.08,223.13,44.72
36,70,79,779,1,29,0,25.83,1011.62,39.11,222.23,44.72
36,70,80,779,1,29,0,25.83,1011.62,39.14,223.13,44.64
36,70,81,779,1,30,0,25.83,1011.63,39.16,222.53,44.56
36,69,81,779,1,29,0,25.83,1011.64,39.2,221.93,44.56
36,69,80,779,2,29,0,25.83,1011.64,39.22,221.48,44.56
36,69,80,779,1,29,0,25.83,1011.64,39.23,221.33,44.56
36,70,81,779,1,27,0,25.83,1011.64,39.24,222.53,44.56
36,69,80,779,1,29,0,25.83,1011.64,39.24,221.33,44.64
36,69,80,778,1,29,0,25.83,1011.63,39.25,222.68,44.56
36,69,81,778,1,30,0,25.83,1011.64,39.27,221.48,44.56
36,69,80,778,1,29,0,25.83,1011.64,39.27,221.33,44.56
36,69,79,778,1,28,0,25.84,1011.64,39.25,221.33,44.56
36,69,81,778,1,29,0,25.84,1011.64,39.25,222.53,44.56
36,69,81,778,1,29,0,25.84,1011.64,39.24,221.18,44.56
36,69,80,778,1,30,0,25.84,1011.64,39.24,221.04,44.56
36,70,80,778,1,29,0,25.84,1011.64,39.23,221.33,44.47
36,70,81,778,1,29,0,25.84,1011.65,39.21,221.04,44.47
36,69,80,778,1,29,0,25.84,1011.65,39.17,221.63,44.47
36,69,80,778,1,30,0,25.84,1011.65,39.14,223.58,44.47
36,69,80,778,1,29,0,25.84,1011.65,39.1,222.38,44.47
35,69,80,778,1,29,0,25.84,1011.65,39.07,223.13,44.47
36,69,80,778,1,29,0,25.84,1011.65,39.04,223.13,44.47
36,69,80,778,1,30,0,25.84,1011.65,39.03,222.38,44.47
36,69,80,778,1,29,0,25.85,1011.65,39.04,223.73,44.47
36,69,81,778,1,29,0,25.84,1011.65,39.07,221.63,44.47
36,69,80,778,1,30,0,25.85,1011.65,39.1,221.93,44.47
36,69,80,778,1,29,0,25.85,1011.65,39.13,221.33,44.47
36,69,80,778,1,29,0,25.85,1011.65,39.14,221.93,44.39
36,69,80,777,1,30,0,25.85,1011.66,39.16,222.23,44.39
