NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
38,64,96,735,1,11,0,25.58,1019.76,24.29,550.23,-22.95
39,64,96,735,1,11,0,25.58,1019.77,24.29,552.49,-22.87
39,64,97,735,1,11,0,25.59,1019.76,24.29,551.58,-22.87
39,64,96,735,1,11,0,25.59,1019.76,24.27,551.58,-22.95
39,64,96,736,1,12,0,25.59,1019.77,24.26,553.86,-23.04
39,64,96,735,1,12,0,25.6,1019.78,24.28,550.68,-23.04
39,63,96,736,0,12,0,25.6,1019.78,24.26,548.43,-22.95
39,64,97,736,1,12,0,25.6,1019.77,24.25,549.78,-22.95
39,64,96,735,1,12,0,25.6,1019.77,24.26,551.13,-22.95
39,64,97,736,0,12,0,25.6,1019.77,24.25,549.33,-23.04
39,64,97,736,1,12,0,25.6,1019.78,24.24,551.58,-23.04
39,63,97,735,1,12,0,25.6,1019.78,24.23,551.13,-23.12
40,64,97,737,1,12,0,25.6,1019.79,24.22,549.33,-23.12
40,64,98,736,1,13,0,25.6,1019.79,24.22,546.2,-23.2
40,64,97,736,1,13,0,25.6,1019.8,24.22,547.54,-23.28
40,64,98,736,1,14,0,25.6,1019.81,24.22,546.65,-23.28
40,64,98,736,1,13,0,25.6,1019.81,24.2,546.65,-23.37
40,64,98,735,1,12,0,25.6,1019.82,24.22,547.98,-23.45
40,64,98,735,1,12,0,25.61,1019.83,24.21,545.76,-23.53
40,64,98,736,1,13,0,25.61,1019.84,24.2,548.88,-23.53
40,64,98,735,1,13,0,25.61,1019.84,24.19,544.43,-23.53
40,64,99,735,1,13,0,25.61,1019.84,24.19,545.32,-23.53
40,64,99,735,1,12,0,25.61,1019.84,24.18,545.76,-23.61
40,64,98,735,1,13,0,25.61,1019.85,24.16,545.76,-23.53
40,64,99,735,1,13,0,25.61,1019.84,24.18,548.88,-23.53
40,64,99,735,1,13,0,25.61,1019.84,24.16,546.65,-23.45
40,63,99,735,1,13,0,25.61,1019.83,24.15,544.43,-23.37
40,64,99,736,1,13,0,25.61,1019.82,24.15,542.67,-23.37
40,64,99,736,1,13,0,25.61,1019.82,24.14,547.09,-23.28
40,63,99,735,1,13,0,25.61,1019.81,24.14,541.36,-23.28
40,63,99,736,1,13,0,25.61,1019.81,24.13,543.99,-23.2
41,63,99,736,1,13,0,25.61,1019.8,24.14,540.92,-23.12
41,64,99,736,1,13,0,25.61,1019.79,24.13,540.49,-23.04
41,63,99,736,1,13,0,25.61,1019.78,24.14,540.05,-22.95
40,64,99,735,1,13,0,25.61,1019.77,24.14,542.23,-22.95
41,63,99,735,1,13,0,25.61,1019.77,24.14,540.05,-22.87
40,63,99,735,1,12,0,25.61,1019.76,24.14,543.11,-22.87
40,64,99,735,1,12,0,25.61,1019.76,24.15,539.62,-22.87
40,63,99,736,1,13,0,25.61,1019.76,24.13,540.05,-22.7
41,63,99,736,1,12,0,25.61,1019.74,24.13,540.92,-22.7
41,63,100,735,1,14,0,25.61,1019.74,24.14,541.36,-22.7
40,64,99,736,1,12,0,25.61,1019.74,24.12,540.05,-22.7
41,63,99,735,1,13,0,25.62,1019.74,24.13,540.49,-22.79
40,64,100,736,1,13,0,25.62,1019.75,24.13,538.32,-22.87
40,64,99,735,1,13,0,25.62,1019.76,24.13,543.11,-22.87
40,64,100,736,1,13,0,25.62,1019.76,24.12,538.32,-22.87
40,64,99,736,1,12,0,25.62,1019.76,24.13,539.62,-23.04
41,63,99,735,1,12,0,25.62,1019.78,24.13,539.62,-23.04
41,64,99,736,1,12,0,25.62,1019.78,24.12,540.49,-23.04
41,63,99,735,1,12,0,25.62,1019.78,24.11,537.46,-23.12
41,64,99,736,1,12,0,25.62,1019.79,24.12,535.75,-23.2
41,64,99,736,1,13,0,25.62,1019.8,24.11,540.05,-23.28
41,63,99,735,0,12,0,25.62,1019.81,24.11,539.62,-23.28
41,63,100,736,1,14,0,25.62,1019.81,24.12,537.89,-23.37
41,64,99,736,1,13,0,25.62,1019.82,24.12,540.49,-23.37
41,64,100,735,1,12,0,25.62,1019.82,24.11,539.19,-23.37
41,63,100,736,1,13,0,25.62,1019.82,24.11,538.75,-23.45
41,64,100,735,1,12,0,25.62,1019.83,24.1,537.89,-23.45
41,64,100,736,1,12,0,25.62,1019.83,24.1,537.89,-23.45
41,63,99,736,1,12,0,25.62,1019.83,24.08,539.62,-23.45
41,63,100,736,1,12,0,25.62,1019.83,24.09,542.67,-23.45
41,63,100,735,1,13,0,25.62,1019.83,24.08,538.75,-23.37
41,64,100,736,1,13,0,25.62,1019.82,24.08,539.62,-23.37
41,63,100,736,1,13,0,25.62,1019.82,24.08,538.75,-23.37
41,64,100,736,1,12,0,25.62,1019.82,24.08,537.46,-23.45
41,64,100,735,1,12,0,25.62,1019.83,24.08,541.36,-23.37
41,64,99,736,1,13,0,25.62,1019.82,24.07,541.36,-23.28
41,64,99,735,1,12,0,25.62,1019.81,24.07,538.75,-23.28
40,63,100,735,1,12,0,25.62,1019.81,24.07,541.8,-23.28
41,64,99,736,1,12,0,25.62,1019.81,24.05,540.49,-23.28
41,63,100,736,1,13,0,25.62,1019.81,24.06,539.19,-23.37
41,64,99,736,1,12,0,25.62,1019.82,24.06,544.87,-23.37
41,64,100,736,1,12,0,25.62,1019.82,24.05,542.23,-23.45
41,64,99,735,1,12,0,25.62,1019.83,24.07,543.99,-23.37
41,63,99,735,1,12,0,25.62,1019.82,24.06,540.92,-23.37
41,63,99,735,1,12,0,25.62,1019.82,24.05,542.23,-23.45
41,64,99,735,1,12,0,25.62,1019.83,24.06,541.8,-23.53
41,63,100,736,1,12,0,25.62,1019.84,24.05,541.36,-23.61
41,64,100,735,1,12,0,25.63,1019.85,24.06,541.36,-23.7
41,63,100,736,1,12,0,25.63,1019.86,24.06,540.92,-23.7
41,64,100,736,1,12,0,25.63,1019.86,24.05,540.05,-23.78
41,63,99,736,1,12,0,25.63,1019.87,24.05,541.36,-23.86
41,64,99,736,1,12,0,25.63,1019.88,24.04,541.8,-23.86
42,64,99,735,1,12,0,25.63,1019.88,24.04,547.09,-23.95
41,64,100,735,1,12,0,25.63,1019.89,24.04,543.11,-24.03
42,64,99,735,1,12,0,25.63,1019.9,24.05,543.11,-24.03
41,64,99,736,1,13,0,25.63,1019.9,24.04,543.11,-24.03
41,64,99,736,1,12,0,25.63,1019.9,24.04,544.87,-24.11
41,63,99,736,1,12,0,25.63,1019.91,24.04,543.55,-24.11
41,64,99,736,1,12,0,25.63,1019.91,24.04,541.8,-24.11
42,64,99,735,1,12,0,25.63,1019.91,24.03,543.99,-24.11
41,63,99,736,1,12,0,25.63,1019.91,24.03,544.43,-24.19
41,63,100,735,1,12,0,25.63,1019.92,24.03,547.09,-24.11
41,64,100,735,1,12,0,25.63,1019.91,24.04,543.99,-24.11
41,64,99,736,1,12,0,25.63,1019.91,24.03,543.11,-24.03
41,64,100,736,1,12,0,25.63,1019.9,24.03,545.76,-24.03
41,63,99,736,1,12,0,25.63,1019.9,24.03,545.76,-23.95
41,64,99,736,1,12,0,25.63,1019.89,24.03,540.05,-24.03
42,63,100,736,1,11,0,25.63,1019.9,24.04,545.76,-23.95
42,64,99,736,1,12,0,25.63,1019.89,24.04,541.8,-23.86
42,64,100,736,1,12,0,25.63,1019.88,24.04,542.67,-23.86
42,64,100,736,1,12,0,25.63,1019.88,24.05,542.67,-23.78
41,63,100,736,1,12,0,25.63,1019.87,24.06,543.11,-23.78
41,63,99,736,1,12,0,25.63,1019.87,24.07,541.36,-23.7
42,64,100,736,1,11,0,25.63,1019.86,24.05,543.99,-23.7
42,64,99,736,1,12,0,25.63,1019.86,24.05,540.92,-23.78
42,63,99,736,1,12,0,25.63,1019.87,24.06,546.2,-23.86
42,63,100,736,1,12,0,25.63,1019.88,24.07,540.92,-23.86
41,64,100,736,1,12,0,25.63,1019.88,24.05,542.67,-23.95
42,63,100,735,1,12,0,25.63,1019.89,24.04,543.11,-23.95
41,64,100,735,1,12,0,25.63,1019.89,24.05,544.43,-24.03
42,64,99,735,1,12,0,25.63,1019.9,24.05,540.49,-24.03
42,64,99,735,1,12,0,25.63,1019.9,24.05,543.55,-24.11
42,63,99,735,1,12,0,25.63,1019.91,24.05,538.75,-24.03
42,63,99,736,1,12,0,25.63,1019.9,24.04,540.49,-24.03
42,63,99,735,1,12,0,25.63,1019.9,24.07,539.19,-24.03
42,64,100,736,1,12,0,25.63,1019.9,24.05,539.62,-24.03
41,64,100,736,1,12,0,25.63,1019.9,24.06,542.23,-24.03
42,64,100,736,1,12,0,25.63,1019.9,24.04,540.49,-23.95
42,63,100,736,1,12,0,25.63,1019.89,24.05,539.62,-23.95
42,63,99,735,1,12,0,25.63,1019.89,24.04,542.67,-23.86
42,64,99,735,1,11,0,25.64,1019.88,24.04,541.8,-23.95
42,64,100,736,1,12,0,25.64,1019.89,24.03,543.11,-23.86
43,63,99,736,1,12,0,25.64,1019.88,24.03,540.92,-23.86
42,64,99,735,1,12,0,25.64,1019.88,24.03,543.11,-23.86
42,64,99,736,1,12,0,25.64,1019.88,24.01,542.23,-23.95
43,64,100,736,1,12,0,25.64,1019.89,24.02,543.11,-23.86
42,63,100,736,1,12,0,25.64,1019.88,24.02,540.49,-23.86
43,64,100,736,1,12,0,25.64,1019.88,24.01,541.36,-23.86
42,63,100,736,1,12,0,25.64,1019.88,24.01,543.99,-23.78
42,63,99,735,1,13,0,25.64,1019.87,24.0,544.87,-23.78
42,64,100,736,1,12,0,25.64,1019.87,24.01,540.05,-23.78
42,64,99,736,1,12,0,25.64,1019.87,23.99,540.05,-23.86
43,64,99,736,1,12,0,25.64,1019.88,24.0,541.36,-23.86
42,64,100,736,1,13,0,25.64,1019.88,23.99,543.99,-23.86
42,63,100,736,1,12,0,25.64,1019.88,23.98,543.55,-23.86
43,63,100,736,1,12,0,25.64,1019.88,23.99,540.49,-23.78
43,64,100,736,1,12,0,25.64,1019.87,23.97,543.11,-23.78
43,64,100,735,1,12,0,25.64,1019.87,23.96,543.11,-23.78
43,64,100,736,1,12,0,25.64,1019.87,23.95,544.87,-23.7
42,64,99,736,1,12,0,25.64,1019.86,23.96,543.11,-23.7
42,64,100,735,1,12,0,25.64,1019.86,23.94,543.99,-23.7
42,64,100,736,1,12,0,25.64,1019.86,23.94,547.54,-23.61
42,64,99,736,1,12,0,25.64,1019.85,23.94,547.54,-23.61
43,64,100,736,1,13,0,25.64,1019.85,23.93,545.76,-23.61
43,64,100,735,1,13,0,25.64,1019.85,23.92,544.87,-23.53
42,63,100,736,1,13,0,25.64,1019.84,23.93,544.43,-23.61
42,64,100,735,1,13,0,25.64,1019.85,23.92,546.65,-23.61
43,64,100,736,1,12,0,25.64,1019.85,23.92,550.23,-23.61
43,63,99,735,1,13,0,25.64,1019.85,23.92,545.32,-23.61
43,64,100,736,1,12,0,25.64,1019.85,23.9,547.98,-23.61
43,64,100,736,1,12,0,25.64,1019.85,23.9,545.32,-23.61
42,64,100,736,1,12,0,25.64,1019.85,23.91,548.43,-23.53
43,63,99,736,1,12,0,25.64,1019.84,23.89,547.98,-23.53
