NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
43,78,110,780,8,24,0,25.55,1018.4,25.33,318.61,-11.61
43,78,110,780,8,24,0,25.55,1018.4,25.35,320.46,-11.61
44,78,110,780,7,23,0,25.55,1018.4,25.35,321.4,-11.61
44,78,109,779,9,23,0,25.55,1018.4,25.37,322.65,-11.52
43,78,109,780,7,24,0,25.55,1018.39,25.38,324.55,-11.52
43,78,109,779,8,25,0,25.56,1018.39,25.41,326.15,-11.44
43,78,109,779,7,24,0,25.56,1018.38,25.43,325.51,-11.44
43,78,108,779,7,24,0,25.56,1018.38,25.44,330.72,-11.44
43,78,108,778,7,23,0,25.56,1018.38,25.46,328.1,-11.44
42,77,108,778,7,24,0,25.56,1018.38,25.46,331.05,-11.36
43,78,108,778,7,23,0,25.56,1018.37,25.46,330.72,-11.36
42,78,107,779,7,23,0,25.56,1018.37,25.47,332.05,-11.36
42,77,107,778,7,24,0,25.57,1018.37,25.48,336.1,-11.36
42,77,107,778,7,23,0,25.57,1018.37,25.46,333.73,-11.36
42,78,106,777,7,22,0,25.57,1018.37,25.48,334.74,-11.28
41,77,107,777,7,23,0,25.56,1018.36,25.46,337.47,-11.19
42,77,106,778,7,23,0,25.57,1018.35,25.45,338.17,-11.19
42,77,106,777,6,22,0,25.57,1018.35,25.43,338.86,-11.11
42,77,106,777,6,23,0,25.57,1018.34,25.43,340.6,-11.11
42,77,105,777,7,23,0,25.57,1018.34,25.42,341.31,-11.11
42,76,105,776,6,23,0,25.57,1018.34,25.42,340.25,-11.19
41,77,105,777,7,23,0,25.57,1018.35,25.42,340.6,-11.19
41,77,105,777,7,23,0,25.57,1018.35,25.41,344.87,-11.19
41,77,105,777,7,23,0,25.57,1018.35,25.42,344.51,-11.19
41,77,105,777,7,24,0,25.57,1018.35,25.42,344.51,-11.19
41,77,104,777,7,24,0,25.57,1018.35,25.43,344.87,-11.28
41,77,104,778,7,22,0,25.57,1018.36,25.44,346.68,-11.19
41,77,104,777,7,24,0,25.57,1018.35,25.43,346.68,-11.19
41,77,104,778,7,23,0,25.57,1018.35,25.43,347.4,-11.19
41,77,104,778,7,23,0,25.57,1018.35,25.42,351.47,-11.19
41,77,104,778,7,23,0,25.56,1018.35,25.42,351.84,-11.28
41,77,104,778,7,24,0,25.56,1018.36,25.42,349.61,-11.28
41,77,104,779,7,23,0,25.56,1018.36,25.42,349.24,-11.19
41,77,104,779,7,23,0,25.56,1018.35,25.43,351.1,-11.19
