NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
248,317,476,820,2,24,4294967295,25.58,1018.25,20.9,88.56,-10.36
246,317,476,820,1,24,4294967295,25.58,1018.25,20.86,89.79,-10.36
245,316,474,820,1,24,4294967295,25.58,1018.25,20.83,91.55,-10.36
243,315,472,820,2,24,4294967295,25.58,1018.25,20.8,92.56,-10.36
240,315,469,820,1,24,4294967295,25.58,1018.25,20.8,94.0,-10.45
239,315,467,820,1,23,4294967295,25.58,1018.26,20.83,95.5,-10.45
237,314,464,820,1,24,4294967295,25.58,1018.26,20.89,94.5,-10.53
235,313,462,819,1,23,4294967295,25.58,1018.27,20.97,95.85,-10.53
232,313,460,819,2,24,4294967295,25.58,1018.27,21.04,96.57,-10.53
230,312,457,819,1,24,4294967295,25.58,1018.27,21.12,98.03,-10.53
228,312,455,819,1,23,4294967295,25.58,1018.27,21.2,99.07,-10.53
225,311,452,818,1,24,4294967295,25.58,1018.27,21.26,100.43,-10.53
222,310,449,818,2,23,4294967295,25.58,1018.27,21.34,101.1,-10.53
222,310,447,818,2,24,4294967295,25.59,1018.27,21.39,101.89,-10.53
219,309,445,818,2,24,4294967295,25.59,1018.27,21.46,102.45,-10.61
218,308,443,817,2,24,4294967295,25.59,1018.28,21.51,103.46,-10.53
216,308,441,816,2,24,4294967295,25.59,1018.27,21.56,105.14,-10.61
214,307,439,817,2,24,4294967295,25.59,1018.28,21.59,106.0,-10.61
212,306,436,816,1,23,4294967295,25.59,1018.28,21.64,106.07,-10.69
211,306,435,816,1,24,4294967295,25.59,1018.29,21.67,107.43,-10.69
209,305,433,817,2,23,4294967295,25.59,1018.29,21.69,108.12,-10.61
207,304,432,816,2,24,4294967295,25.59,1018.28,21.73,108.33,-10.61
206,304,430,816,2,23,4294967295,25.6,1018.28,21.75,109.39,-10.69
204,303,428,816,2,24,4294967295,25.6,1018.29,21.76,110.39,-10.61
204,303,426,816,1,23,4294967295,25.6,1018.28,21.76,111.05,-10.61
202,302,425,816,2,25,4294967295,25.6,1018.28,21.76,111.93,-10.69
201,302,423,817,1,23,4294967295,25.6,1018.29,21.76,112.38,-10.69
200,302,422,816,1,24,4294967295,25.6,1018.29,21.75,113.06,-10.61
199,301,420,817,1,23,4294967295,25.6,1018.28,21.73,113.21,-10.69
