NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
94,143,254,829,1,18,4294967295,25.47,1018.29,20.93,130.84,-10.69
94,144,253,832,2,19,4294967295,25.47,1018.29,20.91,131.86,-10.69
94,144,251,834,1,18,4294967295,25.46,1018.29,20.87,131.97,-10.69
93,143,249,830,1,18,4294967295,25.46,1018.29,20.85,132.38,-10.69
92,141,246,826,2,18,4294967295,25.45,1018.29,20.84,132.69,-10.69
92,140,245,822,1,18,4294967295,25.45,1018.29,20.82,132.69,-10.69
90,140,243,821,2,19,4294967295,25.45,1018.29,20.81,133.54,-10.69
90,140,242,819,1,18,4294967295,25.45,1018.29,20.83,133.64,-10.69
89,139,240,818,1,19,4294967295,25.45,1018.29,20.84,135.26,-10.61
88,138,239,817,1,19,4294967295,25.45,1018.28,20.87,134.5,-10.61
88,138,239,815,2,18,4294967295,25.45,1018.28,20.87,135.47,-10.53
87,138,237,813,1,18,4294967295,25.45,1018.27,20.89,135.91,-10.53
87,136,236,813,1,19,4294967295,25.45,1018.27,20.9,136.13,-10.61
86,136,235,813,2,18,4294967295,25.45,1018.28,20.92,136.35,-10.53
86,136,234,812,1,19,4294967295,25.45,1018.27,20.93,136.69,-10.36
85,136,233,811,1,19,4294967295,25.45,1018.25,20.95,136.13,-10.36
85,136,232,811,1,19,4294967295,25.45,1018.25,20.96,136.46,-10.28
84,136,231,812,1,18,4294967295,25.45,1018.24,20.97,137.36,-10.28
84,135,230,811,2,19,4294967295,25.45,1018.24,20.98,137.69,-10.28
83,135,230,812,1,19,4294967295,25.45,1018.24,20.99,136.91,-10.2
83,134,229,812,2,19,4294967295,25.45,1018.23,21.01,137.24,-10.2
83,135,228,814,2,19,4294967295,25.45,1018.23,21.02,138.26,-10.2
83,136,228,817,2,19,4294967295,25.46,1018.23,21.04,137.13,-10.11
84,137,228,821,1,19,4294967295,25.46,1018.22,21.05,137.92,-10.11
86,137,230,824,2,20,4294967295,25.46,1018.22,21.07,138.26,-10.03
88,138,231,827,2,19,4294967295,25.46,1018.21,21.07,138.37,-10.03
91,140,234,832,2,19,4294967295,25.46,1018.21,21.08,138.6,-10.03
94,141,237,835,2,19,4294967295,25.46,1018.21,21.09,139.64,-10.03
97,142,240,837,2,19,4294967295,25.47,1018.21,21.08,138.6,-10.03
101,143,243,841,2,19,4294967295,25.47,1018.21,21.09,139.75,-10.11
104,145,247,845,2,19,4294967295,25.47,1018.22,21.08,139.52,-10.11
108,147,251,848,2,20,4294967295,25.47,1018.22,21.1,139.99,-10.2
114,148,255,852,2,19,4294967295,25.47,1018.23,21.1,139.29,-10.2
118,150,261,856,2,20,4294967295,25.47,1018.23,21.09,139.64,-10.2
120,150,265,859,2,19,4294967295,25.48,1018.23,21.1,140.46,-10.2
123,151,270,861,2,20,4294967295,25.48,1018.23,21.1,140.93,-10.28
124,152,272,864,1,19,4294967295,25.48,1018.24,21.1,140.34,-10.28
125,153,275,865,2,21,4294967295,25.48,1018.24,21.11,140.46,-10.36
126,153,277,866,1,19,4294967295,25.48,1018.25,21.11,140.57,-10.36
127,153,278,866,2,20,4294967295,25.49,1018.25,21.11,140.46,-10.36
126,154,279,867,2,20,4294967295,25.49,1018.25,21.1,141.64,-10.45
126,155,280,867,2,20,4294967295,25.49,1018.26,21.12,140.93,-10.36
127,154,280,868,2,20,4294967295,25.49,1018.25,21.11,140.69,-10.36
127,155,281,870,2,20,4294967295,25.49,1018.25,21.13,140.69,-10.36
127,156,282,871,2,20,4294967295,25.49,1018.25,21.14,141.88,-10.28
128,157,284,873,2,20,4294967295,25.5,1018.24,21.14,141.04,-10.36
129,156,285,875,2,20,4294967295,25.5,1018.25,21.16,140.69,-10.28
128,157,285,876,1,20,4294967295,25.5,1018.24,21.17,141.28,-10.2
128,157,285,876,2,20,4294967295,25.5,1018.23,21.18,141.76,-10.2
128,157,284,877,2,20,4294967295,25.5,1018.23,21.19,141.28,-10.28
128,157,284,877,2,20,4294967295,25.5,1018.24,21.21,141.88,-10.28
127,158,284,876,2,20,4294967295,25.5,1018.24,21.22,141.28,-10.28
129,159,285,877,2,21,4294967295,25.51,1018.24,21.23,141.4,-10.2
129,159,286,879,2,20,4294967295,25.51,1018.23,21.21,142.6,-10.2
131,160,287,881,2,20,4294967295,25.51,1018.23,21.22,141.88,-10.2
132,161,288,883,2,21,4294967295,25.51,1018.23,21.2,142.6,-10.2
134,162,289,885,2,21,4294967295,25.51,1018.23,21.19,141.4,-10.2
