NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
52,119,176,874,4,248,4294967295,25.56,1019.0,25.09,215.14,-16.49
51,119,175,874,4,237,4294967295,25.56,1018.99,25.13,216.97,-16.49
51,119,175,872,4,243,4294967295,25.56,1018.99,25.18,219.71,-16.49
51,119,175,871,4,246,4294967295,25.56,1018.99,25.23,221.48,-16.41
51,118,174,870,4,238,4294967295,25.56,1018.98,25.24,222.83,-16.49
50,118,174,870,4,231,4294967295,25.56,1018.99,25.28,224.95,-16.49
51,118,173,869,4,228,4294967295,25.57,1018.99,25.29,226.18,-16.41
51,118,173,868,4,236,4294967295,25.57,1018.98,25.31,228.21,-16.41
50,118,173,868,4,230,4294967295,25.57,1018.98,25.31,228.84,-16.41
50,117,172,867,4,231,4294967295,25.57,1018.98,25.31,231.08,-16.41
50,117,172,866,4,240,4294967295,25.57,1018.98,25.33,232.05,-16.41
50,117,172,866,4,233,4294967295,25.57,1018.98,25.33,233.37,-16.33
50,117,171,866,4,242,4294967295,25.58,1018.97,25.34,235.36,-16.33
50,117,171,865,4,228,4294967295,25.58,1018.97,25.34,237.05,-16.33
50,117,171,865,4,231,4294967295,25.58,1018.97,25.33,238.07,-16.33
50,117,171,865,4,209,4294967295,25.58,1018.97,25.34,239.1,-16.33
50,116,170,865,4,220,4294967295,25.58,1018.97,25.34,240.67,-16.33
50,117,170,864,4,227,4294967295,25.59,1018.97,25.33,241.9,-16.33
49,116,170,865,4,220,4294967295,25.59,1018.97,25.33,243.15,-16.33
49,116,169,866,4,215,4294967295,25.59,1018.97,25.34,243.51,-16.33
49,117,169,868,4,221,4294967295,25.59,1018.97,25.34,243.87,-16.33
49,116,169,871,4,222,4294967295,25.6,1018.97,25.35,244.41,-16.41
49,117,170,873,4,221,4294967295,25.6,1018.98,25.35,244.77,-16.41
49,117,170,876,4,218,4294967295,25.6,1018.98,25.35,244.95,-16.41
49,117,169,878,4,226,4294967295,25.6,1018.98,25.36,245.31,-16.41
49,117,169,880,4,228,4294967295,25.61,1018.98,25.36,246.78,-16.33
49,117,169,885,4,260,4294967295,25.61,1018.97,25.35,247.33,-16.33
49,117,169,889,4,213,4294967295,25.61,1018.97,25.38,247.7,-16.33
48,117,169,894,4,221,4294967295,25.61,1018.97,25.4,247.7,-16.41
49,117,169,899,5,225,4294967295,25.61,1018.98,25.4,247.52,-16.33
48,117,168,902,4,243,4294967295,25.62,1018.97,25.42,245.31,-16.33
49,117,169,904,4,218,4294967295,25.62,1018.97,25.42,244.41,-16.33
49,118,169,906,4,220,4294967295,25.62,1018.97,25.42,244.23,-16.41
48,117,168,908,4,221,4294967295,25.63,1018.98,25.44,242.97,-16.41
48,117,169,908,4,222,4294967295,25.63,1018.98,25.44,238.07,-16.41
48,117,168,908,5,224,4294967295,25.63,1018.98,25.47,231.89,-16.41
48,117,168,908,4,221,4294967295,25.63,1018.98,25.48,228.37,-16.41
48,117,168,909,4,219,4294967295,25.64,1018.98,25.51,227.11,-16.33
49,118,168,909,5,224,4294967295,25.64,1018.97,25.51,225.25,-16.41
48,118,168,910,4,210,4294967295,25.64,1018.98,25.53,222.23,-16.33
48,117,168,912,4,214,4294967295,25.65,1018.97,25.55,218.7,-16.33
49,118,168,912,4,208,4294967295,25.65,1018.97,25.6,214.44,-16.25
49,117,167,912,4,210,4294967295,25.65,1018.96,25.68,210.08,-16.33
49,117,168,913,4,211,4294967295,25.65,1018.97,25.73,207.71,-16.33
48,117,168,913,5,215,4294967295,25.65,1018.97,25.77,206.02,-16.33
48,117,167,913,4,217,4294967295,25.66,1018.97,25.81,204.87,-16.41
49,117,167,914,4,213,4294967295,25.66,1018.98,25.82,202.12,-16.49
49,117,167,915,4,197,4294967295,25.66,1018.99,25.83,200.65,-16.49
48,117,167,914,5,214,4294967295,25.66,1018.99,25.83,200.16,-16.58
