NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
35,63,58,753,2,9,0,24.76,1009.06,39.5,293.96,66.07
34,62,58,753,2,9,0,24.76,1009.06,39.5,294.75,66.07
35,63,57,753,2,9,0,24.76,1009.06,39.49,294.22,65.99
34,63,57,753,2,9,0,24.76,1009.07,39.49,294.22,65.99
35,63,57,754,2,9,0,24.76,1009.07,39.48,294.75,65.99
34,63,58,753,2,9,0,24.76,1009.07,39.49,298.2,65.99
34,62,58,755,2,9,0,24.76,1009.07,39.49,295.8,65.9
34,62,57,755,2,9,0,24.76,1009.08,39.5,295.8,65.99
34,62,58,754,2,8,0,24.76,1009.07,39.51,294.48,66.07
34,62,57,754,2,9,0,24.76,1009.06,39.51,293.7,65.99
34,62,58,754,2,9,0,24.75,1009.07,39.54,295.01,65.99
34,62,58,755,2,9,0,24.75,1009.07,39.56,294.75,65.99
34,63,58,754,2,9,0,24.75,1009.07,39.57,295.27,65.99
34,62,58,754,2,9,0,24.75,1009.07,39.58,293.7,65.9
34,62,58,755,2,8,0,24.76,1009.08,39.58,293.18,65.99
34,63,58,755,2,9,0,24.76,1009.07,39.59,293.18,65.99
35,62,58,755,2,9,0,24.76,1009.07,39.59,296.07,65.99
34,63,57,755,2,9,0,24.76,1009.07,39.6,296.6,66.07
34,63,57,755,2,9,0,24.76,1009.06,39.59,295.27,66.07
34,62,58,755,2,8,0,24.76,1009.06,39.6,294.75,66.07
34,63,58,755,2,8,0,24.76,1009.06,39.59,295.27,66.07
34,62,58,756,2,9,0,24.76,1009.06,39.61,297.67,66.07
34,62,58,756,2,9,0,24.76,1009.06,39.61,294.75,66.16
34,62,57,755,2,9,0,24.76,1009.05,39.61,295.27,66.16
34,62,58,756,2,9,0,24.76,1009.05,39.62,294.48,66.07
34,63,58,756,2,9,0,24.77,1009.06,39.6,293.96,66.16
34,62,57,755,2,10,0,24.77,1009.05,39.6,293.7,66.16
34,63,57,755,2,8,0,24.77,1009.05,39.62,295.54,66.16
34,62,58,756,2,9,0,24.77,1009.05,39.62,295.27,66.24
