NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
24,50,50,718,8,26,0,25.37,1023.68,26.64,586.75,-55.26
24,50,50,718,7,26,0,25.37,1023.68,26.63,588.29,-55.26
23,50,50,718,8,26,0,25.37,1023.68,26.63,584.2,-55.26
24,50,50,718,8,26,0,25.37,1023.68,26.64,585.73,-55.35
23,49,49,718,8,26,0,25.37,1023.69,26.64,586.75,-55.35
24,50,49,718,8,26,0,25.37,1023.69,26.65,585.22,-55.35
23,50,49,719,8,26,0,25.37,1023.69,26.65,585.73,-55.35
24,50,49,719,8,27,0,25.37,1023.69,26.64,585.73,-55.35
23,50,50,718,8,26,0,25.37,1023.69,26.65,584.71,-55.26
23,50,50,718,9,26,0,25.36,1023.68,26.66,585.73,-55.26
23,50,50,719,8,26,0,25.36,1023.68,26.65,584.2,-55.26
24,50,50,719,6,24,0,25.36,1023.68,26.65,584.71,-55.26
23,50,50,719,8,27,0,25.36,1023.68,26.65,586.24,-55.26
23,50,49,719,8,26,0,25.36,1023.68,26.66,585.73,-55.26
23,50,50,719,8,26,0,25.36,1023.68,26.66,584.2,-55.18
23,50,49,719,9,27,0,25.36,1023.67,26.67,583.69,-55.26
23,50,50,719,8,26,0,25.36,1023.68,26.67,582.68,-55.35
23,50,50,719,8,26,0,25.36,1023.69,26.67,585.73,-55.35
23,50,50,719,8,26,0,25.35,1023.69,26.66,583.69,-55.35
23,50,49,719,8,27,0,25.35,1023.69,26.67,586.24,-55.35
23,50,49,719,8,27,0,25.35,1023.69,26.67,582.68,-55.35
23,49,49,720,8,26,0,25.35,1023.69,26.67,584.71,-55.35
23,50,50,720,8,27,0,25.35,1023.69,26.67,583.69,-55.35
22,50,50,719,8,27,0,25.35,1023.69,26.67,583.69,-55.35
23,50,49,719,8,26,0,25.35,1023.69,26.67,584.2,-55.26
23,50,49,720,8,26,0,25.35,1023.68,26.66,581.17,-55.26
23,50,49,720,8,27,0,25.35,1023.68,26.66,583.69,-55.26
23,50,49,719,8,27,0,25.34,1023.68,26.67,579.66,-55.35
23,49,49,719,8,27,0,25.34,1023.69,26.68,583.69,-55.35
23,50,48,719,8,27,0,25.34,1023.69,26.67,581.17,-55.26
23,50,49,720,8,27,0,25.34,1023.68,26.67,582.17,-55.26
23,50,49,719,8,27,0,25.34,1023.68,26.68,580.16,-55.26
23,50,49,719,10,27,0,25.34,1023.68,26.69,582.68,-55.26
23,50,49,719,8,27,0,25.34,1023.68,26.68,579.66,-55.26
23,50,49,720,8,27,0,25.34,1023.68,26.68,583.18,-55.35
23,50,49,720,8,27,0,25.34,1023.69,26.68,579.66,-55.26
23,49,48,720,7,27,0,25.34,1023.68,26.68,579.16,-55.35
23,50,49,720,8,27,0,25.34,1023.69,26.68,582.68,-55.35
23,50,49,719,8,27,0,25.34,1023.69,26.68,576.68,-55.35
23,50,49,719,8,27,0,25.34,1023.69,26.69,578.16,-55.35
23,50,49,719,8,27,0,25.34,1023.69,26.68,578.66,-55.26
23,50,49,720,8,27,0,25.34,1023.68,26.7,577.67,-55.18
23,50,49,720,8,27,0,25.34,1023.67,26.69,582.68,-55.26
23,50,49,720,8,27,0,25.34,1023.68,26.69,580.66,-55.26
23,50,49,720,6,25,0,25.34,1023.68,26.69,580.16,-55.26
23,50,49,721,6,24,0,25.34,1023.68,26.69,577.67,-55.26
23,50,49,721,6,24,0,25.34,1023.68,26.69,579.66,-55.26
23,50,49,720,6,25,0,25.34,1023.68,26.7,579.16,-55.26
23,50,49,721,6,25,0,25.34,1023.68,26.68,578.66,-55.26
23,50,49,721,6,25,0,25.34,1023.68,26.68,579.16,-55.26
23,50,49,720,6,25,0,25.34,1023.68,26.69,577.67,-55.35
24,50,49,721,6,25,0,25.34,1023.69,26.68,579.16,-55.35
24,50,49,721,6,25,0,25.34,1023.69,26.69,574.7,-55.26
24,50,49,721,7,26,0,25.34,1023.68,26.69,578.66,-55.35
23,50,49,721,6,24,0,25.34,1023.69,26.69,577.67,-55.35
23,50,49,721,6,24,0,25.34,1023.69,26.69,576.68,-55.26
23,50,49,721,6,25,0,25.34,1023.68,26.69,575.2,-55.26
24,50,49,721,6,23,0,25.34,1023.68,26.69,576.68,-55.18
23,50,49,721,6,24,0,25.34,1023.67,26.69,576.68,-55.18
24,49,49,721,6,24,0,25.34,1023.67,26.68,574.7,-55.18
23,50,48,721,5,25,0,25.34,1023.67,26.69,575.2,-55.26
24,50,49,721,6,24,0,25.34,1023.68,26.7,574.7,-55.26
23,50,49,721,6,25,0,25.34,1023.68,26.68,576.68,-55.26
23,50,49,721,8,28,0,25.34,1023.68,26.68,576.68,-55.26
23,49,49,721,8,27,0,25.34,1023.68,26.68,577.17,-55.26
24,50,49,721,8,29,0,25.34,1023.68,26.68,579.66,-55.18
23,50,49,721,8,28,0,25.33,1023.67,26.69,578.66,-55.26
23,50,49,721,8,28,0,25.33,1023.68,26.69,576.68,-55.26
24,50,49,722,8,28,0,25.33,1023.68,26.69,579.66,-55.18
24,50,49,721,8,28,0,25.33,1023.67,26.7,576.18,-55.18
23,50,49,721,8,27,0,25.33,1023.67,26.69,577.67,-55.18
24,50,49,722,8,28,0,25.33,1023.67,26.7,576.68,-55.18
23,50,49,722,11,28,0,25.33,1023.67,26.71,577.67,-55.18
23,50,49,721,9,27,0,25.32,1023.67,26.7,576.68,-55.18
23,50,49,721,8,27,0,25.32,1023.67,26.7,575.69,-55.18
23,50,49,721,8,28,0,25.32,1023.67,26.7,578.66,-55.18
23,50,49,721,8,28,0,25.32,1023.67,26.69,579.16,-55.1
23,50,49,722,8,30,0,25.32,1023.66,26.72,577.17,-55.1
23,50,49,721,9,27,0,25.32,1023.66,26.7,576.18,-55.1
24,50,49,722,8,27,0,25.32,1023.66,26.7,576.18,-55.18
23,50,49,722,9,28,0,25.32,1023.67,26.7,576.68,-55.18
24,50,49,721,9,27,0,25.32,1023.67,26.7,578.66,-55.18
24,50,49,721,8,27,0,25.32,1023.67,26.72,574.7,-55.18
23,50,49,721,8,27,0,25.32,1023.67,26.71,574.7,-55.18
24,50,49,722,7,27,0,25.32,1023.67,26.72,575.69,-55.26
23,50,49,722,8,28,0,25.32,1023.68,26.71,575.69,-55.26
23,50,49,722,8,27,0,25.32,1023.68,26.72,576.68,-55.26
24,50,49,722,9,27,0,25.32,1023.68,26.71,573.23,-55.26
24,50,49,723,9,27,0,25.32,1023.68,26.71,574.21,-55.18
23,50,49,722,9,27,0,25.32,1023.67,26.71,571.77,-55.18
23,50,49,722,9,27,0,25.32,1023.67,26.71,573.72,-55.18
24,50,50,722,8,29,0,25.32,1023.67,26.71,573.23,-55.18
23,50,49,721,8,27,0,25.32,1023.67,26.73,573.23,-55.18
24,50,49,722,8,27,0,25.32,1023.67,26.71,576.68,-55.18
23,50,49,722,8,26,0,25.32,1023.67,26.71,576.18,-55.1
24,50,49,722,8,28,0,25.32,1023.66,26.72,574.7,-55.1
23,51,49,722,8,28,0,25.32,1023.66,26.71,574.21,-55.1
23,50,49,722,9,27,0,25.32,1023.66,26.71,572.74,-55.18
24,50,49,722,8,27,0,25.32,1023.67,26.72,572.25,-55.18
24,50,49,722,8,27,0,25.32,1023.67,26.71,572.25,-55.1
24,51,49,722,8,27,0,25.32,1023.66,26.72,573.72,-55.02
24,50,49,722,8,27,0,25.32,1023.65,26.72,570.8,-55.02
24,50,49,722,8,27,0,25.32,1023.65,26.72,575.69,-55.02
23,50,50,722,9,28,0,25.32,1023.65,26.72,573.72,-55.02
24,50,49,722,8,27,0,25.32,1023.65,26.73,573.72,-55.1
24,50,49,722,8,28,0,25.32,1023.66,26.73,570.8,-55.1
24,50,49,723,8,27,0,25.32,1023.66,26.73,573.72,-55.1
24,50,49,723,8,27,0,25.32,1023.66,26.72,573.72,-55.1
23,51,50,722,7,28,0,25.32,1023.66,26.73,570.8,-55.18
24,51,50,722,9,28,0,25.32,1023.67,26.73,572.25,-55.18
23,51,50,723,9,26,0,25.32,1023.67,26.73,571.28,-55.18
24,51,50,722,8,27,0,25.32,1023.67,26.73,567.9,-55.1
24,50,49,723,9,28,0,25.32,1023.66,26.73,569.35,-55.1
24,50,49,723,9,27,0,25.32,1023.66,26.75,571.28,-55.1
24,50,49,723,8,28,0,25.32,1023.66,26.74,570.8,-55.1
23,51,49,723,8,26,0,25.32,1023.66,26.75,571.77,-55.1
24,50,49,723,8,28,0,25.32,1023.66,26.74,570.31,-55.1
24,51,49,723,9,27,0,25.32,1023.66,26.73,571.77,-55.1
24,51,50,724,8,27,0,25.32,1023.66,26.73,569.83,-55.1
24,51,49,723,9,27,0,25.32,1023.66,26.74,569.83,-55.18
24,50,50,723,8,27,0,25.32,1023.67,26.73,571.77,-55.18
24,50,50,723,8,28,0,25.32,1023.67,26.74,570.8,-55.18
24,50,50,723,10,28,0,25.32,1023.67,26.75,571.77,-55.1
24,50,50,722,8,28,0,25.32,1023.66,26.75,566.94,-55.1
24,50,50,723,7,27,0,25.32,1023.66,26.75,571.28,-55.1
24,50,50,723,8,28,0,25.32,1023.66,26.75,570.31,-55.18
24,51,50,723,9,27,0,25.32,1023.67,26.75,566.94,-55.1
24,50,50,723,8,27,0,25.32,1023.66,26.75,568.38,-55.18
24,51,50,723,8,27,0,25.32,1023.67,26.75,573.72,-55.1
24,51,49,723,8,27,0,25.32,1023.66,26.75,571.28,-55.18
24,51,50,723,8,27,0,25.32,1023.67,26.74,569.83,-55.26
24,51,50,723,8,29,0,25.32,1023.68,26.75,569.83,-55.18
24,51,50,722,8,25,0,25.32,1023.67,26.74,572.74,-55.18
24,50,50,723,8,28,0,25.32,1023.67,26.73,569.35,-55.18
24,51,49,723,9,28,0,25.32,1023.67,26.74,569.35,-55.1
24,51,50,723,9,28,0,25.32,1023.66,26.74,569.83,-55.1
24,51,50,723,9,27,0,25.32,1023.66,26.73,565.51,-55.1
