NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
35,57,72,725,5,40,0,25.3,1021.75,25.67,521.2,-39.33
35,57,72,725,5,36,0,25.3,1021.75,25.68,519.19,-39.33
35,57,72,725,5,36,0,25.3,1021.75,25.7,519.19,-39.33
34,56,72,725,5,36,0,25.31,1021.75,25.71,521.2,-39.33
34,57,72,725,5,35,0,25.31,1021.75,25.72,518.79,-39.41
34,57,71,725,5,36,0,25.31,1021.76,25.75,520.8,-39.41
34,57,72,725,5,36,0,25.31,1021.76,25.75,521.2,-39.33
35,57,71,724,5,36,0,25.31,1021.75,25.76,518.79,-39.33
35,57,71,725,5,36,0,25.31,1021.75,25.76,518.38,-39.33
34,57,72,724,5,36,0,25.31,1021.75,25.78,522.82,-39.33
34,57,71,724,5,36,0,25.32,1021.75,25.79,520.8,-39.33
35,57,71,725,5,35,0,25.32,1021.75,25.78,523.23,-39.33
34,56,71,725,5,36,0,25.32,1021.75,25.78,519.59,-39.33
35,57,71,724,5,36,0,25.32,1021.75,25.78,522.42,-39.41
34,57,71,725,5,36,0,25.32,1021.76,25.77,523.23,-39.41
34,57,71,725,5,36,0,25.33,1021.76,25.77,525.28,-39.41
34,57,71,725,5,35,0,25.33,1021.76,25.77,524.05,-39.41
34,57,71,725,5,36,0,25.33,1021.76,25.79,521.2,-39.41
34,57,71,725,5,36,0,25.33,1021.76,25.79,520.39,-39.41
34,57,71,726,5,35,0,25.33,1021.76,25.79,523.23,-39.49
34,57,71,725,6,36,0,25.34,1021.77,25.79,524.87,-39.49
34,57,71,725,5,36,0,25.34,1021.77,25.79,524.05,-39.41
34,57,71,725,5,41,0,25.34,1021.76,25.77,524.05,-39.49
34,57,70,725,5,35,0,25.34,1021.77,25.78,526.1,-39.49
34,57,70,725,5,36,0,25.34,1021.77,25.77,521.2,-39.41
34,57,71,725,5,36,0,25.34,1021.76,25.78,526.1,-39.41
34,57,71,725,5,36,0,25.35,1021.76,25.76,522.42,-39.41
34,57,70,724,5,36,0,25.35,1021.76,25.78,520.8,-39.49
34,57,70,725,5,39,0,25.35,1021.77,25.77,522.82,-39.41
34,57,70,725,5,36,0,25.35,1021.76,25.77,525.69,-39.41
34,57,70,725,5,36,0,25.36,1021.76,25.77,522.42,-39.41
34,57,70,725,5,36,0,25.36,1021.76,25.76,522.42,-39.41
34,57,70,725,5,34,0,25.36,1021.76,25.75,521.61,-39.41
34,56,70,725,5,35,0,25.36,1021.76,25.75,523.64,-39.41
34,57,70,724,5,36,0,25.37,1021.76,25.75,522.82,-39.49
33,56,70,725,5,36,0,25.37,1021.77,25.74,523.64,-39.41
34,57,71,725,5,36,0,25.37,1021.76,25.73,522.82,-39.41
34,56,70,725,5,37,0,25.37,1021.76,25.73,523.64,-39.41
34,56,70,725,5,36,0,25.38,1021.76,25.73,520.39,-39.41
34,57,70,725,5,36,0,25.38,1021.76,25.74,522.82,-39.41
34,57,70,725,5,36,0,25.38,1021.76,25.73,525.28,-39.41
34,56,70,725,5,36,0,25.38,1021.76,25.73,521.61,-39.49
34,57,70,725,5,35,0,25.38,1021.77,25.72,523.64,-39.41
34,56,70,725,5,35,0,25.39,1021.76,25.72,523.23,-39.49
34,57,70,724,5,35,0,25.39,1021.77,25.72,521.61,-39.49
34,57,70,724,5,36,0,25.39,1021.77,25.73,517.19,-39.49
34,57,70,725,5,36,0,25.39,1021.77,25.69,522.42,-39.49
33,57,70,725,4,36,0,25.4,1021.77,25.71,519.59,-39.49
34,56,70,725,5,36,0,25.4,1021.77,25.7,520.39,-39.49
34,57,70,724,5,35,0,25.4,1021.77,25.69,517.59,-39.41
34,56,70,725,5,36,0,25.4,1021.76,25.69,522.01,-39.49
34,56,69,725,5,35,0,25.4,1021.77,25.68,521.61,-39.49
34,57,70,724,5,37,0,25.41,1021.77,25.67,517.19,-39.58
34,57,70,725,5,35,0,25.41,1021.78,25.67,520.39,-39.49
33,57,70,725,5,36,0,25.41,1021.77,25.66,519.19,-39.58
34,57,70,724,5,36,0,25.41,1021.78,25.67,521.2,-39.58
34,56,69,725,5,36,0,25.41,1021.78,25.66,521.2,-39.49
33,57,70,725,5,36,0,25.41,1021.77,25.67,517.99,-39.49
34,56,70,725,4,36,0,25.42,1021.77,25.66,519.99,-39.49
33,56,70,725,5,36,0,25.42,1021.77,25.66,522.01,-39.49
34,57,70,724,5,35,0,25.42,1021.77,25.66,519.99,-39.41
33,57,70,725,5,34,0,25.42,1021.76,25.66,517.99,-39.41
33,57,70,724,5,35,0,25.42,1021.76,25.65,517.59,-39.41
33,56,69,725,5,36,0,25.36,1021.76,25.68,515.21,-39.41
34,57,70,724,5,35,0,25.35,1021.76,25.7,513.24,-39.41
34,57,70,724,5,35,0,25.35,1021.76,25.7,514.81,-39.41
34,56,70,725,5,36,0,25.37,1021.76,25.69,512.06,-39.41
34,56,70,724,5,36,0,25.38,1021.76,25.69,516.79,-39.49
34,57,70,724,5,35,0,25.38,1021.77,25.67,519.59,-39.49
34,56,69,725,5,36,0,25.39,1021.77,25.67,514.81,-39.41
33,57,70,724,5,35,0,25.4,1021.76,25.68,516.79,-39.49
34,57,69,724,5,35,0,25.4,1021.77,25.66,516.0,-39.49
34,56,69,724,5,36,0,25.41,1021.77,25.65,515.21,-39.49
34,56,70,724,5,35,0,25.42,1021.77,25.65,517.99,-39.49
34,57,69,725,5,35,0,25.42,1021.77,25.64,517.59,-39.49
34,56,69,724,5,35,0,25.42,1021.77,25.63,517.59,-39.49
34,57,69,724,5,34,0,25.43,1021.77,25.63,513.63,-39.49
33,57,70,724,5,35,0,25.43,1021.77,25.62,518.79,-39.49
34,57,70,724,6,35,0,25.43,1021.77,25.6,517.59,-39.49
34,57,69,724,5,35,0,25.44,1021.77,25.59,514.02,-39.49
33,56,70,724,5,36,0,25.44,1021.77,25.58,517.99,-39.41
34,56,69,724,5,33,0,25.44,1021.76,25.57,514.81,-39.41
34,57,69,724,5,34,0,25.44,1021.76,25.57,516.39,-39.41
34,57,69,724,5,36,0,25.44,1021.76,25.57,514.02,-39.49
34,57,69,724,5,35,0,25.44,1021.77,25.56,517.59,-39.58
34,56,70,725,5,37,0,25.45,1021.78,25.56,516.39,-39.66
34,57,70,724,5,35,0,25.45,1021.79,25.58,518.79,-39.58
34,56,70,724,5,35,0,25.45,1021.78,25.57,518.79,-39.49
34,57,69,724,5,35,0,25.45,1021.77,25.58,516.0,-39.49
34,56,69,724,5,40,0,25.45,1021.77,25.56,517.19,-39.49
33,56,69,724,5,35,0,25.45,1021.77,25.56,517.99,-39.49
34,56,70,724,5,35,0,25.45,1021.77,25.56,516.0,-39.49
34,57,69,724,5,35,0,25.46,1021.77,25.54,518.38,-39.58
34,56,69,724,5,33,0,25.46,1021.78,25.54,517.99,-39.58
34,56,70,724,5,34,0,25.46,1021.78,25.52,518.79,-39.58
34,57,70,724,4,35,0,25.46,1021.78,25.51,519.59,-39.58
34,57,69,724,5,35,0,25.46,1021.78,25.51,516.39,-39.58
34,57,69,724,5,35,0,25.46,1021.78,25.51,518.38,-39.66
34,57,69,724,5,35,0,25.46,1021.79,25.5,516.79,-39.66
34,57,69,724,4,35,0,25.46,1021.79,25.51,518.79,-39.66
34,57,69,724,5,35,0,25.46,1021.79,25.51,518.79,-39.58
34,57,69,723,4,39,0,25.46,1021.78,25.5,519.19,-39.49
34,57,70,724,5,35,0,25.47,1021.77,25.49,518.79,-39.49
34,57,69,724,5,35,0,25.47,1021.77,25.49,520.8,-39.58
34,57,70,724,5,35,0,25.47,1021.78,25.48,518.79,-39.49
34,57,69,724,5,35,0,25.47,1021.77,25.46,516.39,-39.49
34,57,69,724,5,35,0,25.47,1021.77,25.46,516.0,-39.58
34,57,69,724,5,36,0,25.47,1021.78,25.46,519.59,-39.58
34,57,69,724,5,35,0,25.47,1021.78,25.46,517.19,-39.58
34,57,69,724,5,35,0,25.47,1021.78,25.47,515.21,-39.66
34,56,69,724,5,38,0,25.47,1021.79,25.48,517.19,-39.66
34,57,70,724,5,35,0,25.47,1021.79,25.45,520.39,-39.58
34,57,69,723,6,35,0,25.47,1021.78,25.46,519.59,-39.58
34,57,69,724,5,35,0,25.47,1021.78,25.46,517.99,-39.58
34,56,69,723,5,35,0,25.47,1021.78,25.46,518.79,-39.66
34,57,69,724,5,36,0,25.48,1021.79,25.47,521.2,-39.66
34,56,69,723,5,35,0,25.48,1021.79,25.47,519.99,-39.58
34,56,69,723,5,35,0,25.48,1021.78,25.47,519.99,-39.58
34,57,70,723,5,36,0,25.48,1021.78,25.47,519.99,-39.58
34,57,69,723,9,35,0,25.48,1021.78,25.45,517.19,-39.66
34,56,69,724,5,36,0,25.48,1021.79,25.46,517.19,-39.66
34,57,69,724,5,35,0,25.48,1021.79,25.44,519.59,-39.66
34,57,69,724,5,36,0,25.48,1021.79,25.44,517.59,-39.66
34,56,69,724,5,35,0,25.48,1021.79,25.44,519.59,-39.66
34,57,69,723,4,35,0,25.48,1021.79,25.45,517.19,-39.66
34,57,69,724,5,35,0,25.49,1021.79,25.44,519.19,-39.66
34,57,69,723,5,36,0,25.49,1021.79,25.44,520.8,-39.66
34,57,69,723,5,36,0,25.49,1021.79,25.42,516.79,-39.58
34,57,69,724,5,35,0,25.49,1021.78,25.42,518.79,-39.58
34,56,69,724,5,36,0,25.49,1021.78,25.41,518.38,-39.58
35,57,69,724,5,35,0,25.49,1021.78,25.42,517.99,-39.66
34,57,69,724,4,35,0,25.49,1021.79,25.4,516.79,-39.66
