NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
43,75,91,814,0,34,4294967295,33.59,688.6,100.0,0.0,3170.54
43,75,91,812,0,37,4294967295,33.59,688.6,100.0,0.0,3170.54
43,75,91,812,0,37,4294967295,33.59,688.6,100.0,0.0,3170.54
43,75,91,811,0,36,4294967295,33.59,688.6,100.0,0.0,3170.54
43,75,91,809,0,37,4294967295,33.59,688.6,100.0,0.0,3170.54
43,75,91,809,0,36,4294967295,33.59,688.6,100.0,0.0,3170.54
43,75,90,808,0,36,4294967295,33.59,688.6,100.0,0.0,3170.54
43,75,91,808,0,36,4294967295,33.59,688.6,100.0,0.0,3170.54
42,75,91,807,0,36,4294967295,33.59,688.6,100.0,0.0,3170.54
43,75,90,807,0,37,4294967295,33.59,688.6,100.0,0.0,3170.54
43,75,90,805,0,37,4294967295,33.59,688.6,100.0,0.0,3170.54
42,75,90,805,0,36,4294967295,33.59,688.6,100.0,0.0,3170.54
42,75,90,805,0,35,4294967295,33.59,688.6,100.0,0.0,3170.54
42,75,90,805,0,36,4294967295,33.59,688.6,100.0,0.0,3170.54
43,75,90,805,0,35,4294967295,33.59,688.6,100.0,0.0,3170.54
42,75,90,806,0,36,4294967295,33.59,688.6,100.0,0.0,3170.54
42,75,90,807,0,36,4294967295,33.59,688.6,100.0,0.0,3170.54
42,75,90,809,0,37,4294967295,33.59,688.6,100.0,0.0,3170.54
42,75,90,811,0,36,4294967295,33.59,688.6,100.0,0.0,3170.54
42,75,89,813,0,36,4294967295,33.59,688.6,100.0,0.0,3170.54
42,75,90,816,0,37,4294967295,33.59,688.6,100.0,0.0,3170.54
42,75,90,819,0,37,4294967295,33.59,688.6,100.0,0.0,3170.54
42,76,90,821,0,37,4294967295,33.59,688.6,100.0,0.0,3170.54
42,75,91,823,0,37,4294967295,33.59,688.6,100.0,0.0,3170.54
42,76,90,826,0,37,4294967295,33.59,688.6,100.0,0.0,3170.54
42,76,90,828,0,38,4294967295,33.59,688.6,100.0,0.0,3170.54
42,76,90,831,0,37,4294967295,33.59,688.6,100.0,0.0,3170.54
42,77,90,834,0,38,4294967295,33.59,688.6,100.0,0.0,3170.54
41,76,90,837,0,37,4294967295,33.59,688.6,100.0,0.0,3170.54
41,76,90,839,0,37,4294967295,33.59,688.6,100.0,0.0,3170.54
42,76,90,841,0,38,4294967295,33.59,688.6,100.0,0.0,3170.54
41,77,90,843,0,38,4294967295,33.59,688.6,100.0,0.0,3170.54
41,77,90,844,0,38,4294967295,33.59,688.6,100.0,0.0,3170.54
42,77,90,846,0,38,4294967295,33.59,688.6,100.0,0.0,3170.54
42,76,90,848,0,39,4294967295,33.59,688.6,100.0,0.0,3170.54
41,77,90,850,0,35,4294967295,33.59,688.6,100.0,0.0,3170.54
42,77,90,852,0,39,4294967295,33.59,688.6,100.0,0.0,3170.54
42,77,90,853,0,38,4294967295,33.59,688.6,100.0,0.0,3170.54
42,77,90,855,0,38,4294967295,33.59,688.6,100.0,0.0,3170.54
42,77,90,858,0,40,4294967295,33.59,688.6,100.0,0.0,3170.54
41,77,90,859,0,40,4294967295,33.59,688.6,100.0,0.0,3170.54
42,77,90,861,0,38,4294967295,33.59,688.6,100.0,0.0,3170.54
42,77,90,862,0,40,4294967295,33.59,688.6,100.0,0.0,3170.54
42,77,91,864,0,40,4294967295,33.59,688.6,100.0,0.0,3170.54
42,77,90,865,0,40,4294967295,33.59,688.6,100.0,0.0,3170.54
42,77,90,866,0,37,4294967295,33.59,688.6,100.0,0.0,3170.54
41,78,91,867,0,37,4294967295,33.59,688.6,100.0,0.0,3170.54
41,78,90,868,0,40,4294967295,33.59,688.6,100.0,0.0,3170.54
41,77,90,869,0,40,4294967295,33.59,688.6,100.0,0.0,3170.54
42,78,91,869,0,40,4294967295,33.59,688.6,100.0,0.0,3170.54
42,77,90,869,0,42,32,33.59,688.6,100.0,0.0,3170.54
41,77,90,869,0,40,4294967295,33.59,688.6,100.0,0.0,3170.54
41,77,90,869,0,40,4294967295,33.59,688.6,100.0,0.0,3170.54
41,77,91,870,0,40,4294967295,33.59,688.6,100.0,0.0,3170.54
41,78,90,870,0,41,4294967295,33.59,688.6,100.0,0.0,3170.54
42,77,91,871,0,41,4294967295,33.59,688.6,100.0,0.0,3170.54
42,78,91,872,0,40,4294967295,33.59,688.6,100.0,0.0,3170.54
41,78,90,873,0,40,744,33.59,688.6,100.0,0.0,3170.54
42,78,91,874,0,41,4294967295,33.59,688.6,100.0,0.0,3170.54
42,78,91,875,0,40,4294967295,33.59,688.6,100.0,0.0,3170.54
42,78,91,875,0,40,4294967295,33.59,688.6,100.0,0.0,3170.54
42,78,91,875,0,41,4294967295,33.59,688.6,100.0,0.0,3170.54
42,77,91,875,0,41,4294967295,33.59,688.6,100.0,0.0,3170.54
41,78,90,874,0,41,4294967295,33.59,688.6,100.0,0.0,3170.54
41,78,91,875,0,41,4294967295,33.59,688.6,100.0,0.0,3170.54
42,78,90,875,0,41,4294967295,33.59,688.6,100.0,0.0,3170.54
41,78,91,876,0,41,4294967295,33.59,688.6,100.0,0.0,3170.54
42,78,90,876,0,40,4294967295,33.59,688.6,100.0,0.0,3170.54
42,78,91,876,0,42,4294967295,33.59,688.6,100.0,0.0,3170.54
42,78,90,877,0,44,4294967295,33.59,688.6,100.0,0.0,3170.54
42,78,91,876,0,41,4294967295,33.59,688.6,100.0,0.0,3170.54
42,78,91,878,0,41,4294967295,33.59,688.6,100.0,0.0,3170.54
42,79,91,879,0,43,4294967295,33.59,688.6,100.0,0.0,3170.54
41,78,91,879,0,41,4294967295,33.59,688.6,100.0,0.0,3170.54
42,79,91,881,0,42,4294967295,33.59,688.6,100.0,0.0,3170.54
42,78,91,882,0,42,4294967295,33.59,688.6,100.0,0.0,3170.54
42,78,91,883,0,43,4294967295,33.59,688.6,100.0,0.0,3170.54
42,79,91,883,0,42,4294967295,33.59,688.6,100.0,0.0,3170.54
42,79,91,883,0,42,4294967295,33.59,688.6,100.0,0.0,3170.54
42,78,92,884,0,42,4294967295,33.59,688.6,100.0,0.0,3170.54
42,78,91,885,0,44,4294967295,33.59,688.6,100.0,0.0,3170.54
42,79,92,885,0,42,4294967295,33.59,688.6,100.0,0.0,3170.54
42,79,92,886,0,42,4294967295,33.59,688.6,100.0,0.0,3170.54
42,79,91,887,0,43,4294967295,33.59,688.6,100.0,0.0,3170.54
42,79,92,887,0,43,4294967295,33.59,688.6,100.0,0.0,3170.54
42,79,92,887,0,43,4294967295,33.59,688.6,100.0,0.0,3170.54
42,79,91,887,0,42,4294967295,33.59,688.6,100.0,0.0,3170.54
42,79,91,887,0,43,4294967295,33.59,688.6,100.0,0.0,3170.54
43,80,92,887,0,43,4294967295,33.59,688.6,100.0,0.0,3170.54
42,78,91,888,0,42,4294967295,33.59,688.6,100.0,0.0,3170.54
42,79,91,888,0,43,4294967295,33.59,688.6,100.0,0.0,3170.54
42,79,92,889,0,40,4294967295,33.59,688.6,100.0,0.0,3170.54
42,79,92,889,0,42,4294967295,33.59,688.6,100.0,0.0,3170.54
42,79,92,889,0,42,4294967295,33.59,688.6,100.0,0.0,3170.54
43,79,92,888,0,43,4294967295,33.59,688.6,100.0,0.0,3170.54
42,79,92,887,0,43,4294967295,33.59,688.6,100.0,0.0,3170.54
42,79,92,888,0,43,4294967295,33.59,688.6,100.0,0.0,3170.54
43,79,92,887,0,41,4294967295,33.59,688.6,100.0,0.0,3170.54
42,79,92,888,0,47,4294967295,33.59,688.6,100.0,0.0,3170.54
42,79,92,888,0,43,4294967295,33.59,688.6,100.0,0.0,3170.54
42,79,93,888,0,43,4294967295,33.59,688.6,100.0,0.0,3170.54
43,79,92,888,0,44,4294967295,33.59,688.6,100.0,0.0,3170.54
43,79,92,889,0,43,4294967295,33.59,688.6,100.0,0.0,3170.54
42,79,92,888,0,43,4294967295,33.59,688.6,100.0,0.0,3170.54
42,79,93,889,0,43,4294967295,33.59,688.6,100.0,0.0,3170.54
43,79,93,889,0,44,4294967295,33.59,688.6,100.0,0.0,3170.54
43,79,92,889,0,43,4294967295,33.59,688.6,100.0,0.0,3170.54
42,80,93,890,0,43,4294967295,33.59,688.6,100.0,0.0,3170.54
43,79,92,891,0,43,4294967295,33.59,688.6,100.0,0.0,3170.54
43,79,92,891,0,41,4294967295,33.59,688.6,100.0,0.0,3170.54
43,79,93,890,0,43,4294967295,33.59,688.6,100.0,0.0,3170.54
43,79,93,891,0,44,4294967295,33.59,688.6,100.0,0.0,3170.54
42,79,93,892,0,41,4294967295,33.59,688.6,100.0,0.0,3170.54
43,79,93,893,0,43,4294967295,33.59,688.6,100.0,0.0,3170.54
43,79,93,893,0,45,4294967295,33.59,688.6,100.0,0.0,3170.54
43,80,93,893,0,44,4294967295,33.59,688.6,100.0,0.0,3170.54
43,80,93,894,0,41,4294967295,33.59,688.6,100.0,0.0,3170.54
43,80,93,894,0,44,4294967295,33.59,688.6,100.0,0.0,3170.54
43,79,93,894,0,45,4294967295,33.59,688.6,100.0,0.0,3170.54
43,80,93,894,0,45,4294967295,33.59,688.6,100.0,0.0,3170.54
43,80,93,894,0,45,4294967295,33.59,688.6,100.0,0.0,3170.54
43,80,93,894,0,44,4294967295,33.59,688.6,100.0,0.0,3170.54
43,80,94,894,0,43,4294967295,33.59,688.6,100.0,0.0,3170.54
43,80,93,895,0,43,4294967295,33.59,688.6,100.0,0.0,3170.54
43,80,94,895,0,45,4294967295,33.59,688.6,100.0,0.0,3170.54
43,80,94,896,0,45,4294967295,33.59,688.6,100.0,0.0,3170.54
44,80,94,895,0,45,4294967295,33.59,688.6,100.0,0.0,3170.54
43,81,93,895,0,43,4294967295,33.59,688.6,100.0,0.0,3170.54
44,80,93,895,0,46,4294967295,33.59,688.6,100.0,0.0,3170.54
43,81,94,895,0,45,4294967295,33.59,688.6,100.0,0.0,3170.54
43,80,94,897,0,50,4294967295,33.59,688.6,100.0,0.0,3170.54
44,80,94,897,0,45,4294967295,33.59,688.6,100.0,0.0,3170.54
43,80,94,896,0,45,4294967295,33.59,688.6,100.0,0.0,3170.54
44,81,94,896,0,46,4294967295,33.59,688.6,100.0,0.0,3170.54
44,80,94,896,0,47,4294967295,33.59,688.6,100.0,0.0,3170.54
44,80,94,896,0,48,4294967295,33.59,688.6,100.0,0.0,3170.54
43,80,94,896,0,46,4294967295,33.59,688.6,100.0,0.0,3170.54
44,80,95,897,0,46,4294967295,33.59,688.6,100.0,0.0,3170.54
44,81,95,897,0,46,4294967295,33.59,688.6,100.0,0.0,3170.54
44,81,94,899,0,46,4294967295,33.59,688.6,100.0,0.0,3170.54
44,81,95,899,0,46,4294967295,33.59,688.6,100.0,0.0,3170.54
44,81,95,900,0,43,4294967295,33.59,688.6,100.0,0.0,3170.54
44,81,95,901,0,46,4294967295,33.59,688.6,100.0,0.0,3170.54
44,81,96,902,0,46,4294967295,33.59,688.6,100.0,0.0,3170.54
44,81,96,902,0,46,4294967295,33.59,688.6,100.0,0.0,3170.54
45,81,95,905,0,47,4294967295,33.59,688.6,100.0,0.0,3170.54
44,81,96,906,0,46,4294967295,33.59,688.6,100.0,0.0,3170.54
44,81,97,906,0,46,4294967295,33.59,688.6,100.0,0.0,3170.54
45,81,97,906,0,44,4294967295,33.59,688.6,100.0,0.0,3170.54
44,82,96,907,0,46,4294967295,33.59,688.6,100.0,0.0,3170.54
45,82,97,907,0,46,4294967295,33.59,688.6,100.0,0.0,3170.54
45,82,97,908,0,52,4294967295,33.59,688.6,100.0,0.0,3170.54
45,82,96,909,0,47,4294967295,33.59,688.6,100.0,0.0,3170.54
45,82,97,909,0,47,4294967295,33.59,688.6,100.0,0.0,3170.54
45,82,97,909,0,47,4294967295,33.59,688.6,100.0,0.0,3170.54
45,82,97,909,0,47,4294967295,33.59,688.6,100.0,0.0,3170.54
45,82,96,909,0,47,4294967295,33.59,688.6,100.0,0.0,3170.54
45,82,97,909,0,47,4294967295,33.59,688.6,100.0,0.0,3170.54
45,81,97,908,0,46,4294967295,33.59,688.6,100.0,0.0,3170.54
45,82,97,908,0,50,4294967295,33.59,688.6,100.0,0.0,3170.54
44,82,97,908,0,50,4294967295,33.59,688.6,100.0,0.0,3170.54
45,82,97,907,0,48,4294967295,33.59,688.6,100.0,0.0,3170.54
45,82,97,908,0,49,4294967295,33.59,688.6,100.0,0.0,3170.54
45,82,97,908,0,47,4294967295,33.59,688.6,100.0,0.0,3170.54
45,82,97,907,0,48,4294967295,33.59,688.6,100.0,0.0,3170.54
44,83,98,909,0,48,4294967295,33.59,688.6,100.0,0.0,3170.54
45,83,97,909,0,59,4294967295,33.59,688.6,100.0,0.0,3170.54
46,83,97,909,0,48,4294967295,33.59,688.6,100.0,0.0,3170.54
45,82,97,909,0,47,4294967295,33.59,688.6,100.0,0.0,3170.54
45,83,97,909,0,47,4294967295,33.59,688.6,100.0,0.0,3170.54
46,83,98,908,0,47,4294967295,33.59,688.6,100.0,0.0,3170.54
46,83,98,908,0,47,4294967295,33.59,688.6,100.0,0.0,3170.54
46,83,98,908,0,49,4294967295,33.59,688.6,100.0,0.0,3170.54
45,82,98,908,0,48,4294967295,33.59,688.6,100.0,0.0,3170.54
45,83,98,907,0,48,4294967295,33.59,688.6,100.0,0.0,3170.54
45,82,98,907,0,49,4294967295,33.59,688.6,100.0,0.0,3170.54
45,83,98,908,0,49,4294967295,33.59,688.6,100.0,0.0,3170.54
46,82,98,908,0,49,4294967295,33.59,688.6,100.0,0.0,3170.54
45,82,97,908,0,48,4294967295,33.59,688.6,100.0,0.0,3170.54
46,82,98,908,0,48,4294967295,33.59,688.6,100.0,0.0,3170.54
46,83,98,907,0,50,4294967295,33.59,688.6,100.0,0.0,3170.54
45,82,98,908,0,48,4294967295,33.59,688.6,100.0,0.0,3170.54
46,83,98,908,0,49,4294967295,33.59,688.6,100.0,0.0,3170.54
46,82,98,908,0,49,4294967295,33.59,688.6,100.0,0.0,3170.54
46,83,99,908,0,48,4294967295,33.59,688.6,100.0,0.0,3170.54
46,83,99,908,0,49,4294967295,33.59,688.6,100.0,0.0,3170.54
46,83,98,909,0,49,4294967295,33.59,688.6,100.0,0.0,3170.54
46,82,98,909,0,48,4294967295,33.59,688.6,100.0,0.0,3170.54
