NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
52,80,109,760,0,31,0,33.59,688.6,100.0,0.0,3170.54
52,81,109,760,0,30,0,33.59,688.6,100.0,0.0,3170.54
52,80,109,761,0,31,0,33.59,688.6,100.0,0.0,3170.54
52,81,108,760,0,31,0,33.59,688.6,100.0,0.0,3170.54
52,80,109,761,0,29,0,33.59,688.6,100.0,0.0,3170.54
52,80,108,761,0,30,0,33.59,688.6,100.0,0.0,3170.54
51,80,109,761,0,31,0,33.59,688.6,100.0,0.0,3170.54
51,80,108,762,0,30,0,33.59,688.6,100.0,0.0,3170.54
51,80,108,763,0,32,0,33.59,688.6,100.0,0.0,3170.54
51,81,107,764,0,31,0,33.59,688.6,100.0,0.0,3170.54
50,80,108,766,0,31,0,33.59,688.6,100.0,0.0,3170.54
51,81,109,767,0,32,0,33.59,688.6,100.0,0.0,3170.54
51,81,109,770,0,31,0,33.59,688.6,100.0,0.0,3170.54
51,82,109,772,0,31,0,33.59,688.6,100.0,0.0,3170.54
51,82,109,773,0,30,0,33.59,688.6,100.0,0.0,3170.54
51,83,110,775,0,29,0,33.59,688.6,100.0,0.0,3170.54
51,83,111,777,0,31,0,33.59,688.6,100.0,0.0,3170.54
50,84,112,779,0,31,0,33.59,688.6,100.0,0.0,3170.54
51,84,113,781,0,31,0,33.59,688.6,100.0,0.0,3170.54
51,85,114,782,0,31,0,33.59,688.6,100.0,0.0,3170.54
51,85,113,783,0,31,0,33.59,688.6,100.0,0.0,3170.54
51,85,114,784,0,33,0,33.59,688.6,100.0,0.0,3170.54
51,85,114,785,0,31,0,33.59,688.6,100.0,0.0,3170.54
51,86,114,787,0,32,0,33.59,688.6,100.0,0.0,3170.54
51,86,115,787,0,33,0,33.59,688.6,100.0,0.0,3170.54
51,86,116,788,0,32,0,33.59,688.6,100.0,0.0,3170.54
51,86,115,788,0,31,0,33.59,688.6,100.0,0.0,3170.54
51,86,115,788,0,32,0,33.59,688.6,100.0,0.0,3170.54
51,86,115,789,0,31,0,33.59,688.6,100.0,0.0,3170.54
51,86,115,789,0,32,0,33.59,688.6,100.0,0.0,3170.54
50,87,116,790,0,31,0,33.59,688.6,100.0,0.0,3170.54
51,87,116,790,0,31,0,33.59,688.6,100.0,0.0,3170.54
51,87,116,791,0,31,0,33.59,688.6,100.0,0.0,3170.54
51,87,115,790,0,29,0,33.59,688.6,100.0,0.0,3170.54
51,86,116,789,0,32,0,33.59,688.6,100.0,0.0,3170.54
51,86,115,790,0,32,0,33.59,688.6,100.0,0.0,3170.54
51,87,115,790,0,32,0,33.59,688.6,100.0,0.0,3170.54
51,87,116,791,0,31,0,33.59,688.6,100.0,0.0,3170.54
51,86,116,790,0,30,0,33.59,688.6,100.0,0.0,3170.54
51,86,116,791,0,31,0,33.59,688.6,100.0,0.0,3170.54
51,87,116,791,0,31,0,33.59,688.6,100.0,0.0,3170.54
51,87,116,791,0,32,0,33.59,688.6,100.0,0.0,3170.54
51,86,116,791,0,31,0,33.59,688.6,100.0,0.0,3170.54
51,87,116,791,0,31,0,33.59,688.6,100.0,0.0,3170.54
51,87,116,792,0,32,0,33.59,688.6,100.0,0.0,3170.54
50,87,116,792,0,31,0,33.59,688.6,100.0,0.0,3170.54
51,87,117,792,0,33,0,33.59,688.6,100.0,0.0,3170.54
50,87,116,792,0,29,0,33.59,688.6,100.0,0.0,3170.54
51,86,117,793,0,32,0,33.59,688.6,100.0,0.0,3170.54
51,87,117,793,0,31,0,33.59,688.6,100.0,0.0,3170.54
51,87,116,794,0,30,0,33.59,688.6,100.0,0.0,3170.54
51,88,117,793,0,31,0,33.59,688.6,100.0,0.0,3170.54
50,87,117,794,0,31,0,33.59,688.6,100.0,0.0,3170.54
51,88,117,794,0,31,0,33.59,688.6,100.0,0.0,3170.54
50,88,117,795,0,32,0,33.59,688.6,100.0,0.0,3170.54
50,88,117,795,0,32,0,33.59,688.6,100.0,0.0,3170.54
51,88,118,795,0,32,0,33.59,688.6,100.0,0.0,3170.54
51,88,118,796,0,32,0,33.59,688.6,100.0,0.0,3170.54
51,88,117,796,0,32,0,33.59,688.6,100.0,0.0,3170.54
51,88,118,795,0,31,0,33.59,688.6,100.0,0.0,3170.54
51,88,117,796,0,32,0,33.59,688.6,100.0,0.0,3170.54
51,88,118,795,0,32,0,33.59,688.6,100.0,0.0,3170.54
51,88,117,795,0,32,0,33.59,688.6,100.0,0.0,3170.54
51,89,118,795,0,32,0,33.59,688.6,100.0,0.0,3170.54
51,88,118,796,0,32,0,33.59,688.6,100.0,0.0,3170.54
51,89,118,796,0,30,0,33.59,688.6,100.0,0.0,3170.54
51,89,118,797,0,31,0,33.59,688.6,100.0,0.0,3170.54
51,89,118,797,0,31,0,33.59,688.6,100.0,0.0,3170.54
51,89,118,797,0,32,0,33.59,688.6,100.0,0.0,3170.54
51,89,118,797,0,32,0,33.59,688.6,100.0,0.0,3170.54
51,89,119,798,0,32,0,33.59,688.6,100.0,0.0,3170.54
51,89,118,798,0,33,0,33.59,688.6,100.0,0.0,3170.54
51,89,118,797,0,32,0,33.59,688.6,100.0,0.0,3170.54
52,90,118,798,0,32,0,33.59,688.6,100.0,0.0,3170.54
51,89,119,797,0,32,0,33.59,688.6,100.0,0.0,3170.54
51,89,118,798,0,32,0,33.59,688.6,100.0,0.0,3170.54
52,89,118,798,0,32,0,33.59,688.6,100.0,0.0,3170.54
51,89,119,798,0,32,0,33.59,688.6,100.0,0.0,3170.54
51,89,119,798,0,32,0,33.59,688.6,100.0,0.0,3170.54
52,90,119,798,0,32,0,33.59,688.6,100.0,0.0,3170.54
51,90,119,799,0,32,0,33.59,688.6,100.0,0.0,3170.54
52,89,119,799,0,33,0,33.59,688.6,100.0,0.0,3170.54
52,90,119,799,0,33,0,33.59,688.6,100.0,0.0,3170.54
52,90,119,799,0,32,0,33.59,688.6,100.0,0.0,3170.54
51,90,119,799,0,32,0,33.59,688.6,100.0,0.0,3170.54
52,90,119,799,0,32,0,33.59,688.6,100.0,0.0,3170.54
52,90,119,800,0,31,0,33.59,688.6,100.0,0.0,3170.54
51,90,119,800,0,32,0,33.59,688.6,100.0,0.0,3170.54
52,90,119,799,0,32,0,33.59,688.6,100.0,0.0,3170.54
52,90,119,800,0,32,0,33.59,688.6,100.0,0.0,3170.54
52,90,119,800,0,32,0,33.59,688.6,100.0,0.0,3170.54
52,90,119,800,0,32,0,33.59,688.6,100.0,0.0,3170.54
52,90,118,800,0,31,0,33.59,688.6,100.0,0.0,3170.54
52,90,119,800,0,31,0,33.59,688.6,100.0,0.0,3170.54
52,90,119,799,0,31,0,33.59,688.6,100.0,0.0,3170.54
52,90,119,799,0,31,0,33.59,688.6,100.0,0.0,3170.54
51,90,118,799,0,31,0,33.59,688.6,100.0,0.0,3170.54
52,89,118,799,0,31,0,33.59,688.6,100.0,0.0,3170.54
52,89,117,798,0,31,0,33.59,688.6,100.0,0.0,3170.54
51,89,118,798,0,32,0,33.59,688.6,100.0,0.0,3170.54
52,89,119,798,0,31,0,33.59,688.6,100.0,0.0,3170.54
52,89,119,799,0,32,0,33.59,688.6,100.0,0.0,3170.54
52,90,119,800,0,32,0,33.59,688.6,100.0,0.0,3170.54
52,90,119,800,0,31,0,33.59,688.6,100.0,0.0,3170.54
52,90,119,799,0,32,0,33.59,688.6,100.0,0.0,3170.54
52,90,119,800,0,31,0,33.59,688.6,100.0,0.0,3170.54
52,90,119,801,0,32,0,33.59,688.6,100.0,0.0,3170.54
52,90,120,801,0,32,0,33.59,688.6,100.0,0.0,3170.54
52,90,120,801,0,32,0,33.59,688.6,100.0,0.0,3170.54
52,90,120,800,0,31,0,33.59,688.6,100.0,0.0,3170.54
52,90,119,801,0,31,0,33.59,688.6,100.0,0.0,3170.54
52,90,120,800,0,32,0,33.59,688.6,100.0,0.0,3170.54
52,90,120,801,0,31,0,33.59,688.6,100.0,0.0,3170.54
52,91,119,800,0,31,0,33.59,688.6,100.0,0.0,3170.54
52,90,119,800,0,30,0,33.59,688.6,100.0,0.0,3170.54
53,90,120,801,0,31,0,33.59,688.6,100.0,0.0,3170.54
53,90,119,801,0,32,0,33.59,688.6,100.0,0.0,3170.54
52,90,119,801,0,30,0,33.59,688.6,100.0,0.0,3170.54
52,90,119,800,0,32,0,33.59,688.6,100.0,0.0,3170.54
52,91,119,801,0,32,0,33.59,688.6,100.0,0.0,3170.54
52,91,120,800,0,31,0,33.59,688.6,100.0,0.0,3170.54
52,90,120,801,0,31,0,33.59,688.6,100.0,0.0,3170.54
52,90,120,801,0,31,0,33.59,688.6,100.0,0.0,3170.54
53,90,120,801,0,31,0,33.59,688.6,100.0,0.0,3170.54
53,90,119,801,0,31,0,33.59,688.6,100.0,0.0,3170.54
52,90,120,801,0,33,0,33.59,688.6,100.0,0.0,3170.54
53,91,120,800,0,31,0,33.59,688.6,100.0,0.0,3170.54
53,90,120,800,0,36,0,33.59,688.6,100.0,0.0,3170.54
52,90,120,800,0,31,0,33.59,688.6,100.0,0.0,3170.54
53,91,120,800,0,31,0,33.59,688.6,100.0,0.0,3170.54
53,90,120,800,0,32,0,33.59,688.6,100.0,0.0,3170.54
52,91,120,801,0,31,0,33.59,688.6,100.0,0.0,3170.54
52,91,121,802,0,30,0,33.59,688.6,100.0,0.0,3170.54
52,91,120,801,0,31,0,33.59,688.6,100.0,0.0,3170.54
52,91,120,801,0,31,0,33.59,688.6,100.0,0.0,3170.54
53,90,121,802,0,31,0,33.59,688.6,100.0,0.0,3170.54
53,90,121,801,0,31,0,33.59,688.6,100.0,0.0,3170.54
53,91,120,801,0,31,0,33.59,688.6,100.0,0.0,3170.54
53,90,120,801,0,35,0,33.59,688.6,100.0,0.0,3170.54
52,90,120,800,0,31,0,33.59,688.6,100.0,0.0,3170.54
52,90,119,800,0,31,0,33.59,688.6,100.0,0.0,3170.54
53,90,119,800,0,31,0,33.59,688.6,100.0,0.0,3170.54
52,90,120,800,0,31,0,33.59,688.6,100.0,0.0,3170.54
52,90,120,800,0,30,0,33.59,688.6,100.0,0.0,3170.54
52,90,120,801,0,30,0,33.59,688.6,100.0,0.0,3170.54
53,91,120,801,0,30,0,33.59,688.6,100.0,0.0,3170.54
52,91,120,802,0,31,0,33.59,688.6,100.0,0.0,3170.54
52,91,120,802,0,31,0,33.59,688.6,100.0,0.0,3170.54
52,91,120,802,0,30,0,33.59,688.6,100.0,0.0,3170.54
53,91,120,802,0,30,0,33.59,688.6,100.0,0.0,3170.54
53,90,120,801,0,30,0,33.59,688.6,100.0,0.0,3170.54
53,90,120,801,0,31,0,33.59,688.6,100.0,0.0,3170.54
53,91,120,801,0,30,0,33.59,688.6,100.0,0.0,3170.54
53,91,120,801,0,31,0,33.59,688.6,100.0,0.0,3170.54
52,90,120,800,0,30,0,33.59,688.6,100.0,0.0,3170.54
53,91,120,800,0,30,0,33.59,688.6,100.0,0.0,3170.54
53,91,120,801,0,30,0,33.59,688.6,100.0,0.0,3170.54
53,90,120,800,0,30,0,33.59,688.6,100.0,0.0,3170.54
53,91,120,801,0,30,0,33.59,688.6,100.0,0.0,3170.54
53,91,120,800,0,30,0,33.59,688.6,100.0,0.0,3170.54
53,91,121,801,0,31,0,33.59,688.6,100.0,0.0,3170.54
52,91,120,801,0,30,0,33.59,688.6,100.0,0.0,3170.54
53,90,120,801,0,30,0,33.59,688.6,100.0,0.0,3170.54
53,90,120,800,0,30,0,33.59,688.6,100.0,0.0,3170.54
53,91,120,801,0,30,0,33.59,688.6,100.0,0.0,3170.54
52,90,120,801,0,30,0,33.59,688.6,100.0,0.0,3170.54
52,90,120,799,0,30,0,33.59,688.6,100.0,0.0,3170.54
53,90,119,799,0,30,0,33.59,688.6,100.0,0.0,3170.54
53,90,118,799,0,30,0,33.59,688.6,100.0,0.0,3170.54
53,90,119,799,0,30,0,33.59,688.6,100.0,0.0,3170.54
53,90,120,799,0,30,0,33.59,688.6,100.0,0.0,3170.54
52,90,120,799,0,30,0,33.59,688.6,100.0,0.0,3170.54
53,91,121,800,0,30,0,33.59,688.6,100.0,0.0,3170.54
53,90,121,801,0,30,0,33.59,688.6,100.0,0.0,3170.54
53,90,121,801,0,30,0,33.59,688.6,100.0,0.0,3170.54
53,91,121,802,0,30,0,33.59,688.6,100.0,0.0,3170.54
53,91,122,802,0,30,0,33.59,688.6,100.0,0.0,3170.54
54,91,122,802,0,28,0,33.59,688.6,100.0,0.0,3170.54
53,91,121,803,0,30,0,33.59,688.6,100.0,0.0,3170.54
53,91,122,802,0,31,0,33.59,688.6,100.0,0.0,3170.54
53,91,122,803,0,30,0,33.59,688.6,100.0,0.0,3170.54
54,91,122,803,0,30,0,33.59,688.6,100.0,0.0,3170.54
53,92,122,803,0,30,0,33.59,688.6,100.0,0.0,3170.54
53,92,122,803,0,30,0,33.59,688.6,100.0,0.0,3170.54
54,91,122,803,0,30,0,33.59,688.6,100.0,0.0,3170.54
53,91,121,803,0,30,0,33.59,688.6,100.0,0.0,3170.54
53,91,122,802,0,30,0,33.59,688.6,100.0,0.0,3170.54
53,92,122,802,0,30,0,33.59,688.6,100.0,0.0,3170.54
53,91,121,803,0,30,0,33.59,688.6,100.0,0.0,3170.54
53,92,121,803,0,30,0,33.59,688.6,100.0,0.0,3170.54
54,91,122,803,0,33,0,33.59,688.6,100.0,0.0,3170.54
53,91,122,803,0,30,0,33.59,688.6,100.0,0.0,3170.54
54,92,122,802,0,30,0,33.59,688.6,100.0,0.0,3170.54
54,92,122,803,0,30,0,33.59,688.6,100.0,0.0,3170.54
54,92,121,803,0,30,0,33.59,688.6,100.0,0.0,3170.54
54,91,121,802,0,30,0,33.59,688.6,100.0,0.0,3170.54
53,91,121,803,0,30,0,33.59,688.6,100.0,0.0,3170.54
54,91,121,801,0,30,0,33.59,688.6,100.0,0.0,3170.54
54,91,121,802,0,29,0,33.59,688.6,100.0,0.0,3170.54
54,91,122,802,0,30,0,33.59,688.6,100.0,0.0,3170.54
53,91,122,802,0,30,0,33.59,688.6,100.0,0.0,3170.54
53,91,122,802,0,30,0,33.59,688.6,100.0,0.0,3170.54
54,91,122,802,0,30,0,33.59,688.6,100.0,0.0,3170.54
54,91,121,802,0,31,0,33.59,688.6,100.0,0.0,3170.54
54,91,121,802,0,30,0,33.59,688.6,100.0,0.0,3170.54
54,91,121,801,0,30,0,33.59,688.6,100.0,0.0,3170.54
54,91,121,802,0,30,0,33.59,688.6,100.0,0.0,3170.54
54,92,121,802,0,31,0,33.59,688.6,100.0,0.0,3170.54
54,91,122,802,0,30,0,33.59,688.6,100.0,0.0,3170.54
54,91,122,802,0,28,0,33.59,688.6,100.0,0.0,3170.54
54,91,121,803,0,30,0,33.59,688.6,100.0,0.0,3170.54
54,91,121,803,0,30,0,33.59,688.6,100.0,0.0,3170.54
54,92,122,802,0,30,0,33.59,688.6,100.0,0.0,3170.54
54,92,122,803,0,30,0,33.59,688.6,100.0,0.0,3170.54
54,92,122,803,0,30,0,33.59,688.6,100.0,0.0,3170.54
54,91,122,803,0,30,0,33.59,688.6,100.0,0.0,3170.54
54,92,122,802,0,30,0,33.59,688.6,100.0,0.0,3170.54
54,92,122,803,0,31,0,33.59,688.6,100.0,0.0,3170.54
54,92,123,803,0,30,0,33.59,688.6,100.0,0.0,3170.54
54,92,122,803,0,30,0,33.59,688.6,100.0,0.0,3170.54
54,92,122,804,0,30,0,33.59,688.6,100.0,0.0,3170.54
