NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
80,126,174,745,0,4,0,33.59,688.6,100.0,0.0,3170.54
80,125,174,744,0,4,0,33.59,688.6,100.0,0.0,3170.54
80,126,175,744,0,4,0,33.59,688.6,100.0,0.0,3170.54
80,126,174,745,0,4,0,33.59,688.6,100.0,0.0,3170.54
80,125,173,744,0,3,0,33.59,688.6,100.0,0.0,3170.54
80,125,173,744,0,3,0,33.59,688.6,100.0,0.0,3170.54
79,125,173,744,0,4,0,33.59,688.6,100.0,0.0,3170.54
79,125,172,744,0,3,0,33.59,688.6,100.0,0.0,3170.54
79,125,172,745,0,4,0,33.59,688.6,100.0,0.0,3170.54
78,125,171,745,0,4,0,33.59,688.6,100.0,0.0,3170.54
78,126,171,744,0,4,0,33.59,688.6,100.0,0.0,3170.54
78,125,171,745,0,4,0,33.59,688.6,100.0,0.0,3170.54
78,125,171,745,0,4,0,33.59,688.6,100.0,0.0,3170.54
77,125,171,744,0,4,0,33.59,688.6,100.0,0.0,3170.54
78,125,170,745,0,4,0,33.59,688.6,100.0,0.0,3170.54
77,125,169,745,0,3,0,33.59,688.6,100.0,0.0,3170.54
77,125,169,745,0,4,0,33.59,688.6,100.0,0.0,3170.54
77,125,169,745,0,4,0,33.59,688.6,100.0,0.0,3170.54
77,125,169,745,0,4,0,33.59,688.6,100.0,0.0,3170.54
77,125,169,745,0,4,0,33.59,688.6,100.0,0.0,3170.54
77,125,168,745,0,4,0,33.59,688.6,100.0,0.0,3170.54
77,124,168,745,0,4,0,33.59,688.6,100.0,0.0,3170.54
76,125,168,745,0,4,0,33.59,688.6,100.0,0.0,3170.54
76,124,168,746,0,4,0,33.59,688.6,100.0,0.0,3170.54
76,124,168,745,0,4,0,33.59,688.6,100.0,0.0,3170.54
76,124,167,744,0,4,0,33.59,688.6,100.0,0.0,3170.54
76,125,167,745,0,4,0,33.59,688.6,100.0,0.0,3170.54
76,125,167,745,0,4,0,33.59,688.6,100.0,0.0,3170.54
75,124,166,745,0,4,0,33.59,688.6,100.0,0.0,3170.54
76,125,166,745,0,4,0,33.59,688.6,100.0,0.0,3170.54
75,124,166,745,0,4,0,33.59,688.6,100.0,0.0,3170.54
76,125,166,745,0,4,0,33.59,688.6,100.0,0.0,3170.54
76,124,165,745,0,4,0,33.59,688.6,100.0,0.0,3170.54
76,125,165,745,0,4,0,33.59,688.6,100.0,0.0,3170.54
76,124,165,746,0,4,0,33.59,688.6,100.0,0.0,3170.54
75,124,165,746,0,4,0,33.59,688.6,100.0,0.0,3170.54
75,124,165,745,0,4,0,33.59,688.6,100.0,0.0,3170.54
75,124,165,745,0,4,0,33.59,688.6,100.0,0.0,3170.54
