NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
33,65,62,764,0,11,0,25.32,1008.95,39.24,292.92,66.99
34,65,63,765,0,11,0,25.32,1008.95,39.22,293.18,66.99
34,65,63,765,0,11,0,25.32,1008.95,39.23,294.75,66.99
33,65,63,765,0,10,0,25.32,1008.95,39.23,292.66,66.91
33,65,63,765,0,10,0,25.32,1008.96,39.23,292.92,66.91
33,65,62,764,0,11,0,25.32,1008.96,39.22,293.44,66.91
33,65,63,764,0,11,0,25.32,1008.96,39.23,292.14,66.91
33,65,63,764,0,11,0,25.31,1008.96,39.23,291.88,66.91
33,65,63,765,0,11,0,25.31,1008.96,39.23,294.22,66.99
33,66,63,765,0,11,0,25.31,1008.95,39.23,291.88,66.99
33,65,63,765,0,11,0,25.31,1008.95,39.23,293.44,66.99
33,65,62,764,0,11,0,25.31,1008.95,39.23,293.96,66.99
33,65,63,764,0,11,0,25.31,1008.95,39.23,292.14,67.07
33,65,63,765,0,11,0,25.32,1008.94,39.22,292.4,67.07
33,65,63,764,0,11,0,25.32,1008.94,39.24,291.11,67.07
33,65,63,764,0,11,0,25.32,1008.94,39.23,290.86,67.07
33,65,62,765,0,11,0,25.32,1008.94,39.23,291.11,67.07
33,65,63,764,0,10,0,25.32,1008.94,39.23,290.35,67.07
33,65,63,764,0,10,0,25.32,1008.94,39.23,289.84,66.99
33,65,63,764,0,11,0,25.32,1008.95,39.23,290.6,67.07
33,66,63,765,0,11,0,25.32,1008.94,39.22,290.86,67.07
33,65,63,765,0,11,0,25.32,1008.94,39.22,290.35,67.07
34,66,63,764,0,11,0,25.32,1008.94,39.24,291.11,67.07
33,65,63,764,1,10,0,25.33,1008.94,39.24,289.33,67.16
33,66,62,764,0,11,0,25.33,1008.93,39.24,290.09,67.16
33,66,62,764,0,12,0,25.33,1008.93,39.24,289.08,67.16
33,65,62,765,0,10,0,25.33,1008.93,39.24,289.08,67.24
33,65,63,764,1,11,0,25.33,1008.92,39.24,288.82,67.16
33,66,63,765,0,12,0,25.33,1008.93,39.24,289.33,67.16
33,65,63,765,0,11,0,25.33,1008.93,39.24,288.57,67.16
33,65,62,765,0,11,0,25.33,1008.93,39.22,287.82,67.16
33,65,63,764,1,10,0,25.33,1008.93,39.24,287.07,67.16
33,65,63,765,0,11,0,25.34,1008.93,39.24,289.33,67.16
33,65,63,765,0,11,0,25.34,1008.93,39.22,289.33,67.16
34,65,62,765,1,11,0,25.34,1008.93,39.22,287.57,67.16
33,65,63,765,0,11,0,25.34,1008.93,39.22,288.32,67.07
33,65,63,765,1,12,0,25.34,1008.94,39.21,289.33,67.16
33,66,63,764,0,10,0,25.34,1008.93,39.22,287.57,67.16
33,65,62,764,1,11,0,25.34,1008.93,39.21,287.82,67.07
34,65,63,765,0,10,0,25.34,1008.94,39.21,289.84,67.07
34,65,62,764,0,10,0,25.34,1008.94,39.21,288.32,67.07
33,65,63,764,0,11,0,25.35,1008.94,39.21,288.07,67.07
33,65,63,765,0,11,0,25.35,1008.94,39.19,288.57,67.16
34,65,63,765,0,11,0,25.35,1008.93,39.2,289.08,67.16
33,65,63,765,0,11,0,25.35,1008.93,39.19,289.08,67.16
33,65,63,765,0,10,0,25.35,1008.93,39.18,288.07,67.24
34,65,63,765,1,11,0,25.35,1008.92,39.18,288.32,67.32
33,65,62,765,0,11,0,25.35,1008.91,39.18,287.57,67.32
33,66,63,765,1,11,0,25.35,1008.91,39.18,288.07,67.32
34,65,63,765,0,11,0,25.35,1008.91,39.18,287.57,67.32
34,65,63,765,1,11,0,25.35,1008.91,39.17,289.08,67.24
33,65,63,765,0,11,0,25.35,1008.92,39.16,288.07,67.24
34,65,63,765,1,11,0,25.35,1008.92,39.16,287.57,67.24
33,65,63,765,0,11,0,25.35,1008.92,39.15,287.07,67.24
33,66,63,765,1,11,0,25.35,1008.92,39.15,288.82,67.24
33,66,62,765,1,11,0,25.35,1008.92,39.14,290.09,67.32
34,65,63,765,1,11,0,25.35,1008.91,39.13,288.57,67.24
34,65,63,765,1,11,0,25.35,1008.92,39.14,288.57,67.32
33,66,63,764,1,11,0,25.35,1008.91,39.14,289.58,67.24
34,65,63,764,1,11,0,25.36,1008.92,39.14,289.33,67.24
34,66,63,764,0,11,0,25.35,1008.92,39.13,287.32,67.16
33,65,63,765,1,11,0,25.36,1008.93,39.12,288.57,67.07
34,65,62,765,1,11,0,25.36,1008.94,39.13,288.32,67.16
33,65,62,765,1,12,0,25.36,1008.93,39.13,287.57,67.16
33,65,63,765,1,13,0,25.36,1008.93,39.13,287.57,67.24
33,66,62,765,1,11,0,25.36,1008.92,39.12,287.82,67.24
34,65,63,765,1,11,0,25.36,1008.92,39.13,286.82,67.24
34,65,63,765,0,11,0,25.36,1008.92,39.12,286.32,67.24
33,65,62,765,0,11,0,25.36,1008.92,39.12,287.82,67.32
33,65,62,765,0,11,0,25.36,1008.91,39.12,287.82,67.32
33,65,63,766,1,11,0,25.36,1008.91,39.12,289.08,67.32
34,66,63,764,0,11,0,25.36,1008.91,39.11,289.33,67.32
34,65,63,765,1,10,0,25.36,1008.91,39.12,288.32,67.32
34,65,62,765,1,11,0,25.36,1008.91,39.1,287.07,67.32
33,65,63,765,1,11,0,25.36,1008.91,39.12,286.57,67.32
34,65,63,765,1,10,0,25.36,1008.91,39.12,288.07,67.32
34,66,63,765,0,11,0,25.36,1008.91,39.1,287.57,67.41
33,65,63,765,0,10,0,25.36,1008.9,39.1,288.82,67.32
33,65,62,765,1,11,0,25.36,1008.91,39.1,288.32,67.41
34,66,63,765,1,10,0,25.37,1008.9,39.1,287.57,67.32
34,66,63,765,0,11,0,25.37,1008.91,39.1,287.32,67.24
34,65,63,766,0,11,0,25.37,1008.92,39.1,288.07,67.32
34,65,63,765,0,11,0,25.37,1008.91,39.1,289.08,67.32
34,66,63,765,0,11,0,25.37,1008.91,39.09,287.32,67.24
34,65,63,766,0,11,0,25.37,1008.92,39.1,286.82,67.32
34,65,63,765,0,10,0,25.37,1008.91,39.09,287.82,67.32
34,66,63,765,1,11,0,25.37,1008.91,39.09,286.82,67.32
34,66,63,766,0,11,0,25.37,1008.91,39.09,287.82,67.41
34,65,63,765,0,10,0,25.37,1008.9,39.1,286.07,67.41
34,66,63,765,0,11,0,25.37,1008.9,39.09,288.07,67.41
34,65,63,766,1,11,0,25.37,1008.9,39.09,287.07,67.41
34,66,64,766,0,11,0,25.37,1008.9,39.09,288.07,67.41
34,65,64,765,1,12,0,25.37,1008.9,39.09,287.07,67.49
34,65,63,765,0,11,0,25.37,1008.89,39.1,286.32,67.49
34,65,63,765,0,11,0,25.37,1008.89,39.09,287.32,67.57
34,65,63,764,0,11,0,25.37,1008.88,39.09,285.58,67.49
35,66,62,765,1,11,0,25.37,1008.89,39.08,286.82,67.57
34,66,63,765,0,11,0,25.37,1008.88,39.08,286.82,67.57
34,65,63,766,0,11,0,25.37,1008.88,39.08,287.32,67.49
34,66,63,765,0,11,0,25.37,1008.89,39.07,286.57,67.49
34,65,63,765,0,11,0,25.37,1008.89,39.08,285.58,67.49
34,66,63,765,1,11,0,25.37,1008.89,39.08,286.32,67.49
34,66,63,765,0,11,0,25.37,1008.89,39.07,286.82,67.49
34,65,64,765,0,11,0,25.38,1008.89,39.08,287.07,67.49
34,65,63,766,0,11,0,25.38,1008.89,39.08,287.07,67.49
35,65,63,765,0,11,0,25.38,1008.89,39.07,286.82,67.41
34,65,64,765,0,11,0,25.37,1008.9,39.08,285.83,67.32
35,66,64,765,1,11,0,25.38,1008.91,39.07,286.82,67.41
35,66,63,766,1,11,0,25.38,1008.9,39.09,284.84,67.32
34,65,63,765,0,11,0,25.38,1008.91,39.07,286.57,67.32
34,66,63,766,0,10,0,25.38,1008.91,39.07,287.32,67.24
34,66,64,765,0,11,0,25.38,1008.92,39.06,285.09,67.24
34,66,64,766,0,11,0,25.38,1008.92,39.08,286.32,67.24
35,65,64,765,0,11,0,25.38,1008.92,39.06,284.6,67.16
34,65,63,765,0,11,0,25.38,1008.93,39.07,286.32,67.24
34,66,64,766,0,11,0,25.38,1008.92,39.06,286.57,67.24
35,65,63,766,1,11,0,25.38,1008.92,39.08,286.82,67.24
34,65,64,765,0,11,0,25.38,1008.92,39.08,286.57,67.24
34,65,63,765,1,11,0,25.38,1008.92,39.08,286.82,67.24
35,65,63,766,0,11,0,25.38,1008.92,39.07,285.09,67.32
34,66,64,766,0,10,0,25.38,1008.91,39.07,286.07,67.24
34,66,63,766,0,11,0,25.38,1008.92,39.07,286.07,67.24
34,65,63,766,0,11,0,25.38,1008.92,39.07,285.09,67.24
34,66,63,765,0,11,0,25.38,1008.92,39.07,284.35,67.24
34,66,63,765,0,11,0,25.38,1008.92,39.07,285.83,67.24
35,65,64,766,1,11,0,25.38,1008.92,39.07,285.33,67.24
35,65,63,765,0,12,0,25.38,1008.92,39.08,285.33,67.32
35,66,64,766,0,11,0,25.38,1008.91,39.07,285.09,67.32
35,66,63,765,0,11,0,25.38,1008.91,39.07,284.6,67.32
34,66,63,765,0,11,0,25.38,1008.91,39.05,285.58,67.32
