NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
100,173,288,766,0,7,0,33.59,688.6,100.0,0.0,3170.54
100,173,287,766,0,6,0,33.59,688.6,100.0,0.0,3170.54
100,173,287,766,0,6,0,33.59,688.6,100.0,0.0,3170.54
99,173,286,766,0,6,0,33.59,688.6,100.0,0.0,3170.54
99,172,285,766,0,6,0,33.59,688.6,100.0,0.0,3170.54
98,172,285,766,0,6,0,33.59,688.6,100.0,0.0,3170.54
98,172,284,766,0,6,0,33.59,688.6,100.0,0.0,3170.54
98,172,283,766,0,5,0,33.59,688.6,100.0,0.0,3170.54
97,171,282,767,0,5,0,33.59,688.6,100.0,0.0,3170.54
98,171,282,766,0,6,0,33.59,688.6,100.0,0.0,3170.54
97,171,281,766,1,7,0,33.59,688.6,100.0,0.0,3170.54
97,171,280,766,1,6,0,33.59,688.6,100.0,0.0,3170.54
96,170,279,766,1,6,0,33.59,688.6,100.0,0.0,3170.54
96,171,279,766,0,7,0,33.59,688.6,100.0,0.0,3170.54
96,170,278,766,0,5,0,33.59,688.6,100.0,0.0,3170.54
96,170,277,766,0,5,0,33.59,688.6,100.0,0.0,3170.54
96,170,276,766,0,5,0,33.59,688.6,100.0,0.0,3170.54
95,170,276,766,0,6,0,33.59,688.6,100.0,0.0,3170.54
94,169,275,765,0,6,0,33.59,688.6,100.0,0.0,3170.54
94,170,274,766,1,6,0,33.59,688.6,100.0,0.0,3170.54
94,169,274,765,1,6,0,33.59,688.6,100.0,0.0,3170.54
93,169,273,767,0,6,0,33.59,688.6,100.0,0.0,3170.54
93,169,272,765,1,7,0,33.59,688.6,100.0,0.0,3170.54
93,168,272,766,1,7,0,33.59,688.6,100.0,0.0,3170.54
92,168,272,766,1,6,0,33.59,688.6,100.0,0.0,3170.54
93,168,270,766,1,6,0,33.59,688.6,100.0,0.0,3170.54
93,168,270,766,1,6,0,33.59,688.6,100.0,0.0,3170.54
93,167,269,765,1,6,0,33.59,688.6,100.0,0.0,3170.54
92,168,270,766,1,7,0,33.59,688.6,100.0,0.0,3170.54
92,168,268,765,1,7,0,33.59,688.6,100.0,0.0,3170.54
92,167,268,766,1,7,0,33.59,688.6,100.0,0.0,3170.54
92,167,268,766,1,7,0,33.59,688.6,100.0,0.0,3170.54
92,167,268,766,1,7,0,33.59,688.6,100.0,0.0,3170.54
92,166,267,766,1,6,0,33.59,688.6,100.0,0.0,3170.54
92,167,267,766,1,6,0,33.59,688.6,100.0,0.0,3170.54
92,167,266,766,1,7,0,33.59,688.6,100.0,0.0,3170.54
92,166,266,766,1,6,0,33.59,688.6,100.0,0.0,3170.54
91,166,265,765,1,7,0,33.59,688.6,100.0,0.0,3170.54
92,166,265,766,1,7,0,33.59,688.6,100.0,0.0,3170.54
92,166,265,766,1,7,0,33.59,688.6,100.0,0.0,3170.54
92,166,264,766,1,7,0,33.59,688.6,100.0,0.0,3170.54
92,165,264,765,1,6,0,33.59,688.6,100.0,0.0,3170.54
91,165,264,766,0,6,0,33.59,688.6,100.0,0.0,3170.54
92,165,264,766,0,5,0,33.59,688.6,100.0,0.0,3170.54
92,165,263,765,1,8,0,33.59,688.6,100.0,0.0,3170.54
92,165,263,766,1,6,0,33.59,688.6,100.0,0.0,3170.54
92,165,264,766,1,7,0,33.59,688.6,100.0,0.0,3170.54
92,164,263,766,1,6,0,33.59,688.6,100.0,0.0,3170.54
93,164,264,766,1,7,0,33.59,688.6,100.0,0.0,3170.54
92,165,263,766,1,7,0,33.59,688.6,100.0,0.0,3170.54
93,164,263,766,1,6,0,33.59,688.6,100.0,0.0,3170.54
94,164,263,766,1,6,0,33.59,688.6,100.0,0.0,3170.54
94,164,263,767,1,6,0,33.59,688.6,100.0,0.0,3170.54
