NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
34,61,66,723,2,23,0,25.25,1021.15,28.52,508.19,-34.37
33,61,66,723,3,22,0,25.25,1021.15,28.58,507.04,-34.37
33,61,66,724,2,23,0,25.25,1021.15,28.65,507.81,-34.37
33,61,66,724,2,23,0,25.25,1021.15,28.75,507.81,-34.45
33,61,66,724,2,23,0,25.25,1021.16,28.83,503.24,-34.45
33,61,66,723,2,23,0,25.25,1021.16,28.88,507.04,-34.45
33,60,66,723,3,23,0,25.25,1021.16,28.94,508.57,-34.45
33,61,66,724,3,22,0,25.25,1021.16,28.99,508.19,-34.45
33,61,66,724,2,23,0,25.25,1021.16,29.03,507.04,-34.45
33,61,66,723,2,23,0,25.25,1021.16,29.05,504.0,-34.45
33,61,66,724,3,23,0,25.25,1021.16,29.07,508.96,-34.37
33,61,66,724,2,23,0,25.25,1021.15,29.07,507.42,-34.37
33,61,66,724,2,23,0,25.25,1021.15,29.07,505.51,-34.28
33,61,66,724,3,23,0,25.25,1021.14,29.08,508.19,-34.28
33,60,66,724,3,23,0,25.26,1021.14,29.09,507.42,-34.37
33,61,66,724,2,22,0,25.26,1021.15,29.09,508.19,-34.37
33,61,66,725,2,23,0,25.26,1021.15,29.1,506.27,-34.45
32,61,66,724,2,23,0,25.26,1021.16,29.1,502.11,-34.45
32,61,66,724,2,25,0,25.26,1021.16,29.1,506.27,-34.45
33,61,65,724,3,23,0,25.26,1021.16,29.1,505.89,-34.45
32,61,66,724,2,23,0,25.26,1021.16,29.13,503.62,-34.45
33,61,66,724,2,23,0,25.26,1021.16,29.13,507.04,-34.45
33,61,65,724,2,23,0,25.26,1021.16,29.12,502.87,-34.53
32,61,66,724,3,23,0,25.26,1021.17,29.13,503.24,-34.45
33,61,66,724,3,22,0,25.26,1021.16,29.12,502.87,-34.45
33,61,65,724,2,22,0,25.27,1021.16,29.12,506.27,-34.37
32,61,66,724,2,23,0,25.27,1021.15,29.11,503.24,-34.37
33,61,66,725,2,23,0,25.27,1021.15,29.11,501.36,-34.37
33,61,65,724,3,23,0,25.27,1021.15,29.09,505.89,-34.37
32,61,65,724,2,22,0,25.27,1021.15,29.1,504.75,-34.37
