NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
18,48,38,721,2,22,0,25.46,1021.06,28.93,527.34,-33.54
18,48,38,720,2,22,0,25.46,1021.05,28.93,527.34,-33.46
19,48,38,721,2,22,0,25.46,1021.04,28.93,529.83,-33.54
19,48,38,721,2,23,0,25.46,1021.05,28.94,524.46,-33.54
19,49,38,721,2,22,0,25.47,1021.05,28.94,521.61,-33.54
19,48,38,722,2,23,0,25.47,1021.05,28.96,524.87,-33.54
19,48,38,722,3,23,0,25.47,1021.05,28.96,524.46,-33.54
19,48,38,722,2,24,0,25.47,1021.05,28.97,524.87,-33.54
19,48,38,722,3,23,0,25.47,1021.05,28.97,522.82,-33.54
19,48,38,722,2,23,0,25.47,1021.05,28.96,524.46,-33.54
19,49,38,722,2,24,0,25.47,1021.05,28.97,522.01,-33.62
19,48,38,723,2,24,0,25.48,1021.06,28.99,522.82,-33.54
19,48,39,723,2,24,0,25.48,1021.05,28.97,522.82,-33.62
19,48,38,723,2,24,0,25.48,1021.06,28.98,519.19,-33.62
19,48,38,723,2,24,0,25.48,1021.06,28.97,522.01,-33.62
19,48,39,723,3,24,0,25.48,1021.06,28.99,521.2,-33.71
19,48,39,723,3,24,0,25.48,1021.07,29.0,520.39,-33.62
19,48,38,723,3,24,0,25.48,1021.06,28.99,521.2,-33.62
19,48,39,723,3,24,0,25.48,1021.06,28.99,524.87,-33.62
19,48,38,722,3,24,0,25.48,1021.06,28.99,523.23,-33.62
19,49,38,723,2,25,0,25.48,1021.06,29.0,522.01,-33.62
19,48,39,723,2,24,0,25.48,1021.06,29.0,520.39,-33.62
19,49,39,723,2,24,0,25.48,1021.06,28.99,519.99,-33.62
19,48,38,723,3,24,0,25.48,1021.06,28.99,517.99,-33.71
19,49,38,724,3,24,0,25.48,1021.07,28.98,519.59,-33.71
19,49,38,723,3,25,0,25.48,1021.07,28.99,518.79,-33.71
19,49,38,723,3,24,0,25.49,1021.07,28.99,517.59,-33.79
19,49,38,723,3,24,0,25.49,1021.08,28.98,520.8,-33.79
19,49,39,723,2,24,0,25.49,1021.08,28.98,517.19,-33.79
19,48,39,724,2,24,0,25.49,1021.08,28.98,521.2,-33.71
19,49,38,723,3,24,0,25.49,1021.07,28.99,516.79,-33.71
20,49,39,723,2,24,0,25.49,1021.07,29.0,516.79,-33.71
19,49,39,723,2,24,0,25.49,1021.07,28.99,515.6,-33.71
19,49,38,724,2,24,0,25.49,1021.07,28.99,516.0,-33.79
20,49,39,724,3,24,0,25.49,1021.08,28.99,517.19,-33.79
20,49,39,724,2,24,0,25.49,1021.08,29.0,516.39,-33.79
