NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
37,63,80,730,2,17,0,25.4,1019.08,22.81,495.81,-17.32
36,63,79,730,2,17,0,25.4,1019.09,22.83,494.35,-17.24
36,63,79,729,3,18,0,25.4,1019.08,22.84,493.63,-17.24
37,63,79,730,2,17,0,25.4,1019.08,22.85,494.35,-17.24
36,63,79,730,3,17,0,25.4,1019.08,22.87,493.26,-17.16
36,63,79,730,2,18,0,25.4,1019.07,22.88,492.9,-17.16
37,63,79,730,2,17,0,25.4,1019.07,22.88,494.35,-17.24
36,63,79,730,2,18,0,25.4,1019.08,22.91,492.9,-17.24
37,63,79,730,2,20,0,25.4,1019.08,22.94,493.26,-17.16
36,63,79,730,2,18,0,25.4,1019.07,22.94,493.99,-17.16
36,63,79,730,2,17,0,25.4,1019.07,22.97,493.63,-17.24
37,63,78,730,3,18,0,25.4,1019.08,22.99,494.72,-17.24
37,63,79,730,2,18,0,25.4,1019.08,23.01,490.03,-17.16
36,63,78,730,2,18,0,25.4,1019.07,23.02,496.18,-17.16
36,63,79,730,4,18,0,25.4,1019.07,23.05,493.99,-17.16
36,63,78,731,2,18,0,25.41,1019.07,23.06,497.28,-17.16
36,63,78,730,2,18,0,25.41,1019.07,23.07,495.08,-17.16
36,63,78,730,3,18,0,25.41,1019.07,23.09,494.35,-17.07
37,62,78,731,3,18,0,25.41,1019.06,23.11,494.72,-17.16
36,63,78,731,3,18,0,25.41,1019.07,23.11,495.45,-17.07
36,63,78,731,3,18,0,25.41,1019.06,23.12,493.26,-17.16
36,63,79,732,3,18,0,25.41,1019.07,23.13,495.45,-17.16
36,63,78,732,3,17,0,25.41,1019.07,23.11,493.63,-17.07
36,63,78,732,3,18,0,25.41,1019.06,23.09,492.54,-17.07
36,63,78,731,2,18,0,25.41,1019.06,23.1,494.72,-17.16
36,63,78,732,2,18,0,25.42,1019.07,23.09,496.55,-17.07
36,63,78,732,3,18,0,25.42,1019.06,23.08,492.54,-17.07
36,63,78,732,3,18,0,25.42,1019.06,23.08,492.9,-17.07
36,63,78,732,3,18,0,25.42,1019.06,23.09,495.08,-17.07
36,62,78,733,3,17,0,25.42,1019.06,23.09,492.9,-17.16
35,63,78,733,3,17,0,25.42,1019.07,23.1,493.63,-17.16
35,63,78,733,3,18,0,25.42,1019.07,23.11,493.99,-17.16
36,63,78,733,3,18,0,25.42,1019.07,23.13,491.82,-17.16
36,63,78,733,3,19,0,25.42,1019.07,23.15,492.54,-17.24
36,63,78,734,2,18,0,25.42,1019.08,23.16,492.54,-17.16
36,63,78,735,2,18,0,25.42,1019.07,23.17,493.99,-17.16
36,64,78,735,2,18,0,25.42,1019.07,23.19,492.18,-17.16
36,63,79,736,3,18,0,25.42,1019.07,23.19,493.63,-17.16
36,63,78,736,3,18,0,25.42,1019.07,23.21,493.63,-17.16
37,63,78,736,3,17,0,25.43,1019.07,23.23,493.26,-17.16
36,64,78,736,3,18,0,25.43,1019.07,23.24,492.18,-17.16
36,64,79,736,3,18,0,25.43,1019.07,23.25,491.1,-17.16
36,64,79,736,3,17,0,25.43,1019.07,23.26,488.96,-17.07
37,64,78,737,3,18,0,25.43,1019.06,23.28,494.72,-17.16
37,63,78,736,3,18,0,25.43,1019.07,23.28,494.72,-17.16
36,64,79,737,3,21,0,25.43,1019.07,23.28,487.18,-17.16
37,64,79,736,3,18,0,25.43,1019.07,23.29,491.82,-17.07
36,64,79,736,3,17,0,25.43,1019.06,23.26,492.54,-17.07
37,64,78,737,3,20,0,25.43,1019.06,23.25,492.9,-17.16
36,63,78,736,3,19,0,25.43,1019.07,23.23,491.1,-17.16
37,64,78,736,3,21,0,25.43,1019.07,23.23,489.31,-17.16
36,63,79,737,3,19,0,25.43,1019.07,23.21,491.46,-17.16
36,64,79,736,4,19,0,25.43,1019.07,23.22,489.67,-17.16
36,64,78,736,3,19,0,25.43,1019.07,23.24,488.96,-17.16
36,63,79,735,3,19,0,25.43,1019.07,23.23,491.46,-17.16
36,64,79,735,3,19,0,25.43,1019.07,23.24,487.54,-17.07
36,63,78,736,4,20,0,25.43,1019.06,23.24,492.9,-17.16
36,64,78,736,4,20,0,25.43,1019.07,23.24,490.74,-17.16
36,64,78,736,3,20,0,25.43,1019.07,23.23,491.82,-17.24
36,63,78,736,11,28,0,25.43,1019.08,23.23,490.38,-17.16
36,64,78,736,9,25,0,25.43,1019.07,23.21,490.03,-17.16
36,64,79,737,3,18,0,25.43,1019.07,23.2,487.89,-17.16
37,64,79,737,3,17,0,25.43,1019.07,23.2,491.46,-17.16
