NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
40,64,85,730,7,22,0,25.32,1019.23,22.57,429.01,-18.48
40,64,85,731,8,23,0,25.32,1019.23,22.59,427.92,-18.48
39,65,85,733,7,22,0,25.32,1019.23,22.6,430.11,-18.48
40,65,85,733,6,21,0,25.32,1019.23,22.62,431.49,-18.48
40,65,85,734,6,22,0,25.32,1019.23,22.65,430.11,-18.48
40,64,85,735,6,20,0,25.32,1019.23,22.65,432.6,-18.56
40,65,86,736,5,20,0,25.32,1019.24,22.66,432.88,-18.56
40,65,87,738,5,21,0,25.32,1019.24,22.69,436.54,-18.56
40,65,87,739,6,23,0,25.32,1019.24,22.71,437.1,-18.56
40,65,87,740,6,20,0,25.32,1019.24,22.72,434.28,-18.56
40,66,87,740,6,21,0,25.32,1019.24,22.72,438.53,-18.56
41,66,87,740,7,22,0,25.32,1019.24,22.74,439.68,-18.65
40,66,86,741,7,22,0,25.32,1019.25,22.73,439.39,-18.65
40,65,86,740,9,25,0,25.32,1019.25,22.76,441.7,-18.65
40,65,85,739,7,20,0,25.32,1019.25,22.77,440.54,-18.65
40,65,85,739,7,21,0,25.32,1019.25,22.78,442.28,-18.73
40,65,85,738,5,20,0,25.32,1019.26,22.78,443.16,-18.65
40,65,85,737,6,21,0,25.33,1019.25,22.8,442.87,-18.73
40,65,84,738,8,21,0,25.33,1019.26,22.8,444.92,-18.73
40,65,84,737,7,21,0,25.33,1019.26,22.8,446.69,-18.73
40,65,84,737,7,22,0,25.33,1019.26,22.8,444.92,-18.81
39,65,84,738,4,21,0,25.33,1019.27,22.82,446.1,-18.73
40,65,84,737,5,20,0,25.33,1019.26,22.81,447.59,-18.73
39,65,84,738,6,21,0,25.33,1019.26,22.82,446.1,-18.73
39,65,84,737,6,21,0,25.33,1019.26,22.82,446.4,-18.73
40,65,84,738,5,21,0,25.33,1019.26,22.83,447.88,-18.73
39,65,84,737,6,21,0,25.33,1019.26,22.83,446.4,-18.65
39,65,84,737,6,23,0,25.33,1019.25,22.83,451.19,-18.73
40,65,84,738,6,22,0,25.33,1019.26,22.84,448.18,-18.73
39,64,84,738,6,21,0,25.33,1019.26,22.85,448.18,-18.81
39,65,84,737,6,22,0,25.33,1019.27,22.86,449.68,-18.9
39,65,83,737,6,21,0,25.33,1019.28,22.86,452.41,-18.9
39,65,84,738,6,21,0,25.33,1019.28,22.86,451.19,-18.81
39,65,83,738,7,22,0,25.33,1019.27,22.86,453.63,-18.81
39,65,83,738,6,22,0,25.33,1019.27,22.88,452.11,-18.81
39,65,84,738,6,22,0,25.33,1019.27,22.88,453.32,-18.73
39,65,84,738,5,23,0,25.33,1019.26,22.88,451.19,-18.65
39,65,84,738,8,23,0,25.33,1019.25,22.89,453.63,-18.73
39,64,84,739,6,22,0,25.33,1019.26,22.89,453.02,-18.81
