NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
40,65,89,739,11,26,0,25.35,1019.15,23.5,381.94,-17.82
40,65,89,739,11,25,0,25.35,1019.15,23.49,383.46,-17.9
40,65,89,738,10,24,0,25.35,1019.16,23.5,384.12,-17.98
40,65,88,739,9,24,0,25.35,1019.17,23.52,388.56,-17.98
40,65,88,739,10,24,0,25.35,1019.17,23.55,386.33,-17.98
40,65,88,739,10,24,0,25.35,1019.17,23.59,386.77,-18.07
40,65,88,739,8,25,0,25.35,1019.18,23.62,388.12,-17.98
40,65,88,739,10,24,0,25.35,1019.17,23.65,391.28,-18.07
39,65,88,739,9,25,0,25.35,1019.18,23.67,389.92,-18.07
40,65,88,739,12,26,0,25.35,1019.18,23.69,391.28,-17.98
39,65,87,740,10,24,0,25.35,1019.17,23.71,394.03,-18.07
39,65,88,739,10,24,0,25.35,1019.18,23.74,392.19,-18.07
39,65,87,739,10,25,0,25.35,1019.18,23.75,392.88,-18.15
39,65,87,739,9,24,0,25.35,1019.19,23.76,396.83,-18.15
39,65,88,739,9,24,0,25.35,1019.19,23.78,395.43,-18.15
39,65,87,740,10,25,0,25.36,1019.19,23.8,396.36,-18.15
39,65,87,740,10,24,0,25.36,1019.19,23.81,401.57,-18.23
39,65,87,740,9,24,0,25.36,1019.2,23.82,399.9,-18.32
39,65,87,740,10,25,0,25.36,1019.21,23.84,401.57,-18.23
39,65,87,741,9,24,0,25.36,1019.2,23.85,399.9,-18.23
39,65,87,741,8,24,0,25.36,1019.2,23.87,400.13,-18.23
38,65,86,741,10,25,0,25.36,1019.2,23.89,403.74,-18.15
39,65,87,742,13,28,0,25.36,1019.19,23.91,404.23,-18.23
39,65,87,741,14,32,0,25.37,1019.2,23.91,406.18,-18.15
39,66,87,742,9,23,0,25.37,1019.19,23.89,404.23,-18.15
39,65,87,742,9,24,0,25.37,1019.19,23.89,403.99,-18.15
38,65,86,742,17,31,0,25.37,1019.19,23.88,407.91,-18.23
38,65,87,742,9,24,0,25.37,1019.2,23.88,407.66,-18.32
38,65,87,742,12,24,0,25.37,1019.21,23.87,407.66,-18.32
38,65,87,743,10,25,0,25.37,1019.21,23.85,408.65,-18.32
38,65,86,743,13,30,0,25.37,1019.21,23.83,410.65,-18.32
38,65,86,742,20,30,0,25.38,1019.21,23.82,412.67,-18.32
39,66,86,743,5,18,0,25.38,1019.21,23.82,410.4,-18.23
39,65,87,743,4,18,0,25.38,1019.2,23.82,413.94,-18.15
39,65,86,743,4,17,0,25.38,1019.19,23.81,413.18,-18.07
39,65,86,743,4,20,0,25.39,1019.18,23.8,416.25,-18.07
39,65,87,743,4,19,0,25.39,1019.18,23.81,415.48,-18.07
39,65,86,743,5,19,0,25.4,1019.18,23.83,416.25,-17.98
38,65,86,743,14,29,0,25.4,1019.17,23.83,417.8,-17.98
37,65,85,743,14,31,0,25.4,1019.17,23.84,418.06,-17.9
38,65,85,743,8,24,0,25.4,1019.16,23.85,420.15,-17.9
38,65,86,743,8,23,0,25.4,1019.16,23.86,415.48,-17.98
38,65,86,743,10,26,0,25.4,1019.17,23.87,417.54,-17.98
38,65,85,743,12,24,0,25.4,1019.17,23.91,416.51,-17.9
38,65,85,743,9,24,0,25.4,1019.16,23.93,418.85,-17.9
38,65,86,743,9,24,0,25.4,1019.16,23.94,416.25,-17.98
38,65,86,743,9,24,0,25.4,1019.17,23.95,419.63,-17.9
38,65,85,743,9,24,0,25.4,1019.16,23.96,420.15,-17.9
38,65,86,743,9,23,0,25.41,1019.16,23.96,420.15,-17.9
38,65,86,744,8,23,0,25.41,1019.16,23.95,420.94,-17.82
38,65,85,743,8,24,0,25.41,1019.15,23.94,420.15,-17.82
38,65,86,743,8,22,0,25.41,1019.15,23.93,420.42,-17.82
38,65,85,743,8,23,0,25.41,1019.15,23.91,422.0,-17.74
38,65,86,744,9,27,0,25.41,1019.14,23.88,422.53,-17.82
38,65,86,744,9,24,0,25.42,1019.15,23.87,423.6,-17.74
38,65,86,744,9,24,0,25.42,1019.14,23.85,423.6,-17.65
37,65,85,745,9,24,0,25.42,1019.13,23.83,423.06,-17.74
38,65,85,744,8,24,0,25.42,1019.14,23.79,424.4,-17.74
38,65,85,744,8,24,0,25.42,1019.14,23.75,426.29,-17.82
38,66,86,745,8,22,0,25.42,1019.15,23.7,428.46,-17.82
37,65,85,745,8,23,0,25.42,1019.15,23.69,425.48,-17.74
38,65,86,745,8,24,0,25.43,1019.14,23.67,426.83,-17.74
38,65,86,744,8,24,0,25.43,1019.14,23.66,427.64,-17.74
38,65,85,745,9,25,0,25.43,1019.14,23.65,429.01,-17.65
38,65,85,746,8,24,0,25.43,1019.13,23.66,428.19,-17.74
38,65,85,746,8,24,0,25.43,1019.14,23.66,427.64,-17.65
38,65,85,746,7,24,0,25.43,1019.13,23.7,430.11,-17.65
38,65,86,746,9,24,0,25.43,1019.13,23.72,428.74,-17.65
37,66,85,746,9,24,0,25.43,1019.13,23.75,430.66,-17.74
38,65,85,746,9,28,0,25.43,1019.14,23.77,426.02,-17.65
38,65,85,745,9,24,0,25.43,1019.13,23.8,429.01,-17.65
37,66,85,746,9,25,0,25.43,1019.13,23.83,430.93,-17.65
38,66,85,745,9,25,0,25.43,1019.13,23.85,431.21,-17.65
38,65,85,745,10,25,0,25.43,1019.13,23.88,429.83,-17.74
37,65,85,746,11,25,0,25.43,1019.14,23.91,427.37,-17.74
37,65,85,745,9,24,0,25.44,1019.14,23.92,431.21,-17.65
37,65,85,745,7,24,0,25.44,1019.13,23.94,427.92,-17.65
38,65,85,746,7,26,0,25.44,1019.13,23.95,431.21,-17.57
38,65,85,745,8,23,0,25.44,1019.12,23.96,429.01,-17.49
38,65,85,746,7,23,0,25.44,1019.11,23.96,429.83,-17.49
38,65,85,746,8,23,0,25.44,1019.11,23.96,431.21,-17.57
38,65,85,747,10,24,0,25.44,1019.12,23.94,431.49,-17.57
38,65,85,747,7,23,0,25.44,1019.12,23.94,433.44,-17.57
38,66,85,746,7,23,0,25.44,1019.12,23.93,431.21,-17.49
37,65,85,746,7,23,0,25.44,1019.11,23.92,432.6,-17.49
38,66,85,746,8,24,0,25.45,1019.11,23.92,433.16,-17.4
38,65,85,746,6,23,0,25.45,1019.1,23.9,435.97,-17.49
37,65,85,746,7,22,0,25.45,1019.11,23.89,434.28,-17.4
38,66,85,746,7,23,0,25.45,1019.1,23.89,434.56,-17.4
38,66,85,746,7,25,0,25.45,1019.1,23.89,436.54,-17.49
37,65,85,746,7,23,0,25.45,1019.11,23.9,432.04,-17.49
38,65,85,747,6,21,0,25.45,1019.11,23.88,434.84,-17.57
38,65,85,747,7,23,0,25.45,1019.12,23.92,434.28,-17.57
38,66,85,746,7,23,0,25.45,1019.12,23.93,434.0,-17.57
38,65,85,746,8,25,0,25.45,1019.12,23.96,437.1,-17.57
37,65,84,746,16,32,0,25.46,1019.12,23.97,435.4,-17.57
38,65,85,746,11,26,0,25.45,1019.12,23.99,434.56,-17.57
37,65,85,747,11,25,0,25.45,1019.12,24.01,433.16,-17.57
38,66,85,746,6,21,0,25.45,1019.12,24.04,433.16,-17.57
38,66,84,746,7,21,0,25.45,1019.12,24.07,435.97,-17.57
38,65,84,746,6,20,0,25.45,1019.12,24.08,434.28,-17.57
38,66,85,747,5,19,0,25.45,1019.12,24.1,435.69,-17.57
37,65,84,746,12,28,0,25.45,1019.12,24.11,432.04,-17.65
37,65,84,746,21,35,0,25.45,1019.13,24.12,435.4,-17.65
37,65,84,746,20,35,0,25.45,1019.13,24.12,436.54,-17.65
37,65,84,746,14,29,0,25.45,1019.13,24.15,436.25,-17.65
37,65,84,746,17,30,0,25.45,1019.13,24.18,437.67,-17.74
37,65,84,745,11,26,0,25.44,1019.14,24.18,433.16,-17.74
37,65,84,746,12,27,0,25.44,1019.14,24.2,434.28,-17.74
38,65,84,746,9,27,0,25.44,1019.14,24.22,433.44,-17.82
37,66,85,747,9,23,0,25.45,1019.15,24.24,432.04,-17.74
38,65,84,747,7,19,0,25.45,1019.14,24.23,434.56,-17.82
37,65,85,746,5,19,0,25.45,1019.15,24.2,435.97,-17.82
