NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
36,67,72,760,2,11,0,25.22,1008.73,39.71,258.75,68.83
36,67,72,760,2,11,0,25.21,1008.73,39.75,256.35,68.83
35,67,71,760,2,11,0,25.21,1008.73,39.79,257.95,68.83
36,67,71,760,2,11,0,25.21,1008.73,39.82,257.55,68.83
36,67,72,760,2,11,0,25.2,1008.73,39.85,256.94,68.91
36,67,71,760,2,11,0,25.2,1008.72,39.89,257.95,68.91
36,67,72,760,2,11,0,25.2,1008.72,39.9,258.75,68.91
35,67,72,760,2,11,0,25.2,1008.72,39.92,258.96,68.91
35,67,72,760,2,11,0,25.19,1008.72,39.96,259.16,68.99
36,66,72,760,2,11,0,25.19,1008.71,39.98,258.55,68.99
36,67,72,760,2,11,0,25.19,1008.71,40.0,257.55,68.99
35,67,72,760,2,10,0,25.19,1008.71,40.01,258.55,68.99
36,67,71,760,2,11,0,25.19,1008.71,40.01,258.15,68.99
35,67,72,760,2,11,0,25.19,1008.71,40.02,258.35,68.99
36,67,71,760,2,11,0,25.19,1008.71,40.03,258.15,68.91
35,67,71,760,2,11,0,25.2,1008.72,40.01,257.14,68.91
35,67,72,760,2,11,0,25.2,1008.72,40.02,257.55,68.99
35,67,71,760,2,11,0,25.2,1008.71,40.0,257.95,68.91
35,67,72,760,2,11,0,25.2,1008.72,39.99,259.16,68.99
35,67,71,760,2,11,0,25.2,1008.71,39.99,258.96,68.99
35,67,71,759,2,11,0,25.2,1008.71,39.97,258.55,68.99
35,67,71,760,3,11,0,25.2,1008.71,39.97,259.16,68.91
35,66,72,760,2,11,0,25.2,1008.72,39.96,258.96,68.91
35,67,71,761,2,11,0,25.21,1008.72,39.95,257.75,68.91
35,66,71,761,2,13,0,25.21,1008.72,39.93,258.35,68.83
35,67,71,760,2,11,0,25.21,1008.73,39.92,259.57,68.91
35,66,71,760,2,11,0,25.21,1008.72,39.93,258.35,68.91
34,67,71,760,2,11,0,25.21,1008.72,39.93,257.35,68.91
35,67,71,760,2,11,0,25.21,1008.72,39.93,258.75,68.91
35,67,71,760,2,11,0,25.22,1008.72,39.91,257.35,68.99
35,67,70,760,2,11,0,25.22,1008.71,39.92,258.55,68.99
35,67,71,760,2,11,0,25.22,1008.71,39.91,257.75,69.08
35,67,70,760,2,11,0,25.22,1008.7,39.92,258.15,68.99
35,67,71,760,2,11,0,25.22,1008.71,39.92,257.95,68.99
35,67,71,760,2,11,0,25.22,1008.71,39.91,257.75,68.99
34,66,71,760,2,11,0,25.22,1008.71,39.9,257.95,69.08
35,66,71,760,2,10,0,25.22,1008.7,39.89,258.35,69.08
35,67,70,760,2,11,0,25.22,1008.7,39.9,258.96,69.08
35,67,71,760,2,13,0,25.23,1008.7,39.9,257.14,69.16
34,67,70,760,3,11,0,25.23,1008.69,39.9,258.15,69.08
35,67,71,760,3,11,0,25.23,1008.7,39.89,257.55,69.08
35,67,71,760,3,11,0,25.23,1008.7,39.89,258.15,69.08
34,67,71,760,3,11,0,25.23,1008.7,39.89,258.55,69.08
35,67,71,760,3,11,0,25.23,1008.7,39.9,257.35,69.08
35,67,71,760,2,11,0,25.23,1008.7,39.88,256.35,69.08
35,67,71,760,2,11,0,25.24,1008.7,39.88,257.95,69.08
35,67,71,760,3,11,0,25.24,1008.7,39.86,257.35,69.16
35,66,71,760,2,11,0,25.24,1008.69,39.86,257.95,69.16
35,67,71,760,2,11,0,25.24,1008.69,39.86,256.94,69.24
