NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
36,68,82,768,1,29,0,25.98,1011.57,38.19,225.87,45.14
36,68,81,768,2,29,0,25.98,1011.57,38.23,224.64,45.06
36,69,81,768,1,30,0,25.98,1011.58,38.26,225.25,45.06
36,69,82,769,1,29,0,25.98,1011.58,38.3,224.34,45.14
36,68,81,768,1,29,0,25.98,1011.57,38.34,224.19,45.06
36,68,81,769,1,30,0,25.98,1011.58,38.38,224.95,45.06
36,68,81,769,1,30,0,25.98,1011.58,38.4,223.73,45.14
35,68,81,769,1,30,0,25.98,1011.57,38.44,226.18,45.06
36,68,81,769,1,30,0,25.98,1011.58,38.46,225.25,45.06
36,68,81,768,1,30,0,25.98,1011.58,38.49,226.18,45.14
36,68,81,769,1,29,0,25.98,1011.57,38.52,225.25,45.06
35,68,81,769,1,29,0,25.98,1011.58,38.54,226.18,45.06
35,68,81,769,1,29,0,25.98,1011.58,38.55,224.79,45.06
35,68,81,768,1,30,0,25.98,1011.58,38.57,225.72,45.14
36,68,81,769,1,28,0,25.98,1011.57,38.58,225.56,45.06
35,69,81,769,1,29,0,25.98,1011.58,38.6,225.87,45.06
35,68,81,769,1,29,0,25.98,1011.58,38.61,226.8,45.14
36,68,81,770,1,30,0,25.98,1011.57,38.62,226.8,45.22
36,69,81,770,1,30,0,25.98,1011.56,38.64,227.27,45.14
35,69,81,770,1,30,0,25.98,1011.57,38.63,227.42,45.14
36,68,81,769,1,29,0,25.98,1011.57,38.64,227.11,45.14
36,68,81,770,1,30,0,25.98,1011.57,38.64,226.18,45.14
35,68,81,770,1,29,0,25.98,1011.57,38.63,225.56,45.06
36,68,81,769,1,29,0,25.98,1011.58,38.61,225.1,45.06
35,68,81,770,1,29,0,25.98,1011.58,38.59,225.41,45.06
35,68,81,771,1,29,0,25.99,1011.58,38.59,226.96,45.14
35,68,81,770,1,29,0,25.99,1011.57,38.58,225.41,45.14
35,68,81,771,1,29,0,25.99,1011.57,38.58,226.18,45.06
35,68,80,770,2,29,0,25.99,1011.58,38.57,227.11,44.97
36,68,80,770,1,30,0,25.99,1011.59,38.58,227.42,44.97
35,68,81,770,1,29,0,25.99,1011.59,38.57,225.72,45.06
36,68,81,771,1,31,0,25.99,1011.58,38.57,226.33,45.06
36,68,81,771,1,29,0,25.99,1011.58,38.58,225.72,45.14
35,68,80,770,1,29,0,25.99,1011.57,38.59,227.42,45.06
35,68,80,771,1,29,0,25.99,1011.58,38.57,226.96,45.06
35,69,80,772,1,29,0,25.99,1011.58,38.59,226.65,45.06
35,69,81,771,1,30,0,26.0,1011.58,38.6,227.11,45.06
35,69,81,771,1,29,0,26.0,1011.58,38.62,227.74,45.14
35,68,80,772,2,29,0,26.0,1011.57,38.62,228.21,45.22
36,68,80,772,1,31,0,26.0,1011.56,38.65,226.8,45.22
36,68,80,772,1,29,0,26.0,1011.56,38.65,228.37,45.22
35,69,81,772,1,28,0,26.0,1011.56,38.65,227.11,45.14
