NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
46,65,85,737,2,12,0,25.41,1019.68,25.81,409.9,-22.21
46,65,85,737,2,12,0,25.41,1019.68,25.76,410.4,-22.21
46,66,86,738,2,11,0,25.41,1019.68,25.77,416.25,-22.29
46,66,85,737,2,13,0,25.41,1019.69,25.8,412.16,-22.29
46,65,85,738,2,12,0,25.41,1019.69,25.84,413.43,-22.37
45,66,85,738,3,11,0,25.41,1019.7,25.92,414.45,-22.37
45,65,85,739,3,11,0,25.4,1019.7,26.02,411.91,-22.37
46,65,85,739,2,12,0,25.4,1019.7,26.13,414.71,-22.37
45,65,85,740,2,11,0,25.4,1019.7,26.26,412.92,-22.46
46,66,85,741,2,12,0,25.4,1019.71,26.38,415.99,-22.54
46,66,85,742,2,12,0,25.4,1019.72,26.52,412.16,-22.54
46,65,84,743,2,11,0,25.4,1019.72,26.67,415.48,-22.62
45,65,85,744,2,12,0,25.4,1019.73,26.8,412.67,-22.7
45,66,85,744,2,12,0,25.4,1019.74,26.94,413.94,-22.7
45,66,85,745,2,12,0,25.4,1019.74,27.07,411.66,-22.79
45,66,85,746,2,12,0,25.4,1019.75,27.18,413.43,-22.79
45,66,85,747,2,12,0,25.41,1019.75,27.28,413.43,-22.7
45,65,85,747,2,12,0,25.41,1019.74,27.36,413.43,-22.62
45,66,85,747,2,12,0,25.41,1019.73,27.45,411.91,-22.54
44,66,85,748,2,12,0,25.41,1019.72,27.5,410.9,-22.46
44,66,84,748,2,12,0,25.41,1019.71,27.55,410.65,-22.37
44,66,84,748,2,12,0,25.41,1019.7,27.58,411.41,-22.37
45,65,85,748,2,12,0,25.41,1019.7,27.58,411.66,-22.46
45,66,85,748,2,13,0,25.41,1019.71,27.58,410.4,-22.46
45,66,84,748,2,12,0,25.41,1019.71,27.57,411.15,-22.46
45,66,84,748,2,12,0,25.41,1019.71,27.56,410.9,-22.54
44,66,85,749,2,12,0,25.41,1019.72,27.56,411.91,-22.54
44,66,84,749,2,12,0,25.41,1019.72,27.55,410.9,-22.62
45,65,84,750,2,12,0,25.41,1019.73,27.54,411.91,-22.62
44,66,85,749,2,12,0,25.41,1019.73,27.51,412.42,-22.62
44,66,84,750,2,12,0,25.41,1019.73,27.51,410.15,-22.62
44,66,84,750,2,12,0,25.41,1019.73,27.49,413.43,-22.62
44,66,84,749,2,11,0,25.42,1019.73,27.47,410.65,-22.62
44,66,84,749,2,12,0,25.42,1019.73,27.45,411.91,-22.62
44,65,84,750,2,11,0,25.42,1019.73,27.43,413.43,-22.54
44,66,84,750,2,12,0,25.42,1019.72,27.42,411.41,-22.54
44,66,84,750,2,11,0,25.42,1019.72,27.4,411.41,-22.62
44,66,84,751,2,11,0,25.42,1019.73,27.38,412.92,-22.62
43,65,84,751,2,12,0,25.42,1019.73,27.37,411.41,-22.62
43,66,84,750,2,11,0,25.42,1019.73,27.36,412.92,-22.62
44,65,84,750,2,12,0,25.42,1019.73,27.35,413.18,-22.7
44,66,84,750,2,12,0,25.42,1019.74,27.34,412.42,-22.79
44,65,84,751,2,11,0,25.42,1019.75,27.33,412.16,-22.79
43,66,83,751,2,12,0,25.42,1019.75,27.33,412.67,-22.79
44,66,84,751,2,12,0,25.42,1019.75,27.33,410.9,-22.79
43,65,84,752,2,12,0,25.42,1019.75,27.33,412.92,-22.7
44,66,83,752,2,12,0,25.42,1019.74,27.31,413.43,-22.7
44,66,84,752,2,12,0,25.42,1019.74,27.3,413.43,-22.79
43,65,84,752,2,12,0,25.42,1019.75,27.32,413.94,-22.79
44,65,84,753,3,12,0,25.42,1019.75,27.32,412.92,-22.87
43,66,83,753,2,11,0,25.42,1019.76,27.3,415.74,-22.79
43,66,84,752,2,12,0,25.42,1019.75,27.32,413.43,-22.79
43,65,83,753,2,11,0,25.42,1019.75,27.32,413.94,-22.79
43,66,83,753,2,12,0,25.42,1019.75,27.3,414.2,-22.79
44,66,83,753,2,12,0,25.42,1019.75,27.3,414.45,-22.7
43,66,84,752,2,12,0,25.42,1019.74,27.33,414.45,-22.79
43,66,84,753,2,12,0,25.42,1019.75,27.33,413.94,-22.79
43,65,84,753,2,12,0,25.42,1019.75,27.32,414.2,-22.79
44,66,84,753,2,12,0,25.42,1019.75,27.31,413.69,-22.7
43,65,83,754,2,11,0,25.42,1019.74,27.33,414.96,-22.7
43,66,84,753,2,11,0,25.42,1019.74,27.33,415.22,-22.7
43,65,84,755,2,11,0,25.42,1019.74,27.33,414.71,-22.7
43,66,84,754,2,12,0,25.42,1019.74,27.33,415.48,-22.62
43,65,83,754,2,12,0,25.42,1019.73,27.34,419.89,-22.7
43,65,83,754,2,11,0,25.42,1019.74,27.33,415.22,-22.7
44,66,83,754,2,12,0,25.42,1019.74,27.34,416.25,-22.79
44,65,83,754,2,12,0,25.42,1019.75,27.35,413.94,-22.95
43,66,83,754,2,12,0,25.42,1019.77,27.36,415.48,-22.95
43,66,83,754,2,12,0,25.42,1019.77,27.35,414.96,-23.12
43,66,83,754,2,12,0,25.42,1019.79,27.36,415.48,-23.12
43,66,84,755,2,12,0,25.42,1019.79,27.35,415.48,-23.2
43,65,84,755,2,12,0,25.42,1019.8,27.35,414.45,-23.37
43,66,83,754,2,12,0,25.42,1019.82,27.35,413.43,-23.45
43,66,83,755,2,12,0,25.43,1019.83,27.35,414.96,-23.37
43,66,83,755,2,12,0,25.42,1019.82,27.37,417.54,-23.28
43,65,83,756,2,11,0,25.42,1019.81,27.36,417.02,-23.28
43,66,83,754,2,12,0,25.42,1019.81,27.36,416.51,-23.2
44,66,83,755,2,11,0,25.42,1019.8,27.35,416.51,-23.04
43,65,84,755,2,12,0,25.42,1019.78,27.36,418.06,-22.95
44,65,83,755,2,12,0,25.42,1019.77,27.35,415.74,-22.79
43,65,83,755,2,12,0,25.42,1019.75,27.36,420.94,-22.79
44,65,84,756,2,11,0,25.42,1019.75,27.36,418.06,-22.62
44,65,83,755,3,12,0,25.42,1019.73,27.36,417.54,-22.46
44,66,83,755,2,12,0,25.42,1019.71,27.36,418.58,-22.46
44,65,83,755,2,12,0,25.42,1019.71,27.35,417.02,-22.37
43,66,83,756,2,11,0,25.42,1019.7,27.35,417.02,-22.37
43,65,84,757,2,12,0,25.42,1019.7,27.33,416.51,-22.29
44,65,83,756,2,12,0,25.42,1019.69,27.33,415.74,-22.29
44,65,83,756,2,12,0,25.42,1019.69,27.33,416.25,-22.12
43,66,83,756,2,11,0,25.42,1019.67,27.31,419.11,-22.12
43,66,83,757,2,12,0,25.42,1019.67,27.28,415.99,-22.12
43,65,84,756,2,12,0,25.42,1019.67,27.26,418.58,-22.12
44,65,83,757,2,11,0,25.42,1019.67,27.22,420.15,-22.12
43,66,84,756,2,12,0,25.42,1019.67,27.18,416.25,-22.04
43,65,83,757,2,12,0,25.42,1019.66,27.15,417.02,-22.04
44,65,83,756,2,12,0,25.42,1019.66,27.12,419.11,-22.04
43,65,83,758,2,12,0,25.42,1019.66,27.11,415.99,-22.12
44,65,83,758,2,12,0,25.42,1019.67,27.09,417.8,-22.12
44,65,83,757,2,12,0,25.42,1019.67,27.08,416.25,-22.12
44,66,84,757,2,12,0,25.42,1019.67,27.08,419.89,-22.12
43,66,83,757,2,12,0,25.42,1019.67,27.08,417.02,-22.12
44,65,83,756,2,12,0,25.42,1019.67,27.1,418.58,-22.12
44,65,84,758,2,12,0,25.42,1019.67,27.1,417.02,-22.04
43,66,84,757,2,11,0,25.42,1019.66,27.11,421.21,-22.04
43,65,83,758,2,12,0,25.42,1019.66,27.1,416.77,-22.04
44,65,83,758,2,12,0,25.42,1019.66,27.1,420.15,-21.96
