NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
27,55,57,741,9,54,0,25.66,1023.4,26.57,555.69,-52.95
27,55,57,742,9,54,0,25.65,1023.4,26.58,555.69,-52.95
27,56,56,745,9,51,0,25.65,1023.4,26.59,552.94,-52.95
27,55,57,746,9,57,0,25.65,1023.4,26.61,554.77,-52.95
27,56,56,748,8,56,0,25.65,1023.4,26.63,556.61,-52.95
26,55,56,748,8,54,0,25.65,1023.4,26.63,556.61,-52.95
27,56,56,749,9,53,0,25.65,1023.4,26.63,555.69,-52.95
27,55,57,750,9,53,0,25.64,1023.4,26.65,555.23,-53.04
26,56,57,751,8,53,0,25.64,1023.41,26.66,553.4,-53.04
27,55,56,752,8,54,0,25.64,1023.41,26.66,556.15,-53.04
27,55,56,753,9,54,0,25.64,1023.41,26.66,554.77,-53.04
27,56,56,753,9,53,0,25.63,1023.41,26.67,555.69,-52.95
27,56,56,755,8,53,0,25.63,1023.4,26.67,555.23,-53.04
26,56,56,757,9,53,0,25.63,1023.41,26.68,557.07,-53.04
26,56,57,759,8,53,0,25.63,1023.41,26.69,556.15,-53.04
27,56,56,760,8,53,0,25.62,1023.41,26.7,555.69,-53.04
27,56,56,761,9,53,0,25.62,1023.41,26.7,553.86,-52.95
27,56,56,762,9,54,0,25.62,1023.4,26.7,556.15,-52.95
26,56,57,763,9,53,0,25.62,1023.4,26.71,556.15,-52.95
26,56,56,764,9,53,0,25.62,1023.4,26.71,552.49,-52.95
26,56,56,765,9,54,0,25.62,1023.4,26.73,553.4,-52.95
26,56,56,765,9,54,0,25.62,1023.4,26.72,550.68,-52.95
26,56,56,765,9,53,0,25.62,1023.4,26.73,555.23,-52.95
26,56,56,766,9,53,0,25.61,1023.4,26.73,553.86,-52.95
26,56,56,767,8,53,0,25.61,1023.4,26.74,551.58,-53.04
27,56,56,767,9,54,0,25.62,1023.41,26.74,553.86,-52.95
27,56,56,767,9,53,0,25.62,1023.4,26.74,556.15,-53.04
26,56,56,767,9,54,0,25.62,1023.41,26.74,552.04,-52.95
25,56,56,768,9,53,0,25.62,1023.4,26.75,552.04,-52.95
27,56,56,768,10,57,0,25.61,1023.4,26.75,550.23,-52.95
26,55,56,769,9,53,0,25.61,1023.4,26.74,552.94,-52.95
26,56,56,771,9,54,0,25.61,1023.4,26.75,552.94,-52.95
26,56,56,771,9,53,0,25.61,1023.4,26.75,552.94,-52.95
27,56,56,773,8,54,0,25.61,1023.4,26.76,550.23,-53.04
26,56,56,774,9,53,0,25.61,1023.41,26.76,552.94,-53.04
26,56,56,774,9,53,0,25.61,1023.41,26.75,551.13,-52.95
26,56,56,774,8,53,0,25.61,1023.4,26.74,548.88,-53.04
26,56,56,774,9,53,0,25.61,1023.41,26.75,550.23,-53.04
26,56,56,775,9,53,0,25.61,1023.41,26.75,552.04,-53.04
27,55,56,775,9,53,0,25.61,1023.41,26.74,550.68,-53.04
26,56,56,775,8,53,0,25.61,1023.41,26.72,553.86,-53.04
26,56,56,775,9,53,0,25.61,1023.41,26.74,550.68,-53.04
27,56,56,776,8,52,0,25.61,1023.41,26.74,551.58,-53.04
26,56,56,776,9,53,0,25.61,1023.41,26.75,551.13,-52.95
