NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
40,73,92,774,5,16,0,25.5,1018.32,25.86,356.01,-10.94
40,73,92,774,5,16,0,25.5,1018.32,25.89,354.1,-10.86
40,72,92,774,5,15,0,25.5,1018.31,25.95,357.55,-10.86
40,72,91,774,6,15,0,25.5,1018.31,25.97,357.94,-10.86
40,72,91,773,8,15,0,25.5,1018.31,25.99,359.49,-10.86
39,73,91,774,5,15,0,25.5,1018.31,26.0,357.94,-10.86
39,72,91,774,6,15,0,25.5,1018.31,26.02,359.49,-10.94
40,73,91,773,5,14,0,25.5,1018.32,26.03,362.25,-10.94
39,72,91,773,6,15,0,25.5,1018.32,26.04,361.86,-10.94
39,72,90,773,6,15,0,25.5,1018.32,26.06,362.25,-10.94
38,71,90,773,5,15,0,25.5,1018.32,26.07,363.45,-10.94
39,72,90,773,6,15,0,25.5,1018.32,26.08,365.46,-10.94
39,72,90,773,6,15,0,25.5,1018.32,26.09,363.85,-10.86
39,72,90,773,5,15,0,25.5,1018.31,26.11,367.49,-10.94
38,72,90,772,5,15,0,25.5,1018.32,26.11,366.27,-10.94
38,72,90,772,6,15,0,25.49,1018.32,26.1,366.27,-10.94
38,72,89,772,6,15,0,25.49,1018.32,26.11,368.31,-10.94
38,72,89,772,6,15,0,25.49,1018.32,26.11,369.13,-10.86
38,72,89,772,6,15,0,25.49,1018.31,26.11,369.95,-10.86
38,71,89,772,6,15,0,25.49,1018.31,26.11,369.54,-10.94
38,72,89,772,5,15,0,25.49,1018.32,26.1,369.13,-10.86
38,72,88,772,6,15,0,25.49,1018.31,26.11,371.62,-10.86
38,71,88,772,6,15,0,25.49,1018.31,26.12,370.79,-10.94
38,72,88,772,6,15,0,25.49,1018.32,26.14,374.99,-11.03
38,71,88,772,6,15,0,25.49,1018.33,26.17,372.04,-10.94
38,71,88,772,6,15,0,25.49,1018.32,26.17,373.72,-10.94
38,71,87,772,5,15,0,25.49,1018.32,26.2,374.57,-10.94
38,72,87,772,6,14,0,25.49,1018.32,26.2,374.99,-11.03
37,72,88,772,6,15,0,25.48,1018.33,26.23,375.84,-11.03
38,72,88,773,6,15,0,25.48,1018.33,26.22,376.7,-10.94
37,72,88,772,6,15,0,25.48,1018.32,26.24,375.42,-11.03
37,71,87,773,6,15,0,25.48,1018.33,26.24,375.84,-11.03
37,71,87,773,6,15,0,25.48,1018.33,26.24,378.92,-11.11
37,72,87,773,6,15,0,25.49,1018.34,26.24,379.13,-11.03
37,72,87,773,7,15,0,25.48,1018.33,26.25,381.07,-11.03
37,72,87,773,6,15,0,25.48,1018.33,26.25,380.21,-11.03
37,71,87,773,6,15,0,25.48,1018.33,26.26,382.37,-11.03
37,72,87,774,5,15,0,25.48,1018.33,26.27,381.07,-11.11
37,71,87,774,6,14,0,25.48,1018.34,26.27,382.37,-11.11
37,72,86,774,6,15,0,25.48,1018.34,26.26,382.37,-11.11
37,72,86,774,6,15,0,25.49,1018.34,26.26,384.12,-11.11
36,72,87,774,6,15,0,25.48,1018.34,26.25,383.03,-11.11
37,72,87,774,6,15,0,25.49,1018.34,26.25,384.56,-11.28
37,72,86,774,6,16,0,25.49,1018.36,26.27,381.29,-11.19
37,72,87,774,6,14,0,25.49,1018.35,26.29,383.68,-11.19
37,72,86,774,6,15,0,25.48,1018.35,26.3,383.24,-11.19
37,71,86,775,7,15,0,25.48,1018.35,26.31,383.9,-11.19
37,72,86,774,6,15,0,25.48,1018.35,26.33,386.55,-11.19
37,72,86,775,6,15,0,25.49,1018.35,26.33,387.67,-11.28
37,72,86,775,5,15,0,25.49,1018.36,26.33,384.78,-11.28
37,72,86,775,6,15,0,25.49,1018.36,26.32,388.56,-11.36
37,72,86,775,6,15,0,25.49,1018.37,26.32,386.33,-11.28
37,72,86,776,7,15,0,25.49,1018.36,26.32,387.22,-11.28
37,72,86,775,6,15,0,25.49,1018.36,26.3,387.44,-11.36
37,72,86,776,6,15,0,25.49,1018.37,26.29,388.34,-11.28
37,71,86,777,8,15,0,25.49,1018.36,26.26,388.56,-11.28
37,72,86,776,6,15,0,25.49,1018.36,26.26,390.6,-11.28
37,72,86,776,5,15,0,25.49,1018.36,26.24,388.34,-11.36
37,72,86,777,6,15,0,25.49,1018.37,26.23,389.92,-11.36
36,72,86,776,8,15,0,25.49,1018.37,26.22,392.42,-11.36
37,72,86,776,6,14,0,25.49,1018.37,26.2,391.74,-11.36
37,72,86,776,6,15,0,25.49,1018.37,26.2,393.34,-11.36
37,72,86,777,6,15,0,25.49,1018.37,26.21,392.65,-11.36
37,72,86,778,6,15,0,25.49,1018.37,26.21,394.03,-11.28
36,72,86,778,5,15,0,25.49,1018.36,26.23,394.5,-11.28
37,72,85,777,6,15,0,25.49,1018.36,26.23,392.19,-11.28
37,72,87,778,6,15,0,25.49,1018.36,26.24,394.5,-11.28
37,72,87,778,5,15,0,25.49,1018.36,26.25,393.34,-11.28
37,72,87,778,6,16,0,25.49,1018.36,26.24,394.96,-11.28
37,72,86,779,6,16,0,25.49,1018.36,26.26,397.3,-11.28
37,72,86,779,6,16,0,25.49,1018.36,26.27,394.26,-11.28
37,72,86,778,6,15,0,25.49,1018.36,26.29,392.88,-11.36
37,72,86,778,6,15,0,25.49,1018.37,26.3,396.59,-11.28
37,72,86,778,6,15,0,25.49,1018.36,26.3,397.3,-11.36
37,72,86,779,6,15,0,25.49,1018.37,26.31,397.77,-11.36
37,72,86,778,8,15,0,25.49,1018.37,26.33,396.83,-11.44
37,72,86,779,6,15,0,25.49,1018.38,26.34,395.43,-11.36
37,72,86,779,6,15,0,25.49,1018.37,26.34,398.24,-11.36
37,73,86,779,5,15,0,25.49,1018.37,26.37,398.0,-11.44
37,72,86,780,6,15,0,25.49,1018.38,26.37,397.77,-11.36
37,72,87,780,6,15,0,25.49,1018.37,26.39,397.77,-11.36
37,73,87,781,6,15,0,25.49,1018.37,26.4,398.24,-11.36
37,73,87,782,8,15,0,25.49,1018.37,26.41,397.53,-11.44
37,73,87,783,6,17,0,25.49,1018.38,26.44,398.47,-11.44
37,73,87,784,6,16,0,25.49,1018.38,26.46,396.36,-11.44
38,73,88,784,6,16,0,25.49,1018.38,26.47,398.24,-11.44
37,73,88,784,6,16,0,25.49,1018.38,26.49,398.71,-11.44
38,73,88,784,7,16,0,25.49,1018.38,26.51,398.47,-11.44
38,73,88,784,6,16,0,25.49,1018.38,26.53,398.71,-11.28
37,73,88,784,6,15,0,25.49,1018.36,26.53,399.18,-11.28
38,73,88,784,6,16,0,25.49,1018.36,26.55,397.06,-11.28
38,74,87,784,6,16,0,25.49,1018.36,26.55,399.42,-11.28
37,73,88,783,6,15,0,25.49,1018.36,26.57,399.42,-11.36
38,73,88,784,6,16,0,25.49,1018.37,26.57,400.13,-11.28
38,73,88,783,6,16,0,25.49,1018.36,26.56,398.71,-11.28
38,73,88,783,6,16,0,25.49,1018.36,26.56,399.42,-11.19
37,73,88,783,6,16,0,25.49,1018.35,26.54,399.66,-11.19
38,73,88,783,6,16,0,25.49,1018.35,26.52,398.24,-11.11
38,73,88,782,6,16,0,25.49,1018.34,26.51,401.09,-11.11
37,73,87,781,6,16,0,25.49,1018.34,26.5,399.66,-11.11
38,73,87,781,6,16,0,25.49,1018.34,26.48,402.77,-11.19
38,72,88,781,6,16,0,25.49,1018.35,26.49,400.13,-11.03
38,73,87,780,8,16,0,25.49,1018.33,26.48,401.57,-11.03
38,72,87,780,6,16,0,25.49,1018.33,26.48,402.29,-11.03
38,73,87,781,6,16,0,25.49,1018.33,26.48,402.05,-11.03
37,73,88,780,6,17,0,25.49,1018.33,26.46,399.9,-11.03
38,73,87,781,6,16,0,25.49,1018.33,26.44,402.05,-11.03
38,73,87,781,6,16,0,25.49,1018.33,26.41,401.81,-11.03
38,73,88,781,6,16,0,25.49,1018.33,26.41,401.09,-11.03
38,73,87,781,7,16,0,25.49,1018.33,26.42,398.0,-11.03
38,72,87,781,6,15,0,25.49,1018.33,26.42,402.53,-11.11
38,73,87,781,6,16,0,25.49,1018.34,26.44,398.95,-11.11
38,73,88,781,7,16,0,25.49,1018.34,26.46,401.57,-11.11
38,73,88,781,6,16,0,25.49,1018.34,26.46,401.09,-11.11
