NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
241,499,593,932,7,30,0,25.64,1018.39,25.9,73.85,-11.52
238,496,590,931,7,30,0,25.64,1018.39,25.89,74.64,-11.52
235,495,586,931,9,30,0,25.64,1018.39,25.9,76.06,-11.52
232,494,583,929,7,30,0,25.64,1018.39,25.92,76.61,-11.52
229,492,580,929,7,30,0,25.65,1018.39,25.93,77.25,-11.52
227,490,577,928,7,30,0,25.65,1018.39,25.93,78.47,-11.52
224,489,574,928,8,30,0,25.65,1018.39,25.97,79.29,-11.44
222,487,571,927,6,30,0,25.65,1018.38,25.98,80.27,-11.44
219,485,569,926,7,30,0,25.65,1018.38,25.99,80.89,-11.52
217,484,565,926,7,31,0,25.65,1018.39,26.01,81.59,-11.61
215,482,564,925,7,30,0,25.65,1018.4,26.02,82.56,-11.61
213,480,561,924,7,31,0,25.65,1018.4,26.01,83.21,-11.61
211,479,558,924,6,29,0,25.65,1018.4,26.01,84.55,-11.69
209,477,555,923,7,32,0,25.66,1018.41,26.0,84.98,-11.61
207,476,552,922,7,31,0,25.66,1018.4,26.0,85.84,-11.61
204,474,550,922,7,31,0,25.66,1018.4,26.0,86.73,-11.61
203,473,548,921,7,31,0,25.66,1018.4,26.0,87.54,-11.61
201,471,545,920,7,32,0,25.66,1018.4,26.0,87.54,-11.61
199,470,543,920,7,32,0,25.66,1018.4,26.0,88.93,-11.61
197,468,541,920,7,31,0,25.66,1018.4,25.99,89.21,-11.61
196,467,539,920,7,32,0,25.66,1018.4,26.0,90.27,-11.61
194,466,537,920,6,31,0,25.66,1018.4,25.99,90.85,-11.61
192,465,535,919,7,31,0,25.66,1018.4,25.99,91.55,-11.61
192,463,533,919,7,30,0,25.66,1018.4,25.99,92.35,-11.69
190,462,532,919,7,31,0,25.66,1018.41,25.99,92.86,-11.69
189,461,530,919,6,32,0,25.66,1018.41,25.99,94.0,-11.69
188,461,529,919,7,32,0,25.66,1018.41,25.99,93.79,-11.61
186,460,528,919,7,32,0,25.66,1018.4,25.99,94.21,-11.61
186,460,528,919,7,32,0,25.66,1018.4,26.02,94.96,-11.69
186,460,526,919,7,32,0,25.66,1018.41,26.03,95.28,-11.69
186,459,526,918,7,31,0,25.66,1018.41,26.03,95.28,-11.61
186,460,526,919,7,32,0,25.66,1018.4,26.06,93.71,-11.61
187,459,525,919,8,32,0,25.66,1018.4,26.06,94.72,-11.69
187,459,526,919,8,32,0,25.66,1018.41,26.06,95.2,-11.61
187,459,526,919,8,32,0,25.66,1018.4,26.06,95.8,-11.69
187,459,526,919,8,32,0,25.66,1018.41,26.04,96.4,-11.69
187,459,527,920,7,32,0,25.66,1018.41,26.05,97.18,-11.77
187,460,528,919,7,33,0,25.66,1018.42,26.04,97.69,-11.77
189,460,530,920,8,32,0,25.66,1018.42,26.02,98.38,-11.77
191,460,534,921,7,32,0,25.66,1018.42,26.01,98.84,-11.69
190,460,538,921,7,32,0,25.66,1018.41,26.0,98.61,-11.77
191,461,541,921,8,32,0,25.66,1018.42,26.0,100.25,-11.77
193,461,545,922,7,32,0,25.66,1018.42,26.0,99.9,-11.77
194,461,549,921,8,32,0,25.66,1018.42,25.99,100.73,-11.69
195,462,554,922,8,32,0,25.66,1018.41,25.99,100.97,-11.69
196,462,558,923,8,33,0,25.66,1018.41,26.0,101.59,-11.69
198,463,565,923,8,33,0,25.66,1018.41,26.0,101.95,-11.61
200,464,571,924,8,33,0,25.66,1018.4,26.01,101.52,-11.69
201,464,576,924,8,35,0,25.66,1018.41,26.01,102.83,-11.69
203,464,581,925,8,33,0,25.66,1018.41,26.02,102.45,-11.69
206,465,588,926,8,32,0,25.66,1018.41,26.02,102.76,-11.69
209,465,593,926,8,33,0,25.66,1018.41,26.01,103.59,-11.69
211,466,597,925,9,33,0,25.66,1018.41,26.04,103.27,-11.61
213,466,599,926,8,34,0,25.66,1018.4,26.02,103.27,-11.61
214,466,601,926,8,33,0,25.66,1018.4,26.02,103.65,-11.61
