NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
172,441,471,830,4,20,211,33.59,688.6,100.0,0.0,3170.54
172,442,471,831,4,27,744,33.59,688.6,100.0,0.0,3170.54
173,441,476,833,3,26,0,33.59,688.6,100.0,0.0,3170.54
176,441,483,835,5,27,0,33.59,688.6,100.0,0.0,3170.54
178,441,489,837,3,27,4294967295,33.59,688.6,100.0,0.0,3170.54
180,441,496,838,4,26,4294967295,33.59,688.6,100.0,0.0,3170.54
183,440,502,839,4,25,4294967295,33.59,688.6,100.0,0.0,3170.54
187,441,508,841,4,24,4294967295,33.59,688.6,100.0,0.0,3170.54
194,442,515,842,4,26,71,33.59,688.6,100.0,0.0,3170.54
200,441,518,843,4,24,4294967295,33.59,688.6,100.0,0.0,3170.54
204,441,518,844,4,24,4294967295,33.59,688.6,100.0,0.0,3170.54
207,441,517,844,4,24,4294967295,33.59,688.6,100.0,0.0,3170.54
208,441,515,844,4,25,4294967295,33.59,688.6,100.0,0.0,3170.54
210,441,514,844,4,25,4294967295,33.59,688.6,100.0,0.0,3170.54
212,441,512,843,4,25,4294967295,33.59,688.6,100.0,0.0,3170.54
213,441,510,843,4,27,4294967295,33.59,688.6,100.0,0.0,3170.54
214,441,509,842,4,26,4294967295,33.59,688.6,100.0,0.0,3170.54
215,441,508,842,4,25,4294967295,33.59,688.6,100.0,0.0,3170.54
217,440,507,843,4,25,4294967295,33.59,688.6,100.0,0.0,3170.54
217,441,506,843,4,25,4294967295,33.59,688.6,100.0,0.0,3170.54
218,440,505,843,4,25,4294967295,33.59,688.6,100.0,0.0,3170.54
217,439,504,843,4,26,4294967295,33.59,688.6,100.0,0.0,3170.54
217,439,503,843,4,26,4294967295,33.59,688.6,100.0,0.0,3170.54
217,439,502,843,4,25,4294967295,33.59,688.6,100.0,0.0,3170.54
218,439,501,844,3,26,4294967295,33.59,688.6,100.0,0.0,3170.54
219,439,500,844,3,27,4294967295,33.59,688.6,100.0,0.0,3170.54
