NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
85,131,206,836,1,25,4294967295,25.62,1018.16,22.35,103.78,-9.7
84,130,204,833,1,25,4294967295,25.62,1018.17,22.29,105.67,-9.7
84,130,204,833,1,24,4294967295,25.62,1018.17,22.26,106.61,-9.62
84,130,202,831,1,25,4294967295,25.62,1018.16,22.22,107.36,-9.62
82,128,201,830,1,25,4294967295,25.62,1018.16,22.17,107.91,-9.62
82,128,200,830,1,25,4294967295,25.62,1018.16,22.13,109.39,-9.7
82,127,200,828,1,24,4294967295,25.61,1018.17,22.09,110.83,-9.7
81,127,199,827,1,24,4294967295,25.61,1018.17,22.06,111.86,-9.7
81,126,198,827,1,24,4294967295,25.61,1018.17,22.03,112.01,-9.78
80,126,197,825,1,24,4294967295,25.61,1018.18,22.0,113.29,-9.78
79,126,196,824,1,24,4294967295,25.61,1018.18,21.97,114.76,-9.78
79,126,195,822,1,24,4294967295,25.61,1018.18,21.96,115.79,-9.78
78,125,194,822,1,24,4294967295,25.62,1018.18,21.93,116.27,-9.78
77,125,193,821,1,24,4294967295,25.62,1018.18,21.91,116.51,-9.78
77,125,193,821,1,23,4294967295,25.62,1018.18,21.88,117.65,-9.7
76,124,191,820,1,24,4294967295,25.62,1018.17,21.86,118.48,-9.62
77,124,191,819,1,24,4294967295,25.62,1018.16,21.84,119.41,-9.62
76,124,190,819,1,23,4294967295,25.62,1018.16,21.84,119.32,-9.7
75,123,190,818,1,24,4294967295,25.61,1018.17,21.84,119.92,-9.7
75,123,189,818,1,24,4294967295,25.62,1018.17,21.85,120.78,-9.7
75,123,189,818,1,24,4294967295,25.62,1018.17,21.86,121.74,-9.62
74,123,188,820,1,24,4294967295,25.62,1018.16,21.87,121.48,-9.7
74,124,188,821,1,24,4294967295,25.62,1018.17,21.88,122.72,-9.7
74,123,187,822,1,24,4294967295,25.62,1018.17,21.88,122.63,-9.7
74,124,187,824,1,23,4294967295,25.62,1018.17,21.9,123.44,-9.78
74,123,187,825,1,24,4294967295,25.62,1018.18,21.91,123.53,-9.78
74,122,187,825,1,24,4294967295,25.62,1018.18,21.91,124.35,-9.78
74,122,187,824,1,25,4294967295,25.62,1018.18,21.92,124.35,-9.78
74,123,187,825,1,24,4294967295,25.62,1018.18,21.9,125.65,-9.78
74,122,188,826,1,25,4294967295,25.62,1018.18,21.89,126.12,-9.78
74,121,188,827,1,24,4294967295,25.62,1018.18,21.87,126.22,-9.78
74,121,189,827,1,24,4294967295,25.63,1018.18,21.87,127.56,-9.7
75,121,189,827,1,25,4294967295,25.55,1018.17,21.85,121.74,-9.78
75,121,188,826,1,24,4294967295,25.54,1018.18,21.86,123.17,-9.78
75,120,188,826,1,24,4294967295,25.54,1018.18,21.85,123.71,-9.78
74,121,187,826,1,24,4294967295,25.56,1018.18,21.83,124.72,-9.7
74,120,186,825,1,24,4294967295,25.57,1018.17,21.81,125.47,-9.78
74,120,186,825,1,24,4294967295,25.58,1018.18,21.8,125.94,-9.7
74,120,187,826,1,25,4294967295,25.59,1018.17,21.78,126.69,-9.7
73,120,187,827,1,24,4294967295,25.6,1018.17,21.77,127.66,-9.78
74,120,186,826,1,24,4294967295,25.6,1018.18,21.76,128.34,-9.87
73,120,187,827,1,24,4294967295,25.61,1018.19,21.75,128.83,-9.95
74,119,186,827,1,24,4294967295,25.61,1018.2,21.75,129.93,-10.11
74,119,186,828,1,24,4294967295,25.62,1018.22,21.75,129.93,-10.11
73,118,186,827,1,25,4294967295,25.62,1018.22,21.75,130.53,-10.11
73,119,184,827,1,25,4294967295,25.63,1018.22,21.76,131.25,-10.11
73,119,184,827,1,24,4294967295,25.63,1018.22,21.75,130.84,-10.11
72,119,185,827,1,24,4294967295,25.63,1018.22,21.76,131.55,-10.2
73,118,185,828,1,24,4294967295,25.63,1018.23,21.75,131.76,-10.11
73,118,184,827,1,24,4294967295,25.64,1018.22,21.75,133.12,-10.11
73,119,184,827,1,25,4294967295,25.64,1018.22,21.75,132.9,-10.11
73,118,185,827,1,24,4294967295,25.64,1018.22,21.76,133.75,-9.95
73,118,184,827,1,25,4294967295,25.64,1018.2,21.75,134.18,-9.87
73,117,184,826,1,24,4294967295,25.64,1018.19,21.74,134.39,-9.87
73,117,184,827,1,24,4294967295,25.64,1018.19,21.75,134.71,-9.87
73,118,183,826,1,24,4294967295,25.64,1018.19,21.75,135.58,-9.78
73,118,183,827,1,24,4294967295,25.65,1018.18,21.74,136.13,-9.7
73,117,182,826,1,25,4294967295,25.65,1018.17,21.72,135.37,-9.7
73,116,182,825,1,24,4294967295,25.65,1018.17,21.72,136.69,-9.7
72,117,181,825,1,25,4294967295,25.65,1018.17,21.71,136.69,-9.62
72,116,181,825,1,25,4294967295,25.65,1018.16,21.7,136.35,-9.54
72,116,181,825,1,25,4294967295,25.65,1018.15,21.69,137.02,-9.45
71,116,181,826,2,24,4294967295,25.65,1018.14,21.69,138.37,-9.37
71,116,181,824,1,24,4294967295,25.66,1018.13,21.69,137.92,-9.37
71,116,180,825,1,24,4294967295,25.66,1018.13,21.69,138.49,-9.37
71,116,180,825,1,24,4294967295,25.66,1018.13,21.69,138.49,-9.29
72,115,180,825,1,25,4294967295,25.66,1018.12,21.71,138.6,-9.29
71,115,180,825,1,24,4294967295,25.66,1018.12,21.72,139.29,-9.2
71,116,179,825,1,24,4294967295,25.66,1018.11,21.74,139.29,-9.2
71,116,179,825,1,25,4294967295,25.66,1018.11,21.74,139.29,-9.12
71,115,179,824,1,25,4294967295,25.66,1018.1,21.76,140.22,-9.04
71,115,178,823,1,25,4294967295,25.66,1018.09,21.77,140.1,-9.04
71,115,177,823,1,25,4294967295,25.66,1018.09,21.79,139.87,-8.95
71,114,177,823,1,24,4294967295,25.67,1018.08,21.8,140.22,-8.95
71,114,176,822,1,25,4294967295,25.67,1018.08,21.8,140.22,-8.95
71,114,176,822,1,25,4294967295,25.67,1018.08,21.82,140.46,-8.95
70,114,176,821,1,25,4294967295,25.67,1018.08,21.83,141.04,-8.95
70,114,175,820,2,25,4294967295,25.67,1018.08,21.83,140.93,-8.87
70,114,175,820,1,25,4294967295,25.67,1018.07,21.84,141.4,-8.87
70,113,174,819,1,25,4294967295,25.67,1018.07,21.85,141.4,-8.87
70,113,174,819,1,24,4294967295,25.67,1018.07,21.86,141.76,-8.87
70,114,174,818,1,24,4294967295,25.67,1018.07,21.87,141.64,-8.87
69,113,172,818,2,25,4294967295,25.67,1018.07,21.87,141.88,-8.79
69,113,172,818,1,25,4294967295,25.67,1018.06,21.89,141.76,-8.87
69,113,172,818,1,24,4294967295,25.67,1018.07,21.91,141.4,-8.79
69,113,172,817,1,24,4294967295,25.67,1018.06,21.91,141.52,-8.87
69,112,172,817,1,25,4294967295,25.67,1018.07,21.91,142.12,-8.87
69,112,171,817,1,25,4294967295,25.67,1018.07,21.9,142.72,-8.79
68,113,171,817,1,24,4294967295,25.67,1018.06,21.86,142.36,-8.79
68,113,171,818,1,24,4294967295,25.67,1018.06,21.83,143.45,-8.87
69,112,171,817,1,25,4294967295,25.67,1018.07,21.78,143.57,-8.95
69,113,170,818,1,24,4294967295,25.67,1018.08,21.76,144.31,-9.04
