NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
119,172,293,785,1,18,4294967295,25.81,1020.66,37.41,125.37,-30.32
119,173,292,785,1,18,4294967295,25.81,1020.66,37.43,124.81,-30.32
119,172,291,785,1,18,4294967295,25.81,1020.66,37.46,125.19,-30.4
118,172,291,785,1,18,4294967295,25.81,1020.67,37.45,125.37,-30.4
117,172,290,785,1,18,4294967295,25.82,1020.67,37.47,126.03,-30.48
116,172,289,784,1,19,4294967295,25.82,1020.68,37.48,125.75,-30.4
116,171,288,785,1,18,4294967295,25.82,1020.67,37.5,125.56,-30.4
116,171,286,785,1,18,4294967295,25.82,1020.67,37.5,125.84,-30.4
115,171,286,785,1,18,4294967295,25.82,1020.67,37.53,125.19,-30.4
115,171,286,785,1,19,4294967295,25.82,1020.67,37.55,126.31,-30.4
114,171,285,785,1,18,4294967295,25.82,1020.67,37.54,126.5,-30.4
114,171,284,784,1,19,4294967295,25.82,1020.67,37.54,126.31,-30.4
114,170,283,785,1,18,4294967295,25.82,1020.67,37.55,125.37,-30.4
113,170,282,784,1,18,4294967295,25.82,1020.67,37.55,126.98,-30.4
113,170,282,785,1,17,4294967295,25.82,1020.67,37.57,126.5,-30.48
112,170,281,785,1,18,4294967295,25.82,1020.68,37.56,126.5,-30.48
112,170,280,784,1,18,4294967295,25.82,1020.68,37.55,126.79,-30.48
111,170,279,785,1,18,4294967295,25.83,1020.68,37.56,126.69,-30.56
111,169,278,785,1,18,4294967295,25.83,1020.69,37.57,126.69,-30.48
111,170,278,785,1,18,4294967295,25.83,1020.68,37.57,126.6,-30.48
109,169,276,785,1,18,4294967295,25.83,1020.68,37.58,126.41,-30.48
109,169,276,784,1,17,4294967295,25.76,1020.68,37.66,119.24,-30.48
109,168,274,785,1,19,4294967295,25.75,1020.68,37.74,120.0,-30.4
108,168,274,784,1,19,4294967295,25.76,1020.67,37.76,120.17,-30.48
108,168,274,785,1,17,4294967295,25.77,1020.68,37.77,120.87,-30.48
108,168,272,784,1,18,4294967295,25.78,1020.68,37.76,121.21,-30.48
108,168,272,783,1,18,4294967295,25.79,1020.68,37.74,121.3,-30.4
107,168,272,785,1,18,4294967295,25.8,1020.67,37.74,122.18,-30.48
107,168,271,784,1,20,4294967295,25.8,1020.68,37.7,122.72,-30.48
107,168,271,783,1,18,4294967295,25.81,1020.68,37.71,123.08,-30.56
106,167,269,784,1,18,4294967295,25.81,1020.69,37.7,124.26,-30.48
107,167,269,784,1,18,4294967295,25.82,1020.68,37.68,123.17,-30.4
106,167,269,784,1,19,4294967295,25.82,1020.67,37.66,123.71,-30.48
106,167,268,784,1,17,4294967295,25.83,1020.68,37.67,123.44,-30.48
106,167,268,784,1,18,4294967295,25.83,1020.68,37.65,123.89,-30.56
106,167,267,784,1,18,4294967295,25.83,1020.69,37.64,124.26,-30.56
106,167,267,784,1,18,4294967295,25.84,1020.69,37.64,124.54,-30.48
106,166,266,784,1,18,4294967295,25.84,1020.68,37.63,124.17,-30.48
105,167,266,784,1,18,4294967295,25.84,1020.68,37.63,124.63,-30.4
105,166,264,784,1,18,4294967295,25.84,1020.67,37.63,124.26,-30.4
104,166,264,784,1,19,4294967295,25.84,1020.67,37.62,124.63,-30.4
105,166,264,784,1,18,4294967295,25.84,1020.67,37.61,125.28,-30.48
104,166,263,784,1,18,4294967295,25.85,1020.68,37.59,125.19,-30.48
105,166,262,784,1,19,4294967295,25.85,1020.68,37.59,125.28,-30.48
105,166,263,784,1,18,4294967295,25.85,1020.68,37.59,125.0,-30.4
105,166,262,784,1,17,4294967295,25.85,1020.67,37.59,124.26,-30.48
104,166,261,784,1,18,4294967295,25.85,1020.68,37.57,125.65,-30.4
104,166,261,783,1,18,4294967295,25.85,1020.67,37.55,125.56,-30.32
104,166,260,784,1,18,4294967295,25.85,1020.66,37.55,125.65,-30.4
103,165,261,784,1,19,4294967295,25.85,1020.67,37.56,125.94,-30.4
103,165,259,784,1,18,4294967295,25.85,1020.67,37.55,125.47,-30.48
103,165,259,783,1,19,4294967295,25.86,1020.68,37.56,125.19,-30.56
103,165,259,784,1,18,4294967295,25.86,1020.69,37.55,125.47,-30.48
103,164,258,784,1,19,4294967295,25.86,1020.68,37.55,125.56,-30.56
103,165,258,784,1,18,4294967295,25.86,1020.69,37.54,125.94,-30.56
103,165,258,784,1,18,4294967295,25.86,1020.69,37.55,125.47,-30.4
103,165,257,783,1,18,4294967295,25.86,1020.67,37.55,125.75,-30.4
102,165,257,784,1,18,4294967295,25.86,1020.67,37.56,126.31,-30.32
102,164,257,784,1,18,4294967295,25.86,1020.66,37.55,125.65,-30.32
103,164,257,783,1,18,4294967295,25.86,1020.66,37.55,126.12,-30.32
102,164,257,783,1,18,4294967295,25.86,1020.66,37.54,126.12,-30.4
102,164,255,784,1,18,4294967295,25.86,1020.67,37.54,125.75,-30.32
103,164,256,784,1,18,4294967295,25.87,1020.66,37.54,126.12,-30.4
