NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
33,58,66,729,6,33,0,25.47,1022.1,25.38,504.0,-42.22
33,58,66,729,6,35,0,25.47,1022.1,25.39,503.24,-42.3
33,58,66,730,6,34,0,25.47,1022.11,25.41,504.0,-42.3
32,58,67,729,6,35,0,25.47,1022.11,25.44,504.37,-42.3
33,58,67,729,6,36,0,25.47,1022.11,25.48,502.49,-42.3
33,58,66,729,6,35,0,25.47,1022.11,25.5,502.49,-42.22
32,58,67,729,6,35,0,25.47,1022.1,25.52,503.62,-42.22
33,58,66,730,6,35,0,25.47,1022.1,25.54,504.0,-42.22
33,58,66,729,6,36,0,25.47,1022.1,25.54,503.24,-42.22
32,58,67,730,6,35,0,25.47,1022.1,25.57,502.49,-42.22
33,58,66,730,7,35,0,25.47,1022.1,25.59,504.75,-42.3
32,58,66,729,6,35,0,25.47,1022.11,25.59,502.49,-42.3
33,58,66,730,6,35,0,25.47,1022.11,25.61,503.24,-42.38
32,57,66,730,6,36,0,25.47,1022.12,25.61,502.11,-42.3
32,58,67,730,6,36,0,25.47,1022.11,25.61,503.24,-42.3
31,58,66,730,6,35,0,25.47,1022.11,25.62,502.87,-42.3
32,58,66,730,6,35,0,25.47,1022.11,25.62,502.11,-42.3
32,58,66,730,6,35,0,25.47,1022.11,25.63,500.62,-42.3
32,58,66,730,5,35,0,25.47,1022.11,25.63,502.49,-42.3
32,58,66,730,6,35,0,25.47,1022.11,25.63,501.36,-42.3
32,58,66,730,6,35,0,25.47,1022.11,25.63,501.36,-42.38
32,58,66,730,6,35,0,25.48,1022.12,25.62,501.36,-42.3
32,58,66,729,6,36,0,25.48,1022.11,25.63,501.36,-42.3
32,58,66,731,6,35,0,25.48,1022.11,25.62,500.24,-42.38
32,58,66,730,6,35,0,25.48,1022.12,25.61,501.74,-42.38
32,58,66,731,6,39,0,25.48,1022.12,25.62,500.62,-42.38
32,58,66,731,6,35,0,25.48,1022.12,25.61,501.74,-42.38
31,58,66,730,6,35,0,25.48,1022.12,25.62,502.49,-42.38
