NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
49,83,108,835,0,64,4294967295,33.59,688.6,100.0,0.0,3170.54
49,83,108,834,0,63,4294967295,33.59,688.6,100.0,0.0,3170.54
49,83,108,834,0,62,4294967295,33.59,688.6,100.0,0.0,3170.54
48,83,108,832,0,63,4294967295,33.59,688.6,100.0,0.0,3170.54
49,83,107,832,0,64,4294967295,33.59,688.6,100.0,0.0,3170.54
48,83,108,831,0,64,4294967295,33.59,688.6,100.0,0.0,3170.54
48,82,107,831,0,62,4294967295,33.59,688.6,100.0,0.0,3170.54
48,83,107,830,0,61,4294967295,33.59,688.6,100.0,0.0,3170.54
48,83,107,831,0,63,4294967295,33.59,688.6,100.0,0.0,3170.54
47,82,107,831,0,63,4294967295,33.59,688.6,100.0,0.0,3170.54
47,82,106,831,0,63,4294967295,33.59,688.6,100.0,0.0,3170.54
48,82,107,831,0,60,4294967295,33.59,688.6,100.0,0.0,3170.54
47,82,107,833,0,63,4294967295,33.59,688.6,100.0,0.0,3170.54
47,82,107,834,0,63,4294967295,33.59,688.6,100.0,0.0,3170.54
47,82,106,837,0,63,4294967295,33.59,688.6,100.0,0.0,3170.54
47,82,106,838,0,64,4294967295,33.59,688.6,100.0,0.0,3170.54
47,83,106,841,0,63,4294967295,33.59,688.6,100.0,0.0,3170.54
47,82,106,842,0,63,4294967295,33.59,688.6,100.0,0.0,3170.54
46,83,106,845,0,65,4294967295,33.59,688.6,100.0,0.0,3170.54
47,83,106,848,0,65,4294967295,33.59,688.6,100.0,0.0,3170.54
47,83,107,851,0,63,4294967295,33.59,688.6,100.0,0.0,3170.54
46,84,107,854,0,64,4294967295,33.59,688.6,100.0,0.0,3170.54
47,84,107,858,0,64,4294967295,33.59,688.6,100.0,0.0,3170.54
47,85,108,862,0,64,4294967295,33.59,688.6,100.0,0.0,3170.54
47,85,108,866,0,65,4294967295,33.59,688.6,100.0,0.0,3170.54
48,85,108,871,0,62,4294967295,33.59,688.6,100.0,0.0,3170.54
47,85,108,874,0,71,4294967295,33.59,688.6,100.0,0.0,3170.54
47,85,109,876,0,65,4294967295,33.59,688.6,100.0,0.0,3170.54
47,85,108,877,0,66,4294967295,33.59,688.6,100.0,0.0,3170.54
47,85,108,879,0,65,4294967295,33.59,688.6,100.0,0.0,3170.54
47,85,109,880,0,66,4294967295,33.59,688.6,100.0,0.0,3170.54
47,86,108,882,0,65,4294967295,33.59,688.6,100.0,0.0,3170.54
48,86,108,883,0,65,4294967295,33.59,688.6,100.0,0.0,3170.54
47,85,109,885,0,65,4294967295,33.59,688.6,100.0,0.0,3170.54
47,86,108,886,0,66,4294967295,33.59,688.6,100.0,0.0,3170.54
47,86,109,889,0,66,4294967295,33.59,688.6,100.0,0.0,3170.54
47,86,109,889,0,66,4294967295,33.59,688.6,100.0,0.0,3170.54
47,86,109,891,0,66,4294967295,33.59,688.6,100.0,0.0,3170.54
47,86,109,893,0,66,4294967295,33.59,688.6,100.0,0.0,3170.54
47,86,109,894,0,66,4294967295,33.59,688.6,100.0,0.0,3170.54
47,86,109,895,0,65,4294967295,33.59,688.6,100.0,0.0,3170.54
47,86,109,895,0,66,4294967295,33.59,688.6,100.0,0.0,3170.54
48,86,109,895,0,66,4294967295,33.59,688.6,100.0,0.0,3170.54
47,85,109,896,0,73,4294967295,33.59,688.6,100.0,0.0,3170.54
47,86,109,896,0,66,4294967295,33.59,688.6,100.0,0.0,3170.54
47,85,109,896,0,66,4294967295,33.59,688.6,100.0,0.0,3170.54
47,86,108,897,0,66,4294967295,33.59,688.6,100.0,0.0,3170.54
47,86,108,896,0,62,4294967295,33.59,688.6,100.0,0.0,3170.54
47,86,108,897,0,76,4294967295,33.59,688.6,100.0,0.0,3170.54
46,86,108,896,0,67,4294967295,33.59,688.6,100.0,0.0,3170.54
47,84,108,892,0,68,4294967295,33.59,688.6,100.0,0.0,3170.54
47,85,107,889,0,67,4294967295,33.59,688.6,100.0,0.0,3170.54
47,84,107,885,0,68,4294967295,33.59,688.6,100.0,0.0,3170.54
47,84,107,883,0,72,4294967295,33.59,688.6,100.0,0.0,3170.54
47,84,107,881,0,67,4294967295,33.59,688.6,100.0,0.0,3170.54
47,84,107,882,0,66,4294967295,33.59,688.6,100.0,0.0,3170.54
46,84,107,883,0,67,4294967295,33.59,688.6,100.0,0.0,3170.54
47,84,108,883,0,67,4294967295,33.59,688.6,100.0,0.0,3170.54
46,84,108,884,0,68,4294967295,33.59,688.6,100.0,0.0,3170.54
47,84,107,885,0,67,4294967295,33.59,688.6,100.0,0.0,3170.54
47,84,107,886,0,67,4294967295,33.59,688.6,100.0,0.0,3170.54
47,84,107,887,0,68,4294967295,33.59,688.6,100.0,0.0,3170.54
46,84,107,886,0,62,4294967295,33.59,688.6,100.0,0.0,3170.54
46,84,107,885,0,66,4294967295,33.59,688.6,100.0,0.0,3170.54
46,84,107,886,0,68,4294967295,33.59,688.6,100.0,0.0,3170.54
46,84,106,885,0,68,4294967295,33.59,688.6,100.0,0.0,3170.54
46,84,106,884,0,65,4294967295,33.59,688.6,100.0,0.0,3170.54
46,83,106,883,0,67,4294967295,33.59,688.6,100.0,0.0,3170.54
46,83,106,883,0,67,4294967295,33.59,688.6,100.0,0.0,3170.54
46,83,106,883,0,67,4294967295,33.59,688.6,100.0,0.0,3170.54
46,83,106,883,0,67,4294967295,33.59,688.6,100.0,0.0,3170.54
46,84,106,883,0,63,4294967295,33.59,688.6,100.0,0.0,3170.54
46,84,106,885,0,66,4294967295,33.59,688.6,100.0,0.0,3170.54
46,84,106,886,0,67,4294967295,33.59,688.6,100.0,0.0,3170.54
46,84,106,887,0,71,4294967295,33.59,688.6,100.0,0.0,3170.54
