NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
32,64,72,727,0,3,0,33.59,688.6,100.0,0.0,3170.54
31,64,72,729,0,3,0,33.59,688.6,100.0,0.0,3170.54
31,65,72,730,0,3,0,33.59,688.6,100.0,0.0,3170.54
31,64,72,731,0,3,0,33.59,688.6,100.0,0.0,3170.54
31,64,71,733,0,3,0,33.59,688.6,100.0,0.0,3170.54
31,64,72,735,0,3,0,33.59,688.6,100.0,0.0,3170.54
31,64,71,737,0,3,0,33.59,688.6,100.0,0.0,3170.54
31,64,71,739,0,3,0,33.59,688.6,100.0,0.0,3170.54
31,64,71,741,0,3,0,33.59,688.6,100.0,0.0,3170.54
31,65,71,745,0,3,0,33.59,688.6,100.0,0.0,3170.54
31,64,71,747,0,3,0,33.59,688.6,100.0,0.0,3170.54
31,65,71,750,0,3,0,33.59,688.6,100.0,0.0,3170.54
31,64,71,752,0,3,0,33.59,688.6,100.0,0.0,3170.54
31,65,71,755,0,4,0,33.59,688.6,100.0,0.0,3170.54
31,64,71,759,0,3,0,33.59,688.6,100.0,0.0,3170.54
31,65,71,762,0,4,0,33.59,688.6,100.0,0.0,3170.54
31,64,71,764,0,4,0,33.59,688.6,100.0,0.0,3170.54
31,65,71,768,0,4,0,33.59,688.6,100.0,0.0,3170.54
30,65,72,771,0,4,0,33.59,688.6,100.0,0.0,3170.54
31,65,71,775,0,4,0,33.59,688.6,100.0,0.0,3170.54
31,65,71,778,0,4,0,33.59,688.6,100.0,0.0,3170.54
31,65,71,782,0,4,0,33.59,688.6,100.0,0.0,3170.54
31,65,71,786,0,4,0,33.59,688.6,100.0,0.0,3170.54
31,65,71,789,0,4,0,33.59,688.6,100.0,0.0,3170.54
30,64,70,794,0,4,0,33.59,688.6,100.0,0.0,3170.54
31,65,71,798,0,4,0,33.59,688.6,100.0,0.0,3170.54
31,65,70,802,0,4,0,33.59,688.6,100.0,0.0,3170.54
31,65,71,806,0,4,0,33.59,688.6,100.0,0.0,3170.54
31,64,71,811,0,4,0,33.59,688.6,100.0,0.0,3170.54
31,65,71,814,0,4,0,33.59,688.6,100.0,0.0,3170.54
31,65,71,816,0,5,0,33.59,688.6,100.0,0.0,3170.54
31,65,71,819,0,5,0,33.59,688.6,100.0,0.0,3170.54
30,65,71,820,0,5,0,33.59,688.6,100.0,0.0,3170.54
31,65,71,821,0,5,0,33.59,688.6,100.0,0.0,3170.54
