NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
37,56,69,712,0,4,0,33.59,688.6,100.0,0.0,3170.54
37,56,69,712,0,4,0,33.59,688.6,100.0,0.0,3170.54
37,56,69,712,0,4,0,33.59,688.6,100.0,0.0,3170.54
36,56,69,713,0,4,0,33.59,688.6,100.0,0.0,3170.54
37,56,70,712,0,4,0,33.59,688.6,100.0,0.0,3170.54
37,56,70,712,0,4,0,33.59,688.6,100.0,0.0,3170.54
37,56,69,712,0,4,0,33.59,688.6,100.0,0.0,3170.54
37,55,69,713,0,4,0,33.59,688.6,100.0,0.0,3170.54
37,56,70,713,0,4,0,33.59,688.6,100.0,0.0,3170.54
36,56,70,713,0,4,0,33.59,688.6,100.0,0.0,3170.54
37,56,69,712,0,4,0,33.59,688.6,100.0,0.0,3170.54
37,56,70,712,0,4,0,33.59,688.6,100.0,0.0,3170.54
37,56,70,712,0,5,0,33.59,688.6,100.0,0.0,3170.54
36,56,69,713,0,4,0,33.59,688.6,100.0,0.0,3170.54
36,56,70,712,0,4,0,33.59,688.6,100.0,0.0,3170.54
37,56,69,713,0,5,0,33.59,688.6,100.0,0.0,3170.54
37,56,70,713,0,4,0,33.59,688.6,100.0,0.0,3170.54
37,56,69,713,0,4,0,33.59,688.6,100.0,0.0,3170.54
37,56,70,713,0,5,0,33.59,688.6,100.0,0.0,3170.54
36,56,69,713,0,4,0,33.59,688.6,100.0,0.0,3170.54
37,56,69,713,0,4,0,33.59,688.6,100.0,0.0,3170.54
37,56,69,712,0,5,0,33.59,688.6,100.0,0.0,3170.54
37,56,69,713,0,5,0,33.59,688.6,100.0,0.0,3170.54
36,56,69,712,0,5,0,33.59,688.6,100.0,0.0,3170.54
37,56,69,713,0,5,0,33.59,688.6,100.0,0.0,3170.54
37,56,69,713,0,5,0,33.59,688.6,100.0,0.0,3170.54
37,56,70,714,0,4,0,33.59,688.6,100.0,0.0,3170.54
37,56,69,713,0,5,0,33.59,688.6,100.0,0.0,3170.54
37,56,69,713,0,5,0,33.59,688.6,100.0,0.0,3170.54
37,56,69,714,0,5,0,33.59,688.6,100.0,0.0,3170.54
37,56,69,713,0,4,0,33.59,688.6,100.0,0.0,3170.54
37,56,69,714,0,4,0,33.59,688.6,100.0,0.0,3170.54
37,56,69,714,0,5,0,33.59,688.6,100.0,0.0,3170.54
37,56,70,713,0,4,0,33.59,688.6,100.0,0.0,3170.54
36,56,70,713,0,4,0,33.59,688.6,100.0,0.0,3170.54
37,56,70,714,0,4,0,33.59,688.6,100.0,0.0,3170.54
37,56,70,714,0,5,0,33.59,688.6,100.0,0.0,3170.54
37,56,70,714,0,4,0,33.59,688.6,100.0,0.0,3170.54
37,56,70,714,0,4,0,33.59,688.6,100.0,0.0,3170.54
37,56,70,714,0,4,0,33.59,688.6,100.0,0.0,3170.54
37,56,70,714,0,4,0,33.59,688.6,100.0,0.0,3170.54
37,56,70,715,0,5,0,33.59,688.6,100.0,0.0,3170.54
37,56,71,715,0,4,0,33.59,688.6,100.0,0.0,3170.54
37,56,70,715,0,4,0,33.59,688.6,100.0,0.0,3170.54
37,56,70,715,0,4,0,33.59,688.6,100.0,0.0,3170.54
37,56,70,714,0,4,0,33.59,688.6,100.0,0.0,3170.54
37,55,70,715,0,4,0,33.59,688.6,100.0,0.0,3170.54
37,56,70,715,0,4,0,33.59,688.6,100.0,0.0,3170.54
37,56,70,714,0,4,0,33.59,688.6,100.0,0.0,3170.54
38,56,71,715,0,4,0,33.59,688.6,100.0,0.0,3170.54
37,56,70,714,0,4,0,33.59,688.6,100.0,0.0,3170.54
37,56,71,715,0,4,0,33.59,688.6,100.0,0.0,3170.54
37,56,71,715,0,4,0,33.59,688.6,100.0,0.0,3170.54
37,56,71,715,0,4,0,33.59,688.6,100.0,0.0,3170.54
37,56,71,715,0,4,0,33.59,688.6,100.0,0.0,3170.54
37,56,70,714,0,4,0,33.59,688.6,100.0,0.0,3170.54
38,56,71,715,0,4,0,33.59,688.6,100.0,0.0,3170.54
37,57,71,715,0,4,0,33.59,688.6,100.0,0.0,3170.54
38,56,70,715,0,4,0,33.59,688.6,100.0,0.0,3170.54
37,56,71,715,0,4,0,33.59,688.6,100.0,0.0,3170.54
38,56,71,716,0,4,0,33.59,688.6,100.0,0.0,3170.54
38,56,71,715,0,4,0,33.59,688.6,100.0,0.0,3170.54
38,57,70,715,0,5,0,33.59,688.6,100.0,0.0,3170.54
38,56,71,716,0,4,0,33.59,688.6,100.0,0.0,3170.54
37,57,71,715,0,4,0,33.59,688.6,100.0,0.0,3170.54
