NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
33,55,66,728,8,41,0,25.22,1021.8,25.58,506.27,-39.66
34,55,66,728,7,40,0,25.22,1021.79,25.59,504.37,-39.58
33,55,66,729,6,39,0,25.22,1021.78,25.59,507.42,-39.66
33,55,66,728,7,39,0,25.22,1021.79,25.6,508.57,-39.66
34,55,66,729,6,40,0,25.22,1021.79,25.62,509.35,-39.58
34,55,66,729,6,39,0,25.22,1021.78,25.63,508.96,-39.58
34,55,65,729,6,39,0,25.22,1021.78,25.63,509.35,-39.58
33,55,65,729,7,39,0,25.23,1021.78,25.66,508.96,-39.58
33,55,66,729,6,39,0,25.23,1021.78,25.67,507.81,-39.49
33,55,65,730,6,40,0,25.22,1021.77,25.68,508.19,-39.58
33,54,65,729,6,45,0,25.22,1021.78,25.69,511.28,-39.58
33,55,65,729,6,39,0,25.22,1021.78,25.7,510.89,-39.58
33,55,65,729,6,39,0,25.22,1021.78,25.7,511.67,-39.58
33,55,65,730,7,40,0,25.22,1021.78,25.72,511.67,-39.58
33,55,65,730,7,40,0,25.23,1021.78,25.72,512.85,-39.58
33,55,65,730,6,40,0,25.23,1021.78,25.71,511.67,-39.58
33,55,65,730,6,40,0,25.23,1021.78,25.71,510.89,-39.66
33,55,65,730,6,40,0,25.23,1021.79,25.71,511.67,-39.66
33,55,65,730,6,40,0,25.23,1021.79,25.7,511.67,-39.66
32,55,65,730,6,44,0,25.23,1021.79,25.7,514.81,-39.66
33,55,65,730,6,40,0,25.23,1021.79,25.7,514.81,-39.58
33,55,65,730,6,40,0,25.23,1021.78,25.69,513.24,-39.58
32,54,65,731,6,41,0,25.23,1021.78,25.68,514.81,-39.58
33,55,65,731,6,40,0,25.23,1021.78,25.69,515.6,-39.58
33,55,65,731,6,40,0,25.23,1021.78,25.69,515.6,-39.58
33,55,65,731,6,39,0,25.23,1021.78,25.69,513.24,-39.58
33,55,65,731,7,39,0,25.23,1021.78,25.7,514.81,-39.58
