NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
115,160,236,764,2,25,4294967295,25.65,1004.25,45.57,49.65,106.22
114,160,235,765,2,25,4294967295,25.65,1004.26,45.59,49.7,106.22
114,160,235,765,2,25,4294967295,25.65,1004.26,45.6,49.73,106.13
113,160,234,765,2,25,4294967295,25.65,1004.27,45.6,49.62,106.05
113,159,234,765,2,25,4294967295,25.65,1004.28,45.61,49.65,106.05
112,159,234,765,2,25,4294967295,25.64,1004.28,45.61,49.65,106.05
111,158,233,764,2,25,4294967295,25.64,1004.28,45.62,49.65,106.05
111,158,232,764,2,25,4294967295,25.64,1004.28,45.63,49.65,106.05
111,158,233,764,2,25,4294967295,25.64,1004.28,45.66,49.62,106.05
110,157,232,764,2,25,4294967295,25.64,1004.28,45.65,49.62,106.05
110,158,231,764,2,25,4294967295,25.64,1004.28,45.65,49.62,106.05
109,157,231,764,2,25,4294967295,25.64,1004.28,45.65,49.62,106.05
109,157,231,764,2,25,4294967295,25.64,1004.28,45.63,49.62,106.05
109,157,230,764,2,25,4294967295,25.64,1004.28,45.66,49.65,106.05
109,157,230,764,2,25,4294967295,25.64,1004.28,45.65,49.62,106.05
108,157,229,764,1,25,4294967295,25.64,1004.28,45.66,49.56,106.05
108,156,229,764,2,29,4294967295,25.64,1004.28,45.67,49.5,106.05
107,156,228,764,2,25,4294967295,25.64,1004.28,45.67,49.59,106.13
107,156,229,764,2,25,4294967295,25.64,1004.27,45.67,49.62,106.13
107,156,228,764,2,25,4294967295,25.64,1004.27,45.66,49.59,106.13
107,156,228,764,2,25,4294967295,25.64,1004.27,45.67,49.62,106.13
107,156,227,764,2,25,4294967295,25.64,1004.27,45.68,49.53,106.05
106,156,227,764,2,25,4294967295,25.64,1004.28,45.68,49.65,106.05
107,156,227,764,2,25,4294967295,25.64,1004.28,45.68,49.65,106.05
106,155,226,764,2,25,4294967295,25.64,1004.28,45.68,49.59,106.05
106,155,226,764,2,25,4294967295,25.64,1004.28,45.71,49.56,106.05
105,155,225,763,2,25,4294967295,25.64,1004.28,45.69,49.67,106.13
105,155,225,764,2,25,4294967295,25.65,1004.27,45.68,49.65,106.22
105,154,225,764,2,25,4294967295,25.65,1004.26,45.7,49.59,106.22
105,154,225,764,2,25,4294967295,25.65,1004.26,45.7,49.65,106.3
105,154,224,763,2,25,4294967295,25.65,1004.25,45.7,49.47,106.22
105,154,224,764,2,25,4294967295,25.65,1004.26,45.69,49.59,106.22
105,154,224,763,2,25,4294967295,25.65,1004.26,45.69,49.62,106.22
104,154,224,763,2,26,4294967295,25.65,1004.26,45.68,49.65,106.22
104,154,223,763,2,26,4294967295,25.65,1004.26,45.7,49.7,106.13
104,154,223,763,2,26,4294967295,25.65,1004.27,45.68,49.65,106.13
104,154,223,763,2,26,4294967295,25.65,1004.27,45.68,49.7,106.05
104,154,223,763,2,26,4294967295,25.65,1004.28,45.67,49.59,106.05
103,154,222,763,2,26,4294967295,25.66,1004.28,45.68,49.73,106.05
103,153,222,763,2,26,4294967295,25.66,1004.28,45.67,49.7,106.13
103,153,223,763,2,25,4294967295,25.66,1004.27,45.67,49.73,106.13
103,153,222,763,2,26,4294967295,25.66,1004.27,45.67,49.65,106.13
103,153,222,763,2,27,4294967295,25.66,1004.27,45.67,49.5,106.13
103,153,222,763,2,26,4294967295,25.66,1004.27,45.67,49.7,106.13
103,153,221,763,2,25,4294967295,25.66,1004.27,45.65,49.62,106.13
103,153,221,763,2,25,4294967295,25.66,1004.27,45.65,49.7,106.13
103,153,221,763,2,25,4294967295,25.66,1004.27,45.67,49.62,106.05
103,152,221,763,2,23,4294967295,25.66,1004.28,45.65,49.59,106.13
102,152,221,762,2,27,4294967295,25.66,1004.27,45.64,49.76,106.13
103,153,220,762,2,25,4294967295,25.66,1004.27,45.65,49.76,106.13
103,153,220,763,2,25,4294967295,25.66,1004.27,45.65,49.73,106.13
102,153,221,763,2,25,4294967295,25.67,1004.27,45.64,49.67,106.13
103,152,220,763,2,27,4294967295,25.67,1004.27,45.64,49.67,106.22
102,152,220,763,2,26,4294967295,25.67,1004.26,45.64,49.65,106.22
102,152,220,763,2,25,4294967295,25.67,1004.26,45.63,49.62,106.13
102,152,220,763,2,25,4294967295,25.67,1004.27,45.64,49.73,106.13
102,152,220,763,2,25,4294967295,25.67,1004.27,45.62,49.65,106.13
102,152,219,763,1,26,4294967295,25.67,1004.27,45.62,49.59,106.13
102,152,219,763,2,25,4294967295,25.67,1004.27,45.63,49.79,106.13
102,152,219,763,2,25,4294967295,25.67,1004.27,45.61,49.76,106.05
102,151,219,763,2,25,4294967295,25.67,1004.28,45.62,49.73,106.13
101,152,219,763,2,25,4294967295,25.67,1004.27,45.61,49.79,106.05
102,151,219,763,2,25,4294967295,25.67,1004.28,45.62,49.76,106.13
102,152,218,762,2,26,4294967295,25.67,1004.27,45.62,49.73,106.05
102,152,219,763,2,25,4294967295,25.67,1004.28,45.63,49.79,106.05
102,151,219,762,2,25,4294967295,25.67,1004.28,45.6,49.73,106.05
101,152,218,763,2,26,4294967295,25.67,1004.28,45.61,49.79,106.05
102,151,218,763,2,25,4294967295,25.67,1004.28,45.6,49.5,106.05
102,151,218,763,2,25,4294967295,25.67,1004.28,45.61,49.85,106.13
101,151,217,763,2,25,4294967295,25.67,1004.27,45.6,49.85,106.13
102,151,218,763,1,23,4294967295,25.67,1004.27,45.6,49.88,106.13
102,151,218,763,2,25,4294967295,25.68,1004.27,45.6,49.79,106.22
102,151,218,763,2,26,4294967295,25.68,1004.26,45.6,49.76,106.3
101,150,217,763,2,25,4294967295,25.68,1004.25,45.58,49.85,106.3
101,151,217,763,2,24,4294967295,25.68,1004.25,45.58,49.91,106.39
102,151,218,762,2,25,4294967295,25.68,1004.24,45.6,49.91,106.47
101,150,218,762,2,25,4294967295,25.68,1004.23,45.6,49.76,106.55
102,151,217,763,2,25,4294967295,25.68,1004.22,45.6,49.88,106.47
101,151,217,763,2,25,4294967295,25.68,1004.23,45.6,49.91,106.47
102,151,216,763,2,25,4294967295,25.68,1004.23,45.6,49.76,106.47
101,150,217,763,2,25,4294967295,25.68,1004.23,45.6,49.79,106.55
102,150,217,763,2,25,4294967295,25.68,1004.22,45.6,49.82,106.55
102,150,217,763,2,25,4294967295,25.68,1004.22,45.61,49.91,106.47
101,150,217,763,2,25,4294967295,25.68,1004.23,45.6,49.85,106.47
102,150,216,762,2,25,4294967295,25.68,1004.23,45.61,49.79,106.47
102,151,217,763,2,25,4294967295,25.68,1004.23,45.6,49.85,106.47
102,151,216,762,2,25,4294967295,25.68,1004.23,45.61,49.82,106.47
102,150,216,762,2,25,4294967295,25.68,1004.23,45.59,49.91,106.55
102,150,217,763,2,25,4294967295,25.68,1004.22,45.6,49.85,106.55
102,150,216,763,2,25,4294967295,25.68,1004.22,45.58,49.88,106.47
102,150,217,762,2,28,4294967295,25.68,1004.23,45.6,49.7,106.64
102,150,217,763,2,25,4294967295,25.68,1004.21,45.59,49.88,106.64
102,150,216,763,2,25,4294967295,25.68,1004.21,45.59,49.82,106.64
