NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
112,125,227,736,0,4,0,33.59,688.6,100.0,0.0,3170.54
111,124,226,736,0,4,0,33.59,688.6,100.0,0.0,3170.54
111,124,226,737,0,4,0,33.59,688.6,100.0,0.0,3170.54
111,125,226,737,0,4,0,33.59,688.6,100.0,0.0,3170.54
110,125,225,736,0,3,0,33.59,688.6,100.0,0.0,3170.54
110,124,224,736,0,4,0,33.59,688.6,100.0,0.0,3170.54
109,124,223,736,0,4,0,33.59,688.6,100.0,0.0,3170.54
109,124,222,737,0,4,0,33.59,688.6,100.0,0.0,3170.54
108,124,222,736,0,4,0,33.59,688.6,100.0,0.0,3170.54
108,124,222,736,0,3,0,33.59,688.6,100.0,0.0,3170.54
108,124,221,736,0,3,0,33.59,688.6,100.0,0.0,3170.54
108,124,221,737,0,3,0,33.59,688.6,100.0,0.0,3170.54
106,124,221,736,0,3,0,33.59,688.6,100.0,0.0,3170.54
107,124,219,736,0,3,0,33.59,688.6,100.0,0.0,3170.54
106,124,219,737,0,3,0,33.59,688.6,100.0,0.0,3170.54
107,124,219,736,0,3,0,33.59,688.6,100.0,0.0,3170.54
106,125,218,737,0,4,0,33.59,688.6,100.0,0.0,3170.54
106,124,217,737,0,4,0,33.59,688.6,100.0,0.0,3170.54
105,123,217,737,0,4,0,33.59,688.6,100.0,0.0,3170.54
106,125,217,737,0,4,0,33.59,688.6,100.0,0.0,3170.54
104,124,216,737,0,3,0,33.59,688.6,100.0,0.0,3170.54
105,124,215,737,0,3,0,33.59,688.6,100.0,0.0,3170.54
104,124,215,737,0,3,0,33.59,688.6,100.0,0.0,3170.54
103,124,214,736,0,4,0,33.59,688.6,100.0,0.0,3170.54
104,124,214,737,0,3,0,33.59,688.6,100.0,0.0,3170.54
103,124,214,736,0,4,0,33.59,688.6,100.0,0.0,3170.54
103,124,214,737,0,4,0,33.59,688.6,100.0,0.0,3170.54
103,124,213,737,0,3,0,33.59,688.6,100.0,0.0,3170.54
103,124,214,737,0,3,0,33.59,688.6,100.0,0.0,3170.54
103,124,213,737,0,3,0,33.59,688.6,100.0,0.0,3170.54
102,124,212,737,0,4,0,33.59,688.6,100.0,0.0,3170.54
103,124,212,737,0,3,0,33.59,688.6,100.0,0.0,3170.54
102,124,211,737,0,3,0,33.59,688.6,100.0,0.0,3170.54
102,124,212,737,0,3,0,33.59,688.6,100.0,0.0,3170.54
102,124,211,737,0,3,0,33.59,688.6,100.0,0.0,3170.54
102,123,210,737,0,4,0,33.59,688.6,100.0,0.0,3170.54
102,124,210,737,0,3,0,33.59,688.6,100.0,0.0,3170.54
102,124,210,738,0,3,0,33.59,688.6,100.0,0.0,3170.54
101,124,210,737,0,3,0,33.59,688.6,100.0,0.0,3170.54
102,124,209,738,0,3,0,33.59,688.6,100.0,0.0,3170.54
101,124,210,738,0,3,0,33.59,688.6,100.0,0.0,3170.54
101,124,209,737,0,3,0,33.59,688.6,100.0,0.0,3170.54
101,123,209,737,0,3,0,33.59,688.6,100.0,0.0,3170.54
101,124,209,737,0,3,0,33.59,688.6,100.0,0.0,3170.54
101,124,209,737,0,3,0,33.59,688.6,100.0,0.0,3170.54
101,124,208,738,0,4,0,33.59,688.6,100.0,0.0,3170.54
101,123,208,738,0,3,0,33.59,688.6,100.0,0.0,3170.54
101,124,207,738,0,4,0,33.59,688.6,100.0,0.0,3170.54
102,124,209,738,0,4,0,33.59,688.6,100.0,0.0,3170.54
101,123,208,739,0,3,0,33.59,688.6,100.0,0.0,3170.54
101,124,208,738,0,3,0,33.59,688.6,100.0,0.0,3170.54
101,124,207,738,0,4,0,33.59,688.6,100.0,0.0,3170.54
101,123,208,738,0,4,0,33.59,688.6,100.0,0.0,3170.54
101,124,208,738,0,4,0,33.59,688.6,100.0,0.0,3170.54
101,124,207,738,0,4,0,33.59,688.6,100.0,0.0,3170.54
102,124,207,738,0,4,0,33.59,688.6,100.0,0.0,3170.54
102,124,208,738,0,4,0,33.59,688.6,100.0,0.0,3170.54
102,123,208,739,0,3,0,33.59,688.6,100.0,0.0,3170.54
102,123,208,738,0,4,0,33.59,688.6,100.0,0.0,3170.54
102,124,208,739,0,4,0,33.59,688.6,100.0,0.0,3170.54
103,123,208,739,0,4,0,33.59,688.6,100.0,0.0,3170.54
102,124,208,738,0,3,0,33.59,688.6,100.0,0.0,3170.54
103,124,208,739,0,4,0,33.59,688.6,100.0,0.0,3170.54
103,124,208,739,0,3,0,33.59,688.6,100.0,0.0,3170.54
103,124,208,739,0,3,0,33.59,688.6,100.0,0.0,3170.54
103,123,208,739,0,4,0,33.59,688.6,100.0,0.0,3170.54
103,124,208,738,0,3,0,33.59,688.6,100.0,0.0,3170.54
104,124,209,739,0,4,0,33.59,688.6,100.0,0.0,3170.54
104,124,209,739,0,4,0,33.59,688.6,100.0,0.0,3170.54
104,124,209,739,0,4,0,33.59,688.6,100.0,0.0,3170.54
104,124,209,739,0,4,0,33.59,688.6,100.0,0.0,3170.54
104,124,209,739,0,4,0,33.59,688.6,100.0,0.0,3170.54
104,124,209,738,0,4,0,33.59,688.6,100.0,0.0,3170.54
104,124,208,738,0,4,0,33.59,688.6,100.0,0.0,3170.54
104,124,209,739,0,4,0,33.59,688.6,100.0,0.0,3170.54
104,124,209,739,0,4,0,33.59,688.6,100.0,0.0,3170.54
105,124,209,739,0,4,0,33.59,688.6,100.0,0.0,3170.54
105,124,209,739,0,3,0,33.59,688.6,100.0,0.0,3170.54
105,124,210,739,0,4,0,33.59,688.6,100.0,0.0,3170.54
105,124,209,739,0,4,0,33.59,688.6,100.0,0.0,3170.54
