NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
40,78,109,753,6,134,4294967295,25.7,1019.52,25.47,433.16,-20.8
40,79,110,753,5,133,4294967295,25.7,1019.51,25.45,430.11,-20.8
40,78,110,752,5,131,4294967295,25.7,1019.51,25.42,430.93,-20.8
40,78,109,751,4,135,4294967295,25.7,1019.51,25.43,430.38,-20.8
39,78,109,752,5,122,4294967295,25.7,1019.51,25.43,431.49,-20.8
39,78,109,751,7,137,4294967295,25.7,1019.51,25.43,430.11,-20.8
39,78,109,751,5,137,4294967295,25.7,1019.51,25.43,432.6,-20.8
39,78,109,751,4,137,4294967295,25.7,1019.51,25.42,433.72,-20.8
39,78,109,750,5,133,4294967295,25.7,1019.51,25.43,433.16,-20.72
40,78,109,750,6,138,4294967295,25.7,1019.5,25.43,434.56,-20.72
39,77,108,750,5,137,4294967295,25.7,1019.5,25.45,431.49,-20.72
39,77,108,750,5,136,4294967295,25.7,1019.5,25.47,433.16,-20.8
39,77,108,750,5,128,4294967295,25.7,1019.51,25.48,433.44,-20.8
39,78,108,749,5,127,4294967295,25.7,1019.51,25.48,433.72,-20.8
39,78,108,749,5,135,4294967295,25.71,1019.51,25.46,434.84,-20.8
39,78,108,749,5,135,4294967295,25.71,1019.51,25.44,434.56,-20.8
39,78,107,750,5,134,4294967295,25.71,1019.51,25.43,433.16,-20.88
38,78,107,750,5,134,4294967295,25.71,1019.52,25.44,434.56,-20.97
38,77,107,751,5,140,4294967295,25.71,1019.53,25.45,434.0,-20.97
38,78,107,751,5,134,4294967295,25.71,1019.53,25.45,434.0,-20.97
39,77,107,752,5,134,4294967295,25.71,1019.53,25.45,434.56,-20.97
38,78,108,753,5,141,4294967295,25.71,1019.53,25.46,435.12,-20.97
39,78,107,753,5,122,4294967295,25.72,1019.53,25.47,435.97,-21.05
38,78,108,753,5,126,4294967295,25.72,1019.54,25.49,434.28,-21.05
38,78,108,754,5,135,4294967295,25.72,1019.54,25.5,433.44,-21.05
38,78,108,755,5,122,4294967295,25.72,1019.54,25.5,434.84,-21.13
38,77,108,755,4,121,4294967295,25.72,1019.55,25.51,434.28,-21.05
38,78,108,756,5,122,4294967295,25.72,1019.54,25.5,433.16,-21.13
38,78,107,757,5,121,4294967295,25.73,1019.55,25.5,433.16,-21.13
38,78,108,757,5,122,4294967295,25.73,1019.55,25.49,432.04,-21.13
38,78,108,757,5,122,4294967295,25.73,1019.55,25.48,432.04,-21.13
38,78,108,757,5,128,4294967295,25.73,1019.55,25.48,432.04,-21.13
38,78,108,758,4,132,4294967295,25.73,1019.55,25.48,431.49,-21.13
38,78,108,758,5,128,4294967295,25.74,1019.55,25.47,430.93,-21.13
38,78,108,759,5,137,4294967295,25.74,1019.55,25.48,433.16,-21.13
38,78,109,761,5,156,4294967295,25.74,1019.55,25.49,431.21,-21.13
38,79,108,761,5,126,4294967295,25.74,1019.55,25.48,433.16,-21.13
38,79,108,760,4,127,4294967295,25.74,1019.55,25.51,431.49,-21.13
38,79,108,760,5,126,4294967295,25.74,1019.55,25.49,431.77,-21.13
37,79,108,760,5,135,4294967295,25.75,1019.55,25.49,429.83,-21.13
38,79,108,761,5,125,4294967295,25.75,1019.55,25.5,432.32,-21.13
38,79,108,761,5,129,4294967295,25.75,1019.55,25.52,432.04,-21.13
38,79,108,761,5,120,4294967295,25.75,1019.55,25.55,430.93,-21.13
38,79,108,761,5,122,4294967295,25.75,1019.55,25.58,430.93,-21.13
37,79,108,762,5,122,4294967295,25.75,1019.55,25.59,431.49,-21.13
38,79,109,763,5,122,4294967295,25.76,1019.55,25.6,429.83,-21.13
38,79,109,764,5,117,4294967295,25.76,1019.55,25.64,430.66,-21.21
37,79,109,764,5,126,4294967295,25.76,1019.56,25.64,429.83,-21.21
38,79,109,765,5,122,4294967295,25.76,1019.56,25.64,429.83,-21.21
38,80,110,765,4,132,4294967295,25.76,1019.56,25.63,430.11,-21.21
38,80,110,766,5,121,4294967295,25.76,1019.56,25.63,430.38,-21.3
38,79,110,767,5,122,4294967295,25.76,1019.57,25.63,430.38,-21.3
38,80,110,768,5,134,4294967295,25.77,1019.57,25.63,430.93,-21.3
38,80,111,769,5,122,4294967295,25.77,1019.57,25.64,430.11,-21.38
38,80,111,769,5,122,4294967295,25.77,1019.58,25.66,430.66,-21.21
38,80,112,770,4,121,4294967295,25.77,1019.56,25.68,430.38,-21.21
38,81,112,770,5,120,4294967295,25.77,1019.56,25.68,429.83,-21.21
39,80,111,770,5,122,4294967295,25.77,1019.56,25.68,430.11,-21.3
38,80,112,771,5,120,4294967295,25.78,1019.57,25.7,429.28,-21.21
38,80,112,772,5,120,4294967295,25.78,1019.56,25.7,428.74,-21.21
39,80,112,772,5,122,4294967295,25.78,1019.56,25.73,431.49,-21.21
39,81,112,772,5,122,4294967295,25.78,1019.56,25.74,429.28,-21.21
39,80,112,772,4,122,4294967295,25.78,1019.56,25.74,428.74,-21.21
38,81,112,772,5,122,4294967295,25.78,1019.56,25.75,427.92,-21.3
38,81,112,773,5,120,4294967295,25.78,1019.57,25.76,427.92,-21.21
38,81,112,773,5,122,4294967295,25.78,1019.56,25.74,428.19,-21.21
38,81,112,773,5,130,4294967295,25.78,1019.56,25.73,427.92,-21.13
38,81,112,773,5,126,4294967295,25.78,1019.55,25.72,426.83,-21.21
39,81,112,774,5,120,4294967295,25.79,1019.56,25.71,427.92,-21.21
38,81,111,773,6,135,4294967295,25.79,1019.56,25.72,429.28,-21.13
39,81,111,774,5,122,4294967295,25.79,1019.55,25.73,426.29,-21.21
39,81,112,773,5,141,4294967295,25.79,1019.56,25.74,427.64,-21.21
38,80,112,773,5,119,4294967295,25.79,1019.56,25.75,426.56,-21.3
38,81,111,773,5,120,4294967295,25.79,1019.57,25.79,425.48,-21.21
