NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
30,66,72,783,2,21,0,25.64,1014.3,38.32,242.08,22.5
31,65,71,784,1,21,0,25.64,1014.29,38.36,241.73,22.5
30,66,71,784,1,21,0,25.64,1014.29,38.44,241.73,22.5
31,65,71,784,1,21,0,25.64,1014.29,38.49,241.37,22.5
31,65,72,784,1,21,0,25.64,1014.29,38.54,242.79,22.5
31,66,71,784,1,21,0,25.64,1014.29,38.57,243.51,22.42
30,65,72,785,1,21,0,25.64,1014.3,38.58,243.33,22.5
31,66,71,784,2,20,0,25.64,1014.29,38.59,244.59,22.42
31,66,72,785,1,21,0,25.63,1014.3,38.59,242.79,22.42
30,65,71,785,1,20,0,25.64,1014.3,38.59,244.41,22.5
31,66,71,786,1,21,0,25.63,1014.29,38.61,244.05,22.5
30,65,72,786,2,23,0,25.63,1014.29,38.6,242.79,22.5
30,65,71,787,2,21,0,25.63,1014.29,38.59,243.87,22.42
31,65,72,787,1,21,0,25.64,1014.3,38.58,246.04,22.42
31,66,71,787,1,20,0,25.63,1014.3,38.57,244.77,22.5
31,65,71,787,1,21,0,25.63,1014.29,38.57,244.77,22.42
30,65,72,788,1,23,0,25.63,1014.3,38.58,244.23,22.42
31,65,71,789,1,22,0,25.63,1014.3,38.59,243.87,22.42
30,66,71,789,1,21,0,25.63,1014.3,38.61,245.31,22.42
31,66,72,790,1,21,0,25.63,1014.3,38.63,244.59,22.5
30,66,71,790,1,21,0,25.63,1014.29,38.62,243.15,22.42
30,66,71,791,1,21,0,25.63,1014.3,38.63,244.95,22.5
30,66,72,792,1,21,0,25.63,1014.29,38.6,245.86,22.42
31,66,71,793,1,21,0,25.63,1014.3,38.6,245.31,22.5
30,66,72,793,2,21,0,25.63,1014.29,38.57,245.31,22.5
31,66,72,794,2,21,0,25.63,1014.29,38.55,246.04,22.42
31,66,72,794,2,20,0,25.63,1014.3,38.54,246.96,22.42
30,66,72,795,1,21,0,25.63,1014.3,38.52,246.04,22.5
30,66,72,796,2,21,0,25.63,1014.29,38.52,246.78,22.42
31,66,72,796,1,21,0,25.63,1014.3,38.53,246.41,22.42
30,67,72,797,2,21,0,25.63,1014.3,38.54,247.52,22.34
30,67,72,797,2,21,0,25.63,1014.31,38.53,246.59,22.34
31,67,72,798,2,21,0,25.63,1014.31,38.52,249.38,22.34
30,67,72,799,1,21,0,25.63,1014.31,38.52,247.7,22.34
30,66,72,798,2,20,0,25.63,1014.31,38.53,248.63,22.42
30,67,72,799,2,21,0,25.63,1014.3,38.52,247.15,22.42
31,67,72,799,1,21,0,25.63,1014.3,38.53,246.96,22.42
31,66,72,799,2,21,0,25.63,1014.3,38.53,246.59,22.42
30,67,72,799,1,21,0,25.63,1014.3,38.55,248.63,22.42
31,66,72,799,1,21,0,25.63,1014.3,38.55,247.89,22.34
31,67,72,799,2,21,0,25.62,1014.31,38.58,249.57,22.34
31,67,72,800,1,21,0,25.62,1014.31,38.61,248.07,22.42
30,66,72,800,1,21,0,25.62,1014.3,38.61,247.7,22.42
30,66,72,799,1,21,0,25.62,1014.3,38.62,248.45,22.42
31,67,72,799,1,21,0,25.62,1014.3,38.62,248.45,22.34
31,67,72,799,2,21,0,25.62,1014.31,38.61,248.07,22.34
30,66,71,799,2,20,0,25.62,1014.31,38.58,249.57,22.25
30,66,72,799,2,21,0,25.62,1014.32,38.58,247.89,22.25
30,66,72,798,1,20,0,25.62,1014.32,38.56,248.26,22.25
30,66,71,798,1,21,0,25.62,1014.32,38.55,248.82,22.34
30,66,71,798,1,21,0,25.62,1014.31,38.55,247.89,22.34
30,66,72,799,2,20,0,25.62,1014.31,38.54,250.9,22.34
30,66,72,798,2,21,0,25.62,1014.31,38.53,251.66,22.34
31,67,71,798,2,20,0,25.62,1014.31,38.54,250.9,22.25
31,66,71,799,2,21,0,25.62,1014.32,38.53,248.63,22.25
30,66,71,799,1,21,0,25.62,1014.32,38.53,249.01,22.25
30,66,71,799,2,20,0,25.62,1014.32,38.53,251.28,22.25
30,66,72,800,1,21,0,25.62,1014.32,38.55,249.38,22.25
30,67,72,800,1,21,0,25.62,1014.32,38.56,249.76,22.25
31,67,72,799,1,20,0,25.62,1014.32,38.59,250.14,22.17
31,66,72,799,1,21,0,25.62,1014.33,38.6,249.76,22.25
31,66,71,799,2,21,0,25.62,1014.32,38.59,249.38,22.17
30,67,71,799,1,20,0,25.62,1014.33,38.59,249.95,22.25
30,66,71,800,2,20,0,25.62,1014.32,38.6,252.05,22.25
30,66,71,800,2,20,0,25.62,1014.32,38.62,249.76,22.34
30,66,72,800,1,20,0,25.62,1014.31,38.63,251.28,22.34
31,67,72,800,2,21,0,25.62,1014.31,38.66,249.2,22.25
31,66,72,800,2,21,0,25.62,1014.32,38.66,250.71,22.25
30,67,71,800,1,21,0,25.62,1014.32,38.66,249.76,22.17
31,67,71,801,2,21,0,25.62,1014.33,38.66,251.85,22.25
30,66,71,801,2,20,0,25.62,1014.32,38.65,249.76,22.25
31,67,71,801,2,20,0,25.62,1014.32,38.64,250.71,22.34
30,67,72,802,2,20,0,25.62,1014.31,38.65,249.95,22.34
30,67,71,801,1,20,0,25.62,1014.31,38.67,250.33,22.42
31,67,72,801,1,20,0,25.62,1014.3,38.7,250.52,22.5
31,67,72,800,1,21,0,25.62,1014.29,38.71,251.28,22.59
30,66,71,801,2,20,0,25.62,1014.28,38.72,250.52,22.5
31,67,71,799,2,21,0,25.62,1014.29,38.74,250.52,22.42
30,66,71,799,1,21,0,25.62,1014.3,38.74,251.85,22.34
31,67,71,799,2,21,0,25.62,1014.31,38.75,251.47,22.34
30,67,71,800,1,21,0,25.62,1014.31,38.74,252.24,22.25
30,67,71,799,1,20,0,25.62,1014.32,38.74,250.14,22.25
31,66,71,800,2,20,0,25.62,1014.32,38.71,250.14,22.17
30,66,71,800,1,20,0,25.62,1014.33,38.72,250.9,22.17
31,66,71,800,1,20,0,25.62,1014.33,38.73,251.66,22.09
30,66,71,800,1,20,0,25.62,1014.34,38.73,250.33,22.09
30,66,71,800,2,21,0,25.62,1014.34,38.71,250.71,22.09
31,66,71,801,2,20,0,25.62,1014.34,38.71,250.71,22.17
30,67,71,801,1,20,0,25.62,1014.33,38.7,252.05,22.17
30,66,71,801,2,20,0,25.62,1014.33,38.72,252.62,22.09
30,66,71,801,2,22,0,25.62,1014.34,38.71,252.82,22.17
30,67,71,801,1,20,0,25.62,1014.33,38.7,252.24,22.09
30,67,71,801,1,22,0,25.62,1014.34,38.7,251.47,22.09
31,66,71,801,1,20,0,25.62,1014.34,38.69,251.47,22.17
31,66,71,802,1,20,0,25.62,1014.33,38.68,252.82,22.17
30,67,71,801,1,21,0,25.62,1014.33,38.69,250.9,22.17
31,66,71,801,1,20,0,25.62,1014.33,38.67,251.66,22.17
31,67,71,802,2,20,0,25.62,1014.33,38.67,252.82,22.17
30,66,71,802,2,20,0,25.62,1014.33,38.69,252.43,22.17
30,66,71,801,1,20,0,25.62,1014.33,38.7,251.28,22.17
31,67,71,801,1,20,0,25.62,1014.33,38.7,253.79,22.09
30,66,71,801,2,19,0,25.62,1014.34,38.7,253.59,22.09
30,66,71,801,2,20,0,25.62,1014.34,38.7,251.66,22.01
30,66,71,801,1,21,0,25.62,1014.35,38.7,252.43,22.09
30,66,72,801,2,21,0,25.62,1014.34,38.69,251.28,22.17
30,67,71,802,1,21,0,25.62,1014.33,38.7,252.82,22.09
31,66,71,802,1,20,0,25.62,1014.34,38.7,251.28,22.09
31,66,71,801,2,21,0,25.62,1014.34,38.72,251.85,22.09
30,66,71,802,2,21,0,25.62,1014.34,38.73,252.82,22.09
31,67,71,802,1,21,0,25.62,1014.34,38.74,251.47,22.09
30,67,71,802,1,20,0,25.62,1014.34,38.73,251.28,22.09
31,67,71,802,1,20,0,25.62,1014.34,38.73,251.28,22.17
30,66,71,802,2,20,0,25.62,1014.33,38.71,251.66,22.17
31,67,71,803,2,20,0,25.62,1014.33,38.71,253.01,22.17
30,66,71,802,2,21,0,25.62,1014.33,38.72,251.66,22.17
30,66,71,803,1,21,0,25.62,1014.33,38.73,251.28,22.17
30,67,71,803,1,21,0,25.62,1014.33,38.75,252.05,22.09
30,66,71,803,2,21,0,25.62,1014.34,38.77,251.47,22.09
31,67,71,803,1,20,0,25.62,1014.34,38.77,251.66,22.09
30,67,71,802,1,20,0,25.62,1014.34,38.77,253.59,22.09
30,66,71,803,2,20,0,25.62,1014.34,38.77,251.66,22.09
31,67,71,802,1,21,0,25.62,1014.34,38.76,251.66,22.09
30,66,71,803,1,20,0,25.62,1014.34,38.73,251.66,22.01
31,67,71,802,1,20,0,25.62,1014.35,38.74,250.9,22.09
30,67,71,803,2,21,0,25.62,1014.34,38.73,252.05,22.09
30,67,71,803,1,20,0,25.62,1014.34,38.73,252.05,22.09
30,66,71,803,1,21,0,25.62,1014.34,38.74,252.05,22.01
30,67,72,803,2,20,0,25.62,1014.35,38.75,251.28,22.01
30,67,71,803,2,20,0,25.62,1014.35,38.74,251.47,21.92
30,67,71,803,2,20,0,25.62,1014.36,38.73,252.05,21.92
30,67,72,803,1,20,0,25.62,1014.36,38.74,251.28,21.92
30,67,71,803,2,22,0,25.62,1014.36,38.77,251.66,22.09
31,67,71,803,1,21,0,25.62,1014.34,38.8,251.85,22.09
30,67,71,803,2,20,0,25.62,1014.34,38.8,251.47,22.01
31,67,72,803,1,21,0,25.62,1014.35,38.79,251.47,22.01
31,66,70,804,2,22,0,25.62,1014.35,38.79,251.66,22.09
31,67,71,804,2,20,0,25.62,1014.34,38.77,252.05,22.01
31,67,71,804,1,21,0,25.62,1014.35,38.77,251.28,22.01
31,67,71,804,2,21,0,25.62,1014.35,38.77,251.28,22.01
31,67,72,804,2,21,0,25.62,1014.35,38.8,251.66,22.01
31,67,72,805,2,21,0,25.62,1014.35,38.8,252.43,21.92
30,67,72,804,2,20,0,25.62,1014.36,38.79,252.43,22.01
31,67,71,805,1,21,0,25.61,1014.35,38.81,252.05,22.01
31,67,71,804,1,20,0,25.61,1014.35,38.81,252.43,22.01
30,67,72,805,2,20,0,25.61,1014.35,38.81,250.9,22.01
31,67,72,805,2,20,0,25.61,1014.35,38.83,251.85,21.92
31,67,72,805,1,21,0,25.61,1014.36,38.8,253.59,22.01
30,67,71,805,1,19,0,25.61,1014.35,38.8,253.59,22.09
31,66,72,805,1,21,0,25.61,1014.34,38.79,251.09,22.01
31,67,71,805,1,20,0,25.61,1014.35,38.8,251.66,22.01
30,67,71,805,2,21,0,25.61,1014.35,38.79,253.21,22.01
30,67,71,804,2,20,0,25.61,1014.35,38.8,251.66,22.01
30,66,71,805,2,21,0,25.61,1014.35,38.78,251.47,21.92
31,67,71,805,1,20,0,25.61,1014.36,38.76,252.24,22.01
31,67,72,805,2,20,0,25.61,1014.35,38.75,251.28,22.01
31,67,72,805,1,21,0,25.61,1014.35,38.74,252.24,22.01
31,66,72,805,1,21,0,25.61,1014.35,38.74,251.85,21.92
31,67,72,805,2,20,0,25.61,1014.36,38.74,251.66,22.01
31,67,72,805,2,20,0,25.61,1014.35,38.76,251.85,21.92
30,67,72,806,1,20,0,25.62,1014.36,38.76,251.66,21.92
31,67,71,806,2,22,0,25.62,1014.36,38.79,251.47,21.92
30,66,72,805,1,20,0,25.62,1014.36,38.83,252.24,22.01
31,67,71,805,1,20,0,25.61,1014.35,38.85,252.05,22.01
31,67,71,805,2,22,0,25.61,1014.35,38.87,253.59,22.01
31,67,71,804,1,20,0,25.61,1014.35,38.88,252.24,22.01
31,67,72,805,2,20,0,25.61,1014.35,38.89,251.28,22.01
31,67,72,804,1,20,0,25.61,1014.35,38.9,250.9,21.92
31,67,72,805,2,20,0,25.61,1014.36,38.92,251.09,21.92
30,67,71,804,2,20,0,25.61,1014.36,38.95,251.28,21.92
31,67,72,805,1,20,0,25.61,1014.36,38.96,252.82,21.92
31,67,72,804,1,20,0,25.61,1014.36,38.96,251.66,21.92
31,67,72,805,1,20,0,25.62,1014.36,38.95,251.28,22.01
31,67,71,805,1,20,0,25.61,1014.35,38.95,250.9,21.92
31,67,72,806,1,20,0,25.61,1014.36,38.93,251.28,22.01
31,67,72,806,1,20,0,25.61,1014.35,38.93,252.05,21.92
31,67,72,806,1,21,0,25.61,1014.36,38.91,253.21,21.92
31,67,72,807,1,20,0,25.61,1014.36,38.91,251.66,21.84
31,67,72,807,2,20,0,25.62,1014.37,38.91,251.66,21.84
31,67,72,806,1,20,0,25.62,1014.37,38.93,251.09,21.84
31,67,72,807,1,20,0,25.62,1014.37,38.94,251.28,21.84
31,67,72,806,1,20,0,25.62,1014.37,38.96,251.28,21.84
31,67,72,806,2,20,0,25.62,1014.37,38.93,253.4,21.84
31,67,71,807,1,20,0,25.62,1014.37,38.93,251.66,21.84
31,67,71,807,1,21,0,25.61,1014.37,38.93,251.09,21.84
31,67,72,807,1,20,0,25.61,1014.37,38.95,250.71,21.84
31,67,72,807,1,20,0,25.61,1014.37,38.94,250.52,21.84
31,67,72,807,2,20,0,25.62,1014.37,38.96,250.52,21.76
31,67,72,807,2,20,0,25.62,1014.38,38.97,252.62,21.84
30,67,71,807,1,20,0,25.62,1014.37,38.98,251.47,21.92
31,67,72,807,2,21,0,25.62,1014.36,38.97,250.33,21.92
30,67,72,807,1,20,0,25.62,1014.36,38.97,250.9,21.84
31,67,72,807,1,20,0,25.62,1014.37,38.94,250.52,21.84
31,67,72,807,2,20,0,25.61,1014.37,38.91,252.82,21.92
31,67,72,807,2,20,0,25.61,1014.36,38.89,253.21,21.92
31,67,72,807,2,20,0,25.61,1014.36,38.87,249.76,21.92
31,67,72,807,2,20,0,25.62,1014.36,38.85,251.47,21.84
31,68,72,807,2,20,0,25.61,1014.37,38.84,250.71,21.92
31,67,72,806,1,21,0,25.61,1014.36,38.83,251.09,21.92
31,68,72,806,2,20,0,25.61,1014.36,38.87,251.66,22.01
31,68,72,808,1,22,0,25.61,1014.35,38.9,250.71,22.01
31,67,72,808,1,21,0,25.61,1014.35,38.95,250.14,21.92
31,67,72,807,1,21,0,25.61,1014.36,38.97,250.14,21.92
31,67,72,807,1,20,0,25.61,1014.36,39.0,250.52,21.92
31,67,72,807,2,20,0,25.61,1014.36,39.01,249.57,21.92
31,67,72,807,2,20,0,25.61,1014.36,39.0,249.38,21.92
31,67,72,807,2,20,0,25.61,1014.36,38.98,251.09,21.92
30,67,72,807,1,20,0,25.61,1014.36,38.96,250.9,21.92
31,67,72,807,1,20,0,25.61,1014.36,38.92,251.47,21.84
31,67,72,807,2,21,0,25.61,1014.37,38.92,250.9,21.76
31,67,72,807,1,21,0,25.61,1014.38,38.93,251.85,21.84
31,67,72,807,2,20,0,25.61,1014.37,38.92,250.9,21.84
31,67,72,807,1,21,0,25.61,1014.37,38.93,250.33,21.76
32,67,72,807,2,21,0,25.61,1014.38,38.94,250.9,21.76
31,68,72,807,1,20,0,25.61,1014.38,38.93,250.9,21.84
31,67,72,807,1,20,0,25.61,1014.37,38.91,251.09,21.84
31,67,72,808,2,20,0,25.61,1014.37,38.88,250.9,21.84
31,67,72,807,2,20,0,25.61,1014.37,38.86,250.33,21.84
31,67,72,808,2,20,0,25.61,1014.37,38.86,250.71,21.84
31,67,72,808,2,20,0,25.61,1014.37,38.83,251.09,21.76
31,67,72,808,1,20,0,25.61,1014.38,38.8,250.9,21.84
31,67,72,808,1,21,0,25.61,1014.37,38.83,252.82,21.84
31,67,71,808,2,21,0,25.61,1014.37,38.84,251.28,21.84
32,67,72,808,2,20,0,25.61,1014.37,38.84,250.9,21.84
32,67,72,808,2,21,0,25.61,1014.37,38.88,251.28,21.84
31,67,72,808,1,21,0,25.61,1014.37,38.89,251.66,21.84
31,67,72,807,1,20,0,25.61,1014.37,38.9,251.28,21.76
31,68,72,808,1,20,0,25.61,1014.38,38.93,251.28,21.76
32,67,72,808,1,20,0,25.61,1014.38,38.91,250.33,21.76
31,67,72,808,1,20,0,25.61,1014.38,38.9,250.52,21.76
31,67,72,808,2,20,0,25.61,1014.38,38.9,251.28,21.76
31,68,73,808,1,20,0,25.61,1014.38,38.93,251.09,21.76
31,67,72,809,1,21,0,25.61,1014.38,38.95,250.9,21.76
31,67,72,808,2,20,0,25.61,1014.38,38.98,250.9,21.76
31,68,72,808,2,21,0,25.61,1014.38,38.98,250.71,21.76
31,67,72,809,1,21,0,25.61,1014.38,38.98,250.9,21.76
31,67,72,808,1,21,0,25.61,1014.38,38.96,250.33,21.76
32,67,73,809,1,20,0,25.61,1014.38,38.96,250.52,21.76
31,68,73,810,1,20,0,25.61,1014.38,38.98,250.9,21.67
32,68,73,810,2,21,0,25.61,1014.39,39.01,252.82,21.67
31,68,72,810,1,21,0,25.61,1014.39,39.06,249.38,21.84
31,68,73,810,2,21,0,25.61,1014.37,39.08,249.95,21.84
32,68,72,810,2,21,0,25.61,1014.37,39.12,249.95,21.84
31,68,73,809,2,21,0,25.61,1014.37,39.11,251.09,21.84
32,68,72,809,1,20,0,25.61,1014.37,39.12,249.57,21.84
32,67,72,809,1,20,0,25.61,1014.37,39.1,249.95,21.84
31,68,73,810,2,21,0,25.61,1014.37,39.11,250.33,21.76
32,67,73,809,1,21,0,25.61,1014.38,39.11,250.14,21.84
32,68,72,809,2,20,0,25.61,1014.37,39.11,249.38,21.84
32,68,73,810,1,21,0,25.61,1014.37,39.1,251.09,21.84
32,68,72,809,2,21,0,25.61,1014.37,39.07,249.01,21.76
32,67,72,809,2,21,0,25.61,1014.38,39.08,249.38,21.76
32,68,72,809,2,21,0,25.61,1014.38,39.08,249.95,21.84
32,68,72,809,2,21,0,25.61,1014.37,39.1,249.57,21.76
32,68,72,810,2,21,0,25.61,1014.38,39.13,249.2,21.76
32,68,72,809,2,20,0,25.61,1014.38,39.16,251.28,21.76
32,68,73,810,2,20,0,25.61,1014.38,39.21,248.63,21.76
32,68,72,811,1,21,0,25.61,1014.38,39.22,248.26,21.76
32,68,73,810,2,19,0,25.61,1014.38,39.21,248.07,21.76
31,68,73,810,1,21,0,25.61,1014.38,39.2,249.57,21.76
32,68,72,810,2,20,0,25.61,1014.38,39.2,248.07,21.84
31,67,72,810,1,21,0,25.61,1014.37,39.17,249.01,21.84
32,67,72,809,2,21,0,25.61,1014.37,39.17,249.38,21.84
32,68,72,810,1,21,0,25.61,1014.37,39.14,247.89,21.84
32,67,73,810,2,20,0,25.61,1014.37,39.13,248.82,21.84
32,68,73,809,1,20,0,25.61,1014.37,39.15,248.26,21.84
31,67,73,809,2,20,0,25.61,1014.37,39.17,248.63,21.84
32,68,72,808,2,20,0,25.61,1014.37,39.17,248.45,21.84
31,67,73,809,1,21,0,25.61,1014.37,39.15,248.63,21.84
32,68,72,809,2,21,0,25.61,1014.37,39.14,249.01,21.76
31,67,73,809,2,21,0,25.61,1014.38,39.14,248.63,21.84
31,68,72,808,2,21,0,25.61,1014.37,39.13,248.45,21.84
32,68,73,809,1,21,0,25.61,1014.37,39.11,250.71,21.84
32,67,73,809,1,20,0,25.61,1014.37,39.1,249.38,21.84
32,67,73,809,1,19,0,25.61,1014.37,39.11,249.01,21.84
32,67,72,809,1,21,0,25.61,1014.37,39.12,248.26,21.84
31,67,73,808,1,20,0,25.61,1014.37,39.12,248.63,21.84
32,68,72,809,1,20,0,25.61,1014.37,39.14,249.2,21.76
32,68,72,808,2,20,0,25.61,1014.38,39.12,248.26,21.76
31,68,72,809,2,21,0,25.61,1014.38,39.12,248.63,21.76
32,68,72,808,1,21,0,25.61,1014.38,39.11,248.26,21.84
31,68,72,808,2,23,0,25.61,1014.37,39.1,248.07,21.84
32,67,73,808,1,20,0,25.61,1014.37,39.09,248.07,21.84
32,68,72,809,1,20,0,25.61,1014.37,39.07,248.07,21.84
32,67,72,808,2,20,0,25.61,1014.37,39.07,248.45,21.92
32,67,72,808,2,20,0,25.61,1014.36,39.05,248.63,21.84
31,67,73,808,1,21,0,25.61,1014.37,39.04,248.26,21.76
32,68,72,808,1,21,0,25.61,1014.38,39.05,248.07,21.76
31,67,73,808,2,20,0,25.61,1014.38,39.06,248.26,21.76
32,67,73,808,2,21,0,25.61,1014.38,39.07,249.57,21.76
31,68,73,808,2,21,0,25.61,1014.38,39.07,249.76,21.76
31,68,73,808,1,19,0,25.61,1014.38,39.06,249.01,21.76
32,68,72,808,1,20,0,25.61,1014.38,39.04,249.57,21.76
