NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
30,65,68,798,2,21,0,25.57,1015.68,38.77,190.14,10.87
29,65,69,798,2,22,0,25.57,1015.69,38.77,191.91,10.96
29,65,68,798,2,22,0,25.56,1015.68,38.79,192.92,10.87
30,65,68,798,1,21,0,25.56,1015.69,38.79,192.13,10.96
30,65,68,798,2,21,0,25.56,1015.68,38.8,193.03,10.96
29,65,68,798,1,21,0,25.56,1015.68,38.79,193.71,10.96
30,65,68,798,2,21,0,25.56,1015.68,38.8,193.37,10.96
30,65,68,798,2,21,0,25.56,1015.68,38.8,193.14,11.04
30,65,68,797,1,22,0,25.56,1015.67,38.79,193.48,10.96
29,65,68,798,2,21,0,25.56,1015.68,38.79,195.31,10.87
30,65,68,797,1,21,0,25.56,1015.69,38.79,193.93,10.96
29,65,68,798,2,21,0,25.56,1015.68,38.78,194.62,10.87
29,64,68,797,2,21,0,25.56,1015.69,38.76,194.16,10.96
30,65,67,798,2,21,0,25.56,1015.68,38.77,194.74,10.96
29,65,68,797,2,22,0,25.56,1015.68,38.77,193.82,10.96
29,65,67,797,1,21,0,25.56,1015.68,38.77,195.19,10.87
30,65,67,797,1,21,0,25.56,1015.69,38.8,195.08,10.87
30,64,68,796,1,22,0,25.56,1015.69,38.82,195.43,10.79
29,65,68,797,1,21,0,25.56,1015.7,38.83,195.89,10.79
30,64,68,796,2,21,0,25.56,1015.7,38.87,195.89,10.79
29,65,68,798,2,22,0,25.56,1015.7,38.86,196.12,10.87
30,65,68,797,2,21,0,25.56,1015.69,38.84,196.12,10.87
29,64,68,798,1,22,0,25.56,1015.69,38.84,196.24,10.87
30,65,68,798,2,21,0,25.56,1015.69,38.85,197.06,10.87
30,65,68,798,1,21,0,25.56,1015.69,38.84,196.82,10.87
29,65,67,798,2,22,0,25.56,1015.69,38.84,197.41,10.96
29,65,68,798,1,22,0,25.56,1015.68,38.82,197.17,11.04
29,65,68,799,2,21,0,25.56,1015.67,38.81,197.06,10.96
30,65,68,798,1,21,0,25.56,1015.68,38.81,197.06,10.87
30,65,68,799,1,21,0,25.56,1015.69,38.81,197.88,10.87
29,65,67,799,2,21,0,25.56,1015.69,38.82,198.0,10.87
30,65,68,800,1,21,0,25.56,1015.69,38.82,197.88,10.87
29,65,68,800,2,22,0,25.56,1015.69,38.83,198.24,10.79
29,65,67,800,2,22,0,25.56,1015.7,38.84,198.36,10.87
30,65,68,801,2,22,0,25.56,1015.69,38.84,198.48,10.96
30,65,68,801,2,21,0,25.56,1015.68,38.86,198.6,10.87
29,66,68,802,1,21,0,25.56,1015.69,38.86,197.88,10.87
29,66,68,802,1,21,0,25.56,1015.69,38.88,198.36,10.96
29,66,68,803,2,22,0,25.56,1015.68,38.88,198.6,10.87
30,65,68,803,2,22,0,25.56,1015.69,38.89,198.95,11.04
30,65,68,804,2,21,0,25.56,1015.67,38.89,197.65,10.96
29,66,68,803,2,21,0,25.56,1015.68,38.87,199.07,11.04
29,65,69,804,2,22,0,25.56,1015.67,38.89,199.43,10.96
29,65,68,804,1,21,0,25.56,1015.68,38.89,199.43,10.96
29,65,68,805,2,21,0,25.57,1015.68,38.89,198.95,10.96
30,65,68,805,2,21,0,25.57,1015.68,38.9,199.07,10.96
29,65,68,805,2,21,0,25.57,1015.68,38.92,199.43,10.96
30,66,68,806,2,21,0,25.57,1015.68,38.92,199.43,10.96
29,66,68,807,1,21,0,25.57,1015.68,38.94,199.68,10.96
29,66,69,806,2,20,0,25.57,1015.68,38.94,200.16,10.87
30,65,68,806,2,21,0,25.57,1015.69,38.94,200.4,10.96
30,66,68,807,2,21,0,25.57,1015.68,38.93,201.13,10.87
30,66,68,807,2,21,0,25.57,1015.69,38.93,199.92,10.96
29,66,68,807,2,21,0,25.57,1015.68,38.92,200.28,10.96
30,65,68,808,2,21,0,25.57,1015.68,38.9,200.65,10.96
29,66,69,808,2,21,0,25.57,1015.68,38.9,200.4,10.96
30,66,68,808,2,21,0,25.57,1015.68,38.9,201.75,10.96
30,65,68,808,2,22,0,25.57,1015.68,38.89,200.16,10.96
29,65,69,808,2,22,0,25.57,1015.68,38.89,200.16,10.96
29,66,68,807,2,21,0,25.57,1015.68,38.89,201.01,10.87
29,65,67,807,1,21,0,25.57,1015.69,38.91,200.65,10.96
29,65,68,807,2,22,0,25.57,1015.68,38.92,201.38,10.87
30,66,68,808,2,21,0,25.57,1015.69,38.95,199.07,10.87
30,65,69,809,2,21,0,25.57,1015.69,38.95,201.13,10.87
29,66,69,809,2,21,0,25.57,1015.69,38.97,201.13,10.87
29,66,68,809,1,21,0,25.57,1015.69,38.95,202.12,10.96
29,65,69,809,2,21,0,25.57,1015.68,38.94,201.62,10.96
29,66,68,809,2,21,0,25.57,1015.68,38.93,201.13,10.96
29,66,69,809,2,21,0,25.57,1015.68,38.91,201.87,10.96
29,66,68,810,2,21,0,25.57,1015.68,38.9,201.87,10.87
30,66,69,811,1,21,0,25.57,1015.69,38.9,202.49,10.87
29,66,69,811,2,21,0,25.57,1015.69,38.9,201.62,10.87
29,66,69,811,2,21,0,25.57,1015.69,38.89,201.62,10.87
30,66,68,810,2,21,0,25.57,1015.69,38.89,202.74,10.87
29,66,69,811,2,23,0,25.57,1015.69,38.86,201.75,10.87
29,66,68,810,2,21,0,25.57,1015.69,38.86,201.01,10.87
30,66,68,810,1,21,0,25.57,1015.69,38.88,201.62,10.96
30,66,69,811,2,21,0,25.57,1015.68,38.92,201.99,10.96
29,66,69,810,2,21,0,25.57,1015.68,38.94,200.89,10.87
29,66,68,810,2,22,0,25.57,1015.69,38.99,200.77,10.87
29,66,68,811,2,21,0,25.57,1015.69,39.03,200.65,10.87
30,66,68,810,2,22,0,25.58,1015.69,39.06,200.89,10.87
29,66,69,810,2,21,0,25.58,1015.69,39.06,201.99,10.96
29,66,69,810,2,21,0,25.58,1015.68,39.07,201.5,10.87
29,66,68,810,2,21,0,25.57,1015.69,39.07,202.12,10.87
29,66,68,809,2,21,0,25.57,1015.69,39.07,203.36,10.87
30,66,68,810,2,21,0,25.58,1015.69,39.08,201.01,10.79
29,65,68,810,2,21,0,25.58,1015.7,39.09,200.89,10.87
29,66,68,811,2,21,0,25.57,1015.69,39.11,201.13,10.87
29,65,69,811,1,21,0,25.57,1015.69,39.12,200.4,10.87
29,65,68,811,1,22,0,25.57,1015.69,39.14,200.65,10.87
29,66,68,811,2,21,0,25.57,1015.69,39.18,201.38,10.79
29,66,68,810,1,21,0,25.57,1015.7,39.21,200.4,10.79
29,66,68,811,2,21,0,25.57,1015.7,39.26,200.4,10.79
29,66,69,810,2,22,0,25.57,1015.7,39.29,200.52,10.79
29,66,69,811,2,21,0,25.57,1015.7,39.33,201.87,10.79
