NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
44,65,123,729,2,11,0,33.59,688.6,100.0,0.0,3170.54
44,65,122,730,2,11,0,33.59,688.6,100.0,0.0,3170.54
44,65,123,729,3,11,0,33.59,688.6,100.0,0.0,3170.54
44,65,123,730,2,11,0,33.59,688.6,100.0,0.0,3170.54
44,65,123,730,2,11,0,33.59,688.6,100.0,0.0,3170.54
44,65,122,729,2,11,0,33.59,688.6,100.0,0.0,3170.54
43,65,122,729,2,11,0,33.59,688.6,100.0,0.0,3170.54
44,65,122,730,2,11,0,33.59,688.6,100.0,0.0,3170.54
43,65,121,730,2,11,0,33.59,688.6,100.0,0.0,3170.54
43,65,121,730,2,11,0,33.59,688.6,100.0,0.0,3170.54
43,65,121,731,2,11,0,33.59,688.6,100.0,0.0,3170.54
43,65,121,732,2,11,0,33.59,688.6,100.0,0.0,3170.54
43,65,121,731,2,11,0,33.59,688.6,100.0,0.0,3170.54
43,65,121,731,2,11,0,33.59,688.6,100.0,0.0,3170.54
43,65,121,731,2,10,0,33.59,688.6,100.0,0.0,3170.54
42,64,121,731,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,65,121,732,2,11,0,33.59,688.6,100.0,0.0,3170.54
43,65,120,731,2,11,0,33.59,688.6,100.0,0.0,3170.54
43,65,120,732,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,65,120,733,2,10,0,33.59,688.6,100.0,0.0,3170.54
43,65,120,733,2,11,0,33.59,688.6,100.0,0.0,3170.54
43,65,119,732,2,11,0,33.59,688.6,100.0,0.0,3170.54
43,65,119,733,2,11,0,33.59,688.6,100.0,0.0,3170.54
43,64,120,734,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,64,120,734,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,65,119,734,2,11,0,33.59,688.6,100.0,0.0,3170.54
43,65,119,734,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,65,119,735,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,65,119,734,2,10,0,33.59,688.6,100.0,0.0,3170.54
42,65,119,735,2,10,0,33.59,688.6,100.0,0.0,3170.54
42,65,118,735,3,10,0,33.59,688.6,100.0,0.0,3170.54
42,65,119,735,3,11,0,33.59,688.6,100.0,0.0,3170.54
42,65,118,735,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,65,118,736,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,65,118,736,2,10,0,33.59,688.6,100.0,0.0,3170.54
42,65,118,736,2,11,0,33.59,688.6,100.0,0.0,3170.54
41,65,117,736,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,64,118,736,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,65,118,735,3,10,0,33.59,688.6,100.0,0.0,3170.54
42,65,118,735,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,65,118,735,3,10,0,33.59,688.6,100.0,0.0,3170.54
42,66,118,737,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,65,117,736,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,66,117,737,2,11,0,33.59,688.6,100.0,0.0,3170.54
41,65,118,737,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,66,118,738,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,65,117,738,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,65,117,739,2,10,0,33.59,688.6,100.0,0.0,3170.54
42,66,117,739,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,65,118,739,2,11,0,33.59,688.6,100.0,0.0,3170.54
41,66,117,740,3,10,0,33.59,688.6,100.0,0.0,3170.54
42,65,117,740,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,66,117,740,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,66,117,741,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,66,118,742,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,66,117,742,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,66,117,743,3,10,0,33.59,688.6,100.0,0.0,3170.54
41,66,117,743,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,66,117,743,2,11,0,33.59,688.6,100.0,0.0,3170.54
41,66,118,743,3,11,0,33.59,688.6,100.0,0.0,3170.54
41,66,117,743,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,66,117,743,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,66,117,743,2,12,0,33.59,688.6,100.0,0.0,3170.54
41,66,117,743,2,11,0,33.59,688.6,100.0,0.0,3170.54
41,66,117,743,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,66,117,743,3,11,0,33.59,688.6,100.0,0.0,3170.54
41,66,117,742,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,66,117,742,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,66,116,742,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,66,116,742,2,11,0,33.59,688.6,100.0,0.0,3170.54
41,66,116,743,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,66,116,742,3,11,0,33.59,688.6,100.0,0.0,3170.54
42,66,116,742,3,12,0,33.59,688.6,100.0,0.0,3170.54
42,66,116,742,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,66,116,742,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,66,116,742,2,11,0,33.59,688.6,100.0,0.0,3170.54
41,66,116,744,2,11,0,33.59,688.6,100.0,0.0,3170.54
41,66,116,743,2,11,0,33.59,688.6,100.0,0.0,3170.54
41,66,115,743,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,67,116,743,3,11,0,33.59,688.6,100.0,0.0,3170.54
41,67,116,743,2,11,0,33.59,688.6,100.0,0.0,3170.54
41,66,116,743,3,11,0,33.59,688.6,100.0,0.0,3170.54
41,66,115,743,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,66,115,743,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,66,116,743,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,66,115,742,2,11,0,33.59,688.6,100.0,0.0,3170.54
41,66,116,743,2,11,0,33.59,688.6,100.0,0.0,3170.54
41,66,115,743,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,66,115,743,2,11,0,33.59,688.6,100.0,0.0,3170.54
41,66,115,743,3,11,0,33.59,688.6,100.0,0.0,3170.54
42,66,115,743,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,66,115,743,2,11,0,33.59,688.6,100.0,0.0,3170.54
41,66,114,743,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,66,115,743,2,11,0,33.59,688.6,100.0,0.0,3170.54
41,67,115,744,3,11,0,33.59,688.6,100.0,0.0,3170.54
42,66,115,744,3,11,0,33.59,688.6,100.0,0.0,3170.54
42,67,115,744,2,11,0,33.59,688.6,100.0,0.0,3170.54
41,66,115,744,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,66,115,744,2,11,0,33.59,688.6,100.0,0.0,3170.54
41,66,115,744,3,11,0,33.59,688.6,100.0,0.0,3170.54
41,67,114,744,3,11,0,33.59,688.6,100.0,0.0,3170.54
41,66,115,744,2,10,0,33.59,688.6,100.0,0.0,3170.54
42,66,115,745,2,11,0,33.59,688.6,100.0,0.0,3170.54
41,66,115,745,2,11,0,33.59,688.6,100.0,0.0,3170.54
41,66,115,744,3,11,0,33.59,688.6,100.0,0.0,3170.54
42,66,115,745,2,12,0,33.59,688.6,100.0,0.0,3170.54
41,67,114,744,3,11,0,33.59,688.6,100.0,0.0,3170.54
42,66,115,744,2,11,0,33.59,688.6,100.0,0.0,3170.54
41,67,114,744,2,11,0,33.59,688.6,100.0,0.0,3170.54
41,67,115,744,2,11,0,33.59,688.6,100.0,0.0,3170.54
41,67,114,745,2,12,0,33.59,688.6,100.0,0.0,3170.54
41,67,114,744,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,66,114,745,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,67,114,745,3,11,0,33.59,688.6,100.0,0.0,3170.54
41,66,114,746,2,11,0,33.59,688.6,100.0,0.0,3170.54
41,67,115,745,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,66,114,745,2,11,0,33.59,688.6,100.0,0.0,3170.54
41,66,114,746,4,11,0,33.59,688.6,100.0,0.0,3170.54
42,66,114,746,3,11,0,33.59,688.6,100.0,0.0,3170.54
42,67,115,746,2,11,0,33.59,688.6,100.0,0.0,3170.54
41,67,114,747,2,10,0,33.59,688.6,100.0,0.0,3170.54
42,67,115,747,3,11,0,33.59,688.6,100.0,0.0,3170.54
42,67,115,747,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,67,115,748,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,67,115,748,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,67,115,749,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,67,114,748,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,67,115,748,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,67,114,747,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,67,114,748,2,11,0,33.59,688.6,100.0,0.0,3170.54
41,67,114,747,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,67,114,747,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,67,114,746,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,67,115,746,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,67,114,746,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,67,114,746,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,67,114,746,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,67,114,746,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,67,114,746,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,67,114,746,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,67,114,745,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,67,114,746,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,67,113,745,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,66,114,745,3,11,0,33.59,688.6,100.0,0.0,3170.54
42,67,114,745,3,11,0,33.59,688.6,100.0,0.0,3170.54
42,66,114,745,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,66,114,745,3,11,0,33.59,688.6,100.0,0.0,3170.54
42,67,114,745,3,11,0,33.59,688.6,100.0,0.0,3170.54
42,67,114,745,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,66,114,745,3,11,0,33.59,688.6,100.0,0.0,3170.54
42,66,114,746,3,11,0,33.59,688.6,100.0,0.0,3170.54
42,67,114,746,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,67,114,745,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,66,114,745,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,66,113,744,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,67,114,745,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,66,113,745,3,11,0,33.59,688.6,100.0,0.0,3170.54
42,67,113,745,3,11,0,33.59,688.6,100.0,0.0,3170.54
